date,open,high,low,close,adj_close,volume
2021-06-09,143.31,144.61,142.94,142.94,123.3,21549
2021-06-10,144.09,144.15,142.565,142.67,123.07,18156
2021-06-11,143.1,143.99,142.48,143.93,124.15,35651
2021-06-14,143.255,143.255,138.575,138.85,120.61,34560
2021-06-15,139.1,140.51,138.61,139.86,121.49,61056
2021-06-16,139.19,139.67,138.385,138.63,120.42,30755
2021-06-17,138.48,138.48,133.42,133.8,116.22,46452
2021-06-18,132.115,133.18,131.775,132.64,115.21,28732
2021-06-21,134.53,136.055,134.51,135.31,117.53,18011
2021-06-22,135.36,136.015,134.65,135.315,117.54,13064
2021-06-23,135.26,135.54,134.235,134.66,116.97,18049
2021-06-24,135.225,135.225,133.61,133.75,116.18,25795
2021-06-25,134.73,136.16,134.73,135.17,117.41,20493
2021-06-28,134.1,135.66,134.1,135.57,117.76,24352
2021-06-29,135.25,135.93,134.64,135.08,117.33,22072
2021-06-30,134.69,135.76,134.385,135.39,117.6,12454
2021-07-01,135.61,137.08,135.61,136.57,118.63,16778
2021-07-02,135.92,136.93,135.455,136.665,118.71,18386
2021-07-06,136.35,136.76,134.505,135.73,117.9,22295
2021-07-07,135.69,138.21,135.68,137.48,119.42,25825
2021-07-08,135.445,137.175,135.19,136.17,118.28,39888
2021-07-09,138.08,138.645,137.59,138.575,120.37,21999
2021-07-12,136.67,139.2,136.54,138.825,120.59,46936
2021-07-13,138.685,139.55,137.265,137.32,119.28,29322
2021-07-14,137.6,138.235,137.01,137.21,119.18,17469
2021-07-15,136.99,137.94,136.27,136.73,118.77,78073
2021-07-16,137.28,137.295,134.63,134.9,117.18,27227
2021-07-19,133.02,133.685,130.84,132.08,114.73,16412
2021-07-20,133.02,134.89,132.06,132.47,115.07,33960
2021-07-21,133.7,134.445,132.48,132.835,115.38,40489
2021-07-22,132.67,132.67,130.86,131.33,114.08,17167
2021-07-23,131.63,134.02,131.31,133.59,116.04,19291
2021-07-26,133.97,134.87,132.815,134.72,117.02,42966
2021-07-27,133.77,140.47,132.4,138.16,120.01,63066
2021-07-28,138.14,139.21,136.79,139.1,120.83,19688
2021-07-29,139.26,141.52,139.03,140.24,121.82,113613
2021-07-30,141.16,141.92,140.675,141.52,122.93,52243
2021-08-02,141.49,142.745,138.83,139.19,120.9,28470
2021-08-03,138.91,140.215,138.02,140.03,121.63,17560
2021-08-04,139.835,140.06,138.02,138.78,120.55,39049
2021-08-05,139.97,139.97,137.8,138.57,120.37,39736
2021-08-06,139.5,140.85,139.255,140.55,122.09,34870
2021-08-09,140.755,143.28,140.4,142.67,123.93,32586
2021-08-10,142.91,145.035,142.43,144.09,125.16,31919
2021-08-11,144.45,146.035,144.37,145.59,126.46,25017
2021-08-12,145.82,146.23,144.64,145.46,126.35,22322
2021-08-13,145.715,146.835,145.54,146.41,127.18,32612
2021-08-16,145.25,146.28,144.64,146.12,126.92,28154
2021-08-17,145.78,146.045,144.61,145.7,126.56,16420
2021-08-18,145.84,146.89,145.03,145.03,125.98,35797
2021-08-19,144.66,146.06,144.3,145.09,126.03,21938
2021-08-20,145.855,148.61,145.69,148.28,128.8,41491
2021-08-23,147.54,148.06,146.495,147.02,127.71,42065
2021-08-24,147.31,148.06,146.925,147.83,128.41,13838
2021-08-25,147.07,150.51,147.07,149.96,130.26,14053
2021-08-26,148.985,149.95,148.985,149.41,129.78,12144
2021-08-27,150.61,151.73,150.61,151.39,131.5,11198
2021-08-30,152.14,152.385,151.18,151.21,131.35,24167
2021-08-31,151.205,153.4,151.04,151.7,131.77,28508
2021-09-01,151.32,154.34,150.76,153.85,133.64,37414
2021-09-02,155.34,155.66,152.74,153.17,133.05,71243
2021-09-03,152.29,153.35,152.2,152.47,132.44,38382
2021-09-07,152.01,152.38,151.26,151.6,131.68,39692
2021-09-08,150.95,152.22,150.61,151.7,131.77,34087
2021-09-09,151.77,152.19,151.375,151.67,131.74,31881
2021-09-10,152.76,153.515,151.69,151.69,131.76,26873
2021-09-13,152.18,152.75,150.805,151.73,131.8,33443
2021-09-14,150.41,150.7,148.01,148.28,129.65,52500
2021-09-15,148.01,148.26,145.77,146.04,127.7,54382
2021-09-16,145.33,145.53,143.38,143.55,125.52,44994
2021-09-17,142.88,143.0,140.5,141.07,123.35,41527
2021-09-20,139.1,140.095,138.105,139.73,122.18,53585
2021-09-21,140.06,140.06,137.97,138.09,120.74,37782
2021-09-22,139.12,141.8,139.11,140.75,123.07,21072
2021-09-23,142.43,143.205,142.34,142.74,124.81,18052
2021-09-24,143.17,143.35,141.85,141.85,124.03,6475
2021-09-27,141.85,144.2,141.85,143.7,125.65,27364
2021-09-28,143.46,143.97,141.85,141.995,124.16,16506
2021-09-29,142.36,142.72,141.18,141.2,123.46,13002
2021-09-30,141.29,141.37,137.415,137.415,120.15,58314
2021-10-01,137.465,139.75,136.38,139.0,121.54,15652
2021-10-04,139.255,140.22,138.52,139.43,121.92,24560
2021-10-05,138.825,142.56,138.405,141.8,123.99,30157
2021-10-06,140.65,141.105,138.58,141.1,123.38,29820
2021-10-07,143.0,143.82,142.14,142.63,124.71,53149
2021-10-08,142.95,143.19,138.63,139.18,121.7,46719
2021-10-11,139.68,141.01,138.02,138.09,120.74,33676
2021-10-12,138.295,140.54,138.04,139.58,122.05,29038
2021-10-13,139.74,140.405,134.605,137.31,120.06,61587
2021-10-14,137.62,139.82,136.8,139.05,121.58,30063
2021-10-15,138.89,138.89,133.42,133.72,116.92,71169
2021-10-18,133.52,136.18,133.52,134.09,117.25,23452
2021-10-19,134.03,134.03,132.11,132.79,116.11,45799
2021-10-20,133.465,136.8,133.45,135.71,118.66,24342
2021-10-21,135.08,135.63,133.77,134.75,117.82,33498
2021-10-22,135.275,136.74,134.05,134.11,117.26,49822
2021-10-26,136.6,138.81,133.97,136.2,119.09,64781
2021-10-27,135.045,136.16,133.01,135.4,118.39,70079
2021-10-28,136.99,138.93,136.97,138.88,121.44,33511
2021-10-29,139.13,139.39,137.09,137.4,120.14,20757
2021-11-01,136.445,136.64,135.33,135.37,118.37,17455
2021-11-02,135.41,135.43,132.97,133.725,116.93,16765
2021-11-03,134.12,135.88,133.57,135.33,118.33,20106
2021-11-04,135.22,136.79,133.925,134.39,117.51,28435
2021-11-05,134.88,136.885,134.88,135.32,118.32,18776
2021-11-08,135.935,135.995,134.16,134.35,117.47,21487
2021-11-09,133.91,135.165,132.985,134.09,117.25,29817
2021-11-10,134.11,135.87,133.27,135.45,118.44,32520
2021-11-11,135.51,136.05,135.0,135.07,118.1,20403
2021-11-12,134.47,136.02,134.47,135.115,118.14,10670
2021-11-15,135.8,135.8,134.65,134.79,117.86,14748
2021-11-16,135.34,135.915,134.56,134.57,117.67,21360
2021-11-17,134.125,135.08,132.52,134.59,117.68,70833
2021-11-18,134.42,135.07,132.3,132.6,115.94,33576
2021-11-19,132.25,133.94,132.25,133.125,116.4,48188
2021-11-22,133.445,135.7,133.4,134.17,117.32,80787
2021-11-23,134.98,135.89,134.69,134.7,117.78,8798
2021-11-24,134.175,134.175,131.6,132.08,115.49,25320
2021-11-26,131.23,134.55,131.185,133.625,116.84,27886
2021-11-29,134.35,134.99,133.4,133.66,116.87,22864
2021-11-30,132.33,133.06,130.25,130.63,114.22,53318
2021-12-01,131.04,132.9,129.48,129.48,113.22,30372
2021-12-02,130.325,132.51,130.22,131.87,115.31,40168
2021-12-03,131.705,133.55,131.705,133.21,116.48,52099
2021-12-06,134.395,136.78,134.395,136.27,119.15,119065
2021-12-07,136.55,137.77,135.25,135.34,118.34,80236
2021-12-08,136.07,136.22,132.195,132.24,115.63,31982
2021-12-09,130.91,131.405,129.09,129.18,112.95,76565
2021-12-10,129.66,129.78,128.0,128.075,111.99,42443
2021-12-13,128.72,131.09,128.26,130.5,114.11,28649
2021-12-14,131.06,131.49,130.43,130.57,114.17,38579
