date,open,high,low,close,adj_close,volume
2021-06-09,28.49,29.085,28.425,29.0,24.45,159491
2021-06-10,29.09,29.28,28.975,29.105,24.54,142647
2021-06-11,29.085,29.37,29.01,29.33,24.73,82883
2021-06-14,29.33,29.44,29.13,29.265,24.67,178362
2021-06-15,29.23,29.49,29.12,29.3,24.7,59545
2021-06-16,29.36,29.37,28.66,28.69,24.19,95934
2021-06-17,28.58,28.83,28.47,28.595,24.11,76842
2021-06-18,28.36,28.37,27.605,27.605,23.28,239966
2021-06-21,27.87,28.145,27.67,28.11,23.7,103137
2021-06-22,28.11,28.23,27.995,27.995,23.6,97046
2021-06-23,27.97,27.97,27.74,27.82,23.46,72145
2021-06-24,27.83,27.98,27.73,27.93,23.55,55722
2021-06-25,27.9,28.315,27.88,28.31,23.87,89855
2021-06-28,28.42,28.42,28.16,28.25,23.82,49727
2021-06-29,28.2,28.345,27.685,27.78,23.42,126957
2021-06-30,27.85,28.02,27.755,27.975,23.59,83022
2021-07-01,28.1,28.365,27.89,28.26,23.83,114360
2021-07-02,28.21,28.29,28.1,28.26,23.83,37699
2021-07-06,28.28,28.295,27.71,28.16,23.74,55749
2021-07-07,28.01,28.195,27.885,28.17,23.75,55099
2021-07-08,28.05,28.175,27.915,28.12,23.71,53212
2021-07-09,28.31,28.435,28.14,28.435,23.97,76569
2021-07-12,28.32,28.43,28.14,28.38,23.93,76394
2021-07-13,28.34,28.34,27.905,27.94,23.56,98959
2021-07-14,27.93,28.24,27.76,28.08,23.68,63233
2021-07-15,28.0,28.28,28.0,28.215,23.79,121674
2021-07-16,28.23,28.73,28.21,28.59,24.11,143622
2021-07-19,28.41,28.57,27.74,28.02,23.63,129367
2021-07-20,28.05,28.47,28.01,28.205,23.78,100855
2021-07-21,28.27,28.46,28.09,28.09,23.68,79432
2021-07-22,28.13,28.16,27.915,28.065,23.66,64103
2021-07-23,28.09,28.32,28.06,28.25,23.82,44945
2021-07-26,28.27,28.45,28.205,28.37,23.92,87885
2021-07-27,28.23,28.81,28.19,28.75,24.24,102126
2021-07-28,28.725,28.85,28.37,28.585,24.1,103809
2021-07-29,28.57,28.695,28.5,28.61,24.12,72183
2021-07-30,28.63,28.825,28.265,28.375,23.92,179375
2021-08-02,28.45,28.64,28.37,28.46,24.0,99600
2021-08-03,28.465,28.565,28.265,28.555,24.08,222309
2021-08-04,28.41,28.49,28.155,28.43,23.97,104910
2021-08-05,28.58,28.87,28.505,28.87,24.34,170972
2021-08-06,28.89,29.47,28.85,29.22,24.64,148800
2021-08-09,29.25,29.25,28.9,29.04,24.49,163353
2021-08-10,29.08,29.135,28.92,28.925,24.39,209012
2021-08-11,28.99,29.225,28.93,29.205,24.62,206371
2021-08-12,29.13,29.225,29.025,29.09,24.53,42968
2021-08-13,29.09,29.465,29.07,29.42,24.81,194815
2021-08-16,29.5,29.745,29.275,29.365,24.76,163443
2021-08-17,29.22,29.355,29.015,29.345,24.74,87027
2021-08-18,29.29,29.33,29.065,29.18,24.6,98229
2021-08-19,29.21,29.555,29.13,29.175,24.6,80251
2021-08-20,29.1,29.78,29.04,29.765,25.1,232654
2021-08-23,29.705,29.715,29.08,29.2,24.62,210984
2021-08-24,29.26,29.3,29.04,29.22,24.64,166381
2021-08-25,29.085,29.395,28.95,29.22,24.64,230951
2021-08-26,29.175,29.25,29.04,29.05,24.49,98878
2021-08-27,29.13,29.31,29.12,29.22,24.64,140246
2021-08-30,29.14,29.32,29.14,29.18,24.6,135944
2021-08-31,29.085,29.45,29.085,29.34,24.74,210598
2021-09-01,29.67,30.085,29.6,30.03,25.32,446365
2021-09-02,30.03,30.4,30.01,30.4,25.63,161528
2021-09-03,30.315,30.38,30.08,30.08,25.36,189605
2021-09-07,30.05,30.34,29.94,30.1,25.38,444821
2021-09-08,30.06,30.705,30.06,30.46,25.68,140098
2021-09-09,29.98,30.225,29.77,29.77,25.45,196075
2021-09-10,29.84,29.935,29.6,29.605,25.31,192097
2021-09-13,29.86,29.89,29.48,29.525,25.24,157884
2021-09-14,29.66,29.69,29.3,29.37,25.11,190098
2021-09-15,29.35,29.68,29.305,29.465,25.19,154710
2021-09-16,29.42,29.505,29.055,29.11,24.88,252422
2021-09-17,29.0,29.115,28.66,28.69,24.52,137426
2021-09-20,28.52,28.88,28.33,28.62,24.46,147000
2021-09-21,28.705,28.89,28.405,28.43,24.3,136922
2021-09-22,28.54,28.7,28.385,28.475,24.34,125510
2021-09-23,28.46,28.74,28.46,28.55,24.4,124511
2021-09-24,28.67,28.73,28.395,28.42,24.29,65057
2021-09-27,28.52,28.82,28.35,28.36,24.24,119670
2021-09-28,28.42,28.525,28.13,28.23,24.13,150425
2021-09-29,28.27,28.66,28.24,28.47,24.34,162086
2021-09-30,28.52,28.52,27.9,27.905,23.85,156424
2021-10-01,28.15,28.195,27.85,27.95,23.89,179382
2021-10-04,27.92,28.39,27.92,28.3,24.19,155784
2021-10-05,28.36,28.445,28.21,28.24,24.14,85980
2021-10-06,28.205,28.57,28.02,28.54,24.4,142049
2021-10-07,28.59,28.805,28.345,28.4,24.28,99462
2021-10-08,28.4,28.57,28.32,28.375,24.25,77602
2021-10-11,28.29,28.425,28.14,28.19,24.1,65769
2021-10-12,28.18,28.44,28.12,28.27,24.17,52627
2021-10-13,28.27,28.5,28.05,28.5,24.36,46770
2021-10-14,28.56,28.77,28.49,28.72,24.55,79107
2021-10-15,28.76,28.915,28.7,28.84,24.65,102295
2021-10-18,28.61,28.765,28.505,28.55,24.4,53345
2021-10-19,28.72,28.915,28.68,28.89,24.69,60937
2021-10-20,29.04,29.305,29.04,29.22,24.98,81096
2021-10-21,29.14,29.195,28.99,29.01,24.8,38317
2021-10-22,29.09,29.23,29.09,29.14,24.91,58502
2021-10-26,28.99,29.295,28.98,29.095,24.87,61017
2021-10-27,29.21,29.225,28.935,29.0,24.79,63048
2021-10-28,28.975,29.11,28.865,29.06,24.84,57970
2021-10-29,29.085,29.16,28.685,28.81,24.63,51744
2021-11-01,28.77,29.295,28.73,29.275,25.02,122229
2021-11-02,29.37,29.4,29.025,29.25,25.0,108310
2021-11-03,29.21,29.405,29.14,29.32,25.06,116922
2021-11-04,29.13,29.42,28.695,28.885,24.69,176782
2021-11-05,29.08,29.3,28.69,28.725,24.55,157854
2021-11-08,28.79,28.81,28.53,28.68,24.52,89186
2021-11-09,28.71,28.84,28.56,28.75,24.58,143806
2021-11-10,28.835,29.05,28.73,28.775,24.6,165976
2021-11-11,28.59,28.91,28.58,28.765,24.59,146813
2021-11-12,28.75,28.82,28.56,28.575,24.43,245067
2021-11-15,28.77,28.855,28.67,28.835,24.65,102475
2021-11-16,28.88,28.915,28.69,28.69,24.52,111562
2021-11-17,28.61,28.695,28.445,28.485,24.35,173010
2021-11-18,28.48,28.56,28.175,28.26,24.16,131165
2021-11-19,28.22,28.42,27.97,28.395,24.27,199243
2021-11-22,28.33,28.63,28.11,28.515,24.37,267441
2021-11-23,28.55,28.83,28.42,28.74,24.57,88378
2021-11-24,28.73,28.78,28.565,28.66,24.5,62612
2021-11-26,28.22,28.44,28.165,28.195,24.1,73897
2021-11-29,28.29,28.56,28.24,28.43,24.3,117563
2021-11-30,28.23,28.41,27.75,27.83,23.79,211325
2021-12-01,28.12,28.49,27.87,27.87,23.82,213150
2021-12-02,28.02,28.51,28.01,28.23,24.13,197315
2021-12-03,28.44,28.815,28.35,28.66,24.5,203274
2021-12-06,28.96,29.535,28.93,29.205,24.96,243019
2021-12-07,29.2,29.465,29.09,29.32,25.06,151216
2021-12-08,29.33,29.42,29.12,29.16,24.93,168993
2021-12-09,28.71,28.8,28.41,28.6,24.8,113623
2021-12-10,28.7,28.77,28.59,28.74,24.92,165775
2021-12-13,28.6,28.98,28.6,28.88,25.04,117941
2021-12-14,28.96,29.05,28.67,28.815,24.99,125281
2021-12-15,28.96,29.42,28.87,29.27,25.38,173944
2021-12-16,29.3,29.76,29.27,29.48,25.56,131803
2021-12-17,29.45,29.755,29.39,29.55,25.62,171363
2021-12-20,29.245,29.56,29.04,29.5,25.58,114917
2021-12-21,29.69,29.88,29.28,29.42,25.51,137145
2021-12-22,29.345,29.555,29.265,29.41,25.5,160687
2021-12-23,29.41,29.63,29.39,29.41,25.5,66429
2021-12-27,29.415,29.54,29.275,29.54,25.62,54858
2021-12-28,29.59,29.78,29.59,29.78,25.82,38192
2021-12-29,29.78,29.89,29.745,29.81,25.85,60580
2021-12-30,29.9,29.98,29.77,29.95,25.97,54381
2021-12-31,29.94,30.14,29.825,30.055,26.06,53114
2022-01-03,30.14,30.18,29.625,30.13,26.13,159044
2022-01-04,30.13,30.33,29.945,29.99,26.01,110636
2022-01-05,29.98,30.325,29.84,30.05,26.06,111789
2022-01-06,30.04,30.16,29.895,30.015,26.03,79841
2022-01-07,29.98,30.435,29.81,30.26,26.24,85041
2022-01-10,30.28,30.39,30.115,30.23,26.21,69367
2022-01-11,30.31,30.385,29.825,29.96,25.98,89276
2022-01-12,29.87,30.2,29.84,29.97,25.99,141972
2022-01-13,29.99,30.175,29.85,30.0,26.01,112534
2022-01-14,29.97,30.06,29.805,29.96,25.98,71307
2022-01-18,29.85,30.04,29.61,29.9,25.93,86621
