date,open,high,low,close,adj_close,volume
2021-06-09,33.18,33.56,33.005,33.05,30.97,36017
2021-06-10,33.1,33.28,33.04,33.19,31.11,30137
2021-06-11,33.27,33.38,33.0,33.32,31.23,27630
2021-06-14,33.33,33.65,33.29,33.595,31.49,24243
2021-06-15,33.66,33.79,33.45,33.775,31.65,24937
2021-06-16,33.89,33.89,33.16,33.18,31.1,30059
2021-06-17,32.93,33.48,32.93,33.375,31.28,34813
2021-06-18,33.17,33.35,33.04,33.085,31.01,46136
2021-06-21,33.36,33.89,33.275,33.725,31.61,59810
2021-06-22,33.83,33.995,33.66,33.935,31.8,54664
2021-06-23,34.08,34.08,33.605,33.62,31.51,20654
2021-06-24,33.78,33.965,33.67,33.91,31.78,35763
2021-06-25,33.95,34.075,33.83,34.05,31.91,30319
2021-06-28,34.24,34.26,33.75,33.94,31.81,25654
2021-06-29,33.73,34.64,33.71,34.395,32.24,35569
2021-06-30,34.55,34.645,34.0,34.215,32.07,29325
2021-07-01,34.32,34.655,34.27,34.64,32.47,36964
2021-07-02,34.62,34.75,34.465,34.65,32.47,24225
2021-07-06,34.6,34.985,34.33,34.95,32.76,22614
2021-07-07,34.855,35.61,34.8,35.57,33.34,49761
2021-07-08,35.08,35.36,34.925,35.015,32.82,19710
2021-07-09,35.23,35.465,35.12,35.4,33.18,32567
2021-07-12,35.31,35.455,35.18,35.37,33.15,39503
2021-07-13,35.35,35.675,35.24,35.33,33.11,45861
2021-07-14,35.43,35.51,34.995,35.36,33.14,31897
2021-07-15,35.12,35.555,35.12,35.525,33.29,25534
2021-07-16,35.66,36.4,35.62,36.0,33.74,43307
2021-07-19,35.82,36.42,35.66,36.25,33.97,68169
2021-07-20,36.53,37.36,36.47,37.275,34.93,47015
2021-07-21,37.36,37.525,37.235,37.42,35.07,55630
2021-07-22,37.48,37.86,37.3,37.63,35.27,23997
2021-07-23,37.85,38.02,37.775,37.915,35.53,22173
2021-07-26,37.72,37.725,37.11,37.365,35.02,51373
2021-07-27,37.28,37.47,36.99,37.18,34.85,39179
2021-07-28,36.9,37.21,35.95,36.82,34.51,108620
2021-07-29,37.74,38.42,37.48,37.81,35.44,83882
2021-07-30,37.71,38.43,37.71,38.35,35.94,50158
2021-08-02,38.54,38.715,38.125,38.545,36.12,90952
2021-08-03,38.52,39.01,38.465,38.965,36.52,39601
2021-08-04,39.1,39.3,38.82,39.015,36.57,17608
2021-08-05,39.01,39.125,38.18,38.42,36.01,45524
2021-08-06,38.42,38.48,38.095,38.11,35.72,47478
2021-08-09,38.32,38.32,37.495,37.67,35.38,55734
2021-08-10,37.61,37.63,37.385,37.39,35.12,41030
2021-08-11,37.46,37.66,37.09,37.375,35.1,41091
2021-08-12,37.18,37.3,37.115,37.2,34.94,29441
2021-08-13,37.04,37.2,36.915,37.16,34.9,19259
2021-08-16,36.92,37.625,36.92,37.6,35.31,42887
