date,open,high,low,close,adj_close,volume
2021-06-09,195.01,196.34,194.13,194.48,154.86,33874
2021-06-10,194.86,195.31,191.32,191.88,152.79,50370
2021-06-11,192.275,194.15,192.275,193.88,154.38,32439
2021-06-14,192.12,192.67,191.62,192.645,154.26,44885
2021-06-15,192.825,195.99,192.825,195.22,156.32,65367
2021-06-16,194.55,196.02,193.27,196.02,156.96,76572
2021-06-17,196.41,197.1,191.31,192.92,154.48,100869
2021-06-18,190.41,192.27,188.68,189.91,152.07,91606
2021-06-21,188.69,195.01,188.69,194.95,156.1,39920
2021-06-22,194.78,196.41,193.33,196.02,156.96,40044
2021-06-23,195.91,197.64,195.8,196.53,157.37,46570
2021-06-24,194.4,195.33,191.77,195.05,158.6,49147
2021-06-25,195.56,197.16,195.34,196.64,159.9,34446
2021-06-28,195.59,197.69,195.0,197.31,160.44,31715
2021-06-29,197.65,198.57,196.72,197.78,160.82,29599
2021-06-30,197.41,198.41,196.93,198.03,161.03,41037
2021-07-01,198.46,200.215,198.02,199.98,162.61,26067
2021-07-02,200.46,204.0,199.79,203.59,165.55,62379
2021-07-06,203.22,203.94,201.86,203.64,165.59,36525
2021-07-07,204.96,205.005,202.18,204.8,166.53,36874
2021-07-08,201.66,201.66,198.65,199.25,162.02,107452
2021-07-09,201.74,205.475,200.95,205.23,166.88,57050
2021-07-12,205.475,212.3,205.355,211.15,171.69,69990
2021-07-13,211.005,211.005,203.63,205.395,167.01,112444
2021-07-14,205.53,205.73,201.98,203.65,165.6,38969
2021-07-15,203.165,205.45,202.58,204.48,166.27,37808
2021-07-16,204.72,205.05,203.02,203.39,165.38,44622
2021-07-19,200.16,200.94,195.885,197.28,160.42,74440
2021-07-20,201.27,204.69,201.27,204.26,166.09,30377
2021-07-21,206.155,208.05,206.155,207.39,168.64,26820
2021-07-22,206.03,206.085,204.4,205.35,166.98,37829
2021-07-23,207.92,207.92,205.595,207.39,168.64,30795
2021-07-26,207.84,207.84,204.67,206.18,167.65,38079
2021-07-27,203.27,205.19,201.71,203.44,165.42,84940
2021-07-28,203.62,203.91,201.37,202.93,165.01,41409
2021-07-29,201.27,204.26,196.24,203.87,165.77,99935
2021-07-30,203.63,205.51,203.29,204.12,165.98,40884
2021-08-02,205.07,207.89,205.07,206.06,167.56,45814
2021-08-03,207.145,210.11,205.12,209.6,170.43,46884
2021-08-04,208.85,211.0,207.99,209.76,170.56,45177
2021-08-05,211.175,212.31,210.84,212.31,172.64,18329
2021-08-06,213.55,214.585,212.43,214.0,174.01,56915
2021-08-09,213.73,216.255,213.495,215.49,175.22,38469
2021-08-10,215.62,218.855,215.49,217.305,176.7,40972
2021-08-11,217.88,218.66,216.66,217.19,176.61,37998
2021-08-12,216.1,216.18,214.12,215.57,175.29,39692
2021-08-13,215.16,215.63,213.105,214.88,174.73,22104
2021-08-16,213.61,216.12,212.56,216.12,175.74,32126
2021-08-17,214.625,214.625,211.63,212.79,173.03,41792
2021-08-18,211.7,213.78,210.215,210.215,170.93,34673
2021-08-19,208.04,212.79,207.51,212.6,172.87,32853
2021-08-20,213.515,215.76,213.04,215.37,175.13,24401
2021-08-23,217.475,217.51,215.41,215.66,175.36,39084
2021-08-24,216.06,217.54,215.89,216.91,176.38,22644
2021-08-25,217.8,220.9,217.5,219.4,178.4,26266
2021-08-26,219.29,219.88,217.94,218.55,177.71,64879
2021-08-27,219.47,222.7,219.14,222.66,181.05,30087
2021-08-30,223.435,224.08,222.12,222.13,180.62,21967
2021-08-31,223.45,224.01,221.07,223.92,182.08,31471
2021-09-01,223.33,223.33,219.95,220.93,179.65,54676
2021-09-02,222.66,222.66,220.73,221.51,180.12,46888
2021-09-03,221.375,221.375,218.465,218.52,177.69,52226
2021-09-07,218.0,218.0,213.64,215.12,174.92,46950
2021-09-08,215.95,217.17,213.87,217.02,176.47,46461
2021-09-09,216.48,218.7,216.48,217.21,176.62,20961
2021-09-10,219.24,219.24,216.18,216.6,176.13,54637
2021-09-13,218.23,219.3,214.66,216.77,176.26,73959
2021-09-14,215.9,216.71,212.63,212.91,173.99,45998
2021-09-15,212.95,216.66,212.48,215.07,175.76,92442
2021-09-16,215.37,215.76,213.47,215.08,175.77,52579
2021-09-17,214.0,216.5,213.22,213.41,174.4,54140
2021-09-20,208.675,208.71,202.77,205.53,167.96,96531
2021-09-21,206.23,207.2,203.33,203.51,166.31,107955
2021-09-22,206.8,208.19,204.82,206.88,169.06,48105
2021-09-23,209.11,213.045,208.75,212.02,173.26,54670
2021-09-24,211.63,212.59,210.415,211.11,172.52,32872
2021-09-27,211.165,212.15,210.75,211.88,173.15,52904
2021-09-28,210.76,210.76,201.54,201.95,165.04,88908
2021-09-29,203.675,203.675,200.705,201.84,164.95,74903
2021-09-30,202.25,202.25,194.78,196.72,160.76,127778
2021-10-01,197.32,200.195,195.83,198.48,162.2,115556
2021-10-04,197.81,198.12,192.35,193.66,158.26,158960
2021-10-05,195.43,196.94,193.31,195.16,159.49,83771
2021-10-06,193.21,194.395,190.515,193.82,158.39,84961
2021-10-07,195.35,197.73,194.285,194.49,158.94,45274
2021-10-08,193.34,196.0,193.34,195.21,159.53,35406
2021-10-11,195.7,198.43,194.85,194.85,159.23,73802
2021-10-12,194.16,194.58,188.06,188.47,154.02,148425
2021-10-13,188.68,191.91,188.03,191.5,156.5,199380
2021-10-14,193.975,197.49,192.89,197.49,161.39,108020
2021-10-15,199.96,201.32,198.87,199.81,163.29,92409
2021-10-18,199.165,201.61,198.0,200.09,163.52,42748
2021-10-19,201.37,203.255,201.15,202.815,165.74,80674
2021-10-20,202.725,204.99,202.49,204.7,167.28,50398
2021-10-21,204.55,204.69,203.3,204.68,167.27,38058
2021-10-22,203.53,207.45,203.53,206.77,168.97,36926
2021-10-25,206.5,208.0,205.31,206.79,168.99,50137
2021-10-26,208.54,210.34,208.49,209.095,170.87,32141
2021-10-27,207.37,209.385,203.64,203.77,166.52,53861
2021-10-28,203.8,216.005,202.625,215.33,175.97,150840
2021-10-29,214.99,221.35,213.82,216.91,177.26,117251
2021-11-01,218.2,220.06,211.48,215.865,176.41,92300
2021-11-02,216.43,218.93,216.0,216.8,177.17,57119
2021-11-03,211.73,219.78,211.06,219.78,179.61,39736
2021-11-04,219.8,221.54,216.76,219.68,179.52,45232
2021-11-05,221.77,223.105,220.41,221.06,180.65,25067
2021-11-08,221.5,222.16,220.06,221.3,180.85,21683
2021-11-09,221.29,221.925,217.81,219.66,179.51,38319
2021-11-10,218.67,218.67,211.94,213.0,174.07,80933
2021-11-11,213.66,215.54,213.25,214.095,174.96,48400
2021-11-12,215.19,217.4,214.18,217.0,177.33,42088
2021-11-15,217.01,218.16,215.39,215.96,176.48,32717
2021-11-16,216.0,217.04,214.755,215.15,175.82,47174
2021-11-17,214.83,214.83,210.7,211.08,172.5,42435
2021-11-18,211.83,212.71,209.23,210.06,171.66,22064
2021-11-19,209.86,212.8,207.45,210.59,172.1,43143
2021-11-22,212.275,212.895,207.08,207.08,169.23,59976
2021-11-23,207.61,210.33,205.89,208.45,170.35,51614
2021-11-24,208.645,208.645,204.26,207.64,169.69,37324
2021-11-26,202.01,204.81,199.545,202.72,165.66,56786
2021-11-29,204.555,208.26,204.18,207.07,169.22,39507
2021-11-30,204.06,206.94,199.65,199.79,163.27,67702
2021-12-01,202.07,204.47,195.91,196.0,160.17,48300
2021-12-02,197.85,203.04,196.55,201.9,164.99,46533
2021-12-03,201.56,202.13,193.265,195.73,159.95,94641
2021-12-06,197.51,198.955,195.01,197.28,161.22,62868
2021-12-07,200.67,204.49,200.17,204.23,166.9,41012
2021-12-08,203.765,204.51,202.42,203.69,166.46,34309
2021-12-09,202.985,202.985,198.515,199.45,162.99,109350
2021-12-10,200.53,200.53,194.0,196.26,160.39,226319
2021-12-13,196.07,196.14,191.675,194.14,158.65,40805
2021-12-14,191.92,193.01,188.75,190.11,155.36,81417
2021-12-15,188.735,194.265,187.82,193.745,159.24,50894
2021-12-16,196.64,196.8,190.66,190.66,156.7,45883
2021-12-17,191.34,195.49,188.8,193.27,158.84,116435
2021-12-20,190.14,190.14,186.93,188.86,155.22,37100
2021-12-21,191.47,191.85,189.57,190.59,156.64,25467
2021-12-22,190.45,192.45,190.28,191.92,157.74,19631
2021-12-23,195.61,196.39,194.05,195.28,160.5,36170
2021-12-27,196.59,199.36,196.11,199.35,163.84,25429
2021-12-28,200.57,200.64,198.48,199.39,163.87,18601
2021-12-29,199.15,200.44,197.095,197.61,162.41,40838
2021-12-30,198.46,199.31,197.665,198.25,162.94,22753
2021-12-31,198.08,199.06,196.67,196.67,161.64,23918
2022-01-03,197.82,198.46,193.63,194.47,159.83,25884
2022-01-04,192.4,196.69,192.4,195.145,160.39,57977
2022-01-05,196.99,197.51,187.29,187.48,154.09,48655
2022-01-06,189.89,190.72,187.22,190.11,156.25,65475
2022-01-07,190.095,192.21,188.11,191.44,157.34,55188
2022-01-10,189.96,190.53,185.36,189.22,155.52,60984
2022-01-11,189.75,193.75,187.68,193.75,159.24,74416
2022-01-12,192.67,192.815,180.52,180.9,148.68,210760
2022-01-13,181.665,182.21,176.88,177.22,145.65,98929
2022-01-14,174.795,176.42,173.27,174.92,143.76,93038
2022-01-18,173.23,173.23,169.37,170.89,140.45,213565
2022-01-19,172.23,172.27,167.64,167.88,137.98,165917
2022-01-20,169.2,171.43,164.215,164.81,135.45,83968
2022-01-21,162.61,163.43,159.56,159.56,131.14,94360
2022-01-24,155.24,159.93,150.795,159.32,130.94,134356
2022-01-25,156.7,159.94,153.06,157.72,129.63,82792
2022-01-26,161.33,162.75,155.22,156.32,128.48,145179
2022-01-27,156.21,156.21,145.925,150.02,123.3,258954
2022-01-28,148.15,150.05,143.72,149.97,123.26,158952
2022-01-31,150.065,154.62,150.065,154.24,126.77,129879
2022-02-01,154.51,156.36,152.91,155.68,127.95,132923
