date,open,high,low,close,adj_close,volume
2021-06-09,83.65,83.9,81.915,81.915,69.44,99029
2021-06-10,83.22,84.17,81.305,81.91,69.44,94476
2021-06-11,82.53,82.83,81.24,81.28,68.9,72550
2021-06-14,81.865,82.645,81.24,81.92,69.44,137211
2021-06-15,82.45,83.75,81.57,82.24,69.72,128874
2021-06-16,81.99,82.4,79.8,81.47,69.06,118854
2021-06-17,81.2,81.75,77.69,78.53,66.57,172694
2021-06-18,76.42,78.19,75.92,76.05,64.47,207361
2021-06-21,76.855,80.06,76.65,79.95,67.77,128425
2021-06-22,79.67,81.52,78.67,81.02,68.68,157169
2021-06-23,82.05,82.98,80.725,80.855,68.54,199552
2021-06-24,81.635,81.98,80.71,81.75,69.3,181257
2021-06-25,81.86,82.54,80.74,82.09,69.59,202290
2021-06-28,81.7,81.73,77.43,77.73,65.89,170668
2021-06-29,78.2,78.49,76.85,76.91,65.2,182995
2021-06-30,77.12,78.44,77.01,78.105,66.21,185440
2021-07-01,79.65,79.74,77.59,77.77,65.93,106149
2021-07-02,77.815,78.435,76.93,78.06,66.17,66899
2021-07-06,77.695,77.695,74.65,74.69,63.32,178604
2021-07-07,74.38,75.06,71.83,72.28,61.27,319687
2021-07-08,70.91,71.74,69.58,70.185,59.5,208724
2021-07-09,71.41,72.42,70.33,72.29,61.28,173667
2021-07-12,71.13,72.67,70.65,71.595,60.69,83004
2021-07-13,71.1,71.47,70.08,70.41,59.69,167721
2021-07-14,70.675,71.24,67.41,67.675,57.37,138748
2021-07-15,66.82,68.34,66.34,66.755,56.59,129645
2021-07-16,67.14,67.14,64.44,64.875,55.0,208878
2021-07-19,62.16,62.68,60.83,61.9,52.47,212192
2021-07-20,62.22,63.53,61.035,62.555,53.03,155457
2021-07-21,63.5,65.64,63.49,64.91,55.03,143826
2021-07-22,64.545,64.58,62.93,63.44,53.78,177488
2021-07-23,63.47,64.09,63.155,63.71,54.01,181627
2021-07-26,64.81,65.95,64.665,65.495,55.52,129705
2021-07-27,64.78,65.625,63.96,65.57,55.58,218011
2021-07-28,66.155,67.97,65.54,67.3,57.05,215500
2021-07-29,68.95,69.485,67.36,67.655,57.35,212784
2021-07-30,66.72,68.195,66.35,66.975,56.78,159093
2021-08-02,67.085,69.19,66.305,66.39,56.28,125720
2021-08-03,66.3,69.03,66.09,69.01,58.5,197768
2021-08-04,66.33,66.86,64.185,64.185,55.19,154879
2021-08-05,64.935,66.615,64.91,65.71,56.51,88682
2021-08-06,66.89,66.98,65.65,66.49,57.18,78213
2021-08-09,65.48,66.33,65.1,65.965,56.73,73781
2021-08-10,66.36,67.16,65.89,66.905,57.53,86859
2021-08-11,66.57,66.85,65.265,66.85,57.49,108745
2021-08-12,66.895,67.28,66.105,67.255,57.83,75026
2021-08-13,66.9,67.43,66.15,66.23,56.95,39452
2021-08-16,65.28,65.305,63.965,64.53,55.49,47256
2021-08-17,63.39,64.535,62.94,63.475,54.58,61760
2021-08-18,63.31,64.63,62.2,62.22,53.5,86196
2021-08-19,60.725,61.375,59.335,60.25,51.81,93634
2021-08-20,59.41,60.385,58.86,60.21,51.78,100745
2021-08-23,61.9,63.16,61.86,63.1,54.26,112445
2021-08-24,64.1,65.51,63.755,65.23,56.09,108449
2021-08-25,65.155,66.82,64.975,66.35,57.06,112278
2021-08-26,65.66,66.53,65.365,65.45,56.28,50949
2021-08-27,66.41,67.945,66.41,67.11,57.71,77128
2021-08-30,67.81,67.88,66.0,66.0,56.76,97591
2021-08-31,65.81,66.965,65.26,66.3,57.01,137503
2021-09-01,66.465,66.655,63.26,63.93,54.98,165248
2021-09-02,64.88,65.99,63.97,65.22,56.08,82303
2021-09-03,65.19,65.91,64.16,64.71,55.65,64284
2021-09-07,64.95,66.41,64.77,65.54,56.36,78881
2021-09-08,66.05,66.21,63.67,63.67,54.75,134301
2021-09-09,62.95,65.05,62.95,63.55,54.65,88415
2021-09-10,64.23,64.345,62.76,63.395,54.52,126241
2021-09-13,64.67,66.68,64.39,66.19,56.92,91969
2021-09-14,67.1,67.1,64.48,64.71,55.65,88616
2021-09-15,65.48,66.685,65.16,66.54,57.22,138324
2021-09-16,66.49,66.61,65.395,65.44,56.27,72210
2021-09-17,65.29,66.44,65.07,65.6,56.41,88883
2021-09-20,63.5,64.16,61.9,62.96,54.14,67985
2021-09-21,63.6,63.945,62.315,63.33,54.46,54732
2021-09-22,64.8,66.61,64.64,65.33,56.18,142296
2021-09-23,65.61,67.335,65.61,67.18,57.77,89541
2021-09-24,66.5,67.97,66.44,67.61,58.14,69929
2021-09-27,69.33,71.72,69.33,70.81,60.89,136928
2021-09-28,71.95,72.9,71.03,71.19,61.22,158016
2021-09-29,70.655,70.98,69.655,70.27,60.43,82949
2021-09-30,70.25,71.445,69.44,70.54,60.66,104881
2021-10-01,70.91,73.98,70.91,73.595,63.29,130659
2021-10-04,74.185,75.63,73.81,75.05,64.54,137580
2021-10-05,75.89,76.8,72.98,74.29,63.88,145535
2021-10-06,73.44,75.8,72.41,75.365,64.81,148056
2021-10-07,75.79,77.01,75.61,75.88,65.25,128123
2021-10-08,76.66,78.805,76.63,78.61,67.6,121192
2021-10-11,80.0,80.13,77.79,77.79,66.89,115421
2021-10-12,77.81,79.675,77.72,78.95,67.89,109470
2021-10-13,78.21,78.66,76.93,78.14,67.19,83647
2021-10-14,79.49,79.98,78.94,79.18,68.09,136670
2021-10-15,79.925,80.29,78.6,78.66,67.64,82271
2021-10-18,79.22,79.705,77.58,78.1,67.16,161519
2021-10-19,78.845,80.295,78.51,80.155,68.93,149689
2021-10-20,79.66,81.31,79.44,81.11,69.75,153316
2021-10-21,80.91,83.075,80.34,82.085,70.59,185316
2021-10-22,82.08,82.42,79.435,80.985,69.64,138835
2021-10-26,82.51,82.86,81.61,81.89,70.42,54374
2021-10-27,80.98,81.13,78.265,78.61,67.6,97805
2021-10-28,78.56,79.66,77.67,78.43,67.44,104958
2021-10-29,78.46,78.46,76.68,77.35,66.52,119944
2021-11-01,77.89,78.9,77.61,78.02,67.09,120891
2021-11-02,77.7,78.05,75.645,75.85,65.23,84286
2021-11-03,74.92,77.105,74.45,75.9,65.27,155420
2021-11-04,76.97,77.39,75.09,76.34,65.65,205315
2021-11-05,77.73,78.01,76.2,77.94,67.02,103847
2021-11-08,78.55,78.94,77.3,77.77,66.88,98260
2021-11-09,77.63,78.44,77.03,78.26,67.3,137303
2021-11-10,77.83,78.72,76.63,76.84,66.08,155624
2021-11-11,76.94,78.04,76.43,77.2,66.39,121963
2021-11-12,76.66,77.69,75.86,76.59,65.86,254294
2021-11-15,76.95,77.9,76.11,77.35,66.52,234651
2021-11-16,77.91,79.01,77.23,77.92,67.01,208208
2021-11-17,76.53,76.8,73.3,73.445,63.96,123062
2021-11-18,73.4,73.815,72.035,72.92,63.5,163862
2021-11-19,71.5,71.74,68.665,69.05,60.13,203185
2021-11-22,68.91,72.12,68.91,70.62,61.5,150587
2021-11-23,71.275,73.13,71.275,72.55,63.18,133558
2021-11-24,72.14,73.54,72.13,72.96,63.54,215068
2021-11-26,68.28,68.875,66.3,67.96,59.18,241688
2021-11-29,69.75,70.5,68.02,68.15,59.35,116952
2021-11-30,66.74,67.52,65.71,66.9,58.26,212773
2021-12-01,69.05,70.92,67.27,67.27,58.58,206271
2021-12-02,67.27,71.62,66.72,71.24,62.04,170146
2021-12-03,72.275,72.49,69.19,69.67,60.67,154859
2021-12-06,70.835,71.4,69.67,70.4,61.31,115354
2021-12-07,72.13,73.52,71.34,71.57,62.33,132618
2021-12-08,72.06,72.27,70.52,70.72,61.59,108573
2021-12-09,69.905,70.875,69.69,70.27,61.2,104659
2021-12-10,71.17,71.4,69.66,70.86,61.71,88115
2021-12-13,70.05,70.07,67.95,68.22,59.41,101948
2021-12-14,67.785,70.21,67.69,68.21,59.4,121644
2021-12-15,68.33,68.65,66.39,68.21,59.4,103325
2021-12-16,68.97,70.55,68.61,68.725,59.85,96910
2021-12-17,68.77,69.585,67.16,68.7,59.83,137103
2021-12-20,66.63,68.86,65.17,68.69,59.82,206668
2021-12-21,69.55,71.38,69.55,71.33,62.12,158918
2021-12-22,71.15,72.06,70.73,71.3,62.09,58238
2021-12-23,72.38,73.31,71.75,71.75,62.49,131985
2021-12-27,71.3,73.15,70.52,73.15,63.7,141878
2021-12-28,73.67,75.01,73.605,74.52,64.9,108822
2021-12-29,74.11,74.82,73.51,74.665,65.02,55617
2021-12-30,74.8,75.35,74.01,74.29,64.7,66789
2021-12-31,73.96,75.64,73.96,75.1,65.4,93806
2022-01-03,75.57,78.21,75.57,77.12,67.16,114593
2022-01-04,78.11,79.39,77.95,78.53,68.39,171512
2022-01-05,79.37,79.83,77.88,78.2,68.1,117938
2022-01-06,80.27,80.47,79.08,80.17,69.82,119891
2022-01-07,80.75,81.395,79.95,81.0,70.54,101836
