date,open,high,low,close,adj_close,volume
2021-06-09,46.24,46.34,45.64,45.92,40.71,488230
2021-06-10,46.49,46.645,45.02,45.075,39.96,665805
2021-06-11,45.185,45.685,45.18,45.68,40.5,511788
2021-06-14,45.6,45.86,44.84,45.13,40.01,732088
2021-06-15,45.2,45.715,45.0,45.44,40.29,942863
2021-06-16,44.95,45.96,44.325,45.545,40.38,1642376
2021-06-17,45.84,45.94,42.665,42.81,37.95,1621839
2021-06-18,41.67,42.305,41.48,41.75,37.01,1665053
2021-06-21,42.28,43.305,42.23,43.255,38.35,757919
2021-06-22,43.265,43.87,42.86,43.54,38.6,695088
2021-06-23,43.51,44.3,43.51,43.95,38.96,586137
2021-06-24,44.21,45.42,44.21,45.16,40.04,883365
2021-06-25,45.51,46.65,45.235,46.37,41.11,1900412
2021-06-28,46.0,46.005,45.095,45.805,40.61,776835
2021-06-29,46.04,46.335,44.605,44.77,39.69,828032
2021-06-30,44.59,45.385,44.49,45.305,40.17,461526
2021-07-01,45.53,45.63,45.0,45.42,40.27,454059
2021-07-02,45.3,45.4,44.84,45.08,39.97,372114
2021-07-06,44.64,44.8,43.305,43.495,38.56,606352
2021-07-07,43.23,43.95,43.16,43.39,38.47,572950
2021-07-08,42.64,42.94,41.99,42.315,37.51,805868
2021-07-09,43.24,44.11,42.86,43.91,38.93,1002910
2021-07-12,43.18,44.25,42.955,44.16,39.15,396517
2021-07-13,43.75,44.115,43.015,43.21,38.31,760139
2021-07-14,43.625,45.13,42.51,44.95,39.85,1488626
2021-07-15,44.59,45.385,44.39,45.0,39.89,973816
2021-07-16,45.43,45.48,44.11,44.28,39.26,782797
2021-07-19,42.78,43.29,42.295,43.06,38.18,1187109
2021-07-20,43.13,45.14,42.895,44.85,39.76,1175235
2021-07-21,45.3,46.14,45.275,45.785,40.59,946879
2021-07-22,45.76,45.93,44.8,45.04,39.93,455998
2021-07-23,45.13,45.495,44.435,44.545,39.49,621853
2021-07-26,44.6,45.23,44.585,45.005,39.9,660453
2021-07-27,44.48,45.37,44.39,45.15,40.03,429776
2021-07-28,45.34,46.03,44.99,45.505,40.34,598003
2021-07-29,45.99,46.71,45.685,46.505,41.23,736328
2021-07-30,46.28,46.85,45.73,45.935,40.72,743966
2021-08-02,46.0,46.81,45.58,45.735,40.55,590569
2021-08-03,46.16,46.935,45.115,46.83,41.52,693803
2021-08-04,46.22,46.97,46.04,46.125,40.89,449279
2021-08-05,46.2,47.0,46.2,46.99,41.84,894208
2021-08-06,47.49,48.99,47.49,48.77,43.43,969057
2021-08-09,48.65,49.34,48.31,48.65,43.32,626999
2021-08-10,48.73,49.685,48.69,49.64,44.2,804899
2021-08-11,49.42,50.725,49.175,50.66,45.11,605745
2021-08-12,50.76,51.24,50.565,51.165,45.56,625884
2021-08-13,51.29,51.385,50.175,50.38,44.86,424569
2021-08-16,49.885,49.92,48.955,49.42,44.0,610208
2021-08-17,48.84,49.36,48.03,48.695,43.36,530173
2021-08-18,48.34,48.97,47.905,47.935,42.68,401897
2021-08-19,47.51,47.93,46.83,47.26,42.08,647522
2021-08-20,47.13,47.44,46.84,47.43,42.23,325337
2021-08-23,47.76,47.96,47.46,47.595,42.38,300999
2021-08-24,47.81,48.37,47.75,48.36,43.06,723346
2021-08-25,48.6,49.615,48.485,49.36,43.95,511775
2021-08-26,49.515,49.87,48.89,49.065,43.69,496721
2021-08-27,49.35,49.85,49.16,49.81,44.35,530062
2021-08-30,49.77,49.78,48.355,48.41,43.1,430488
2021-08-31,48.42,48.985,45.21,45.72,40.71,1960476
2021-09-01,45.7,45.96,43.275,43.43,38.67,2104090
2021-09-02,43.67,44.875,43.585,44.595,39.71,1227693
2021-09-03,44.39,44.475,43.82,44.175,39.33,458409
2021-09-07,44.32,44.955,44.265,44.295,39.44,515263
2021-09-08,44.055,44.525,43.63,43.8,39.0,593384
2021-09-09,43.87,44.7,43.8,44.345,39.49,603304
2021-09-10,45.02,45.24,44.21,44.3,39.45,494042
2021-09-13,44.6,45.8,44.6,45.75,40.74,717975
2021-09-14,45.96,46.925,45.76,46.06,41.01,907890
2021-09-15,45.88,46.89,45.88,46.64,41.53,636176
2021-09-16,47.015,47.24,46.01,46.29,41.22,522621
2021-09-17,45.87,46.68,45.82,46.525,41.43,674719
2021-09-20,45.15,45.87,44.85,45.82,40.8,806509
2021-09-21,45.95,46.35,45.75,45.83,40.81,713002
2021-09-22,46.68,47.67,46.61,47.07,41.91,830894
2021-09-23,47.47,48.12,47.155,47.805,42.57,613243
2021-09-24,47.82,48.565,47.78,47.915,42.66,997213
2021-09-27,48.4,48.93,46.18,47.56,42.35,1434249
2021-09-28,46.59,47.0,45.07,45.91,40.88,1400509
2021-09-29,46.44,47.15,45.96,47.04,41.89,528443
2021-09-30,47.075,47.15,46.13,46.42,41.33,658407
2021-10-01,46.68,47.3,46.495,47.01,41.86,435724
2021-10-04,47.01,47.69,46.675,47.01,41.86,550126
2021-10-05,47.5,48.45,47.36,47.95,42.7,691576
2021-10-06,47.5,48.075,47.075,47.88,42.63,413388
2021-10-07,48.38,48.585,47.55,47.765,42.53,869031
2021-10-08,47.9,48.32,47.67,48.0,42.74,598375
2021-10-11,48.19,48.435,47.23,47.28,42.1,263327
2021-10-12,47.295,47.515,46.525,46.66,41.55,376538
2021-10-13,46.41,46.56,45.23,46.03,40.99,725136
2021-10-14,46.71,46.86,44.85,45.29,40.33,1730644
2021-10-15,45.92,48.735,45.92,48.36,43.06,1382460
2021-10-18,48.2,49.685,48.14,49.42,44.0,688898
2021-10-19,49.64,50.35,49.295,50.35,44.83,855277
2021-10-20,50.07,50.385,49.74,50.16,44.66,542529
2021-10-21,50.04,50.59,49.765,50.34,44.82,492917
2021-10-22,50.55,51.11,50.49,50.665,45.11,473026
2021-10-26,50.67,51.1,50.37,50.65,45.1,578234
2021-10-27,50.25,50.96,49.96,50.04,44.56,487985
2021-10-28,50.36,51.39,50.36,51.34,45.71,1224408
2021-10-29,51.33,51.64,51.02,51.12,45.52,449037
2021-11-01,51.65,52.0,51.29,51.72,46.05,471994
2021-11-02,51.49,51.71,51.225,51.3,45.68,592863
2021-11-03,51.17,52.56,51.04,51.985,46.29,673508
2021-11-04,51.53,51.69,49.91,50.63,45.26,504468
2021-11-05,51.13,51.6,50.4,50.425,45.07,405457
2021-11-08,50.73,51.36,50.665,50.86,45.46,506525
2021-11-09,50.42,50.555,49.22,49.895,44.6,527302
2021-11-10,49.74,50.76,49.7,50.37,45.02,356864
2021-11-11,50.6,50.9,50.25,50.59,45.22,427818
2021-11-12,50.74,51.0,50.375,50.96,45.55,435994
2021-11-15,51.2,51.69,50.975,51.085,45.66,380749
2021-11-16,51.11,51.165,50.175,50.355,45.01,506551
2021-11-17,50.37,50.66,49.545,49.845,44.55,541189
2021-11-18,49.63,50.18,49.275,49.88,44.59,662994
2021-11-19,48.93,49.22,47.77,48.81,43.63,563279
2021-11-22,50.735,50.92,49.755,50.34,45.0,654034
2021-11-23,50.74,51.735,50.74,51.39,45.93,861322
2021-11-24,51.44,51.73,51.205,51.315,45.87,494213
2021-11-26,49.0,49.0,47.7,48.42,43.28,808225
2021-11-29,49.665,49.665,48.315,49.105,43.89,760481
2021-11-30,48.11,48.51,47.32,47.76,42.69,886769
2021-12-01,48.69,49.43,47.195,47.21,42.2,839863
2021-12-02,47.97,49.39,47.54,48.92,43.73,579120
2021-12-03,49.03,49.18,47.37,47.75,42.68,1156175
2021-12-06,48.95,49.87,48.715,48.82,43.64,802908
2021-12-07,49.41,50.505,49.35,50.27,44.93,680029
2021-12-08,50.14,50.28,49.315,49.42,44.17,766770
2021-12-09,48.88,50.025,48.82,49.67,44.4,717313
2021-12-10,50.3,50.565,49.585,50.22,44.89,793760
2021-12-13,49.95,49.95,48.435,48.58,43.42,560788
2021-12-14,48.72,49.48,48.62,48.915,43.72,412143
2021-12-15,49.105,49.25,48.14,48.93,43.74,477533
2021-12-16,49.715,50.815,49.34,50.24,44.91,857040
2021-12-17,49.7,49.72,47.87,47.915,42.83,1030797
2021-12-20,46.89,47.16,46.255,46.835,41.86,692405
2021-12-21,47.63,48.13,47.36,47.82,42.74,371200
2021-12-22,47.73,48.305,47.645,48.02,42.92,377311
2021-12-23,48.37,48.88,48.24,48.36,43.23,229865
2021-12-27,48.52,48.81,48.105,48.77,43.59,233572
2021-12-28,48.63,49.19,48.365,48.43,43.29,403650
2021-12-29,48.51,48.85,48.38,48.41,43.27,227966
2021-12-30,48.55,48.835,48.045,48.11,43.0,323535
2021-12-31,48.0,48.32,47.84,47.96,42.87,177746
2022-01-03,48.915,50.805,48.915,50.73,45.35,481685
2022-01-04,51.58,53.14,51.52,52.775,47.17,1261592
2022-01-05,53.06,53.13,51.995,52.31,46.76,903627
2022-01-06,53.15,53.65,52.66,53.65,47.96,626602
2022-01-07,53.89,55.175,53.8,54.8,48.98,883956
2022-01-10,55.5,56.05,54.495,55.34,49.47,879948
2022-01-11,55.58,56.12,55.23,56.1,50.15,1128172
2022-01-12,56.46,56.69,55.76,56.42,50.43,950732
2022-01-13,56.6,57.17,55.76,56.09,50.14,758087
2022-01-14,56.85,58.86,56.425,58.09,51.92,1461407
2022-01-18,57.73,58.105,56.51,56.69,50.67,1040778
2022-01-19,57.14,57.67,55.475,55.58,49.68,792934
2022-01-20,55.62,56.35,54.91,54.99,49.15,990380
2022-01-21,54.35,54.985,53.15,53.72,48.02,873353
2022-01-24,52.77,52.79,51.34,52.425,46.86,238069
2022-01-25,52.69,53.7,51.565,53.575,47.89,936745
2022-01-26,54.0,54.9,53.62,54.245,48.49,562645
2022-01-27,54.6,55.48,53.24,53.75,48.04,757301
2022-01-28,53.56,54.21,52.77,54.19,48.44,638909
2022-01-31,53.68,54.05,53.035,53.805,48.09,847258
2022-02-01,54.68,55.8,54.01,55.595,49.69,591199
2022-02-02,55.27,56.04,54.96,55.92,49.98,705361
2022-02-03,55.93,56.26,54.725,55.16,49.53,743458
2022-02-04,56.04,57.025,55.54,56.33,50.58,714315
2022-02-07,56.41,57.875,55.93,57.35,51.49,639118
2022-02-08,57.97,58.98,57.815,58.74,52.74,504464
2022-02-09,58.56,59.38,58.345,59.06,53.03,615639
2022-02-10,59.57,60.28,58.81,59.04,53.01,724985
2022-02-11,58.52,60.235,57.92,58.31,52.35,679700
2022-02-14,58.56,58.595,57.23,57.83,51.92,601666
2022-02-15,59.02,59.31,58.09,58.36,52.4,352476
2022-02-16,57.87,58.835,57.75,58.15,52.21,588413
2022-02-17,57.19,57.5,55.76,56.14,50.41,535922
2022-02-18,56.11,56.695,55.38,55.62,49.94,374532
2022-02-22,55.57,56.11,54.71,55.275,49.63,753319
2022-02-23,55.56,56.0,53.76,53.95,48.44,760242
2022-02-24,51.74,52.82,50.69,52.73,47.34,1129489
2022-02-25,53.17,54.435,53.12,54.12,48.59,870491
2022-02-28,52.63,53.4,52.21,53.33,47.88,763203
2022-03-01,52.435,52.72,50.01,50.26,45.13,1290472
2022-03-02,51.15,52.8,51.07,52.22,46.89,803046
2022-03-03,52.345,52.52,50.98,51.26,46.02,543198
2022-03-04,50.03,50.035,48.18,48.8,43.82,768715
2022-03-07,48.55,48.55,45.775,45.82,41.14,1550062
2022-03-09,49.02,49.745,48.385,49.15,44.13,819092
2022-03-10,48.435,49.55,47.85,49.01,44.0,826160
2022-03-11,49.47,50.0,48.435,48.49,43.54,697298
2022-03-14,49.73,50.375,49.305,49.85,44.76,1096302
2022-03-15,50.15,50.56,49.34,50.09,44.97,533466
2022-03-16,51.1,52.21,50.735,51.6,46.33,1211873
2022-03-17,50.97,51.49,50.225,51.48,46.22,939457
2022-03-18,50.85,51.54,50.04,51.38,46.13,1462067
2022-03-21,51.715,51.78,50.61,51.13,45.91,496890
2022-03-22,52.44,54.185,52.44,53.39,47.94,607755
2022-03-23,52.85,53.045,51.1,51.11,45.89,898629
2022-03-24,51.72,51.79,50.91,51.33,46.09,784586
2022-03-25,51.5,52.58,51.425,52.56,47.19,507225
2022-03-28,52.03,52.11,50.79,51.81,46.52,699322
2022-03-29,53.06,53.29,51.525,51.61,46.34,593323
2022-03-30,51.57,51.67,49.8,50.1,44.98,723552
2022-03-31,49.92,50.42,48.44,48.44,43.49,1015379
2022-04-01,49.26,49.45,47.83,48.7,43.73,1519037
2022-04-04,48.365,48.655,47.65,48.46,43.51,1133702
2022-04-05,47.81,48.9,47.8,48.14,43.22,1028468
2022-04-06,47.74,48.04,47.405,47.91,43.02,655672
2022-04-07,48.19,48.28,46.585,47.75,42.87,763490
2022-04-08,47.975,48.88,47.95,48.74,43.76,556498
2022-04-11,48.93,50.19,48.93,49.325,44.29,889752
2022-04-12,49.39,49.9,48.005,48.43,43.48,522060
2022-04-13,47.5,48.61,47.45,48.57,43.61,651025
2022-04-14,45.85,47.82,45.03,46.355,41.62,2108763
2022-04-18,46.24,47.58,46.16,47.16,42.34,885082
2022-04-19,47.36,48.175,47.34,47.82,42.94,598535
2022-04-20,48.41,49.37,48.36,48.65,43.68,680499
2022-04-21,49.19,49.485,47.605,47.79,42.91,644608
2022-04-22,47.655,47.915,46.26,46.35,41.62,465889
2022-04-25,45.74,45.96,44.53,45.83,41.15,518420
2022-04-26,45.06,45.99,44.57,44.57,40.02,555804
