date,open,high,low,close,adj_close,volume
2021-06-09,174.94,176.905,174.66,176.63,167.93,28060
2021-06-10,177.25,182.8,177.01,182.12,173.15,100829
2021-06-11,182.19,182.62,179.65,182.26,173.28,89589
2021-06-14,181.825,184.73,181.19,184.49,175.4,38254
2021-06-15,184.42,186.02,183.96,185.61,176.47,45972
2021-06-16,186.0,186.84,183.46,184.17,175.1,74239
2021-06-17,184.15,186.9,183.92,186.43,177.25,60439
2021-06-18,185.77,186.92,184.55,185.44,176.31,97472
2021-06-21,185.505,187.26,183.94,186.61,177.42,49720
2021-06-22,186.41,186.93,185.96,186.64,177.45,32667
2021-06-23,185.52,186.25,185.375,186.09,176.92,55342
2021-06-24,186.83,187.33,184.98,185.38,176.25,46844
2021-06-25,185.51,187.155,184.67,187.155,177.94,40856
2021-06-28,187.365,187.9,185.64,187.07,177.86,106022
2021-06-29,187.295,188.165,186.43,188.075,178.81,36648
2021-06-30,188.215,188.215,185.63,186.35,177.17,58750
2021-07-01,186.805,189.44,186.78,189.44,180.11,90667
2021-07-02,190.21,193.03,189.96,192.77,183.28,49928
2021-07-06,192.63,194.16,192.205,194.03,184.47,57697
2021-07-07,193.62,197.62,193.59,197.62,187.89,105565
2021-07-08,196.16,197.11,193.45,196.95,187.25,101137
2021-07-09,197.41,198.38,196.21,197.47,187.74,70096
2021-07-12,197.97,199.23,197.6,198.31,188.54,51264
2021-07-13,199.2,200.57,198.36,199.44,189.62,181167
2021-07-14,199.825,202.03,199.58,201.28,191.37,68080
2021-07-15,200.0,201.16,199.03,200.24,190.38,66768
2021-07-16,199.66,199.89,197.6,199.72,189.88,108560
2021-07-19,198.55,199.38,195.69,197.93,188.18,93473
2021-07-20,198.01,201.44,197.83,200.14,190.52,77950
2021-07-21,200.565,200.565,197.14,198.05,188.53,91036
2021-07-22,198.345,200.87,198.345,200.59,190.95,96511
2021-07-23,201.37,203.9,200.885,203.63,193.85,36619
2021-07-26,202.79,202.79,200.25,200.82,191.17,44078
2021-07-27,201.665,202.62,201.08,201.89,192.19,43425
2021-07-28,202.3,203.85,201.63,203.25,193.48,39437
2021-07-29,204.5,205.53,203.67,204.09,194.28,43989
2021-07-30,203.305,204.15,202.28,202.66,192.92,99088
2021-08-02,203.61,204.36,201.54,202.13,192.42,70382
2021-08-03,203.18,204.325,202.415,204.04,194.24,84341
2021-08-04,203.72,206.895,203.72,204.87,195.03,63534
2021-08-05,196.27,203.96,196.14,203.9,194.1,152114
2021-08-06,203.615,203.765,200.18,201.795,192.1,53390
2021-08-09,202.81,202.81,198.8,199.77,190.17,40608
2021-08-10,200.21,200.785,198.215,198.78,189.23,51627
2021-08-11,199.63,199.63,197.0,197.38,187.9,49493
2021-08-12,197.45,200.365,197.45,199.74,190.14,32891
2021-08-13,200.58,201.56,199.73,201.54,191.86,34434
2021-08-16,202.07,204.82,201.355,204.82,194.98,27534
2021-08-17,204.615,206.625,204.615,206.61,196.68,91726
2021-08-18,206.175,206.72,203.21,203.24,193.47,34199
2021-08-19,203.12,207.89,202.96,206.435,196.52,45499
2021-08-20,207.185,208.23,206.78,207.065,197.12,44027
2021-08-23,207.785,208.45,206.05,206.52,196.6,43980
2021-08-24,206.54,206.54,204.565,205.02,195.17,31732
2021-08-25,204.485,205.025,203.08,204.42,194.6,36532
2021-08-26,205.045,205.105,203.41,204.07,194.26,36235
2021-08-27,204.81,206.01,203.62,203.82,194.03,40733
2021-08-30,204.77,206.95,204.655,205.85,195.96,35443
2021-08-31,205.735,205.945,203.17,204.75,194.91,31814
2021-09-01,204.17,206.37,203.48,206.37,196.45,47656
2021-09-02,207.22,209.24,206.83,209.21,199.16,52785
2021-09-03,208.78,210.07,207.25,209.725,199.65,45764
2021-09-07,209.675,209.675,205.59,207.86,197.87,34707
2021-09-08,207.53,209.38,206.65,209.255,199.2,56926
2021-09-09,209.99,209.99,205.95,206.07,196.17,45333
2021-09-10,206.89,207.81,206.45,207.1,197.15,40535
2021-09-13,208.56,208.56,202.32,204.94,195.09,82866
2021-09-14,205.24,206.44,203.37,203.48,193.7,78405
2021-09-15,203.94,205.16,202.51,204.04,194.24,76427
2021-09-16,203.87,203.87,201.57,202.78,193.04,39083
2021-09-17,201.3,202.305,197.885,198.51,188.97,179608
2021-09-20,196.71,199.79,196.62,198.605,189.06,60350
2021-09-21,199.8,201.73,199.8,201.16,191.49,56824
2021-09-22,202.15,203.56,200.41,201.46,191.78,73128
2021-09-23,203.23,205.93,203.23,204.75,194.91,44998
2021-09-24,204.2,205.46,203.82,204.75,194.91,33379
2021-09-27,203.99,203.99,196.66,197.89,188.38,114669
2021-09-28,195.9,195.9,191.37,192.73,183.47,98868
2021-09-29,194.29,196.49,192.68,194.96,185.59,74473
2021-09-30,196.33,198.005,194.08,194.16,184.83,67873
2021-10-01,194.46,197.4,192.75,196.15,186.73,87110
2021-10-04,195.75,195.83,190.93,193.69,184.38,115433
2021-10-05,195.15,197.495,193.72,196.41,186.97,52361
2021-10-06,195.485,195.965,193.525,195.76,186.35,67493
2021-10-07,198.22,201.35,198.22,199.0,189.44,38442
2021-10-08,199.14,199.14,196.47,197.95,188.44,22988
2021-10-11,196.54,198.93,196.1,197.69,188.19,42464
2021-10-12,198.835,198.835,195.81,197.15,187.68,40657
2021-10-13,197.885,198.94,195.865,197.52,188.03,57501
2021-10-14,199.695,201.52,198.87,200.41,190.78,32407
2021-10-15,201.68,202.705,200.89,202.19,192.47,34956
2021-10-18,201.89,202.88,200.83,202.75,193.01,60298
2021-10-19,203.715,206.15,203.715,204.43,194.61,32441
2021-10-20,205.5,206.54,204.975,206.25,196.34,44969
2021-10-21,206.87,208.78,205.505,208.63,198.61,60523
2021-10-22,208.02,208.79,207.06,208.545,198.52,48483
2021-10-26,210.385,211.735,207.995,210.56,200.44,55078
2021-10-27,210.41,211.07,209.03,209.485,199.42,61167
2021-10-28,209.94,213.42,209.94,212.73,202.75,55965
2021-10-29,212.99,216.81,212.99,216.17,206.03,42061
2021-11-01,215.86,217.58,213.1,213.65,203.63,77390
2021-11-02,214.35,215.325,211.31,212.29,202.33,99079
2021-11-03,212.01,212.41,208.78,210.99,201.09,90425
2021-11-04,213.785,217.9,213.66,217.81,207.59,100864
2021-11-05,218.115,218.395,214.77,217.04,206.86,100475
2021-11-08,218.135,218.35,216.045,217.73,207.52,50904
2021-11-09,218.155,220.25,217.42,220.25,209.92,50035
2021-11-10,219.13,220.735,216.04,216.55,206.39,70728
2021-11-11,217.065,217.065,215.425,215.7,205.58,146032
2021-11-12,216.505,217.605,215.585,216.91,206.73,92435
2021-11-15,216.96,216.96,215.7,215.88,205.75,50389
2021-11-16,216.13,221.5,216.13,220.28,209.95,46719
2021-11-17,221.325,222.57,217.43,221.89,211.48,78359
2021-11-18,224.7,226.12,223.52,225.54,214.96,103970
2021-11-19,226.73,227.72,224.33,226.39,215.77,71284
2021-11-22,227.665,228.85,224.38,224.38,213.85,64611
2021-11-23,223.555,224.675,221.37,223.7,213.21,30738
2021-11-24,223.91,223.91,221.13,223.17,212.7,49057
2021-11-26,220.5,224.73,218.64,219.53,209.23,43146
2021-11-29,221.99,225.51,220.98,223.55,213.06,45983
