date,open,high,low,close,adj_close,volume
2020-07-27,374.955,379.51,373.935,379.44,91.85,201123
2020-07-28,377.19,378.05,373.155,373.19,90.33,151665
2020-07-29,375.305,380.83,375.305,380.09,92.0,137522
2020-07-30,376.83,385.02,375.35,384.98,93.19,323972
2020-07-31,411.725,425.6,403.675,425.4,102.97,892852
2020-08-03,432.91,446.41,431.75,435.24,105.35,1265756
2020-08-04,436.555,443.085,433.69,438.71,106.19,235275
2020-08-05,437.58,441.285,435.79,440.24,106.56,242982
2020-08-06,441.66,457.47,440.6,455.19,110.18,261363
2020-08-07,452.78,453.69,441.25,444.38,107.76,396875
2020-08-10,450.01,455.065,440.0,451.01,109.37,505233
2020-08-11,447.875,449.815,436.49,437.58,106.11,472121
2020-08-12,441.875,453.035,441.23,452.23,109.66,370523
2020-08-13,457.79,464.14,455.99,459.66,111.46,363205
2020-08-14,458.78,459.935,452.2,459.6,111.45,698502
2020-08-17,464.045,464.28,455.91,458.73,111.24,538345
2020-08-18,457.89,463.99,456.125,462.23,112.09,226447
2020-08-19,463.92,468.44,462.48,463.07,112.29,283211
2020-08-20,463.22,473.52,463.155,473.32,114.78,257375
2020-08-21,478.01,499.4,477.09,497.66,120.68,774781
2020-08-24,514.79,515.13,495.8,503.19,122.02,1001001
2020-08-25,498.79,500.71,492.46,499.75,121.19,453459
2020-08-26,504.94,507.9,500.38,506.07,122.72,324823
2020-08-27,508.59,509.88,495.45,500.28,121.31,450928
2020-08-28,504.18,505.75,498.345,499.345,121.09,455748
2020-08-31,127.64,131.0,126.365,129.11,125.23,2563119
2020-09-01,132.8,134.78,130.58,134.46,130.42,1773723
2020-09-02,137.66,137.96,127.0,131.58,127.63,2997690
2020-09-03,126.86,128.78,120.5,121.0,117.37,2676499
2020-09-04,120.07,123.68,110.92,121.11,117.47,3867367
2020-09-08,113.7,118.91,112.69,112.75,109.36,1622183
2020-09-09,117.21,119.12,115.405,117.34,113.82,2158166
2020-09-10,120.18,120.315,112.51,113.465,110.06,1143907
2020-09-11,114.61,115.185,110.04,112.08,108.71,893292
2020-09-14,114.74,115.895,112.83,115.3,111.84,1230251
2020-09-15,118.68,118.79,113.65,115.52,112.05,1000868
2020-09-16,115.31,115.955,112.12,112.14,108.77,1113898
2020-09-17,109.44,112.18,108.75,110.41,107.09,1561236
2020-09-18,110.37,110.73,106.155,106.86,103.65,1618432
2020-09-21,104.4,110.13,103.34,110.13,106.82,1473785
2020-09-22,112.63,112.85,109.2,111.8,108.44,1303096
2020-09-23,111.635,112.085,106.8,107.03,103.82,800868
2020-09-24,105.17,110.165,105.01,108.11,104.86,1992800
2020-09-25,108.46,112.44,107.765,112.345,108.97,885266
2020-09-28,115.24,115.3,112.79,115.0,111.55,808061
2020-09-29,114.59,115.28,113.63,114.13,110.7,859040
2020-09-30,113.71,117.195,113.705,115.84,112.36,587065
2020-10-01,117.67,117.67,115.84,116.945,113.43,1799522
2020-10-02,112.83,115.37,112.24,113.01,109.62,1941952
2020-10-05,113.93,116.59,113.57,116.54,113.04,1739090
2020-10-06,115.72,116.09,112.26,113.21,109.81,2027008
2020-10-07,114.6,115.48,114.14,115.06,111.61,1339515
2020-10-08,116.27,116.38,114.61,114.965,111.51,1680386
2020-10-09,115.28,116.995,114.96,116.945,113.43,2214677
2020-10-12,120.07,125.18,119.31,124.41,120.67,5236441
2020-10-13,125.23,125.38,119.7,121.09,117.45,4680281
2020-10-14,120.9,122.98,119.63,121.15,117.51,2515020
2020-10-15,118.72,121.2,118.18,120.68,117.06,1971121
2020-10-16,121.22,121.53,118.87,118.98,115.41,2678256
2020-10-19,119.96,120.385,115.66,116.03,112.55,2387641
2020-10-20,116.14,118.98,115.65,117.48,113.95,2196211
2020-10-21,116.67,118.68,116.49,116.88,113.37,1815133
2020-10-22,117.41,118.01,114.6,115.8,112.32,2362788
2020-10-23,116.36,116.55,114.29,115.03,111.58,2127207
2020-10-26,114.01,116.54,112.89,115.13,111.67,2018832
2020-10-27,115.46,117.27,114.57,116.6,113.1,1828389
2020-10-28,114.99,115.42,111.16,111.18,107.84,2912788
2020-10-29,112.37,116.84,112.22,115.01,111.56,1989733
2020-10-30,111.06,111.98,107.755,109.11,105.83,3364089
2020-11-02,109.17,110.67,107.345,108.7,105.44,1813903
2020-11-03,109.66,111.45,108.755,110.51,107.19,1678600
2020-11-04,113.985,115.565,112.44,115.0,111.55,1881211
2020-11-05,118.02,119.585,116.885,119.18,115.6,1474175
2020-11-06,118.25,119.175,116.135,118.695,115.33,1102772
2020-11-09,120.44,121.98,116.09,116.09,112.8,2331457
2020-11-10,115.55,117.58,114.145,116.01,112.72,1791736
2020-11-11,117.2,119.56,116.485,119.56,116.17,1292119
2020-11-12,119.61,120.52,118.575,119.23,115.85,1135508
2020-11-13,119.41,119.66,117.9,119.3,115.92,1015692
2020-11-16,118.92,120.98,118.155,120.25,116.84,1324505
2020-11-17,119.53,120.67,119.02,119.37,115.99,913106
2020-11-18,118.61,119.765,118.0,118.0,114.65,820336
2020-11-19,117.41,118.98,116.82,118.76,115.39,740150
2020-11-20,118.64,118.76,117.305,117.335,114.01,1006256
2020-11-23,117.18,117.62,113.755,114.01,110.78,2854484
2020-11-24,113.96,115.85,112.61,115.11,111.85,1703070
2020-11-25,115.53,116.75,115.2,116.025,112.74,948767
2020-11-27,116.56,117.475,116.22,116.59,113.28,577016
2020-11-30,116.86,120.97,116.82,119.53,116.14,2431583
2020-12-01,121.01,123.46,120.02,122.68,119.2,1541852
2020-12-02,122.03,123.37,120.9,123.04,119.55,1368044
2020-12-03,123.51,123.78,122.22,122.75,119.27,1193044
2020-12-04,122.6,122.86,121.52,122.25,118.78,1332869
2020-12-07,122.36,124.57,122.26,123.75,120.24,1291978
2020-12-08,124.37,124.975,123.1,124.42,120.89,1115979
2020-12-09,124.49,125.95,121.0,121.74,118.29,1836800
2020-12-10,120.49,123.84,120.2,123.32,119.82,862214
2020-12-11,122.245,122.76,120.56,122.41,118.94,988882
2020-12-14,122.59,123.32,121.71,121.72,118.27,771999
2020-12-15,124.34,127.9,124.13,127.9,124.27,1901342
2020-12-16,127.41,128.36,126.56,127.735,124.11,1615095
2020-12-17,128.9,129.56,128.075,128.615,124.97,1062008
2020-12-18,128.96,129.09,126.135,126.93,123.33,1444927
2020-12-21,125.05,128.31,123.45,128.09,124.46,1160475
2020-12-22,131.65,134.395,129.68,131.875,128.14,2201284
2020-12-23,132.15,132.41,130.79,131.04,127.32,887108
2020-12-24,131.36,133.445,131.13,131.99,128.25,356460
2020-12-28,134.01,137.335,133.53,136.72,132.84,1176806
2020-12-29,138.06,138.78,134.35,134.905,131.08,1632202
2020-12-30,135.62,135.98,133.4,133.76,129.97,996770
2020-12-31,134.04,134.74,131.72,132.65,128.89,1079999
2021-01-04,133.52,133.59,126.82,129.58,125.91,1549553
2021-01-05,128.96,131.73,128.46,130.965,127.25,804637
2021-01-06,127.57,131.04,126.41,126.7,123.11,2202534
2021-01-07,128.37,131.625,127.89,130.88,127.17,1440239
2021-01-08,132.4,132.62,130.25,132.14,128.39,1340001
2021-01-11,129.23,130.11,128.5,128.94,125.28,1168071
2021-01-12,128.43,129.69,126.91,128.88,125.23,810812
2021-01-13,128.69,131.44,128.5,131.03,127.31,1341043
2021-01-14,130.77,130.99,128.795,129.1,125.44,969718
2021-01-15,128.67,130.2,127.01,127.32,123.71,1159284
2021-01-19,127.75,128.69,126.95,127.77,124.15,1051940
2021-01-20,128.56,132.49,128.56,132.015,128.27,957072
2021-01-21,133.79,137.335,133.59,136.81,132.93,1994077
2021-01-22,136.28,139.845,135.02,139.05,135.11,1820717
2021-01-25,143.0,145.04,136.55,142.92,138.87,1957404
2021-01-26,143.54,144.3,141.415,143.3,139.24,1242288
2021-01-27,143.41,144.25,140.51,142.02,137.99,1965025
2021-01-28,139.51,141.98,136.72,136.72,132.84,2645618
2021-01-29,135.88,136.71,130.23,131.78,128.04,2609717
2021-02-01,133.665,135.38,130.96,134.06,130.26,1385761
2021-02-02,135.75,136.29,134.625,134.96,131.13,1357724
2021-02-03,135.63,135.63,133.64,134.01,130.21,1448643
2021-02-04,136.33,137.39,134.6,137.39,133.49,1095376
2021-02-05,137.36,137.4,135.87,136.81,133.13,947893
2021-02-08,136.02,136.92,134.93,136.92,133.24,848472
2021-02-09,136.6,137.87,135.86,136.05,132.39,1014228
2021-02-10,136.47,136.97,134.45,135.38,131.74,872788
2021-02-11,135.88,136.37,133.79,135.24,131.6,1207274
2021-02-12,134.3,135.51,133.72,135.42,131.78,877300
2021-02-16,135.49,136.0,132.83,133.215,129.63,1365710
2021-02-17,131.27,132.21,129.5,130.885,127.36,1416967
2021-02-18,129.24,129.995,127.44,129.65,126.16,1831522
2021-02-19,130.18,130.695,128.83,129.815,126.32,1186837
2021-02-22,128.02,129.61,125.6,126.005,122.62,1874997
2021-02-23,123.75,126.695,118.43,125.7,122.32,3008728
2021-02-24,124.765,125.55,122.23,125.48,122.1,1940164
2021-02-25,124.62,126.45,120.56,120.995,117.74,2152710
2021-02-26,122.56,124.83,121.29,121.3,118.04,2162991
2021-03-01,123.745,127.925,122.835,127.83,124.39,2395403
2021-03-02,128.35,128.71,125.025,125.19,121.82,1464863
2021-03-03,124.76,125.69,121.88,122.1,118.82,1716724
2021-03-04,121.755,123.55,118.63,120.12,116.89,2622551
2021-03-05,120.96,121.93,117.575,121.22,117.96,3170405
2021-03-08,120.94,121.0,116.215,116.22,113.09,3022020
2021-03-09,119.07,122.04,118.8,120.925,117.67,2461524
2021-03-10,121.64,122.17,119.46,119.97,116.74,2111001
2021-03-11,122.315,123.18,121.26,121.89,118.61,2065491
2021-03-12,120.365,121.165,119.17,120.94,117.69,1401592
2021-03-15,121.41,124.0,120.5,123.88,120.55,930289
2021-03-16,125.7,127.21,124.715,125.66,122.28,2196895
2021-03-17,124.08,125.85,122.35,124.66,121.31,1807218
2021-03-18,122.86,123.175,120.325,120.56,117.32,2073599
2021-03-19,119.91,121.4,119.68,119.91,116.68,2166289
2021-03-22,120.35,123.865,120.32,123.425,120.1,2035812
2021-03-23,123.29,124.23,122.15,122.595,119.3,1753588
2021-03-24,122.87,122.89,120.11,120.11,116.88,2449761
2021-03-25,119.455,121.65,119.0,120.6,117.36,1973035
