date,open,high,low,close,adj_close,volume
2020-07-27,98.72,100.27,98.44,100.0,90.04,180589
2020-07-28,99.935,100.73,99.295,99.93,89.97,151940
2020-07-29,100.505,102.87,100.385,102.51,92.3,128897
2020-07-30,100.88,101.58,100.25,101.5,91.39,80309
2020-07-31,101.26,101.26,99.12,100.71,90.68,79113
2020-08-03,101.25,101.49,100.235,100.68,90.65,85737
2020-08-04,100.3,100.67,99.29,99.89,89.94,84419
2020-08-05,100.04,102.335,99.975,102.13,91.95,236538
2020-08-06,101.605,101.74,99.95,101.74,91.6,206026
2020-08-07,101.53,102.28,100.58,101.15,91.07,63707
2020-08-10,100.825,101.04,100.03,100.03,90.06,102099
2020-08-11,100.085,100.17,98.69,99.055,89.19,104020
2020-08-12,99.715,101.095,99.715,100.68,90.65,34871
2020-08-13,100.345,101.23,100.04,101.11,91.04,78438
2020-08-14,100.9,101.085,99.59,99.995,90.03,47216
2020-08-17,100.43,101.42,100.335,100.71,90.68,83200
2020-08-18,100.925,101.69,100.47,100.925,90.87,146155
2020-08-19,101.54,101.54,100.385,100.55,90.53,59734
2020-08-20,100.05,102.0,100.05,101.62,91.5,53025
2020-08-21,101.33,102.535,100.92,102.48,92.27,74886
2020-08-24,102.9,103.205,100.76,101.33,91.23,64986
2020-08-25,101.6,102.88,101.57,102.55,92.33,68106
2020-08-26,101.9,103.265,101.3,103.23,92.94,31967
2020-08-27,111.16,113.98,109.56,111.315,100.22,967459
2020-08-28,113.54,114.15,109.47,110.77,99.73,447668
2020-08-31,110.53,111.69,109.33,109.51,98.6,87065
2020-09-01,108.95,109.035,105.58,106.54,95.93,173022
2020-09-02,106.55,109.86,106.02,109.51,98.6,143991
2020-09-03,108.59,108.61,104.33,105.52,95.01,308934
2020-09-04,105.5,105.695,102.45,104.21,93.83,118590
2020-09-08,103.06,103.785,102.55,102.8,92.56,59975
2020-09-09,104.48,106.885,104.26,105.77,95.23,57402
2020-09-10,105.31,105.435,103.735,104.07,93.7,83326
2020-09-11,105.015,105.685,104.35,104.775,94.34,226769
2020-09-14,105.74,106.59,105.26,105.75,95.21,78009
2020-09-15,106.94,107.48,106.2,106.55,95.93,77974
2020-09-16,106.915,107.365,105.68,105.68,95.15,174532
2020-09-17,104.69,106.75,104.69,106.75,96.11,146241
2020-09-18,106.56,107.94,106.245,106.94,96.29,86204
2020-09-21,105.74,106.41,104.47,105.94,95.38,85331
2020-09-22,105.52,105.52,103.615,104.76,94.32,222556
2020-09-23,104.795,104.795,102.28,102.74,92.5,84469
