date,open,high,low,close,adj_close,volume
2020-07-27,106.25,106.33,104.84,105.695,95.24,10669
2020-07-28,105.865,106.51,105.55,106.0,95.52,15668
2020-07-29,106.82,107.855,105.69,107.42,96.8,10366
2020-07-30,105.66,106.13,104.27,105.25,94.84,16136
2020-07-31,105.24,107.3,105.23,107.22,96.62,22279
2020-08-03,107.33,108.285,106.815,107.3,96.69,30541
2020-08-04,107.075,107.92,106.555,107.18,96.58,19412
2020-08-05,116.725,124.72,116.725,122.43,110.32,65681
2020-08-06,121.93,121.98,118.02,118.78,107.04,14168
2020-08-07,118.655,122.3,118.405,122.29,110.2,19716
2020-08-10,123.15,124.53,122.455,124.2,111.92,12636
2020-08-11,125.745,127.61,124.48,124.965,112.61,25347
2020-08-12,127.44,128.29,123.63,124.55,112.24,17553
2020-08-13,123.75,124.81,123.56,124.4,112.1,7435
2020-08-14,123.825,125.855,123.825,124.98,112.62,7383
2020-08-17,125.16,125.385,123.87,124.56,112.24,12835
2020-08-18,124.48,125.31,123.41,123.41,111.21,30057
2020-08-19,123.75,125.05,123.54,123.54,111.33,9078
2020-08-20,122.515,123.38,122.0,122.07,110.0,10353
2020-08-21,121.95,121.95,120.56,120.56,108.64,2577
2020-08-24,121.71,123.84,121.71,123.5,111.29,7084
2020-08-25,123.21,123.385,122.76,122.84,110.69,8608
2020-08-26,122.085,122.43,120.82,121.84,109.79,16645
2020-08-27,121.905,125.0,121.905,123.64,111.42,9020
2020-08-28,123.94,124.15,122.56,122.785,111.21,12538
2020-08-31,122.725,122.725,120.79,121.78,110.3,14404
2020-09-01,120.745,123.035,120.745,123.02,111.42,21357
2020-09-02,123.0,125.17,122.81,123.975,112.29,9555
2020-09-03,125.24,126.53,121.24,122.01,110.51,15637
2020-09-04,124.105,124.105,121.04,122.68,111.12,10729
2020-09-08,121.93,122.11,120.055,120.315,108.97,7889
2020-09-09,121.885,123.065,120.725,121.38,109.94,17324
2020-09-10,121.255,121.89,118.215,118.5,107.33,10143
2020-09-11,119.16,119.63,118.36,118.74,107.55,5851
2020-09-14,120.0,121.14,119.44,119.69,108.41,6881
2020-09-15,119.705,119.88,117.33,117.405,106.34,7466
2020-09-16,118.21,119.55,117.485,117.59,106.51,9007
2020-09-17,116.345,119.74,116.345,119.38,108.13,14481
2020-09-18,120.04,121.1,119.89,120.21,108.88,11808
2020-09-21,117.905,120.98,117.905,120.13,108.81,18716
2020-09-22,120.585,121.95,120.36,120.99,109.59,13659
2020-09-23,122.345,122.99,118.4,118.6,107.42,30610
2020-09-24,118.24,119.47,116.525,117.85,106.74,11341
2020-09-25,117.025,118.12,116.56,117.77,106.67,18499
2020-09-28,120.075,121.04,119.07,120.08,108.76,4040
2020-09-29,119.925,120.91,118.525,120.76,109.38,7770
2020-09-30,121.775,123.28,120.89,121.4,109.96,19197
2020-10-01,122.28,122.59,120.105,122.485,110.94,29522
2020-10-02,120.85,124.3,120.85,123.455,111.82,22562
2020-10-05,125.625,125.79,124.15,125.36,113.54,14292
2020-10-06,125.925,125.925,122.385,123.24,111.62,30491
2020-10-07,124.5,124.65,122.39,123.805,112.14,31879
2020-10-08,124.42,125.725,123.98,125.68,113.83,34232
2020-10-09,126.99,126.99,125.42,125.54,113.71,23696
2020-10-12,125.02,126.945,125.02,126.42,114.5,16915
2020-10-13,125.99,126.42,122.24,122.6,111.04,16303
2020-10-14,123.01,124.83,122.29,122.62,111.06,27762
2020-10-15,121.485,123.62,119.63,123.13,111.52,30770
2020-10-16,123.01,125.01,122.635,123.455,111.82,24319
2020-10-19,123.63,124.24,121.485,121.87,110.38,22457
2020-10-20,122.69,123.74,122.51,122.825,111.25,16222
2020-10-21,122.815,123.87,122.79,123.07,111.47,28404
2020-10-22,122.255,124.93,122.255,124.73,112.97,18860
2020-10-23,125.75,126.93,124.4,125.88,114.01,30881
2020-10-26,123.91,123.91,121.61,123.11,111.51,10352
2020-10-27,122.775,122.91,120.66,120.69,109.31,15421
2020-10-28,119.24,123.79,118.98,122.1,110.59,24531
2020-10-29,121.42,125.95,120.13,125.41,113.59,20318
2020-10-30,125.185,125.8,123.28,124.52,112.78,27237
2020-11-02,125.49,130.15,125.48,129.73,117.5,54953
2020-11-03,130.85,130.85,124.84,126.215,114.32,76517
2020-11-04,124.8,130.0,124.75,125.94,114.07,33407
2020-11-05,125.775,127.89,125.54,127.39,115.38,15969
2020-11-06,128.095,129.26,126.73,127.05,115.07,12347
2020-11-09,133.52,136.4,130.78,131.98,119.54,42253
2020-11-10,133.33,134.07,132.04,133.97,121.34,46831
2020-11-11,134.58,134.58,130.77,131.22,118.85,20413
2020-11-12,130.59,131.665,129.49,130.87,118.53,11779
2020-11-13,131.85,133.84,131.85,133.47,120.89,36143
2020-11-16,137.085,137.56,135.33,137.16,124.23,28464
2020-11-17,136.08,138.725,134.77,138.55,125.49,30472
2020-11-18,138.95,139.51,135.56,135.56,122.78,18673
2020-11-19,133.85,134.99,133.37,134.795,122.09,9340
2020-11-20,133.77,135.13,133.56,134.01,121.38,24019
2020-11-23,135.455,135.83,134.67,135.36,122.6,29799
2020-11-24,135.72,136.84,135.3,136.19,123.35,37944
2020-11-25,135.075,135.895,134.21,135.58,122.8,21401
2020-11-27,134.72,134.98,133.53,133.7,121.69,7749
2020-11-30,133.43,133.725,129.105,129.11,117.51,21634
2020-12-01,131.125,132.52,131.125,131.32,119.52,33066
2020-12-02,130.21,131.74,130.21,131.59,119.77,17435
2020-12-03,131.48,132.72,131.48,131.96,120.11,21278
2020-12-04,132.85,133.18,131.845,132.7,120.78,12972
2020-12-07,131.19,131.96,130.7,131.33,119.53,33859
2020-12-08,131.4,132.82,131.125,131.94,120.09,21603
2020-12-09,132.285,132.44,131.05,131.35,119.55,17411
2020-12-10,130.965,132.82,130.83,132.52,120.62,14789
2020-12-11,131.93,133.135,131.67,132.22,120.34,10234
2020-12-14,134.25,134.25,131.65,131.65,119.82,8544
2020-12-15,132.54,133.86,131.84,132.38,120.49,28784
2020-12-16,133.03,134.79,133.03,134.365,122.3,13587
2020-12-17,134.95,135.135,132.29,132.38,120.49,14555
2020-12-18,132.57,133.52,130.28,131.33,119.53,23722
2020-12-21,131.62,131.62,129.2,131.045,119.27,14254
2020-12-22,131.375,132.27,131.08,131.53,119.71,15448
2020-12-23,132.54,133.35,131.84,132.43,120.53,18013
2020-12-24,132.6,132.6,131.85,132.39,120.5,2718
2020-12-28,132.64,133.89,132.64,133.44,121.45,8037
2020-12-29,133.11,133.28,132.09,132.6,120.69,11877
2020-12-30,134.08,134.49,133.61,134.16,122.11,7892
2020-12-31,133.995,136.36,133.995,136.28,124.04,10561
2021-01-04,136.5,136.5,131.18,132.07,120.21,20321
2021-01-05,132.64,133.23,131.02,132.07,120.21,13413
2021-01-06,134.16,138.76,134.16,137.865,125.48,37124
2021-01-07,138.84,140.74,138.36,139.5,126.97,22655
2021-01-08,139.065,139.37,136.54,138.62,126.17,11361
2021-01-11,137.77,138.83,137.3,137.76,125.39,8740
2021-01-12,139.05,141.295,139.05,141.27,128.58,24461
2021-01-13,140.04,141.435,139.8,140.39,127.78,22522
2021-01-14,140.48,141.16,138.79,138.99,126.5,19559
2021-01-15,138.22,140.16,137.56,140.15,127.56,16979
2021-01-19,140.93,143.31,140.42,142.945,130.1,13371
2021-01-20,142.89,143.45,142.01,142.04,129.28,17200
2021-01-21,142.06,142.29,137.43,137.81,125.43,16670
2021-01-22,137.08,137.12,134.83,134.995,122.87,24835
2021-01-25,134.05,134.88,132.5,132.605,120.69,26488
2021-01-26,132.89,132.89,129.28,130.505,118.78,26243
2021-01-27,128.895,131.15,128.07,130.74,119.0,44974
2021-01-28,131.935,134.76,131.805,133.485,121.49,24983
2021-01-29,132.915,136.0,132.915,135.345,123.19,28585
2021-02-01,136.0,136.0,130.26,134.545,122.46,34638
2021-02-02,135.535,135.535,133.44,133.47,121.48,26107
2021-02-03,133.475,133.475,131.75,133.28,121.31,18374
2021-02-04,134.67,135.87,131.18,131.85,120.01,53174
2021-02-05,133.005,134.58,131.58,134.32,122.25,46631
2021-02-08,134.61,135.75,134.27,135.33,123.17,20368
2021-02-09,135.485,135.99,133.61,135.88,123.67,25317
2021-02-10,135.0,135.0,128.39,128.43,116.89,115643
2021-02-11,128.85,131.18,126.81,130.49,118.77,55215
2021-02-12,129.46,129.88,126.77,128.16,116.65,33381
2021-02-16,128.915,128.915,125.48,125.96,114.65,39886
2021-02-17,125.88,126.47,125.015,125.57,114.29,59026
2021-02-18,125.58,125.58,122.5,122.68,111.66,34885
2021-02-19,122.565,123.87,121.78,123.31,112.84,40547
2021-02-22,123.16,127.02,122.37,126.78,116.02,38815
2021-02-23,127.26,128.39,126.195,127.7,116.86,29021
2021-02-24,129.0,130.08,128.175,128.175,117.29,22747
2021-02-25,128.17,128.55,125.03,125.21,114.58,20275
2021-02-26,125.28,125.47,122.49,123.16,112.7,53786
2021-03-01,125.54,127.67,125.54,126.37,115.64,28543
2021-03-02,125.87,126.85,125.3,126.59,115.84,17893
2021-03-03,126.6,129.7,126.6,127.95,117.09,22754
2021-03-04,128.49,129.88,127.06,127.955,117.09,26537
2021-03-05,128.995,132.18,128.795,131.95,120.75,25212
2021-03-08,132.88,136.04,132.61,133.71,122.36,31646
2021-03-09,136.14,138.24,134.72,134.895,123.44,38878
2021-03-10,134.735,138.84,134.5,138.81,127.02,31862
2021-03-11,137.35,138.465,136.34,136.37,124.79,29149
2021-03-12,137.53,138.62,136.02,136.25,124.68,16490
2021-03-15,136.025,138.195,135.07,138.195,126.46,16859
2021-03-16,137.45,137.77,136.03,137.41,125.74,17145
2021-03-17,138.31,139.5,137.21,138.72,126.94,25730
2021-03-18,140.16,144.24,140.09,142.52,130.42,45048
2021-03-19,142.85,144.58,141.27,143.685,131.48,71264
2021-03-22,142.77,142.92,139.8,140.79,128.84,37198
2021-03-23,140.245,142.47,139.985,140.62,128.68,30949
2021-03-24,140.62,143.67,140.62,142.02,129.96,20634
2021-03-25,141.35,143.72,140.76,143.595,131.4,17112
2021-03-26,144.15,144.77,142.98,144.76,132.47,30219
2021-03-29,143.94,144.72,142.8,143.685,131.48,15184
2021-03-30,144.475,144.93,142.895,144.63,132.35,30460
2021-03-31,143.5,144.69,141.79,141.89,129.84,27895
2021-04-01,141.07,142.36,139.9,142.28,130.2,19917
2021-04-05,143.4,143.49,141.85,142.77,130.65,14331
2021-04-06,142.49,144.17,141.85,143.31,131.14,19334
2021-04-07,143.175,145.75,143.175,145.65,133.28,16821
2021-04-08,145.39,146.12,144.87,145.33,132.99,18132
2021-04-09,145.555,147.07,145.555,146.96,134.48,10821
2021-04-12,147.52,148.0,146.8,147.84,135.29,20865
2021-04-13,146.8,148.63,146.47,148.29,135.7,12734
2021-04-14,148.41,150.065,148.41,149.49,136.8,30049
2021-04-15,150.25,150.625,149.65,150.07,137.33,26170
2021-04-16,152.08,152.98,151.685,152.65,139.69,22990
2021-04-20,153.84,154.84,152.34,154.0,140.92,14379
2021-04-21,154.335,156.03,154.26,155.915,142.68,15141
2021-04-22,154.825,155.02,153.21,153.86,140.8,19195
2021-04-23,155.07,156.24,155.02,155.78,142.55,8966
2021-04-26,156.76,157.275,155.08,155.08,141.91,10125
2021-04-27,155.98,156.37,154.47,156.355,143.08,13470
2021-04-28,156.06,156.475,154.47,154.77,141.63,16134
2021-04-29,155.54,156.66,155.15,156.66,143.36,13825
2021-04-30,156.56,156.56,155.17,155.55,142.34,16624
2021-05-03,156.64,159.03,156.64,157.74,144.35,17073
2021-05-04,157.36,158.41,157.19,157.62,144.24,16181
2021-05-05,155.24,160.065,153.77,159.31,145.78,46360
2021-05-06,160.48,163.2,160.195,162.01,148.25,40975
2021-05-07,159.75,161.095,159.37,160.7,147.05,23076
2021-05-10,161.51,162.35,159.96,159.96,146.38,20948
2021-05-11,159.85,159.96,155.62,155.97,142.73,39565
2021-05-12,156.835,158.49,156.1,156.24,142.97,20959
2021-05-13,156.29,159.92,156.29,159.365,145.83,24026
2021-05-14,160.44,161.57,159.975,161.27,147.58,47749
2021-05-17,161.315,162.84,160.61,161.735,148.0,8087
2021-05-18,159.64,160.145,158.465,158.69,145.22,24412
2021-05-19,157.26,157.6,155.27,156.97,143.64,7743
2021-05-20,157.39,157.71,156.31,156.84,143.52,14303
2021-05-21,160.5,162.22,158.63,158.9,145.41,28469
