date,open,high,low,close,adj_close,volume
2020-07-27,103.375,103.89,102.86,103.5,96.73,25811
2020-07-28,103.46,104.035,102.645,103.8,97.01,49594
2020-07-29,103.83,104.9,103.35,104.64,97.8,38438
2020-07-30,103.21,105.13,103.02,104.69,97.85,45554
2020-07-31,105.92,108.305,105.46,107.5,100.47,44945
2020-08-03,106.63,107.495,105.915,106.06,99.13,13276
2020-08-04,105.93,106.385,104.555,105.47,98.57,23188
2020-08-05,105.905,106.04,105.05,105.64,98.73,52252
2020-08-06,105.345,105.985,104.935,105.49,98.59,19106
2020-08-07,105.22,106.865,105.22,106.82,99.84,17581
2020-08-10,106.765,107.92,106.125,107.44,100.42,12235
2020-08-11,108.4,108.64,107.255,107.48,100.45,18025
2020-08-12,108.25,109.07,106.9,106.9,99.91,8423
2020-08-13,106.46,107.41,106.46,107.2,100.19,6959
2020-08-14,106.65,107.85,106.65,106.92,99.93,5826
2020-08-17,107.6,107.73,106.28,106.74,99.76,13784
2020-08-18,106.8,107.75,106.57,107.37,100.35,41625
2020-08-19,107.56,108.05,106.435,106.67,99.7,13839
2020-08-20,106.445,107.02,106.305,106.375,99.42,9036
2020-08-21,104.02,104.24,102.83,103.56,96.79,22935
2020-08-24,103.89,104.01,102.605,104.01,97.21,26444
2020-08-25,104.73,105.56,103.95,104.21,97.4,40518
2020-08-26,103.78,104.78,103.41,104.405,97.58,16318
2020-08-27,104.795,106.16,104.795,105.98,99.05,22040
2020-08-28,106.24,106.38,104.45,105.16,98.28,32295
2020-08-31,105.53,105.72,104.45,105.35,98.46,17301
2020-09-01,105.54,105.675,104.88,105.675,98.77,23529
2020-09-02,105.4,107.75,105.4,107.34,100.32,22393
2020-09-03,107.33,108.0,103.98,104.62,98.19,34777
2020-09-04,105.36,105.52,102.47,103.72,97.35,20019
2020-09-08,102.69,102.92,100.32,100.99,94.78,31776
2020-09-09,101.94,104.225,101.94,103.2,96.86,16814
2020-09-10,103.38,103.38,101.665,101.96,95.7,31199
2020-09-11,102.175,102.76,101.34,101.76,95.51,23494
2020-09-14,102.21,103.1,102.21,102.63,96.32,17046
2020-09-15,102.96,103.82,102.895,103.02,96.69,64531
2020-09-16,103.13,104.325,103.03,103.12,96.78,30051
2020-09-17,102.37,104.0,102.12,103.88,97.5,45981
2020-09-18,104.155,105.68,103.76,104.1,97.7,34444
2020-09-21,102.455,104.09,102.3,104.07,97.68,71622
2020-09-22,105.03,105.38,102.99,104.34,97.93,56345
2020-09-23,104.69,105.09,102.01,102.37,96.08,59398
2020-09-24,102.275,103.66,101.69,102.395,96.1,27381
2020-09-25,102.315,103.16,101.39,103.0,96.67,22830
2020-09-28,104.07,105.285,103.285,104.805,98.37,21826
2020-09-29,104.685,105.34,104.42,104.77,98.33,11650
2020-09-30,104.93,106.415,104.74,105.725,99.23,17205
2020-10-01,105.97,106.25,104.545,105.595,99.11,43551
2020-10-02,104.53,106.81,104.53,106.26,99.73,29672
2020-10-05,107.165,107.605,106.5,107.085,100.51,19043
2020-10-06,107.455,107.98,105.56,105.71,99.21,20141
2020-10-07,106.89,107.18,105.68,106.45,99.91,30491
2020-10-08,106.795,107.62,106.59,107.07,100.49,26162
2020-10-09,107.64,108.81,107.64,108.47,101.81,25960
2020-10-12,108.62,109.825,108.585,109.43,102.71,24368
2020-10-13,109.21,110.52,107.92,108.77,102.09,31130
2020-10-14,108.82,109.79,107.83,107.845,101.22,32770
2020-10-15,107.03,108.515,106.73,108.08,101.44,27003
2020-10-16,108.53,109.63,108.36,108.8,102.11,22094
2020-10-19,109.26,109.34,106.91,107.25,100.66,24716
2020-10-20,108.37,108.9,107.29,107.51,100.9,24480
2020-10-21,107.855,108.86,107.48,107.64,101.03,21443
2020-10-22,106.79,108.57,106.79,107.815,101.19,14156
2020-10-23,108.13,108.285,107.435,107.91,101.28,25353
2020-10-26,106.19,106.19,104.83,106.12,99.6,38618
2020-10-27,106.71,107.295,105.52,105.58,99.09,66566
2020-10-28,104.0,105.28,103.675,104.3,97.89,131320
2020-10-29,103.77,104.15,102.1,103.01,96.68,112463
2020-10-30,103.98,105.21,102.065,103.86,97.48,86054
2020-11-02,105.295,106.93,104.22,106.5,99.96,73448
2020-11-03,107.79,108.87,106.83,107.99,101.35,53102
2020-11-04,108.28,113.65,107.94,111.86,104.99,54195
2020-11-05,112.85,112.85,109.62,109.77,103.03,56781
2020-11-06,110.445,111.51,109.84,110.535,103.74,39394
2020-11-09,115.345,118.0,109.89,109.96,103.2,118270
2020-11-10,110.8,114.4,110.425,113.63,106.65,109025
2020-11-11,114.035,114.435,113.4,114.13,107.12,49027
2020-11-12,113.065,113.565,112.48,113.21,106.25,23812
2020-11-13,113.91,115.84,113.63,115.83,108.71,64709
2020-11-16,117.15,117.36,115.89,117.345,110.13,56215
2020-11-17,116.515,117.69,115.555,117.14,109.94,89844
2020-11-18,116.87,117.57,115.14,115.43,108.34,51331
2020-11-19,115.27,116.25,114.46,116.115,108.98,44041
2020-11-20,115.52,116.865,115.3,115.57,108.47,64314
2020-11-23,116.125,116.37,114.6,115.42,108.33,27793
2020-11-24,116.07,117.33,115.36,116.5,109.34,86755
2020-11-25,115.36,116.32,113.905,115.97,108.84,33164
2020-11-27,115.88,116.4,114.83,115.79,108.68,10485
2020-11-30,115.615,116.02,115.07,115.49,108.39,34312
2020-12-01,116.005,116.74,115.87,116.74,109.57,35254
2020-12-02,116.52,117.01,115.72,116.55,109.39,22178
2020-12-03,115.7,116.23,115.45,115.695,109.01,24150
2020-12-04,115.705,116.305,115.415,115.97,109.27,33755
2020-12-07,116.42,116.74,115.54,116.0,109.29,34067
2020-12-08,115.67,117.33,114.83,117.0,110.24,54592
2020-12-09,117.41,117.69,116.395,117.555,110.76,54389
2020-12-10,117.34,119.62,117.325,119.62,112.71,42682
2020-12-11,119.33,121.2,119.12,119.91,112.98,40762
2020-12-14,120.97,121.98,119.92,120.505,113.54,49865
2020-12-15,121.71,123.88,121.65,123.67,116.52,38391
2020-12-16,124.53,126.67,124.53,126.65,119.33,40583
2020-12-17,127.08,129.08,126.84,128.17,120.76,43976
2020-12-18,128.5,128.5,124.86,125.385,118.14,73689
2020-12-21,124.72,124.99,121.795,124.99,117.77,24692
2020-12-22,124.12,124.42,123.67,123.85,116.69,23831
2020-12-23,124.63,124.63,123.14,123.16,116.04,18520
2020-12-24,123.07,123.65,122.695,123.61,116.46,9674
2020-12-28,124.08,124.08,122.77,122.98,115.87,17254
2020-12-29,123.2,123.2,121.3,121.59,114.56,29314
2020-12-30,122.305,122.62,121.62,121.78,114.74,19197
2020-12-31,121.31,123.89,121.31,123.89,116.73,27671
2021-01-04,123.45,123.45,119.26,120.29,113.34,33817
2021-01-05,120.55,120.63,118.87,119.45,112.55,24269
2021-01-06,119.895,122.11,119.28,121.945,114.9,51509
2021-01-07,122.52,123.585,121.96,122.34,115.27,38320
2021-01-08,119.31,122.61,119.31,120.75,113.77,45510
2021-01-11,119.67,120.57,118.055,118.43,111.58,46232
2021-01-12,118.825,119.06,118.075,118.67,111.81,29909
2021-01-13,118.12,118.22,116.55,117.99,111.17,61232
2021-01-14,117.885,118.12,115.94,115.94,109.24,61020
2021-01-15,116.34,116.51,115.36,116.15,109.44,95080
2021-01-19,115.765,117.84,115.66,117.405,110.62,37641
2021-01-20,117.345,119.69,117.16,119.49,112.58,18218
2021-01-21,119.44,120.15,119.01,119.09,112.21,35016
2021-01-22,118.67,118.67,117.56,117.93,111.11,25143
2021-01-25,117.66,119.18,117.345,118.4,111.56,39901
2021-01-26,118.63,118.685,117.115,117.41,110.62,47163
2021-01-27,116.48,116.59,112.95,112.97,106.44,103367
