date,open,high,low,close,adj_close,volume
2020-07-27,101.145,101.88,100.65,101.42,94.55,40949
2020-07-28,100.545,100.805,98.47,98.55,91.87,45257
2020-07-29,98.44,98.85,97.995,98.2,91.55,24335
2020-07-30,96.825,97.825,95.43,97.53,90.92,62262
2020-07-31,97.96,99.5,96.57,99.39,92.66,53460
2020-08-03,100.31,100.895,99.14,100.475,93.67,36481
2020-08-04,98.88,99.47,98.32,99.46,92.72,53553
2020-08-05,100.325,101.01,99.79,100.49,93.68,58368
2020-08-06,99.72,100.295,98.22,99.205,92.49,50185
2020-08-07,98.91,100.08,98.65,100.08,93.3,34953
2020-08-10,100.43,102.39,100.33,102.22,95.3,18589
2020-08-11,103.97,106.07,103.8,104.1,97.05,48622
2020-08-12,104.67,104.67,103.56,104.24,97.18,10108
2020-08-13,103.47,104.675,102.39,102.66,95.71,14664
2020-08-14,102.21,102.57,101.12,101.46,94.59,16284
2020-08-17,101.655,102.875,101.655,102.22,95.3,35693
2020-08-18,102.32,102.63,100.44,100.63,93.81,23686
2020-08-19,100.42,101.26,99.6,100.76,93.93,24737
2020-08-20,100.17,100.17,98.875,99.35,92.62,20184
2020-08-21,99.82,100.53,99.59,100.28,93.49,22959
2020-08-24,100.95,102.91,100.66,102.91,95.94,32735
2020-08-25,103.33,103.33,100.78,102.15,95.23,26420
2020-08-26,101.6,102.9,101.455,102.35,95.42,18187
2020-08-27,102.7,103.86,102.545,103.27,96.27,32186
2020-08-28,103.52,104.82,102.745,104.0,96.96,47135
2020-08-31,103.665,104.3,103.3,103.39,96.39,41002
2020-09-01,101.32,102.375,101.315,102.07,95.16,31373
2020-09-02,102.49,105.415,102.27,104.88,97.78,22660
2020-09-03,105.09,105.09,100.19,100.48,93.67,17674
2020-09-04,101.41,101.945,99.2,99.76,93.0,27422
2020-09-08,98.63,99.18,97.475,97.99,91.35,41401
2020-09-09,99.34,99.73,98.64,98.73,92.04,11071
2020-09-10,99.09,99.215,96.82,97.12,90.54,19577
2020-09-11,97.85,98.85,97.37,98.0,91.36,47033
2020-09-14,99.21,99.345,98.15,99.23,92.51,20401
2020-09-15,99.78,101.17,99.165,100.91,94.38,50718
2020-09-16,101.385,105.12,101.17,103.85,97.13,44065
2020-09-17,101.895,105.32,101.895,104.0,97.27,72023
2020-09-18,104.55,105.62,102.835,103.25,96.57,86257
2020-09-21,101.1,101.1,95.72,97.81,91.48,23815
2020-09-22,98.585,98.61,96.32,98.16,91.81,49822
2020-09-23,98.82,99.195,95.17,95.43,89.25,29475
2020-09-24,95.015,96.59,94.235,95.59,89.4,100499
2020-09-25,95.625,97.98,94.84,97.285,90.99,28480
2020-09-28,98.53,100.72,98.53,99.17,92.75,12843
2020-09-29,99.515,100.49,98.575,99.26,92.84,40666
2020-09-30,99.695,101.635,97.965,98.93,92.53,57633
2020-10-01,99.56,101.68,98.205,98.53,92.15,61993
2020-10-02,97.35,99.655,96.45,98.85,92.45,79026
2020-10-05,100.49,101.18,99.75,100.72,94.2,79416
2020-10-06,101.17,102.63,100.785,100.87,94.34,56541
2020-10-07,101.77,102.35,100.74,101.58,95.01,99000
2020-10-08,102.185,103.77,102.12,103.71,97.0,64302
2020-10-09,104.7,105.345,103.92,104.01,97.28,25689
2020-10-12,104.74,108.03,104.74,107.82,100.84,38108
2020-10-13,106.825,107.12,104.79,105.04,98.24,71104
2020-10-14,105.25,105.72,104.04,104.49,97.73,37200
2020-10-15,103.11,104.83,103.11,104.83,98.05,25127
2020-10-16,105.46,106.235,104.93,105.005,98.21,24841
2020-10-19,105.27,105.84,103.805,103.88,97.16,26061
2020-10-20,105.1,107.58,105.0,105.36,98.54,40589
2020-10-21,105.38,107.1,103.19,103.855,97.13,58373
2020-10-22,105.0,105.03,100.1,102.02,95.42,119260
2020-10-23,103.375,104.01,101.82,102.82,96.17,65153
2020-10-26,101.965,101.965,99.905,100.75,94.23,51149
2020-10-27,100.83,100.83,99.03,99.28,92.85,63040
2020-10-28,96.69,98.5,96.125,96.24,90.01,71425
2020-10-29,95.955,98.87,95.795,98.16,91.81,55945
2020-10-30,97.455,98.46,95.93,98.445,92.07,61060
2020-11-02,99.94,101.77,99.63,101.44,94.87,41235
2020-11-03,102.37,104.6,102.31,104.17,97.43,30246
2020-11-04,104.31,104.31,101.505,101.505,94.94,65726
2020-11-05,103.72,104.71,103.25,104.12,97.38,60642
2020-11-06,103.65,104.75,102.495,102.91,96.25,55112
2020-11-09,107.54,113.9,107.54,111.83,104.59,80243
2020-11-10,111.51,116.485,111.51,115.075,107.63,75699
2020-11-11,116.68,117.1,111.39,112.43,105.15,50318
2020-11-12,110.665,110.81,108.39,110.19,103.06,88811
2020-11-13,112.6,114.84,112.6,114.1,106.72,48560
2020-11-16,116.8,118.38,115.565,118.17,110.52,33359
2020-11-17,116.17,116.845,114.355,115.47,108.0,42530
2020-11-18,116.185,116.35,114.56,114.67,107.25,43669
2020-11-19,113.54,114.43,111.93,114.14,106.75,26037
2020-11-20,113.815,114.34,112.03,112.995,105.68,18617
2020-11-23,114.13,114.72,112.78,114.3,106.9,40791
2020-11-24,115.855,117.7,115.065,116.77,109.21,34636
2020-11-25,115.3,115.46,114.0,115.31,107.85,31006
2020-11-27,115.445,116.81,114.22,114.385,106.98,16594
2020-11-30,114.15,114.15,112.68,113.95,106.58,27131
2020-12-01,115.805,116.55,114.84,114.99,107.55,32563
2020-12-02,114.29,115.86,112.62,113.49,106.15,31385
2020-12-03,114.05,115.17,113.57,113.63,106.28,30090
2020-12-04,114.58,115.93,113.93,114.53,107.12,41174
2020-12-07,114.345,114.345,111.86,112.18,104.92,17597
2020-12-08,111.79,113.42,110.28,113.02,105.71,49331
2020-12-09,113.92,115.35,111.24,111.26,104.06,60134
2020-12-10,110.89,112.3,108.98,110.63,103.47,41417
2020-12-11,109.825,110.49,108.88,109.615,102.52,24597
2020-12-14,109.945,110.92,108.94,109.77,102.67,41934
2020-12-15,111.12,112.445,109.92,111.7,104.78,48711
2020-12-16,112.12,112.12,110.82,111.24,104.35,30410
2020-12-17,111.62,112.88,111.16,112.87,105.87,31948
2020-12-18,113.65,114.17,112.59,113.88,106.82,34060
2020-12-21,111.94,113.56,111.1,112.8,105.81,27968
2020-12-22,113.14,113.78,112.22,112.385,105.42,19905
2020-12-23,113.43,113.43,111.805,112.88,105.88,16737
2020-12-24,113.12,113.12,112.265,112.97,105.97,4642
2020-12-28,113.905,115.34,113.85,114.52,107.42,14083
2020-12-29,114.27,114.51,112.69,113.58,106.54,23244
2020-12-30,113.65,115.15,113.65,114.93,107.81,12090
2020-12-31,115.31,116.61,114.23,116.29,109.08,22153
2021-01-04,116.525,116.8,113.795,114.51,107.41,38268
2021-01-05,114.2,115.87,113.91,114.57,107.47,30404
2021-01-06,116.99,120.24,116.15,117.32,110.05,44756
2021-01-07,118.49,120.95,117.83,120.34,112.88,42858
2021-01-08,120.03,120.8,118.12,119.88,112.45,39248
2021-01-11,118.525,120.87,118.525,120.31,112.85,20260
2021-01-12,120.98,120.98,119.28,119.97,112.53,25255
2021-01-13,119.73,119.82,116.99,117.03,109.78,27827
2021-01-14,117.68,117.68,115.7,116.41,109.19,23971
2021-01-15,114.76,114.94,113.53,114.43,107.34,25501
2021-01-19,115.34,116.31,114.7,114.7,107.59,20748
2021-01-20,114.23,115.025,113.19,114.215,107.14,32131
2021-01-21,114.32,115.975,113.985,115.1,107.97,26431
2021-01-22,113.965,114.275,112.32,113.65,106.61,25105
2021-01-25,112.26,112.79,111.255,112.08,105.13,33043
2021-01-26,113.13,113.13,110.57,111.24,104.35,24164
2021-01-27,109.355,113.545,108.215,112.13,105.18,65026
2021-01-28,113.405,114.72,110.13,110.29,103.45,58069
2021-01-29,108.01,109.235,106.91,106.995,100.36,42786
2021-02-01,108.85,110.78,108.81,110.205,103.37,24001
2021-02-02,111.04,112.06,109.86,110.91,104.04,33399
2021-02-03,110.785,111.77,110.08,111.505,104.59,21222
2021-02-04,111.58,113.21,111.58,111.82,104.89,21151
2021-02-05,112.935,114.46,112.93,113.66,106.62,76799
2021-02-08,114.8,117.04,114.035,117.04,109.79,32914
2021-02-09,116.73,117.01,116.03,116.64,109.41,22161
2021-02-10,117.07,118.55,116.115,117.78,110.48,33445
2021-02-11,118.15,119.42,117.9,119.075,111.69,29497
2021-02-12,119.24,120.52,117.375,118.3,110.97,65014
2021-02-16,117.205,117.205,109.61,109.69,102.89,128029
2021-02-17,108.83,110.23,108.29,109.37,102.59,49238
2021-02-18,109.13,110.13,108.09,108.18,101.47,52974
2021-02-19,108.975,109.27,107.67,108.91,102.16,51352
2021-02-22,108.42,109.21,106.605,109.03,102.27,36393
2021-02-23,108.86,109.54,106.895,108.82,102.08,23733
2021-02-24,108.63,110.77,108.31,109.31,102.53,30393
2021-02-25,109.69,109.9,107.09,107.56,100.89,32713
2021-02-26,107.655,109.53,106.94,108.77,102.03,87349
2021-03-01,109.98,112.9,108.2,111.81,104.88,27200
2021-03-02,111.86,114.025,111.07,112.85,105.86,68805
2021-03-03,112.38,113.515,111.48,112.2,105.25,75806
2021-03-04,111.385,111.42,107.83,110.315,103.48,87707
2021-03-05,111.395,113.84,110.85,113.38,106.35,59150
2021-03-08,114.29,119.49,113.49,116.54,109.32,88165
2021-03-09,116.76,116.76,114.25,114.49,107.39,31266
2021-03-10,114.675,116.4,113.96,115.95,108.76,35986
2021-03-11,115.58,116.45,114.73,115.04,107.91,34150
2021-03-12,116.23,117.28,115.6,117.23,109.96,25150
2021-03-15,117.11,118.13,116.55,118.13,110.81,47833
