date,open,high,low,close,adj_close,volume
2020-07-27,61.625,63.055,61.12,63.015,59.82,234578
2020-07-28,62.565,62.94,61.935,62.365,59.2,101430
2020-07-29,62.625,63.645,62.175,63.25,60.04,125606
2020-07-30,63.07,64.425,63.05,64.38,61.11,103174
2020-07-31,64.735,64.735,63.145,64.31,61.05,79868
2020-08-03,64.73,65.51,64.7,64.98,61.68,80969
2020-08-04,64.95,65.19,64.2,64.825,61.54,160886
2020-08-05,64.97,65.225,64.425,64.895,61.6,187483
2020-08-06,64.055,64.11,62.61,63.635,60.41,115395
2020-08-07,63.655,64.985,62.805,63.545,60.32,82048
2020-08-10,63.7,65.27,63.7,65.27,61.96,149679
2020-08-11,65.35,65.99,64.23,64.475,61.21,114191
2020-08-12,65.07,66.66,64.74,66.505,63.13,195506
2020-08-13,66.335,66.425,64.62,65.02,61.72,194554
2020-08-14,67.43,69.9,66.51,67.67,64.24,445300
2020-08-17,68.075,68.13,66.795,66.89,63.5,172083
2020-08-18,67.04,67.23,66.13,66.39,63.02,112774
2020-08-19,66.57,66.725,65.775,65.895,62.76,103166
2020-08-20,64.61,64.805,63.3,63.79,60.76,228764
2020-08-21,63.22,63.22,61.97,62.29,59.33,299608
2020-08-24,63.09,63.785,62.71,63.675,60.65,201504
2020-08-25,63.96,64.57,63.44,64.025,60.98,58289
2020-08-26,64.07,64.22,63.515,63.755,60.72,117868
2020-08-27,63.71,63.71,61.315,62.045,59.09,336735
2020-08-28,62.11,63.08,62.0,63.025,60.03,242902
2020-08-31,62.46,62.465,61.435,61.705,58.77,100790
2020-09-01,61.975,62.055,61.24,61.845,58.9,325406
2020-09-02,62.455,65.3,62.375,65.06,61.97,241749
2020-09-03,64.19,64.37,61.075,61.5,58.57,140650
2020-09-04,60.91,61.805,58.57,60.99,58.09,614626
2020-09-08,57.18,57.77,55.335,55.655,53.01,382186
2020-09-09,56.67,56.915,54.525,55.155,52.53,532307
2020-09-10,55.645,56.245,54.955,55.21,52.58,257815
2020-09-11,55.74,56.26,54.675,54.985,52.37,169221
2020-09-14,56.355,57.115,56.34,56.465,53.78,219317
2020-09-15,57.31,57.85,56.49,57.23,54.51,189309
2020-09-16,57.43,58.195,56.4,56.435,53.75,267963
2020-09-17,54.815,56.615,54.815,56.24,53.57,97628
2020-09-18,56.69,56.755,55.23,56.12,53.45,211306
2020-09-21,55.29,57.295,54.22,57.26,54.54,162745
