date,open,high,low,close,adj_close,volume
2020-07-27,154.54,156.755,152.31,156.39,142.08,22253
2020-07-28,155.53,155.98,154.12,154.26,140.14,38659
2020-07-29,154.16,157.01,152.085,157.01,142.64,30894
2020-07-30,151.18,153.0,148.965,152.01,138.1,48810
2020-07-31,152.17,154.345,151.07,153.59,139.53,29642
2020-08-03,152.75,156.405,152.72,155.87,141.6,55161
2020-08-04,154.65,154.665,151.78,153.44,139.4,29762
2020-08-05,155.19,156.97,155.19,156.22,141.92,49161
2020-08-06,155.705,156.38,154.31,155.93,141.66,19300
2020-08-07,154.39,159.9,153.67,159.73,146.09,28998
2020-08-10,160.89,162.06,160.32,160.69,146.96,15103
2020-08-11,164.14,165.695,162.465,162.55,148.66,25815
2020-08-12,163.385,163.535,159.18,161.16,147.39,16277
2020-08-13,159.68,160.9,158.83,159.0,145.42,14642
2020-08-14,159.22,160.92,159.19,159.765,146.12,14873
2020-08-17,159.415,159.625,157.82,157.83,144.35,6079
2020-08-18,157.995,158.0,156.34,156.51,143.14,14987
2020-08-19,156.77,160.02,156.76,156.95,143.54,21451
2020-08-20,155.26,157.335,155.17,155.39,142.12,16377
2020-08-21,155.2,156.69,154.15,154.61,141.4,18299
2020-08-24,155.64,157.73,155.62,157.73,144.26,38090
2020-08-25,159.4,159.75,156.9,156.93,143.52,13487
2020-08-26,156.53,156.81,155.03,155.775,142.47,10725
2020-08-27,156.31,160.195,156.31,159.11,145.52,7206
2020-08-28,159.01,159.45,156.97,158.63,145.08,15252
2020-08-31,158.09,158.595,156.93,156.93,143.52,30103
2020-09-01,154.45,157.34,154.225,156.75,143.36,16070
2020-09-02,156.57,160.59,156.4,159.76,146.11,17846
2020-09-03,161.84,163.18,154.97,156.52,143.15,17597
2020-09-04,159.59,160.05,153.715,156.53,143.16,23214
2020-09-08,152.61,152.93,149.03,149.26,136.51,16777
2020-09-09,150.91,151.39,148.46,150.05,137.23,25393
2020-09-10,151.59,152.275,149.385,150.15,137.32,34949
2020-09-11,150.625,152.84,150.23,152.15,139.15,20169
2020-09-14,153.77,156.745,153.76,156.06,142.73,27047
2020-09-15,155.835,155.835,153.4,154.02,140.86,65797
2020-09-16,154.11,159.58,154.11,157.47,144.02,11816
2020-09-17,153.97,157.41,153.79,156.94,143.53,10131
2020-09-18,156.52,159.57,155.97,157.62,144.16,19670
2020-09-21,153.64,154.895,147.7,150.33,137.49,42894
2020-09-22,152.18,152.18,147.26,148.73,136.03,13535
2020-09-23,149.38,150.85,145.26,145.35,132.93,13121
2020-09-24,145.3,146.9,142.58,144.6,132.25,8814
2020-09-25,142.64,147.99,142.64,146.69,134.16,15417
2020-09-28,149.99,152.63,147.9,151.45,138.51,17342
2020-09-29,150.27,151.535,148.25,150.61,137.74,16637
2020-09-30,152.015,156.23,152.015,154.47,141.27,41867
2020-10-01,155.055,156.84,153.4,155.31,142.04,37421
2020-10-02,154.61,160.68,153.42,158.84,145.27,30193
2020-10-05,161.2,163.37,161.145,162.7,148.8,37484
2020-10-06,164.09,165.45,159.51,159.7,146.06,17997
2020-10-07,162.645,165.56,162.645,165.11,151.01,17204
2020-10-08,166.48,169.38,166.48,169.355,154.89,16041
2020-10-09,169.96,171.18,169.14,170.42,155.86,23546
2020-10-12,170.3,172.8,170.115,172.11,157.41,12558
2020-10-13,171.49,171.71,166.325,166.79,152.54,22528
2020-10-14,168.52,168.56,166.62,166.93,152.67,29461
2020-10-15,164.96,171.58,164.96,170.91,156.31,27544
2020-10-16,171.355,171.58,168.98,170.02,155.5,27565
2020-10-19,171.53,172.65,168.69,168.94,154.51,16089
2020-10-20,170.09,171.1,167.7,168.14,153.78,39487
2020-10-21,169.435,169.96,166.76,166.76,152.52,16262
2020-10-22,166.995,170.7,166.23,170.06,155.53,16384
2020-10-23,171.2,172.03,169.855,170.2,155.66,16619
2020-10-26,167.405,167.405,164.0,165.63,151.48,14032
2020-10-27,164.8,164.8,162.1,162.65,148.76,18858
2020-10-28,159.92,161.12,156.82,158.575,145.03,33392
2020-10-29,161.02,162.64,156.045,161.38,147.59,41163
2020-10-30,160.77,161.4,158.0,160.625,146.9,46710
2020-11-02,164.09,165.46,162.63,164.56,150.5,23081
2020-11-03,166.47,169.98,166.395,167.6,153.28,18036
2020-11-04,164.4,172.94,162.44,168.345,153.96,31930
2020-11-05,171.495,174.405,171.01,172.74,157.98,22725
2020-11-06,172.41,172.41,168.87,169.935,156.36,15809
2020-11-09,186.09,186.95,182.7,182.78,168.18,61183
2020-11-10,181.06,184.44,179.125,183.23,168.59,37330
2020-11-11,184.83,184.83,180.1,181.21,166.73,22291
2020-11-12,179.15,180.46,175.68,177.35,163.18,19658
2020-11-13,180.195,185.62,180.195,184.9,170.13,41623
2020-11-16,188.085,188.5,185.125,186.105,171.24,19004
2020-11-17,184.01,185.03,181.81,184.22,169.5,39310
2020-11-18,184.815,188.16,183.29,183.29,168.65,18112
2020-11-19,182.265,184.025,180.92,183.34,168.69,18391
2020-11-20,182.525,182.525,179.87,179.87,165.5,19724
2020-11-23,182.0,184.17,181.42,183.79,169.11,14713
2020-11-24,186.67,193.09,186.3,192.74,177.34,19484
2020-11-25,191.49,191.675,188.97,190.355,175.15,28401
2020-11-27,190.1,191.465,189.37,190.84,175.6,13868
2020-11-30,188.76,189.96,184.9,185.25,170.45,50830
2020-12-01,189.5,190.75,188.16,190.19,175.0,45698
2020-12-02,190.01,193.86,189.31,193.42,177.97,32138
2020-12-03,193.87,196.48,193.87,194.72,179.17,26731
2020-12-04,195.76,198.035,195.43,196.36,180.67,17365
2020-12-07,195.23,195.23,192.58,194.625,179.08,57564
2020-12-08,191.71,193.61,191.71,192.51,177.13,22562
2020-12-09,194.36,196.4,191.98,193.45,178.0,21518
2020-12-10,190.81,193.04,190.37,192.755,177.36,31965
2020-12-11,189.68,191.965,189.49,191.57,176.27,37789
2020-12-14,193.71,193.87,190.94,190.97,175.72,33969
2020-12-15,192.65,192.945,189.745,190.755,175.52,38960
2020-12-16,192.4,192.4,188.87,189.65,174.5,42397
2020-12-17,190.24,190.44,188.43,189.94,174.77,28226
2020-12-18,189.51,190.16,185.63,186.93,172.0,65887
2020-12-21,186.035,187.765,183.15,186.67,171.76,45441
2020-12-22,187.06,187.72,184.44,184.99,170.21,37936
2020-12-23,186.3,189.62,186.3,188.63,173.56,20198
