date,open,high,low,close,adj_close,volume
2020-07-27,120.33,120.33,113.97,115.95,104.5,63687
2020-07-28,116.82,118.22,116.79,117.67,106.05,85243
2020-07-29,117.875,119.365,117.36,117.92,106.27,73399
2020-07-30,115.725,116.34,114.625,115.12,103.75,22970
2020-07-31,113.37,113.37,112.13,113.3,102.11,18969
2020-08-03,113.44,114.275,112.75,112.77,101.63,30131
2020-08-04,112.515,114.12,112.03,113.91,102.66,60850
2020-08-05,114.96,116.79,114.96,116.07,104.61,14813
2020-08-06,116.28,116.28,114.255,114.5,103.19,23562
2020-08-07,113.87,115.75,113.605,115.75,104.32,34771
2020-08-10,116.33,117.19,115.57,116.23,104.75,13498
2020-08-11,118.12,119.945,117.92,118.3,106.62,42099
2020-08-12,119.86,120.765,119.23,120.45,108.55,11715
2020-08-13,118.97,119.08,118.0,118.4,106.71,13292
2020-08-14,117.63,117.875,116.43,116.58,105.07,15649
2020-08-17,116.92,117.045,115.43,115.82,104.38,23360
2020-08-18,115.77,115.77,114.17,114.415,103.11,27239
2020-08-19,114.68,116.02,114.015,114.27,102.98,9606
2020-08-20,113.25,113.415,112.29,113.415,102.21,9803
2020-08-21,112.965,114.91,112.965,114.54,103.23,12509
2020-08-24,115.315,116.12,114.82,115.23,103.85,19629
2020-08-25,115.95,116.21,114.64,115.805,104.37,20780
2020-08-26,115.04,115.97,114.9,115.82,104.38,8957
2020-08-27,115.775,117.11,115.715,116.25,104.77,22856
2020-08-28,116.19,118.285,115.46,118.22,106.54,22737
2020-08-31,117.11,117.11,114.67,115.35,103.96,30647
2020-09-01,113.75,117.615,113.455,117.615,106.53,15585
2020-09-02,118.105,121.51,117.84,121.24,109.82,31068
2020-09-03,120.875,121.17,117.265,119.18,107.95,24430
2020-09-04,120.69,120.69,117.65,119.12,107.9,26571
2020-09-08,117.655,117.655,113.6,114.025,103.28,21052
2020-09-09,116.12,116.825,115.33,116.36,105.4,28870
2020-09-10,117.32,117.96,115.91,116.02,105.09,51993
2020-09-11,117.61,120.8,117.04,119.83,108.54,64736
2020-09-14,121.35,123.785,121.35,121.825,110.35,67458
