date,open,high,low,close,adj_close,volume
2020-07-27,270.14,275.66,270.14,274.96,195.36,81961
2020-07-28,275.365,275.365,272.36,272.955,193.94,68940
2020-07-29,275.64,277.825,274.155,276.33,196.34,55972
2020-07-30,274.86,275.09,270.05,273.72,194.48,47881
2020-07-31,273.93,281.25,273.93,281.25,199.83,70479
2020-08-03,282.95,284.56,280.29,283.985,201.77,38474
2020-08-04,283.48,283.525,281.615,282.92,201.02,54025
2020-08-05,281.41,284.945,281.41,283.31,201.29,55921
2020-08-06,266.195,266.66,256.79,259.73,184.54,158615
2020-08-07,260.425,261.455,255.05,256.4,182.18,107640
2020-08-10,258.21,258.525,255.305,256.76,182.43,137667
2020-08-11,258.67,260.55,254.98,255.18,181.31,67558
2020-08-12,256.0,259.48,256.0,257.08,182.66,51949
2020-08-13,256.865,262.74,256.73,262.24,186.32,22328
2020-08-14,261.36,262.17,256.82,258.23,183.48,29091
2020-08-17,258.84,260.545,258.84,260.04,184.76,18723
2020-08-18,261.67,264.485,259.335,263.81,187.44,60463
2020-08-19,265.5,265.5,260.86,261.66,185.91,18616
2020-08-20,260.23,261.88,258.225,258.99,184.02,31247
2020-08-21,259.36,259.36,256.015,257.69,183.09,44943
2020-08-24,258.895,258.96,254.39,255.05,181.22,46155
2020-08-25,255.33,257.19,254.715,255.72,181.69,51112
2020-08-26,253.81,255.03,250.235,253.925,180.42,56201
2020-08-27,238.04,248.24,232.19,246.535,175.17,157386
2020-08-28,247.14,247.14,240.93,242.775,172.49,134174
2020-08-31,243.625,244.325,241.95,243.01,172.66,53041
2020-09-01,243.71,245.565,238.755,240.82,171.11,73852
2020-09-02,240.62,246.18,240.05,246.18,174.91,67606
2020-09-03,245.54,246.5,234.105,235.01,166.98,94382
2020-09-04,236.75,237.895,232.79,234.02,166.27,46112
2020-09-08,234.39,235.525,230.98,234.165,166.94,75649
2020-09-09,235.99,238.93,234.73,235.25,167.71,46324
2020-09-10,234.55,235.095,231.33,234.335,167.06,68503
2020-09-11,234.305,236.55,233.83,236.02,168.26,38846
2020-09-14,237.05,238.38,236.0,236.03,168.27,54986
2020-09-15,236.28,236.28,226.09,226.09,161.18,98754
2020-09-16,226.29,229.005,224.435,226.995,161.83,184165
2020-09-17,225.435,229.14,225.05,227.58,162.25,39959
2020-09-18,227.75,233.935,227.19,231.82,165.27,189706
2020-09-21,230.68,230.68,225.51,228.1,162.62,48035
2020-09-22,227.52,227.735,222.87,223.74,159.51,86412
2020-09-23,226.055,229.675,224.725,225.775,160.96,48260
2020-09-24,226.4,226.4,220.095,221.17,157.68,82105
2020-09-25,219.93,224.51,219.66,224.17,159.81,35638
2020-09-28,225.69,227.91,224.825,225.075,160.46,32294
2020-09-29,225.3,226.97,224.975,225.51,160.77,54131
2020-09-30,227.575,235.555,227.16,232.6,165.82,64442
2020-10-01,234.88,236.62,228.65,230.865,164.59,81767
2020-10-02,231.0,234.78,231.0,232.76,165.94,81409
2020-10-05,234.58,238.41,234.58,238.11,169.75,57065
2020-10-06,238.37,240.32,235.125,235.72,168.05,67717
2020-10-07,236.61,237.72,234.74,235.76,168.08,41914
2020-10-08,235.95,237.32,234.57,236.22,168.41,66032
2020-10-09,237.02,238.09,234.42,237.22,169.12,155199
2020-10-12,237.69,240.48,236.725,238.37,169.94,68492
2020-10-13,237.57,239.74,235.49,236.81,168.83,100008
2020-10-14,237.145,238.35,233.165,233.78,166.67,52538
2020-10-15,232.01,236.435,231.825,234.81,167.4,127866
2020-10-16,236.08,239.1,234.77,236.95,168.93,76431
2020-10-19,237.57,240.7,236.48,237.37,169.23,76623
2020-10-20,237.885,238.485,236.105,236.455,168.57,93182
2020-10-21,237.95,238.94,233.14,236.46,168.58,115358
2020-10-22,235.48,241.4,235.48,241.22,171.97,155103
2020-10-23,240.95,242.61,239.45,240.35,171.35,90157
2020-10-26,239.63,242.71,238.67,241.875,172.44,63215
2020-10-27,242.99,245.87,242.72,244.2,174.09,87902
2020-10-28,239.685,241.36,235.45,235.75,168.07,69416
2020-10-29,235.82,236.75,231.015,232.46,165.72,65137
2020-10-30,232.39,233.33,227.86,231.3,164.9,66890
2020-11-02,234.485,237.15,232.04,234.67,167.3,53352
2020-11-03,235.88,239.51,235.04,237.87,169.58,78565
2020-11-04,241.14,245.13,236.79,236.79,168.81,101842
2020-11-05,241.11,242.03,232.7,234.7,167.32,202911
2020-11-06,235.46,241.225,234.74,236.61,168.68,108388
2020-11-09,246.495,247.82,239.995,240.12,171.19,175550
2020-11-10,242.49,242.49,239.64,240.3,171.31,261455
2020-11-11,243.275,243.87,240.81,243.11,173.32,191176
2020-11-12,243.21,243.3,239.17,240.15,171.21,150935
2020-11-13,241.585,244.14,240.61,242.89,173.16,166011
2020-11-16,246.1,246.1,241.81,242.27,172.72,151132
2020-11-17,241.805,245.22,240.76,242.38,172.8,126519
2020-11-18,241.67,241.95,233.34,233.45,166.43,181029
2020-11-19,235.2,235.2,231.99,232.69,165.89,98690
2020-11-20,232.815,234.58,231.17,231.82,165.27,76994
2020-11-23,232.585,233.305,227.75,228.365,162.81,98746
2020-11-24,228.54,229.75,227.4,229.3,163.47,163085
2020-11-25,230.705,230.705,226.785,227.44,162.15,125127
2020-11-27,228.94,229.11,226.21,229.11,163.34,108659
2020-11-30,230.19,234.85,230.19,234.74,167.35,150723
2020-12-01,236.57,238.73,235.6,238.73,170.19,66426
2020-12-02,238.43,246.5,238.43,241.9,172.45,123034
2020-12-03,239.64,239.97,237.63,238.54,170.06,96414
2020-12-04,239.87,242.79,238.8,242.79,173.09,90498
2020-12-07,242.46,243.39,235.91,236.42,168.55,89844
2020-12-08,235.34,240.32,234.615,240.19,171.24,61962
2020-12-09,239.91,240.77,237.695,239.985,171.68,59085
2020-12-10,240.76,243.23,240.3,242.37,173.39,69781
2020-12-11,240.79,242.85,240.11,242.77,173.67,47215
2020-12-14,244.455,246.64,240.14,240.17,171.81,72622
2020-12-15,240.5,245.495,240.245,244.095,174.62,57478
2020-12-16,244.13,247.04,242.475,245.26,175.46,47470
2020-12-17,246.315,249.565,246.01,248.73,177.94,54198
2020-12-18,248.9,253.07,247.12,252.11,180.36,67752
2020-12-21,249.8,249.8,245.31,247.74,177.23,50581
2020-12-22,246.8,248.4,245.34,245.92,175.93,51078
2020-12-23,246.35,246.87,244.28,244.61,174.99,58373
2020-12-24,245.225,249.07,245.225,248.04,177.44,22924
2020-12-28,249.455,249.865,247.44,248.285,177.62,28252
2020-12-29,249.49,250.58,247.39,248.42,177.72,41695
2020-12-30,248.99,249.26,246.62,246.74,176.51,48100
2020-12-31,247.36,250.69,246.81,250.46,179.18,35501
2021-01-04,250.96,251.35,246.77,250.78,179.41,43735
2021-01-05,250.73,252.42,247.5,251.05,179.6,50965
2021-01-06,250.65,254.43,250.65,253.7,181.49,69644
2021-01-07,254.07,255.69,251.315,253.5,181.35,74641
2021-01-08,254.86,256.67,253.75,255.15,182.53,37808
2021-01-11,255.68,257.66,255.39,257.13,183.95,32897
2021-01-12,261.0,267.15,259.73,262.97,188.13,104591
2021-01-13,262.35,266.115,262.11,262.99,188.14,75543
2021-01-14,262.99,262.99,257.54,258.06,184.61,79071
2021-01-15,258.45,261.97,258.02,261.78,187.27,57822
2021-01-19,263.12,264.925,259.445,260.92,186.66,58026
2021-01-20,260.825,263.58,259.355,263.47,188.48,51114
2021-01-21,262.98,263.42,260.31,261.86,187.33,69965
2021-01-22,262.36,262.36,258.79,258.8,185.14,37575
2021-01-25,258.55,261.06,257.475,260.29,186.21,48314
2021-01-26,260.23,260.23,255.57,258.435,184.88,59475
2021-01-27,256.86,256.86,250.53,250.84,179.45,64185
2021-01-28,252.405,258.82,252.395,256.4,183.43,70275
2021-01-29,255.32,264.58,254.92,261.61,187.15,109031
2021-02-01,263.97,264.9,260.88,261.58,187.13,88861
2021-02-02,262.0,264.055,258.12,258.12,184.66,137153
2021-02-03,258.63,263.6,257.2,260.85,186.61,144487
2021-02-04,260.08,260.36,252.64,254.74,182.24,137993
2021-02-05,256.23,258.14,252.225,254.76,182.25,55321
2021-02-08,255.88,258.29,255.38,256.86,183.75,54036
2021-02-09,256.605,257.16,253.04,254.12,181.79,59160
2021-02-10,256.0,256.58,252.08,252.74,180.81,70122
2021-02-11,253.32,253.56,250.75,253.28,181.19,51540
2021-02-12,252.64,256.88,252.64,256.53,183.52,70988
2021-02-16,256.895,257.68,255.165,257.28,184.06,55544
2021-02-17,256.525,257.25,254.46,256.83,183.73,48642
2021-02-18,256.365,257.96,254.0,255.78,182.98,56710
2021-02-19,255.87,255.87,247.83,247.92,177.36,109462
2021-02-22,247.95,248.09,241.95,246.18,176.11,129562
2021-02-23,246.66,248.73,243.405,247.85,177.31,109411
2021-02-24,246.945,247.98,244.72,246.84,176.59,92221
2021-02-25,246.26,250.05,245.465,247.18,176.83,112353
2021-02-26,247.15,247.5,241.11,241.12,172.49,65823
2021-03-01,242.77,246.1,241.9,246.1,176.06,75689
2021-03-02,246.05,246.6,243.51,244.83,175.15,43892
2021-03-03,243.57,243.67,241.34,241.72,172.92,68398
2021-03-04,241.555,243.78,238.54,240.98,172.39,69183
2021-03-05,241.97,247.54,240.95,246.56,176.39,52328
2021-03-08,245.33,249.615,244.26,246.05,176.02,53495
2021-03-09,247.0,247.825,242.72,242.925,174.37,47719
2021-03-10,244.265,244.795,236.87,238.03,170.86,154858
2021-03-11,237.885,239.67,236.07,238.27,171.03,186450
2021-03-12,239.55,239.895,236.38,238.1,170.91,68104
2021-03-15,239.05,240.91,238.0,240.91,172.93,63763
2021-03-16,241.31,241.31,238.66,239.7,172.06,63462
2021-03-17,239.77,240.92,238.79,239.42,171.86,43140
2021-03-18,238.28,240.59,238.28,239.235,171.73,64716
2021-03-19,239.94,241.2,237.87,238.99,171.55,59974
2021-03-22,238.32,241.69,238.32,241.69,173.49,52182
2021-03-23,241.78,241.89,239.52,239.955,172.24,51729
2021-03-24,238.95,242.2,238.83,241.72,173.51,44449
2021-03-25,242.86,243.04,238.61,241.9,173.64,80889
2021-03-26,242.32,245.32,239.27,245.255,176.05,55422
2021-03-29,243.54,248.37,243.54,247.01,177.31,46251
2021-03-30,246.49,247.99,244.3,245.06,175.91,48158
2021-03-31,244.39,245.75,242.36,243.245,174.6,47838
2021-04-01,243.35,244.3,240.57,241.54,173.38,38494
2021-04-05,242.69,247.09,242.69,245.02,175.88,52200
2021-04-06,246.27,246.97,243.44,244.64,175.6,89958
2021-04-07,244.695,244.87,242.41,243.89,175.07,38281
2021-04-08,243.69,244.26,242.48,242.87,174.33,60859
2021-04-09,243.53,247.96,243.12,247.96,177.99,83207
2021-04-12,247.565,247.72,245.95,247.4,177.59,53842
2021-04-13,247.025,251.305,246.68,250.73,179.98,45332
2021-04-14,250.48,250.77,248.67,249.905,179.38,74675
2021-04-15,250.82,258.72,250.77,257.9,185.12,203211
2021-04-16,259.27,262.01,258.15,260.95,187.31,213257
2021-04-20,257.95,260.5,256.21,256.42,184.06,100628
2021-04-21,257.76,259.45,257.19,258.2,185.34,88470
2021-04-22,257.69,258.38,256.11,257.02,184.49,95299
2021-04-23,257.1,257.155,252.255,255.84,183.64,111081
2021-04-26,256.7,258.26,255.89,257.23,184.64,42566
2021-04-27,257.24,259.4,253.28,258.59,185.62,66708
2021-04-28,258.36,259.825,256.85,257.51,184.84,42085
2021-04-29,258.055,258.055,251.17,251.26,180.36,72091
2021-04-30,250.815,251.53,247.405,248.8,178.59,91787
