date,open,high,low,close,adj_close,volume
2020-07-27,67.94,68.9,67.86,68.9,61.71,37021
2020-07-28,69.035,69.255,68.31,68.31,61.18,20321
2020-07-29,68.62,69.65,68.56,69.165,61.95,47203
2020-07-30,68.9,69.65,68.685,69.15,61.93,18130
2020-07-31,69.05,69.43,68.23,69.38,62.14,62577
2020-08-03,69.41,69.41,68.355,69.07,61.86,25723
2020-08-04,68.15,68.69,67.9,68.37,61.24,16916
2020-08-05,68.45,68.45,67.2,67.53,60.48,12270
2020-08-06,67.275,67.6,66.555,67.6,60.55,30134
2020-08-07,67.7,69.275,67.7,68.68,61.51,18228
2020-08-10,68.89,69.48,68.75,69.385,62.15,24463
2020-08-11,70.03,70.43,69.37,69.6,62.34,26030
2020-08-12,70.63,72.06,70.58,71.27,63.83,13417
2020-08-13,71.53,71.89,71.37,71.5,64.04,19453
2020-08-14,71.39,71.655,70.995,71.125,63.7,10037
2020-08-17,71.73,72.19,71.595,72.01,64.5,20440
2020-08-18,72.155,72.68,71.3,72.445,64.89,31469
2020-08-19,72.54,73.48,72.355,72.73,65.14,34491
2020-08-20,72.26,72.57,72.195,72.39,64.84,11146
2020-08-21,72.55,72.55,71.01,72.11,64.59,28157
2020-08-24,72.22,72.75,72.19,72.75,65.16,15256
2020-08-25,72.47,72.59,72.24,72.48,64.92,12939
2020-08-26,72.18,72.965,71.83,72.665,65.08,20125
2020-08-27,73.175,73.315,72.815,72.87,65.27,11319
2020-08-28,72.265,73.6,72.26,73.595,65.92,11246
2020-08-31,73.72,74.04,73.19,73.19,65.55,60359
2020-09-01,73.01,73.05,71.2,72.66,65.08,85443
2020-09-02,74.5,83.205,73.96,79.73,71.41,181456
2020-09-03,79.39,80.855,78.69,79.325,71.2,84323
2020-09-04,79.95,80.56,78.76,80.16,71.95,33549
2020-09-08,81.16,81.16,78.43,78.96,70.88,74405
2020-09-09,79.86,82.27,79.86,81.17,72.86,29506
2020-09-10,81.19,81.19,79.51,79.59,71.44,26162
2020-09-11,79.49,80.17,78.72,79.31,71.19,17356
2020-09-14,79.85,79.945,79.33,79.5,71.36,17296
2020-09-15,79.725,80.31,78.79,78.97,70.89,49542
2020-09-16,79.27,79.27,77.71,77.87,69.9,22658
2020-09-17,77.15,77.38,76.62,77.22,69.31,91060
2020-09-18,77.095,77.12,75.39,76.375,68.56,31025
2020-09-21,75.54,75.92,74.12,75.92,68.15,17726
2020-09-22,76.41,76.76,75.64,76.17,68.37,39907
2020-09-23,76.05,76.89,75.34,75.34,67.63,68279
2020-09-24,75.56,75.56,74.405,74.81,67.15,17512
2020-09-25,74.38,74.53,73.995,74.45,66.83,29609
2020-09-28,75.77,76.13,75.39,75.495,67.77,41433
2020-09-29,75.95,76.25,75.16,75.29,67.58,32845
2020-09-30,75.42,75.84,74.85,75.33,67.62,27940
2020-10-01,76.385,76.385,74.96,75.47,67.74,35206
2020-10-02,74.87,76.17,74.87,75.64,67.9,49734
2020-10-05,75.77,76.55,75.26,76.39,68.57,28814
2020-10-06,76.725,77.12,76.085,76.17,68.37,33608
2020-10-07,76.885,77.69,76.42,77.18,69.28,19682
2020-10-08,77.14,78.055,77.13,78.0,70.01,33647
2020-10-09,78.34,78.565,78.13,78.41,70.38,42822
2020-10-12,78.54,79.28,78.26,79.0,70.91,32904
2020-10-13,78.09,78.7,77.77,78.16,70.16,28609
2020-10-14,78.095,78.53,77.18,77.51,69.57,37677
2020-10-15,76.63,76.9,76.055,76.265,68.46,35615
2020-10-16,76.5,77.0,75.74,75.92,68.15,39821
2020-10-19,76.385,76.385,74.24,74.31,66.7,38984
2020-10-20,75.07,75.48,74.325,74.51,66.88,36104
2020-10-21,74.94,75.18,74.59,74.76,67.11,69492
2020-10-22,75.24,75.52,74.685,75.235,67.53,105970
2020-10-23,75.96,75.96,74.18,74.4,66.78,39411
2020-10-26,73.77,73.77,72.21,72.75,65.3,37995
2020-10-27,72.87,73.12,72.16,72.32,64.92,34367
2020-10-28,71.275,71.61,69.61,69.65,62.52,45797
2020-10-29,69.29,70.11,68.73,69.68,62.55,44692
2020-10-30,69.33,70.355,68.925,69.68,62.55,56117
2020-11-02,70.75,71.96,70.285,70.84,63.59,32775
2020-11-03,72.415,73.41,71.98,72.99,65.52,35552
2020-11-04,73.5,76.0,73.5,73.8,66.24,52056
2020-11-05,74.975,75.44,73.625,75.12,67.43,56751
2020-11-06,75.3,75.99,75.28,75.28,67.57,29535
2020-11-09,79.255,79.255,76.545,77.02,69.13,64627
2020-11-10,77.445,79.12,77.065,78.68,70.62,39069
2020-11-11,78.56,79.33,77.81,78.56,70.52,19237
2020-11-12,78.41,79.06,77.59,77.9,69.92,12487
2020-11-13,78.68,79.61,78.355,79.61,71.46,14241
2020-11-16,80.13,81.16,79.16,81.11,72.81,26578
2020-11-17,80.44,81.77,79.95,81.16,72.85,16293
2020-11-18,81.08,81.08,79.22,79.22,71.11,19839
2020-11-19,79.46,80.725,78.86,80.13,71.93,47399
2020-11-20,80.25,80.86,79.61,79.75,71.59,25502
2020-11-23,80.1,80.505,79.59,80.16,71.95,32591
2020-11-24,81.03,82.01,80.74,81.8,73.43,53822
2020-11-25,81.81,82.22,81.15,81.16,72.85,23605
2020-11-27,80.705,81.3,80.625,81.07,72.77,13022
2020-11-30,81.2,81.7,80.5,80.73,72.46,61331
2020-12-01,80.65,81.62,80.095,81.59,73.24,34293
2020-12-02,81.25,81.87,79.24,79.88,71.7,50879
2020-12-03,79.13,79.71,78.21,78.6,70.71,62362
2020-12-04,79.18,79.81,78.92,79.79,71.78,43929
2020-12-07,80.03,80.89,79.8,80.485,72.41,120250
2020-12-08,79.425,80.53,77.26,78.94,71.02,202559
2020-12-09,79.205,79.47,76.625,76.78,69.07,71644
2020-12-10,76.7,77.345,75.99,76.14,68.5,48529
2020-12-11,75.83,76.52,75.62,76.34,68.68,20568
2020-12-14,76.475,76.72,75.5,75.625,68.04,31368
2020-12-15,75.89,77.285,75.62,76.56,68.88,52681
2020-12-16,76.69,77.77,76.27,77.77,69.97,29801
2020-12-17,78.03,79.255,78.02,78.88,70.96,56844
2020-12-18,78.76,79.56,77.63,79.43,71.46,45888
2020-12-21,77.88,78.85,77.06,78.79,70.88,28731
2020-12-22,78.485,78.85,77.24,77.73,69.93,48314
2020-12-23,78.19,78.42,77.325,77.59,69.8,31999
2020-12-24,77.58,78.005,76.715,77.96,70.14,14253
2020-12-28,78.16,78.93,77.615,78.38,70.51,21777
2020-12-29,78.92,79.05,78.32,78.975,71.05,39664
2020-12-30,79.08,79.75,78.53,78.63,70.74,16100
2020-12-31,79.26,79.54,78.02,79.54,71.56,26247
2021-01-04,79.125,79.21,77.365,77.95,70.13,49436
2021-01-05,77.945,78.16,76.505,77.9,70.08,54246
2021-01-06,77.95,77.95,76.96,77.58,69.79,73353
2021-01-07,78.11,78.55,76.74,77.61,69.82,47115
2021-01-08,78.16,78.47,77.54,78.47,70.59,20846
2021-01-11,78.655,78.655,76.98,77.22,69.47,96509
2021-01-12,76.59,76.7,75.435,76.16,68.52,17357
2021-01-13,75.38,75.92,74.945,75.725,68.13,27542
2021-01-14,76.075,76.34,73.39,73.47,66.1,54648
2021-01-15,72.83,74.06,72.33,73.92,66.5,31062
2021-01-19,74.44,74.62,73.82,74.27,66.82,25555
2021-01-20,73.9,73.97,72.485,73.35,65.99,59879
2021-01-21,73.28,73.43,72.435,73.165,65.82,43241
2021-01-22,73.32,73.53,72.21,72.84,65.53,31261
2021-01-25,72.48,73.06,71.73,71.98,64.76,58042
2021-01-26,72.31,73.3,72.31,73.23,65.88,33828
2021-01-27,72.5,74.0,72.5,73.36,66.0,67850
2021-01-28,73.75,75.145,73.54,74.14,66.7,34678
2021-01-29,73.22,73.38,71.615,71.72,64.52,37327
2021-02-01,72.53,72.53,71.47,72.17,64.93,26322
2021-02-02,72.8,73.96,72.66,72.93,65.61,29515
2021-02-03,72.86,73.75,72.73,73.08,65.75,31003
2021-02-04,72.66,73.98,72.52,73.56,66.18,66658
2021-02-05,74.1,75.37,74.02,74.51,67.03,70243
2021-02-08,74.99,75.9,74.905,75.9,68.28,33344
2021-02-09,76.05,77.0,75.53,76.57,68.89,29276
2021-02-10,77.11,77.355,76.46,76.89,69.17,19753
2021-02-11,76.84,77.15,76.1,76.46,68.79,26482
2021-02-12,76.08,76.89,75.58,76.89,69.17,14825
2021-02-16,76.79,76.805,75.52,76.23,68.58,12889
2021-02-17,75.87,76.43,75.325,75.99,68.36,11053
2021-02-18,75.89,76.97,75.89,76.65,68.96,10872
2021-02-19,76.49,77.09,75.375,75.4,67.83,13222
2021-02-22,74.76,74.98,74.3,74.68,67.19,19445
2021-02-23,75.0,76.17,74.63,75.08,67.55,22055
2021-02-24,74.395,75.435,74.395,75.04,67.51,25401
2021-02-25,75.42,75.545,73.65,73.69,66.29,14442
2021-02-26,73.65,73.85,71.51,71.58,64.4,52878
2021-03-01,72.2,73.58,72.14,72.87,65.56,40133
2021-03-02,73.115,73.115,71.77,72.06,64.83,36064
2021-03-03,72.07,72.68,69.45,69.65,62.66,69794
2021-03-04,69.765,71.81,67.93,68.41,61.54,61146
2021-03-05,68.35,71.16,67.88,71.13,64.16,54624
2021-03-08,70.8,71.795,69.74,69.77,62.93,37439
2021-03-09,70.345,71.61,70.16,70.64,63.72,41932
2021-03-10,70.63,72.37,70.52,72.0,64.94,26310
2021-03-11,71.7,72.48,71.39,71.63,64.61,14228
2021-03-12,71.68,72.45,71.62,71.9,64.85,16013
2021-03-15,72.5,72.64,71.59,72.345,65.26,17332
2021-03-16,71.99,73.115,71.99,72.62,65.5,22335
2021-03-17,72.34,72.6,71.68,71.7,64.67,36227
2021-03-18,71.28,71.36,70.44,70.62,63.7,29367
2021-03-19,69.85,70.64,68.685,68.71,61.98,87693
2021-03-22,67.93,69.72,67.8,69.12,62.35,89655
2021-03-23,69.13,70.49,68.62,69.86,63.01,79269
2021-03-24,69.91,70.065,69.04,69.04,62.27,42068
2021-03-25,69.04,69.07,68.14,68.98,62.22,37389
2021-03-26,69.25,69.38,68.315,69.38,62.58,24420
2021-03-29,69.37,70.72,69.37,70.37,63.47,51031
2021-03-30,69.98,70.055,68.71,69.99,63.13,36409
2021-03-31,70.22,70.22,68.8,69.03,62.27,54210
2021-04-01,69.06,69.855,68.575,69.655,62.83,100519
2021-04-05,69.93,71.01,69.83,70.64,63.72,24634
2021-04-06,70.55,71.51,70.55,70.93,63.98,23629
2021-04-07,71.17,71.26,70.36,70.36,63.47,28640
2021-04-08,70.46,71.29,70.46,71.1,64.13,37064
2021-04-09,71.07,71.26,70.33,71.04,64.08,29370
2021-04-12,71.265,73.16,71.265,72.385,65.29,88001
2021-04-13,72.155,72.42,71.66,72.42,65.32,30736
2021-04-14,72.65,72.92,72.04,72.57,65.46,57055
2021-04-15,73.245,73.615,72.77,73.53,66.32,75918
2021-04-16,73.8,74.84,73.28,74.24,66.97,106218
2021-04-20,74.96,76.21,74.89,75.95,68.51,63945
2021-04-21,76.59,77.32,76.515,77.15,69.59,50738
2021-04-22,77.185,78.17,77.05,77.25,69.68,44418
2021-04-23,77.01,77.605,76.93,77.07,69.52,24336
2021-04-26,76.57,76.59,75.77,75.97,68.53,29009
2021-04-27,75.735,75.88,74.89,75.82,68.39,40695
2021-04-28,76.155,76.4,75.75,76.22,68.75,33020
2021-04-29,76.46,78.07,76.46,78.065,70.42,22506
2021-04-30,77.77,77.77,75.98,76.29,68.81,28846
2021-05-03,76.55,77.86,76.45,77.59,69.99,30442
2021-05-04,77.77,77.79,76.48,76.805,69.28,45879
2021-05-05,77.18,77.18,75.75,75.86,68.43,24392
2021-05-06,76.52,76.81,75.96,76.73,69.21,21267
2021-05-07,76.695,77.415,76.33,76.65,69.14,49752
2021-05-10,77.44,77.85,76.995,77.735,70.12,43557
2021-05-11,77.675,78.06,77.05,77.73,70.11,45942
2021-05-12,77.745,77.755,76.12,76.145,68.68,23387
2021-05-13,76.4,77.775,76.29,77.52,69.92,21950
2021-05-14,78.06,78.96,78.06,78.33,70.65,31104
2021-05-17,78.28,78.845,77.92,77.92,70.28,18832
2021-05-18,78.14,78.795,77.44,78.17,70.51,21252
2021-05-19,77.555,78.17,77.34,78.11,70.46,28894
2021-05-20,78.56,80.01,78.56,79.55,71.75,13619
2021-05-21,79.94,80.18,79.55,79.76,71.94,12116
