date,open,high,low,close,adj_close,volume
2020-07-27,44.03,45.02,43.7,44.985,37.65,67411
2020-07-28,45.25,45.43,44.12,44.58,37.31,89184
2020-07-29,45.67,46.63,44.32,45.21,37.83,134930
2020-07-30,44.75,45.565,44.59,45.025,37.68,53550
2020-07-31,44.635,44.87,42.895,43.44,36.35,58596
2020-08-03,43.61,44.58,43.52,44.03,36.85,56841
2020-08-04,43.265,44.33,43.12,44.31,37.08,37242
2020-08-05,44.64,44.96,44.33,44.85,37.53,50201
2020-08-06,44.84,45.1,44.63,44.7,37.41,35870
2020-08-07,44.5,45.56,44.38,45.425,38.01,31397
2020-08-10,45.77,47.01,45.68,46.805,39.17,24309
2020-08-11,47.4,47.71,46.7,46.745,39.12,43829
2020-08-12,47.11,47.39,46.72,46.83,39.19,17864
2020-08-13,46.795,46.85,46.36,46.485,38.9,23149
2020-08-14,45.68,46.385,45.68,45.98,38.9,19113
2020-08-17,46.095,46.92,46.07,46.42,39.27,42156
2020-08-18,46.27,46.39,45.875,46.145,39.04,32135
2020-08-19,46.41,47.025,46.41,46.71,39.51,35106
2020-08-20,46.34,46.76,45.72,45.98,38.9,35772
2020-08-21,46.415,47.005,46.22,46.835,39.62,44283
2020-08-24,47.43,47.43,46.515,46.75,39.55,20950
2020-08-25,47.215,47.34,46.15,46.905,39.68,23519
2020-08-26,46.875,47.02,46.32,46.64,39.45,22449
2020-08-27,46.76,46.86,45.93,46.27,39.14,39763
2020-08-28,46.41,46.7,45.83,46.7,39.51,24006
2020-08-31,46.53,46.53,45.58,45.61,38.58,27290
2020-09-01,45.45,46.07,45.235,45.48,38.47,26958
2020-09-02,45.53,46.52,45.4,46.49,39.33,52643
2020-09-03,46.79,47.21,45.6,45.735,38.69,29529
2020-09-04,46.12,46.66,45.4,46.465,39.31,31624
2020-09-08,46.17,46.17,45.11,45.28,38.3,42104
2020-09-09,45.36,46.225,45.36,45.88,38.81,27170
2020-09-10,45.965,46.29,45.4,45.4,38.41,20433
2020-09-11,45.47,45.79,45.06,45.645,38.61,28253
2020-09-14,45.795,46.3,45.57,46.25,39.12,23753
2020-09-15,46.47,46.865,45.62,46.415,39.26,80617
2020-09-16,46.425,46.835,46.22,46.43,39.28,28416
2020-09-17,45.84,47.405,45.485,47.32,40.03,63683
2020-09-18,47.44,49.445,47.44,47.645,40.3,120802
2020-09-21,46.29,46.29,45.355,45.73,38.68,25899
2020-09-22,45.91,46.25,45.62,46.03,38.94,16622
2020-09-23,46.31,46.84,44.625,44.69,37.8,41052
2020-09-24,44.37,45.2,43.485,44.65,37.77,36202
2020-09-25,44.475,46.195,44.45,46.095,38.99,61774
2020-09-28,47.165,47.53,46.5,46.505,39.34,29658
2020-09-29,45.995,45.995,45.0,45.165,38.21,32249
2020-09-30,45.315,46.09,45.315,45.82,38.76,41910
2020-10-01,46.01,46.08,45.355,45.82,38.76,45915
2020-10-02,45.225,46.45,44.935,46.365,39.22,39660
2020-10-05,46.835,47.51,46.6,47.25,39.97,58537
2020-10-06,47.8,48.88,47.51,47.585,40.25,83284
2020-10-07,48.14,49.19,48.09,49.065,41.51,78391
2020-10-08,49.4,49.43,48.68,49.015,41.46,155621
2020-10-09,49.385,51.2,49.385,50.51,42.73,104454
2020-10-12,50.735,51.71,50.38,51.415,43.49,57650
2020-10-13,51.0,51.26,50.19,50.94,43.09,42983
2020-10-14,50.97,52.22,50.97,52.175,44.14,72266
2020-10-15,51.44,54.99,51.39,54.2,45.85,295233
2020-10-16,54.42,54.87,53.96,54.56,46.15,112936
2020-10-19,55.25,56.04,54.18,54.62,46.21,126584
