date,open,high,low,close,adj_close,volume
2020-07-27,568.9,578.065,565.69,574.925,498.74,36903
2020-07-28,572.35,574.035,569.04,570.37,494.79,40811
2020-07-29,574.14,580.105,572.38,577.5,500.98,51133
2020-07-30,569.5,573.05,564.68,573.05,497.12,8888
2020-07-31,572.37,574.12,566.92,574.12,498.04,11431
2020-08-03,578.375,582.89,578.27,579.925,503.08,16841
2020-08-04,574.47,574.615,568.2,570.69,495.07,15465
2020-08-05,573.23,584.635,573.23,582.255,505.1,14203
2020-08-06,582.04,582.91,575.5,581.675,504.6,13390
2020-08-07,581.78,588.25,579.5,587.83,509.94,15501
2020-08-10,585.825,585.855,579.69,580.74,503.79,13671
2020-08-11,585.12,596.33,584.28,585.875,508.24,17909
2020-08-12,592.01,601.33,584.625,590.85,512.56,19183
2020-08-13,587.265,594.225,587.265,589.69,511.55,15021
2020-08-14,586.31,592.46,585.19,588.42,510.45,22774
2020-08-17,589.005,595.01,589.005,592.37,513.88,20208
2020-08-18,591.22,594.04,589.01,589.13,511.07,27565
2020-08-19,592.97,595.27,589.32,590.135,511.94,10768
2020-08-20,587.005,587.31,581.31,583.31,506.02,20215
2020-08-21,586.915,586.93,582.165,583.775,506.42,25776
2020-08-24,586.05,591.69,585.82,591.69,513.29,14892
2020-08-25,592.85,594.57,590.54,591.45,513.08,12411
2020-08-26,589.405,595.64,588.23,592.15,513.69,8550
2020-08-27,593.53,598.135,592.24,594.87,516.04,13004
2020-08-28,595.23,601.26,593.21,601.26,521.59,13790
2020-08-31,603.48,603.48,593.885,594.86,516.04,14552
2020-09-01,594.585,600.69,593.375,595.45,516.55,17812
2020-09-02,596.24,609.525,594.695,607.41,526.92,27635
2020-09-03,603.66,603.66,573.98,579.35,505.6,35816
2020-09-04,581.74,583.04,557.86,564.47,492.61,30134
2020-09-08,557.115,558.195,549.765,552.56,482.22,45510
2020-09-09,559.68,564.04,555.98,560.53,489.18,31787
2020-09-10,557.27,558.0,541.995,543.13,473.99,32485
2020-09-11,544.83,547.34,538.445,541.29,472.38,29852
2020-09-14,544.915,553.095,543.47,547.4,477.72,30272
2020-09-15,551.62,552.855,548.33,548.33,478.53,12359
2020-09-16,549.625,566.78,548.99,561.855,490.33,55954
2020-09-17,553.9,555.04,544.72,548.28,478.49,46821
2020-09-18,550.22,559.04,550.22,556.92,486.03,83040
2020-09-21,549.595,555.99,542.63,552.29,481.98,21159
2020-09-22,552.68,555.575,545.01,550.68,480.58,27163
2020-09-23,551.15,552.6,538.66,538.79,470.2,18610
2020-09-24,536.04,541.725,532.2,535.0,466.9,16352
2020-09-25,537.28,548.72,534.42,548.33,478.53,15462
2020-09-28,556.69,563.81,555.305,557.95,486.92,23614
2020-09-29,559.37,561.35,552.415,556.14,485.34,21663
2020-09-30,555.855,570.61,555.77,564.23,492.4,33978
2020-10-01,574.99,577.82,566.45,568.38,496.03,58171
2020-10-02,559.18,574.51,559.18,570.525,497.9,37532
2020-10-05,574.95,581.41,573.17,580.75,506.82,40906
2020-10-06,583.015,590.15,578.35,580.27,506.4,65745
2020-10-07,586.335,592.445,586.335,592.05,516.68,34716
2020-10-08,595.22,606.09,595.22,603.78,526.92,36608
2020-10-09,609.335,613.56,607.165,611.09,533.3,18755
2020-10-12,614.98,620.51,614.315,615.585,537.22,43664
2020-10-13,630.03,645.99,628.85,638.85,557.53,47510
2020-10-14,641.59,642.15,635.505,640.01,558.54,68560
2020-10-15,633.67,648.34,633.67,646.14,563.89,71348
2020-10-16,651.035,658.755,648.15,657.355,573.67,32734
2020-10-19,659.025,666.3,633.29,634.25,553.51,35940
2020-10-20,639.35,650.73,638.05,644.66,562.6,38070
2020-10-21,647.2,652.99,635.67,635.67,554.75,23232
2020-10-22,635.04,637.62,630.11,635.465,554.57,30301
2020-10-23,636.53,638.235,633.92,636.71,555.66,22725
2020-10-26,630.31,630.89,615.99,621.01,541.96,26425
2020-10-27,623.35,623.35,614.215,615.37,537.03,28844
2020-10-28,602.98,606.29,596.32,601.94,525.31,57047
2020-10-29,598.595,605.98,590.56,603.58,526.75,20198
2020-10-30,597.74,600.0,588.38,598.54,522.35,18636
2020-11-02,607.51,617.855,607.51,614.47,536.25,14445
2020-11-03,621.485,633.11,620.0,629.53,549.39,21925
2020-11-04,630.67,656.835,629.02,653.42,570.24,48004
2020-11-05,662.84,671.0,659.78,668.795,583.66,46797
2020-11-06,665.0,665.0,654.385,654.74,571.39,29108
2020-11-09,690.18,690.18,663.96,665.96,581.18,43067
2020-11-10,664.03,664.45,646.79,658.83,574.96,38811
2020-11-11,669.225,675.52,667.025,670.24,584.92,18794
2020-11-12,663.77,668.2,655.185,659.92,575.91,36799
2020-11-13,660.42,670.835,659.45,669.705,584.45,52613
2020-11-16,679.0,680.89,669.46,676.15,590.08,33369
2020-11-17,675.15,675.78,664.51,667.34,582.39,48525
2020-11-18,670.575,675.395,669.77,669.91,584.63,22014
2020-11-19,665.19,675.125,663.89,674.435,588.58,32292
2020-11-20,671.315,675.64,669.23,672.28,586.7,21196
2020-11-23,678.53,688.375,674.56,683.0,596.06,21914
2020-11-24,691.41,700.425,686.81,699.77,610.69,24014
2020-11-25,697.26,704.17,697.26,703.63,614.06,12041
2020-11-27,707.185,717.95,707.165,714.735,623.75,15342
2020-11-30,712.67,712.67,698.13,698.2,609.32,26850
2020-12-01,706.85,719.975,706.41,714.32,623.39,23113
2020-12-02,714.06,718.75,709.855,718.75,627.25,26687
2020-12-03,721.15,721.18,711.755,715.41,627.51,33433
2020-12-04,716.78,716.87,697.01,704.05,617.55,38411
2020-12-07,701.27,709.315,699.79,709.25,622.11,44694
2020-12-08,707.0,718.25,704.91,713.66,625.98,55888
2020-12-09,712.16,713.45,697.165,702.08,615.82,43637
2020-12-10,697.88,702.435,695.205,698.58,612.75,40302
2020-12-11,691.43,697.015,690.67,695.08,609.68,48363
2020-12-14,698.89,700.09,683.72,684.6,600.49,33974
2020-12-15,693.49,703.92,690.33,697.865,612.12,41404
2020-12-16,705.46,708.65,693.9,698.44,612.63,46478
2020-12-17,703.98,708.61,701.49,706.17,619.41,56280
2020-12-18,705.665,705.665,691.81,698.94,613.06,41876
2020-12-21,695.01,703.52,689.735,699.52,613.57,33968
2020-12-22,701.565,701.565,691.93,693.295,608.11,30053
2020-12-23,700.0,708.17,698.22,704.83,618.23,43309
2020-12-24,705.94,710.77,705.94,708.01,621.02,11049
2020-12-28,714.0,714.0,709.35,710.69,623.37,17974
2020-12-29,714.94,714.94,705.76,706.67,619.84,19580
2020-12-30,711.03,716.85,708.49,709.01,621.9,27321
2020-12-31,708.38,721.87,708.38,721.825,633.14,16697
