date,open,high,low,close,adj_close,volume
2020-07-27,131.135,133.99,131.135,133.92,121.54,11094
2020-07-28,133.275,133.95,132.0,132.47,120.22,12821
2020-07-29,133.26,134.23,132.35,133.87,121.49,13108
2020-07-30,132.6,134.145,132.44,133.97,121.59,11833
2020-07-31,133.755,134.35,132.795,134.32,121.9,32938
2020-08-03,135.09,137.42,135.09,137.06,124.39,24172
2020-08-04,136.785,137.29,135.89,137.29,124.6,19816
2020-08-05,137.705,137.705,134.535,135.0,122.52,18249
2020-08-06,135.27,136.01,134.18,135.36,122.85,16844
2020-08-07,135.075,135.735,134.3,135.22,122.72,40029
2020-08-10,135.58,137.01,135.37,136.65,124.02,22504
2020-08-11,139.01,144.44,139.01,142.05,128.92,59590
2020-08-12,140.14,140.48,138.98,139.14,126.28,13843
2020-08-13,138.7,140.16,138.215,138.95,126.11,14391
2020-08-14,138.65,140.015,138.47,139.06,126.21,10279
2020-08-17,139.725,140.14,137.95,138.2,125.42,10103
2020-08-18,139.805,139.805,138.61,139.22,126.35,9420
2020-08-19,139.2,139.2,137.03,137.26,124.57,8430
2020-08-20,137.5,137.965,137.05,137.31,124.62,7390
2020-08-21,137.11,137.44,136.53,136.87,124.22,5872
2020-08-24,138.24,138.7,137.1,138.37,125.58,9351
2020-08-25,138.93,139.105,137.53,138.32,125.53,20231
2020-08-26,138.015,139.12,137.56,138.72,125.9,9694
2020-08-27,139.25,140.25,138.16,138.865,126.03,10906
2020-08-28,138.72,138.94,138.14,138.49,125.69,10393
2020-08-31,138.07,138.46,137.34,137.5,124.79,12003
2020-09-01,137.4,139.425,137.4,139.425,126.54,14739
2020-09-02,139.69,143.65,139.68,143.09,129.86,19331
2020-09-03,141.99,141.99,137.36,138.3,125.52,14532
2020-09-04,138.64,138.64,133.7,135.73,123.18,9065
2020-09-08,133.56,135.3,132.26,132.28,120.05,13871
2020-09-09,133.66,137.47,133.61,136.42,123.81,12672
2020-09-10,137.415,138.025,133.55,133.99,121.6,17355
2020-09-11,134.535,135.455,133.295,134.395,121.97,10496
2020-09-14,135.82,136.85,135.8,136.02,123.98,11093
2020-09-15,137.31,137.31,135.09,135.775,123.75,28353
2020-09-16,136.51,137.565,135.01,135.01,123.06,10335
2020-09-17,133.025,133.64,131.93,133.5,121.68,25576
2020-09-18,133.35,133.83,131.215,131.64,119.98,30078
2020-09-21,130.25,131.01,128.68,130.88,119.29,43782
2020-09-22,131.31,132.04,130.08,131.87,120.19,9237
2020-09-23,131.84,132.03,128.72,128.86,117.45,8368
2020-09-24,127.39,128.88,127.04,127.77,116.46,25273
2020-09-25,128.15,130.53,127.41,130.53,118.97,12756
2020-09-28,131.375,133.195,131.375,132.06,120.37,7466
2020-09-29,132.275,132.73,131.42,131.81,120.14,6593
2020-09-30,131.91,132.85,131.045,132.08,120.39,21897
2020-10-01,133.7,135.4,132.705,133.86,122.01,50286
2020-10-02,132.26,133.74,131.34,133.6,121.77,18254
2020-10-05,134.17,136.31,133.47,136.27,124.2,49720
2020-10-06,135.97,138.64,135.56,135.74,123.72,23947
2020-10-07,137.03,137.82,135.505,137.59,125.41,19240
2020-10-08,138.94,139.89,138.01,139.08,126.77,12478
2020-10-09,139.575,141.34,139.54,140.975,128.49,16643
2020-10-12,141.85,143.2,141.215,142.67,130.04,32228
2020-10-13,142.4,143.76,141.25,142.045,129.47,26288
2020-10-14,142.325,142.53,141.58,141.765,129.21,19952
2020-10-15,140.78,143.74,140.78,143.26,130.58,27872
2020-10-16,144.11,145.09,143.2,143.4,130.7,19162
2020-10-19,143.65,144.35,141.495,141.77,129.22,30463
2020-10-20,142.1,144.1,142.1,143.58,130.87,32928
2020-10-21,143.83,145.11,143.83,144.52,131.72,42604
2020-10-22,144.13,145.135,143.01,144.76,131.94,22110
2020-10-23,145.67,145.85,144.73,145.74,132.84,23244
2020-10-26,144.5,144.69,141.38,142.0,129.43,17035
2020-10-27,141.9,142.95,139.945,140.12,127.71,20554
2020-10-28,137.72,138.27,134.73,135.37,123.38,53883
2020-10-29,135.245,139.375,134.97,138.14,125.91,41046
2020-10-30,137.4,141.71,136.16,137.61,125.43,73103
2020-11-02,140.47,141.18,138.975,140.66,128.21,41354
2020-11-03,143.47,145.93,143.06,143.74,131.01,30689
2020-11-04,145.84,146.975,144.615,144.79,131.97,12292
2020-11-05,147.51,147.95,144.35,144.675,131.87,16264
2020-11-06,144.625,147.025,144.35,146.61,133.63,17072
2020-11-09,151.475,153.13,146.84,146.84,133.84,24540
2020-11-10,146.83,147.665,144.71,146.235,133.29,56186
2020-11-11,148.24,149.795,147.61,148.81,135.63,25230
2020-11-12,148.34,148.34,144.68,145.56,132.67,11020
2020-11-13,146.98,147.215,145.53,146.705,133.72,12091
2020-11-16,147.26,148.65,146.65,148.19,135.07,29780
2020-11-17,147.635,148.06,147.02,147.3,134.26,9683
2020-11-18,146.99,147.52,145.89,145.92,133.0,12672
2020-11-19,143.91,146.76,143.64,146.4,133.44,19255
2020-11-20,145.58,146.3,144.72,144.99,132.15,15193
2020-11-23,144.745,147.8,144.745,147.8,134.71,23414
2020-11-24,147.925,147.925,146.175,146.97,133.96,18668
2020-11-25,147.23,147.23,145.18,146.08,133.15,14551
2020-11-27,146.89,147.33,145.125,147.24,134.2,11844
2020-11-30,147.74,147.74,144.815,146.88,133.87,25337
2020-12-01,147.545,148.57,146.51,148.345,135.21,27165
2020-12-02,148.63,149.12,146.66,147.15,134.12,16909
2020-12-03,147.485,148.71,147.4,147.94,134.84,8783
2020-12-04,148.2,149.14,147.635,149.14,135.93,15395
2020-12-07,148.075,149.47,145.22,146.125,133.19,37089
2020-12-08,145.8,147.7,145.8,147.28,134.24,34385
2020-12-09,147.72,148.53,146.58,148.4,135.26,41352
2020-12-10,147.04,148.5,145.6,146.215,133.27,35537
2020-12-11,146.295,147.755,145.66,147.56,134.49,42442
2020-12-14,146.77,148.77,146.07,146.15,133.73,67880
2020-12-15,146.155,148.01,146.0,147.22,134.71,30384
2020-12-16,147.56,148.285,146.055,146.82,134.34,30981
2020-12-17,149.44,150.815,149.16,150.75,137.94,38396
2020-12-18,151.15,154.175,150.32,154.03,140.94,73566
2020-12-21,151.57,152.01,148.65,149.45,136.75,25722
2020-12-22,149.5,149.92,148.295,148.51,135.89,24720
2020-12-23,148.71,148.79,147.565,147.64,135.09,50521
2020-12-24,148.37,150.02,147.92,149.99,137.24,8669
2020-12-28,150.88,152.49,150.705,152.22,139.28,46097
2020-12-29,153.42,153.42,150.915,151.41,138.54,51450
2020-12-30,152.255,152.41,151.595,152.08,139.16,11726
2020-12-31,152.0,153.33,151.485,153.33,140.3,6936
2021-01-04,153.97,154.26,149.51,151.505,138.63,51536
2021-01-05,152.35,152.35,149.675,151.66,138.77,52888
2021-01-06,152.63,155.975,151.575,155.78,142.54,70354
2021-01-07,155.905,158.36,155.25,155.66,142.43,73400
2021-01-08,156.87,158.065,154.94,156.12,142.85,41948
2021-01-11,155.27,155.72,154.27,155.04,141.86,26097
2021-01-12,154.61,155.205,154.16,154.785,141.63,33740
2021-01-13,154.8,154.82,153.36,154.19,141.09,98428
2021-01-14,154.2,154.92,153.4,153.6,140.55,37813
2021-01-15,152.95,153.97,150.89,151.555,138.68,31789
2021-01-19,152.57,152.9,151.165,151.64,138.75,20854
2021-01-20,151.98,152.63,150.595,152.45,139.49,25835
2021-01-21,152.41,152.59,150.765,151.02,138.19,28657
2021-01-22,150.56,150.56,148.8,148.995,136.33,65801
2021-01-25,148.7,150.7,148.4,150.7,137.89,45535
2021-01-26,150.71,152.36,149.88,151.82,138.92,34568
2021-01-27,150.15,150.48,143.59,143.59,131.39,63210
2021-01-28,145.24,146.93,143.49,144.82,132.51,54757
2021-01-29,143.66,143.815,141.44,141.44,129.42,28797
2021-02-01,142.51,146.34,142.07,146.04,133.63,30093
2021-02-02,144.4,147.145,143.79,146.47,134.02,76281
2021-02-03,147.74,148.05,144.54,144.54,132.26,23552
