date,open,high,low,close,adj_close,volume
2020-07-27,55.48,55.64,54.87,55.2,44.76,34264
2020-07-28,55.075,55.08,54.105,54.155,43.91,42473
2020-07-29,54.74,55.35,54.42,55.095,44.67,29611
2020-07-30,54.35,54.74,53.95,54.6,44.27,73644
2020-07-31,54.37,54.37,52.635,53.27,43.49,58172
2020-08-03,53.33,53.76,52.5,53.12,43.37,33675
2020-08-04,52.975,52.975,51.865,52.2,42.62,211438
2020-08-05,52.415,53.195,52.07,52.985,43.26,111979
2020-08-06,52.81,53.58,52.81,53.005,43.27,78215
2020-08-07,52.78,53.13,52.38,52.505,42.86,40721
2020-08-10,52.72,52.72,51.775,52.32,42.71,167521
2020-08-11,52.56,53.73,52.41,52.505,42.86,165505
2020-08-12,53.49,53.605,52.72,52.8,43.11,32131
2020-08-13,52.64,53.35,52.64,53.2,43.43,40426
2020-08-14,53.11,53.27,52.71,52.765,43.08,61738
2020-08-17,52.76,53.58,52.76,53.38,43.58,28511
2020-08-18,53.43,53.93,53.43,53.615,43.77,52289
2020-08-19,53.81,54.515,53.78,53.995,44.08,38809
2020-08-20,53.7,53.93,52.46,52.5,42.86,26205
2020-08-21,52.76,53.31,52.76,52.98,43.25,75309
2020-08-24,53.255,53.595,53.035,53.295,43.51,79550
2020-08-25,53.47,53.47,52.675,53.02,43.28,95010
2020-08-26,52.93,54.18,52.77,54.05,44.13,158116
2020-08-27,53.98,54.25,53.47,53.565,43.73,135231
2020-08-28,53.72,53.72,52.82,52.95,43.23,123324
2020-08-31,53.02,53.42,52.74,52.94,43.22,68900
2020-09-01,53.235,53.71,53.02,53.71,43.85,40728
2020-09-02,53.78,54.815,53.205,54.49,44.48,43192
2020-09-03,54.61,54.61,52.49,53.87,43.98,55915
2020-09-04,54.34,54.72,52.42,52.99,43.26,38742
2020-09-08,51.8,51.99,50.905,51.11,41.73,81839
2020-09-09,51.8,51.97,51.2,51.58,42.11,72762
2020-09-10,51.735,52.405,51.385,51.43,41.99,67829
2020-09-11,51.81,52.01,50.67,51.465,42.02,175673
2020-09-14,51.985,52.81,51.745,52.695,43.02,45735
2020-09-15,52.8,53.85,52.395,53.19,43.42,64769
2020-09-16,53.22,54.25,53.1,53.49,43.67,57412
2020-09-17,52.65,52.65,51.6,52.175,42.59,125312
2020-09-18,52.26,52.95,52.17,52.7,43.02,77023
2020-09-21,51.87,52.055,51.15,51.745,42.24,48017
2020-09-22,52.2,52.24,50.66,51.29,41.87,57518
2020-09-23,51.46,52.34,50.66,50.77,41.45,66283
2020-09-24,50.56,50.835,49.27,49.925,40.76,92452
2020-09-25,49.815,51.45,49.815,51.15,41.76,87008
2020-09-28,51.845,52.815,51.845,52.635,42.97,61565
2020-09-29,52.375,53.205,52.025,52.74,43.06,95695
2020-09-30,52.64,53.34,52.03,52.23,42.64,209896
