date,open,high,low,close,adj_close,volume
2020-07-27,55.865,57.495,55.75,57.495,49.85,22601
2020-07-28,57.255,57.57,56.52,56.62,49.09,85323
2020-07-29,56.88,57.99,56.61,57.73,50.06,157558
2020-07-30,56.94,56.96,55.61,56.46,48.95,383660
2020-07-31,56.215,56.405,53.93,54.64,47.38,147844
2020-08-03,55.61,58.28,55.61,58.01,50.3,93371
2020-08-04,57.73,58.34,57.09,57.82,50.13,65683
2020-08-05,58.49,58.93,57.1,57.69,50.02,320669
2020-08-06,52.22,55.335,52.165,53.11,46.05,219282
2020-08-07,52.655,52.67,51.61,52.58,45.59,89723
2020-08-10,52.46,53.78,52.44,53.06,46.01,62198
2020-08-11,53.385,53.905,52.85,53.02,45.97,96568
2020-08-12,53.56,54.16,53.28,53.86,46.7,51724
2020-08-13,53.29,53.29,52.28,52.39,45.43,98184
2020-08-14,52.05,53.66,52.04,53.66,46.53,77055
2020-08-17,53.685,53.685,52.605,52.75,45.74,46003
2020-08-18,53.05,53.185,51.94,52.06,45.14,79534
2020-08-19,52.165,52.61,51.54,51.635,44.77,38062
2020-08-20,51.29,51.495,50.045,50.175,43.5,84143
2020-08-21,49.94,50.27,49.615,49.86,43.23,54302
2020-08-24,50.11,50.17,49.455,49.79,43.17,46102
2020-08-25,49.69,50.59,49.66,50.555,43.83,42392
2020-08-26,49.98,51.07,49.98,50.95,44.18,36848
2020-08-27,51.3,51.3,50.3,50.68,43.94,71643
2020-08-28,50.63,50.67,50.03,50.52,43.8,28960
2020-08-31,50.355,51.215,50.265,50.79,44.04,31572
2020-09-01,50.54,50.67,48.6,49.335,42.78,72753
2020-09-02,49.58,51.27,49.36,51.01,44.23,72805
2020-09-03,51.385,51.825,49.47,50.01,43.36,153124
2020-09-04,49.87,50.14,49.02,49.71,43.1,38869
2020-09-08,49.86,49.86,48.84,49.28,42.73,98118
2020-09-09,49.45,50.01,49.1,49.545,42.96,41328
2020-09-10,49.21,49.48,48.515,48.515,42.07,98422
2020-09-11,48.52,48.69,47.94,48.365,41.94,33842
2020-09-14,48.61,48.98,46.975,47.035,40.78,120492
2020-09-15,47.38,47.74,46.53,46.53,40.34,77506
2020-09-16,46.87,47.695,46.775,47.22,40.94,26018
2020-09-17,46.175,47.355,45.995,47.29,41.0,56267
2020-09-18,47.33,48.305,47.29,47.68,41.34,65717
2020-09-21,47.02,47.315,46.51,47.13,40.86,38280
2020-09-22,46.92,47.47,46.87,47.07,40.81,53451
2020-09-23,46.95,47.07,45.245,45.26,39.24,124680
2020-09-24,45.55,46.205,44.74,45.82,39.73,119819
2020-09-25,46.3,47.67,46.3,47.435,41.13,77549
2020-09-28,48.095,48.44,47.465,47.47,41.16,32573
2020-09-29,47.555,47.655,46.76,46.93,40.69,48531
2020-09-30,46.5,47.385,46.5,47.005,41.18,58769
2020-10-01,47.095,47.19,45.82,46.09,40.38,80408
2020-10-02,45.66,46.745,45.59,46.29,40.56,90943
2020-10-05,46.575,47.42,46.08,47.125,41.29,70116
2020-10-06,47.5,47.78,46.33,46.475,40.72,115420
2020-10-07,46.63,47.42,46.54,47.2,41.35,48553
2020-10-08,47.15,48.71,46.8,48.67,42.64,67074
2020-10-09,48.865,48.93,47.82,48.03,42.08,74806
2020-10-12,48.165,48.5,47.93,48.325,42.34,61599
2020-10-13,47.82,48.28,47.7,47.91,41.98,45167
2020-10-14,48.125,48.9,47.73,48.37,42.38,53892
2020-10-15,47.72,48.94,47.52,48.92,42.86,60239
2020-10-16,48.76,49.32,48.38,48.78,42.74,69648
2020-10-19,48.875,49.215,47.81,47.88,41.95,122828
2020-10-20,48.12,48.44,47.69,47.69,41.78,107774
2020-10-21,47.48,48.26,47.32,47.84,41.91,77107
2020-10-22,47.915,48.895,47.915,48.75,42.71,79799
2020-10-23,49.01,49.54,48.76,49.34,43.23,81165
2020-10-26,48.905,49.13,47.7,48.02,42.07,82820
2020-10-27,47.875,48.39,47.47,47.47,41.59,64050
2020-10-28,46.665,47.01,45.9,45.9,40.21,67737
2020-10-29,45.825,46.09,45.06,45.6,39.95,88350
2020-10-30,45.57,46.2,45.16,45.81,40.14,128038
2020-11-02,46.69,47.815,46.27,47.52,41.63,129911
2020-11-03,48.57,49.405,48.53,48.855,42.8,110349
2020-11-04,49.85,50.82,49.35,49.35,43.24,132505
2020-11-05,51.55,54.27,51.51,53.09,46.51,281268
2020-11-06,53.07,53.55,52.24,52.63,46.11,124163
2020-11-09,55.57,56.3,54.135,55.39,48.53,143025
2020-11-10,55.61,57.82,55.32,57.38,50.27,189367
2020-11-11,57.55,57.57,55.9,56.21,49.25,114637
2020-11-12,55.695,56.49,55.29,56.03,49.09,64217
2020-11-13,56.29,57.57,56.1,57.44,50.33,54918
2020-11-16,58.57,59.13,58.06,58.44,51.2,90382
2020-11-17,55.21,55.21,53.21,54.7,47.93,192581
2020-11-18,55.13,55.9,53.2,53.3,46.7,173852
2020-11-19,52.81,52.81,51.53,52.31,45.83,218935
2020-11-20,52.2,52.54,51.28,51.87,45.45,179785
2020-11-23,52.25,52.73,51.71,52.3,45.82,80516
2020-11-24,52.81,54.08,52.44,53.945,47.26,103602
2020-11-25,54.04,54.11,53.39,53.75,47.09,75345
2020-11-27,53.53,54.16,53.485,53.8,47.14,27288
2020-11-30,53.75,54.785,53.56,54.6,47.84,115220
2020-12-01,55.25,55.36,53.875,54.04,47.35,74381
2020-12-02,53.85,55.855,53.85,55.62,48.73,157596
2020-12-03,55.4,56.16,54.97,55.41,48.55,145430
2020-12-04,55.51,56.99,55.22,56.99,49.93,85150
2020-12-07,56.18,56.445,55.085,55.44,48.57,75867
2020-12-08,55.41,56.61,55.18,56.47,49.48,71283
2020-12-09,56.525,56.63,55.43,56.19,49.23,68373
2020-12-10,55.675,55.92,55.28,55.44,48.57,67131
2020-12-11,55.06,55.065,53.93,54.275,47.55,102396
2020-12-14,54.64,54.91,53.365,53.575,46.94,79791
2020-12-15,54.03,55.22,54.03,54.945,48.14,47154
2020-12-16,54.76,54.815,54.14,54.23,47.51,49398
2020-12-17,54.48,54.5,53.66,54.21,47.5,51081
2020-12-18,54.31,55.01,53.85,54.93,48.13,52243
2020-12-21,53.99,54.43,53.32,54.06,47.36,57957
2020-12-22,54.2,54.39,53.59,53.62,46.98,51977
2020-12-23,53.96,54.2,53.64,53.9,47.22,37909
2020-12-24,53.69,53.84,53.33,53.77,47.11,13266
2020-12-28,54.1,54.4,53.35,53.65,47.01,36571
2020-12-29,53.89,53.95,53.14,53.49,46.86,23077
2020-12-30,53.5,53.81,53.13,53.49,46.86,37613
2020-12-31,52.895,53.6,52.64,53.6,47.39,32725
2021-01-04,53.88,53.955,52.14,52.93,46.8,88560
2021-01-05,52.985,53.61,51.955,53.11,46.96,65103
2021-01-06,53.41,55.16,53.41,55.08,48.7,119961
2021-01-07,55.22,56.555,55.11,56.37,49.84,90573
2021-01-08,56.65,56.99,55.55,55.94,49.46,65918
2021-01-11,55.61,56.27,55.52,55.72,49.27,73305
2021-01-12,55.99,56.2,55.51,56.03,49.54,60968
2021-01-13,55.955,56.24,55.415,55.42,49.0,48517
2021-01-14,55.4,55.89,54.83,55.42,49.0,62283
2021-01-15,55.27,55.565,54.26,55.45,49.03,48423
2021-01-19,55.62,55.62,54.54,54.83,48.48,160972
2021-01-20,54.78,55.0,54.215,54.59,48.27,69479
2021-01-21,54.13,55.28,53.42,55.07,48.69,77949
2021-01-22,55.05,55.68,54.74,55.405,48.99,54408
2021-01-25,54.87,55.26,54.42,55.04,48.66,66535
2021-01-26,55.18,55.82,54.995,55.49,49.06,40927
2021-01-27,54.75,55.605,54.73,55.3,48.89,196613
2021-01-28,55.42,56.31,55.25,55.56,49.12,84543
2021-01-29,55.755,55.755,53.25,53.73,47.51,60473
2021-02-01,54.13,54.86,53.95,54.52,48.21,57854
2021-02-02,55.77,56.23,54.47,54.56,48.24,87984
2021-02-03,54.39,54.525,53.745,54.4,48.1,50520
2021-02-04,54.625,56.47,54.38,55.94,49.46,110250
2021-02-05,55.4,55.73,53.16,54.11,47.84,164536
2021-02-08,54.235,54.38,51.825,52.92,46.79,195890
2021-02-09,53.04,53.43,52.25,52.95,46.82,76368
2021-02-10,53.2,53.49,52.9,53.03,46.89,68612
2021-02-11,52.99,53.07,51.86,52.41,46.34,60923
2021-02-12,52.26,52.34,51.535,51.835,45.83,124700
2021-02-16,52.17,52.18,51.485,51.77,45.77,119965
2021-02-17,51.63,52.1,50.91,51.72,45.73,76512
2021-02-18,51.545,51.6,51.12,51.36,45.41,83910
2021-02-19,51.42,52.13,51.375,52.0,45.98,64171
2021-02-22,51.88,52.32,51.53,52.085,46.05,57619
2021-02-23,52.08,52.57,51.52,51.98,45.96,66280
2021-02-24,52.02,53.14,51.98,52.56,46.47,70309
2021-02-25,52.87,53.43,51.91,52.14,46.1,70109
2021-02-26,52.07,52.18,51.4,51.49,45.53,101045
2021-03-01,52.0,53.04,51.93,52.755,46.64,62573
2021-03-02,52.9,53.32,52.77,53.095,46.95,61170
2021-03-03,53.01,53.475,52.5,53.25,47.08,67688
2021-03-04,53.04,53.315,51.65,52.16,46.12,83521
2021-03-05,52.76,53.68,52.045,53.49,47.29,80154
2021-03-08,54.03,55.16,53.62,54.71,48.37,105122
2021-03-09,54.76,55.47,54.3,54.3,48.01,57626
2021-03-10,54.435,56.41,54.435,56.17,49.66,91268
2021-03-11,56.28,56.5,55.38,55.715,49.26,107951
2021-03-12,56.085,57.675,56.01,57.34,50.7,86055
2021-03-15,57.44,58.065,57.19,58.015,51.3,79005
2021-03-16,57.75,58.06,57.28,57.28,50.65,44298
2021-03-17,57.48,58.36,57.41,57.93,51.22,59084
2021-03-18,58.04,58.84,57.94,58.27,51.52,58562
2021-03-19,58.15,59.385,58.02,58.72,51.92,95112
2021-03-22,58.66,59.19,58.21,59.14,52.29,49834
2021-03-23,59.1,59.16,57.55,57.72,51.03,48255
2021-03-24,57.91,60.1,57.88,59.16,52.31,91897
2021-03-25,59.42,60.65,58.63,60.41,53.41,95499
2021-03-26,61.11,61.89,60.98,61.89,54.72,82672
2021-03-29,61.68,62.74,61.68,62.41,55.18,57717
2021-03-30,62.67,62.94,62.0,62.28,55.07,81812
2021-03-31,61.99,61.99,60.75,60.75,54.14,118556
2021-04-01,60.665,60.88,59.45,60.88,54.25,53420
2021-04-05,61.095,61.14,60.07,60.58,53.98,63897
2021-04-06,60.69,61.06,60.185,60.24,53.68,59564
2021-04-07,60.475,60.78,60.225,60.7,54.09,60427
2021-04-08,60.52,60.59,58.86,59.25,52.8,65275
