date,open,high,low,close,adj_close,volume
2020-07-27,163.22,164.225,163.06,164.045,158.25,9982
2020-07-28,164.12,165.04,163.065,163.1,157.34,9967
2020-07-29,162.685,162.785,161.07,161.64,155.93,7716
2020-07-30,160.815,162.15,160.32,160.72,155.04,7765
2020-07-31,160.19,160.24,157.195,159.05,153.74,13363
2020-08-03,160.96,164.97,159.03,164.825,159.32,17568
2020-08-04,165.23,171.68,165.23,171.095,165.38,13362
2020-08-05,169.09,170.55,167.395,169.51,163.85,10927
2020-08-06,169.61,170.97,168.665,169.995,164.32,7521
2020-08-07,170.96,171.31,169.84,171.06,165.34,6075
2020-08-10,170.815,173.925,170.815,171.695,165.96,5722
2020-08-11,173.17,173.23,171.39,171.735,166.0,11504
2020-08-12,173.85,174.055,172.445,173.195,167.41,6760
2020-08-13,172.085,172.71,171.565,172.37,166.61,5842
2020-08-14,174.05,175.17,174.05,174.73,168.89,9038
2020-08-17,174.98,177.89,174.795,176.65,170.75,13735
2020-08-18,175.495,178.62,175.35,177.085,171.17,12609
2020-08-19,176.07,179.425,175.65,177.61,171.68,6717
2020-08-20,176.51,178.46,176.51,177.05,171.13,10348
2020-08-21,176.85,178.93,176.85,178.66,172.69,5699
2020-08-24,179.59,179.78,178.31,179.615,173.61,8933
2020-08-25,179.25,179.28,176.405,177.58,171.65,9560
2020-08-26,177.09,177.09,174.4,174.5,168.67,5274
2020-08-27,175.94,177.53,175.22,176.585,170.69,3700
2020-08-28,176.595,177.86,176.36,177.755,171.82,6508
2020-08-31,176.795,178.435,176.24,177.86,171.92,8340
2020-09-01,177.015,178.625,175.87,176.22,170.33,9314
2020-09-02,177.46,181.8,177.46,181.55,175.48,10813
2020-09-03,182.435,182.985,177.2,177.51,171.58,9100
2020-09-04,178.45,178.87,174.71,176.295,170.4,10713
2020-09-08,173.5,176.375,173.105,174.49,168.66,24866
2020-09-09,176.86,183.055,169.48,170.23,164.54,23068
2020-09-10,173.38,179.63,172.97,177.355,171.43,30964
2020-09-11,176.23,181.26,175.98,178.88,172.9,15527
2020-09-14,178.32,178.705,175.195,176.39,170.5,11224
2020-09-15,177.38,178.225,175.43,176.4,170.51,14598
2020-09-16,176.885,178.38,175.05,175.285,169.43,9043
2020-09-17,175.02,179.58,175.005,176.72,170.82,13943
2020-09-18,176.48,176.48,173.08,173.53,167.73,7071
2020-09-21,170.96,171.86,169.65,171.025,165.31,13000
2020-09-22,173.2,174.045,171.215,172.81,167.04,8525
2020-09-23,174.2,174.2,170.605,171.06,165.34,22001
2020-09-24,170.26,172.5,169.26,172.35,166.59,7589
2020-09-25,172.06,173.95,171.36,173.95,168.14,6117
2020-09-28,175.0,176.6,174.83,175.74,169.87,7379
2020-09-29,174.935,177.65,174.57,177.15,171.23,7017
2020-09-30,177.28,179.49,176.695,177.95,172.0,8666
2020-10-01,177.72,180.85,177.72,180.4,174.37,11264
2020-10-02,179.16,181.62,178.05,181.21,175.16,18893
2020-10-05,182.76,184.4,182.12,183.91,177.77,11835
2020-10-06,185.77,186.485,182.205,182.46,176.36,20100
2020-10-07,185.24,185.24,180.88,181.45,175.39,10697
2020-10-08,182.5,183.41,181.23,182.62,176.52,6466
2020-10-09,184.225,184.725,182.66,182.935,176.82,7506
2020-10-12,184.465,185.155,183.72,185.005,178.82,9453
2020-10-13,185.85,185.96,183.75,184.64,178.47,5548
2020-10-14,185.77,185.77,182.16,183.145,177.03,9640
2020-10-15,183.35,183.835,181.02,183.05,176.93,16115
2020-10-16,184.875,185.62,182.96,184.435,178.27,8069
2020-10-19,184.985,185.15,181.04,181.04,174.99,7188
2020-10-20,183.195,185.35,182.495,182.495,176.4,6876
2020-10-21,183.09,184.6,182.07,183.275,177.15,7264
2020-10-22,182.39,184.8,182.225,184.16,178.01,17203
2020-10-23,184.6,184.755,182.15,182.15,176.06,14853
2020-10-26,181.665,182.48,179.64,181.22,175.17,11205
2020-10-27,181.885,181.94,180.27,180.275,174.25,8100
2020-10-28,176.15,179.405,172.36,172.585,166.82,15717
2020-10-29,169.965,172.78,168.31,170.32,164.63,13818
2020-10-30,170.89,170.89,165.935,167.98,162.67,11991
2020-11-02,168.385,169.8,166.15,167.79,162.49,15811
2020-11-03,169.33,175.475,169.33,174.605,169.09,8804
2020-11-04,174.22,174.53,171.985,172.165,166.73,5392
2020-11-05,174.98,177.09,174.98,176.87,171.28,4445
2020-11-06,176.9,178.69,176.9,177.45,171.84,6488
2020-11-09,186.63,191.82,182.025,190.7,184.67,18367
2020-11-10,188.655,196.175,188.655,193.62,187.5,12127
2020-11-11,193.08,194.26,191.53,192.8,186.71,14202
2020-11-12,192.58,192.58,188.155,189.275,183.29,8165
2020-11-13,190.04,192.175,190.04,191.665,185.61,5878
2020-11-16,192.495,193.445,190.68,190.68,184.66,8148
2020-11-17,190.565,190.88,187.19,190.56,184.54,6022
2020-11-18,189.17,190.28,183.47,183.47,177.67,12333
2020-11-19,182.315,183.57,181.25,182.2,176.44,9593
2020-11-20,183.67,183.67,178.7,178.8,173.15,11111
2020-11-23,179.62,181.455,177.485,181.23,175.5,15146
2020-11-24,182.19,184.815,182.01,182.62,176.85,7835
2020-11-25,182.45,183.89,180.935,181.095,175.37,17850
2020-11-27,181.73,182.775,179.56,181.04,175.32,5127
2020-11-30,179.65,182.38,178.04,181.425,175.69,21371
2020-12-01,183.79,187.115,183.79,185.865,179.99,8276
2020-12-02,185.21,185.74,182.92,184.34,178.52,13692
2020-12-03,182.83,186.545,180.01,186.08,180.2,27791
2020-12-04,185.575,191.39,185.575,191.39,185.34,22021
2020-12-07,193.0,194.68,187.53,187.83,181.9,19278
2020-12-08,184.76,186.11,180.33,181.45,175.72,39054
2020-12-09,182.19,182.19,177.03,178.77,173.12,26533
2020-12-10,177.8,179.54,175.375,178.55,172.91,29183
2020-12-11,177.56,177.73,174.28,175.095,169.56,17462
2020-12-14,178.625,178.625,172.71,172.99,167.52,16754
2020-12-15,174.31,176.61,173.905,176.16,170.59,37023
2020-12-16,176.55,178.29,174.67,176.86,171.27,19560
2020-12-17,179.53,182.81,179.19,181.34,175.61,25608
2020-12-18,181.43,183.14,180.52,181.3,175.57,24859
2020-12-21,179.65,180.18,177.655,179.0,173.34,11882
2020-12-22,177.725,178.23,176.69,177.56,171.95,8164
2020-12-23,179.31,179.31,176.64,177.37,171.77,24549
2020-12-24,178.335,178.4,176.8,177.25,171.65,10099
2020-12-28,177.75,180.38,174.79,180.235,174.54,20876
2020-12-29,180.415,180.58,177.56,178.56,172.92,26242
2020-12-30,180.25,180.25,178.2,179.17,173.51,8073
2020-12-31,177.76,179.825,177.76,178.7,173.05,9145
2021-01-04,179.47,179.84,176.69,177.67,172.06,27771
2021-01-05,177.08,180.63,175.24,177.765,172.15,38851
2021-01-06,180.14,184.63,179.7,183.85,178.04,31884
2021-01-07,183.675,186.705,183.64,184.78,178.94,61172
2021-01-08,183.82,185.56,183.48,184.73,178.89,19773
2021-01-11,181.895,185.1,180.86,182.03,176.28,20292
2021-01-12,183.115,186.29,183.025,185.315,179.46,10990
2021-01-13,183.21,185.43,180.5,184.195,178.38,33046
2021-01-14,184.59,187.665,184.59,186.92,181.01,31760
2021-01-15,186.745,188.25,186.185,186.69,180.79,12815
2021-01-19,187.605,191.58,187.525,189.21,183.23,23044
2021-01-20,190.36,195.44,188.96,195.1,188.94,27984
2021-01-21,195.43,199.075,195.43,196.35,190.15,25880
2021-01-22,197.715,199.46,196.085,197.66,191.41,23154
2021-01-25,196.83,200.7,196.58,199.025,192.74,9843
2021-01-26,201.08,204.43,199.775,203.91,197.47,17646
2021-01-27,204.28,209.58,204.18,207.11,200.57,53115
2021-01-28,207.73,207.73,195.26,195.74,189.56,40776
2021-01-29,194.185,195.66,187.02,187.82,182.2,19624
2021-02-01,187.69,187.75,183.82,185.17,179.63,14908
2021-02-02,185.92,192.21,185.92,188.61,182.97,17392
2021-02-03,189.06,189.06,184.92,185.9,180.34,10173
2021-02-04,187.46,190.25,186.48,190.06,184.38,18469
2021-02-05,191.64,194.535,191.41,194.19,188.38,22299
2021-02-08,200.12,203.03,197.295,202.55,196.49,16097
2021-02-09,202.52,207.755,202.52,205.05,198.92,26580
2021-02-10,205.93,207.9,204.78,207.8,201.59,21058
2021-02-11,207.54,211.31,207.54,211.26,204.94,26693
2021-02-12,211.98,212.46,208.71,209.36,203.1,23082
2021-02-16,209.99,213.61,208.875,212.765,206.4,17945
2021-02-17,211.085,212.33,209.11,209.58,203.31,19519
2021-02-18,208.68,209.73,206.51,208.34,202.11,13435
2021-02-19,208.995,210.51,208.7,208.705,202.46,9129
2021-02-22,208.57,208.57,204.9,205.92,199.76,11834
2021-02-23,203.07,206.59,203.07,204.09,197.99,8224
2021-02-24,204.93,207.47,203.33,206.565,200.39,16864
2021-02-25,207.705,208.72,203.48,204.04,197.94,11226
2021-02-26,205.29,205.29,201.54,202.23,196.18,22617
2021-03-01,202.91,204.875,202.88,203.08,197.01,12860
2021-03-02,202.88,202.88,198.1,199.46,193.49,9858
2021-03-03,200.44,202.44,199.28,199.86,193.88,19414
2021-03-04,198.58,200.26,195.205,197.61,191.7,12740
2021-03-05,200.75,204.35,197.6,203.905,197.81,25196
2021-03-08,206.1,206.77,201.28,202.495,196.44,33266
2021-03-09,200.92,202.53,196.69,197.62,191.71,36922
2021-03-10,198.84,205.09,197.88,204.5,198.38,21992
2021-03-11,202.865,204.615,202.27,202.9,196.83,15316
2021-03-12,203.35,206.59,203.35,206.29,200.12,13801
2021-03-15,207.18,209.545,206.75,208.115,201.89,15087
2021-03-16,207.18,210.48,207.03,207.28,201.08,9560
2021-03-17,204.41,207.66,203.99,206.88,200.69,4731
2021-03-18,207.19,207.19,204.725,204.92,198.79,8718
2021-03-19,205.84,209.14,205.745,207.69,201.48,5896
2021-03-22,209.22,211.23,206.65,207.38,201.18,9713
2021-03-23,207.92,210.33,204.39,209.51,203.24,15502
2021-03-24,210.39,211.23,205.82,206.35,200.18,8632
2021-03-25,207.985,212.75,205.5,212.345,205.99,7805
2021-03-26,212.93,217.18,212.93,216.94,210.45,10165
2021-03-29,217.16,220.93,213.995,215.32,208.88,13100
2021-03-30,217.35,217.77,214.22,216.72,210.24,10130
2021-03-31,216.52,218.59,216.31,216.47,210.0,11419
2021-04-01,214.695,217.43,213.4,216.54,210.06,7430
2021-04-05,217.86,220.6,217.33,219.81,213.24,6678
2021-04-06,219.07,219.83,217.23,218.95,212.4,17104
2021-04-07,218.91,218.96,214.53,215.23,208.79,8130
2021-04-08,216.42,217.35,215.1,217.1,210.61,9169
2021-04-09,217.59,219.9,215.93,219.58,213.01,7443
2021-04-12,219.84,220.055,217.73,218.44,211.91,20318
2021-04-13,218.85,218.85,216.92,217.24,210.74,5706
2021-04-14,217.66,219.04,217.63,217.63,211.12,6119
2021-04-15,217.64,220.82,217.64,220.29,213.7,10035
2021-04-16,221.65,224.165,221.65,223.34,216.66,9495
2021-04-19,223.49,224.53,222.04,224.37,217.66,10916
2021-04-20,224.02,224.63,222.44,223.615,216.93,8884
2021-04-21,223.79,223.935,222.45,222.94,216.27,9241
2021-04-22,222.18,223.17,220.91,221.72,215.09,7644
2021-04-23,222.03,224.88,222.03,223.99,217.29,6459
2021-04-26,223.21,223.52,221.12,223.08,216.41,11415
2021-04-27,225.2,225.2,221.23,221.93,215.29,9766
2021-04-28,222.36,224.65,221.21,224.25,217.54,8199
2021-04-29,225.08,225.2,222.21,223.12,216.45,4942
2021-04-30,221.595,222.66,221.27,221.7,215.4,5414
2021-05-03,223.66,225.2,222.31,222.53,216.2,14391
2021-05-04,221.22,221.73,219.485,221.68,215.38,5764
2021-05-05,221.23,222.63,220.92,222.39,216.07,8335
2021-05-06,222.07,223.03,221.52,221.93,215.62,5422
2021-05-07,222.38,224.65,221.05,223.095,216.75,10063
2021-05-10,223.91,226.0,223.28,224.355,217.98,12534
2021-05-11,222.67,223.51,218.01,218.33,212.12,17324
2021-05-12,217.28,218.18,214.06,217.64,211.45,18879
2021-05-13,218.26,226.78,218.26,226.35,219.92,21459
2021-05-14,226.75,226.75,222.8,223.82,217.46,13781
2021-05-17,225.06,228.09,224.09,226.36,219.93,13534
2021-05-18,224.69,226.93,223.4,224.05,217.68,9544
2021-05-19,222.58,223.475,217.08,219.2,212.97,22198
2021-05-20,219.63,219.8,218.1,218.84,212.62,15654
2021-05-21,223.825,223.825,218.57,219.66,213.42,16670
2021-05-24,220.35,222.95,220.11,220.605,214.33,7876
2021-05-25,220.3,221.5,218.58,219.19,212.96,17916
