date,open,high,low,close,adj_close,volume
2020-07-27,114.85,116.53,114.61,116.35,107.7,19382
2020-07-28,116.195,116.255,113.73,113.83,105.37,17124
2020-07-29,114.14,115.94,113.36,115.36,106.78,12394
2020-07-30,113.22,115.82,112.4,115.61,107.01,27644
2020-07-31,114.94,116.2,113.74,116.13,107.49,22682
2020-08-03,116.235,118.42,116.235,117.54,108.8,28316
2020-08-04,116.84,119.74,116.84,119.46,110.58,54831
2020-08-05,121.165,121.165,115.53,116.66,107.99,83056
2020-08-06,116.72,117.67,114.49,114.83,106.29,29632
2020-08-07,114.13,114.83,112.93,114.81,106.27,42258
2020-08-10,114.48,114.77,113.01,113.1,104.69,25352
2020-08-11,114.435,119.905,114.435,117.19,108.48,54158
2020-08-12,118.28,118.28,116.33,116.625,107.95,20252
2020-08-13,115.24,115.77,114.01,114.59,106.07,14820
2020-08-14,113.24,113.735,112.87,113.5,105.06,19061
2020-08-17,113.93,115.1,113.39,113.63,105.18,13700
2020-08-18,113.915,114.155,110.79,110.99,102.74,20713
2020-08-19,111.05,112.83,110.98,111.93,103.61,24727
2020-08-20,111.13,112.98,111.1,112.325,103.97,17980
2020-08-21,112.06,112.06,110.54,111.22,102.95,28415
2020-08-24,111.555,113.31,111.425,112.165,104.18,13398
2020-08-25,112.84,112.84,111.27,112.165,104.18,27142
2020-08-26,111.57,111.67,110.14,111.195,103.28,29177
2020-08-27,112.45,115.55,111.96,114.83,106.66,82739
2020-08-28,115.055,115.84,113.79,115.39,107.18,26380
2020-08-31,114.57,114.78,112.73,113.71,105.62,29968
2020-09-01,112.915,113.445,110.235,112.55,104.54,50774
2020-09-02,113.17,117.83,112.95,117.555,109.19,60740
2020-09-03,116.95,117.45,111.3,112.15,104.17,42376
2020-09-04,113.32,115.38,111.78,114.41,106.27,45898
2020-09-08,112.33,114.11,111.63,111.63,103.68,37381
2020-09-09,112.11,112.11,109.67,110.63,102.76,13294
2020-09-10,111.355,111.94,109.46,110.16,102.32,44427
2020-09-11,109.25,111.51,109.05,111.34,103.41,79352
2020-09-14,112.54,113.965,111.91,113.25,105.19,18700
2020-09-15,113.765,115.49,113.39,114.15,106.02,21715
2020-09-16,114.935,116.54,113.65,113.92,105.81,51635
2020-09-17,112.31,114.28,112.12,114.05,105.93,26374
2020-09-18,113.12,115.215,112.32,112.73,104.71,24689
2020-09-21,110.315,110.315,108.59,108.7,100.96,32866
2020-09-22,108.355,110.29,105.98,110.21,102.37,37262
2020-09-23,110.33,111.95,109.06,109.15,101.38,30805
2020-09-24,108.79,111.95,108.64,110.405,102.55,57907
2020-09-25,110.37,112.825,109.99,112.76,104.73,22542
2020-09-28,113.54,116.67,113.23,116.55,108.25,21852
2020-09-29,116.95,118.92,116.95,118.21,109.8,36672
2020-09-30,118.48,121.85,118.41,119.695,111.18,30784
2020-10-01,120.445,124.525,120.445,123.49,114.7,106447
2020-10-02,120.785,124.55,120.765,123.67,114.87,118264
2020-10-05,124.21,126.43,124.06,125.92,116.96,41465
2020-10-06,126.03,127.125,122.54,123.11,114.35,55015
2020-10-07,124.685,126.13,124.34,125.93,116.97,17906
2020-10-08,126.75,127.15,125.675,126.14,117.16,19429
2020-10-09,126.99,127.81,125.62,125.975,117.01,26317
2020-10-12,127.86,130.71,126.61,130.095,120.83,24711
2020-10-13,129.92,131.13,129.79,129.79,120.55,27486
2020-10-14,130.575,131.13,129.505,129.53,120.31,26774
2020-10-15,127.56,130.11,127.1,129.79,120.55,35773
2020-10-16,131.32,131.69,130.58,130.73,121.42,10786
2020-10-19,130.775,131.6,128.5,128.5,119.35,14462
2020-10-20,129.4,131.36,129.13,129.55,120.33,27999
2020-10-21,129.87,130.13,128.24,128.81,119.64,16608
2020-10-22,128.07,129.765,127.455,129.49,120.27,14259
2020-10-23,130.34,130.505,128.86,130.0,120.75,10308
2020-10-26,128.49,128.49,124.39,125.7,116.75,19609
2020-10-27,125.665,126.19,123.14,123.26,114.49,47124
2020-10-28,120.0,120.38,118.6,118.635,110.19,27081
2020-10-29,117.2,121.86,117.2,121.325,112.69,35935
2020-10-30,120.45,123.06,120.085,122.92,114.17,54379
2020-11-02,125.73,129.42,123.26,126.39,117.39,95014
2020-11-03,129.9,131.72,128.06,130.88,121.56,28974
2020-11-04,131.47,135.885,131.31,133.88,124.35,47682
2020-11-05,135.455,139.67,135.455,138.155,128.32,122738
2020-11-06,138.32,139.42,137.75,138.11,128.28,41938
2020-11-09,146.04,146.725,143.04,144.03,133.78,210446
2020-11-10,141.45,144.22,137.11,137.44,127.66,153155
2020-11-11,138.49,139.11,136.89,138.65,128.78,18817
2020-11-12,138.435,138.85,135.35,135.59,125.94,16927
2020-11-13,137.78,138.43,136.88,137.51,127.72,85736
2020-11-16,139.335,140.715,138.57,138.99,129.1,34514
2020-11-17,137.13,137.565,136.41,136.655,126.93,70825
2020-11-18,137.29,138.03,135.79,135.79,126.12,232065
2020-11-19,134.405,134.51,131.07,132.85,123.39,154790
2020-11-20,132.66,132.87,131.92,131.92,122.53,34291
2020-11-23,132.51,132.51,130.595,131.06,121.73,36508
2020-11-24,132.105,137.57,131.665,136.9,127.54,114568
2020-11-25,136.34,136.34,131.365,131.82,122.81,45071
2020-11-27,132.2,132.215,131.1,132.02,123.0,53783
2020-11-30,131.425,131.425,129.09,130.46,121.54,141526
2020-12-01,131.13,133.05,131.03,132.03,123.01,69217
2020-12-02,132.05,132.14,130.66,131.19,122.22,22565
2020-12-03,131.205,132.73,131.07,131.1,122.14,22409
2020-12-04,131.465,134.315,131.465,133.34,124.23,59682
2020-12-07,133.135,134.7,132.02,132.89,123.81,51772
2020-12-08,133.48,134.32,132.78,132.96,123.87,28978
2020-12-09,133.035,133.335,131.29,132.19,123.16,23591
2020-12-10,131.58,132.32,130.955,131.68,122.68,27998
2020-12-11,130.63,131.58,128.92,130.645,121.72,39227
2020-12-14,131.41,133.97,131.055,131.8,122.79,74377
2020-12-15,132.355,133.225,131.755,132.85,123.77,33410
2020-12-16,132.71,132.95,131.88,132.3,123.26,33466
2020-12-17,132.57,135.365,131.61,135.27,126.03,38081
2020-12-18,136.14,136.48,133.435,134.47,125.28,44805
2020-12-21,131.975,132.1,129.35,131.0,122.05,75945
2020-12-22,131.19,131.575,129.6,130.775,121.84,102914
2020-12-23,131.125,132.38,129.67,129.95,121.07,49340
2020-12-24,130.385,130.46,128.52,129.17,120.34,12073
2020-12-28,130.8,131.19,129.645,131.12,122.16,45281
2020-12-29,131.99,133.89,128.905,129.42,120.58,41808
2020-12-30,130.23,130.46,129.485,129.95,121.07,31544
2020-12-31,129.72,131.87,129.53,131.79,122.78,20181
2021-01-04,131.95,132.46,125.61,127.08,118.4,80686
2021-01-05,126.07,128.28,125.75,127.8,119.07,48223
2021-01-06,128.46,130.345,128.19,128.85,120.04,39273
2021-01-07,129.0,132.58,128.96,132.01,122.99,151821
2021-01-08,132.0,135.72,132.0,134.665,125.46,85507
2021-01-11,133.06,135.15,132.77,133.73,124.59,65636
2021-01-12,133.28,135.63,133.17,134.6,125.4,63584
2021-01-13,134.6,136.205,134.22,134.99,125.76,59988
2021-01-14,135.075,136.16,134.46,134.83,125.62,30264
2021-01-15,133.81,134.5,131.18,133.73,124.59,37706
2021-01-19,132.88,134.61,132.175,133.03,123.94,26803
2021-01-20,133.43,136.81,133.43,136.18,126.87,78958
2021-01-21,135.81,137.8,134.79,137.72,128.31,43605
2021-01-22,136.63,137.25,135.32,135.59,126.32,49390
