date,open,high,low,close,adj_close,volume
2020-07-27,86.18,88.34,86.14,87.69,76.53,47612
2020-07-28,87.74,88.485,87.105,87.19,76.09,90902
2020-07-29,92.31,99.17,91.8,95.27,83.14,249886
2020-07-30,94.91,96.52,92.48,93.62,81.7,84083
2020-07-31,93.42,93.87,91.83,93.77,81.84,76384
2020-08-03,93.785,94.385,91.935,93.59,81.68,56642
2020-08-04,92.71,95.79,92.17,95.47,83.32,106215
2020-08-05,95.75,96.235,94.465,95.56,83.4,45507
2020-08-06,94.65,95.45,94.615,95.0,82.91,31586
2020-08-07,95.06,96.57,95.06,95.69,83.51,30818
2020-08-10,96.095,96.805,95.96,96.62,84.32,11826
2020-08-11,96.83,96.855,95.11,95.385,83.25,44665
2020-08-12,96.545,96.8,95.53,95.68,83.5,80609
2020-08-13,95.21,95.775,94.475,95.09,82.99,29024
2020-08-14,95.24,96.01,94.725,95.1,83.0,39501
2020-08-17,93.705,95.65,93.705,95.255,83.13,47345
2020-08-18,95.3,95.63,94.68,94.91,82.83,46276
2020-08-19,95.425,95.82,94.75,95.53,83.37,44160
2020-08-20,95.115,96.59,94.955,96.48,84.2,21517
2020-08-21,96.17,96.83,95.89,96.54,84.25,15190
2020-08-24,96.67,97.135,95.75,97.02,84.67,30234
2020-08-25,97.57,97.57,96.235,96.57,84.28,25950
2020-08-26,96.2,97.47,96.2,97.27,84.89,32772
2020-08-27,97.69,98.955,97.15,98.27,85.76,76869
2020-08-28,98.365,98.87,97.71,98.7,86.14,33473
2020-08-31,98.95,99.485,97.87,98.36,85.84,65719
2020-09-01,98.23,99.31,97.63,99.19,86.57,31751
2020-09-02,99.1,99.925,98.87,99.655,86.97,19534
2020-09-03,98.225,98.565,96.72,97.73,85.73,44208
2020-09-04,97.62,98.27,96.24,97.815,85.81,71317
2020-09-08,97.08,97.095,95.73,95.84,84.07,24376
2020-09-09,97.39,99.51,97.155,98.975,86.82,24313
2020-09-10,99.61,101.02,98.42,98.55,86.45,47923
2020-09-11,99.155,99.54,97.82,98.89,86.75,36482
2020-09-14,99.21,101.19,99.18,100.69,88.33,106264
2020-09-15,101.0,104.8,101.0,104.095,91.31,133776
2020-09-16,104.99,105.68,103.385,103.49,90.78,107234
2020-09-17,102.19,104.4,102.18,103.55,90.84,23058
2020-09-18,103.24,104.76,102.66,103.19,90.52,62362
2020-09-21,102.27,102.56,100.29,101.88,89.37,114403
2020-09-22,102.305,103.55,102.305,102.53,89.94,91647
2020-09-23,102.535,103.43,101.1,101.18,88.76,114736
2020-09-24,101.105,102.655,99.715,101.76,89.27,89433
2020-09-25,101.325,102.825,101.325,102.3,89.74,34808
2020-09-28,103.325,104.535,102.75,103.14,90.48,20094
2020-09-29,103.455,104.895,103.29,103.715,90.98,42738
2020-09-30,104.52,105.23,101.73,102.18,89.63,105899
2020-10-01,103.71,103.71,100.92,101.24,88.81,98488
2020-10-02,100.215,101.55,99.06,100.9,88.51,101638
2020-10-05,102.375,104.32,102.375,104.005,91.24,61978
2020-10-06,103.26,104.24,102.33,103.6,90.88,71026
2020-10-07,104.53,106.41,104.455,106.22,93.18,47735
2020-10-08,106.27,106.75,105.625,106.07,93.05,51934
2020-10-09,106.61,106.61,104.82,105.435,92.49,59183
2020-10-12,106.02,106.29,104.5,105.02,92.13,35353
2020-10-13,104.775,105.725,104.59,104.59,91.75,58354
2020-10-14,105.125,105.44,104.19,104.8,91.93,64196
2020-10-15,104.275,105.17,103.625,105.135,92.23,58720
2020-10-16,103.865,104.29,100.06,100.2,87.9,173445
2020-10-19,100.24,101.395,99.68,99.97,87.7,113177
2020-10-20,100.3,102.05,100.0,100.52,88.18,68274
2020-10-21,100.1,102.42,100.1,100.74,88.37,65067
2020-10-22,100.41,101.035,99.04,99.56,87.34,94355
2020-10-23,99.605,100.7,99.18,100.47,88.13,87386
2020-10-26,100.01,100.2,98.15,99.615,87.38,117279
2020-10-27,99.66,101.58,99.395,100.01,87.73,117387
2020-10-28,94.36,95.0,88.355,88.605,77.73,460373
2020-10-29,88.53,91.33,88.11,90.155,79.09,102188
2020-10-30,89.68,90.0,86.8,88.43,77.57,119104
2020-11-02,89.82,89.89,86.82,87.445,76.71,97096
2020-11-03,88.97,89.57,87.57,89.2,78.25,121952
2020-11-04,89.21,90.73,88.03,88.12,77.3,61792
2020-11-05,89.46,89.885,87.99,88.79,77.89,67965
2020-11-06,88.67,90.935,88.03,90.6,79.48,72568
2020-11-09,94.35,95.97,91.565,93.91,82.38,196196
2020-11-10,93.15,94.605,92.57,93.91,82.38,110046
2020-11-11,94.47,94.47,92.01,93.39,81.92,53411
2020-11-12,92.86,93.17,89.89,90.54,79.42,79882
2020-11-13,91.82,92.585,91.795,92.0,80.7,54467
2020-11-16,93.25,93.29,91.67,92.82,81.42,45569
2020-11-17,92.84,93.925,91.34,93.54,82.05,65201
2020-11-18,93.02,93.94,92.43,92.95,81.54,118013
2020-11-19,92.18,94.01,91.39,93.82,82.3,90003
2020-11-20,94.57,94.86,92.03,92.57,81.2,70719
2020-11-23,92.795,93.0,91.19,92.12,80.81,80984
2020-11-24,92.76,95.05,92.475,94.49,82.89,77623
2020-11-25,94.2,94.2,92.815,93.01,81.59,53280
2020-11-27,92.83,93.125,91.83,92.74,81.35,28281
2020-11-30,93.1,94.0,92.66,93.92,82.39,53601
2020-12-01,94.39,95.27,93.6,93.77,82.26,51378
2020-12-02,93.66,93.76,91.27,92.31,80.98,61352
2020-12-03,92.25,93.45,92.23,92.55,81.19,33047
2020-12-04,92.8,93.3,92.02,92.9,81.49,36654
2020-12-07,92.85,93.24,92.595,93.24,81.79,43473
2020-12-08,93.29,94.64,92.96,94.295,82.72,40774
2020-12-09,94.06,95.14,94.0,95.04,83.37,61090
2020-12-10,93.86,94.8,92.385,92.74,81.35,61543
2020-12-11,92.52,93.63,92.24,93.06,82.09,35054
2020-12-14,94.31,94.35,91.38,91.75,80.93,56279
2020-12-15,92.17,92.78,90.24,90.245,79.6,90485
2020-12-16,90.46,91.85,90.46,91.41,80.63,29405
2020-12-17,91.88,92.81,91.35,92.27,81.39,53226
2020-12-18,91.77,92.925,91.25,92.58,81.66,74539
2020-12-21,91.46,94.39,91.42,93.51,82.48,34276
2020-12-22,94.13,94.93,93.13,94.355,83.23,34845
2020-12-23,94.7,95.08,93.3,93.79,82.73,48031
2020-12-24,94.29,94.98,93.95,94.515,83.37,33385
2020-12-28,95.05,95.565,94.48,94.61,83.45,38979
2020-12-29,94.98,95.16,93.32,93.66,82.61,52586
2020-12-30,93.71,94.235,92.84,93.08,82.1,38323
2020-12-31,93.195,93.89,92.76,93.85,82.78,41015
2021-01-04,93.45,93.89,91.82,92.4,81.5,74120
2021-01-05,92.2,92.2,90.65,91.46,80.67,74264
2021-01-06,92.36,95.335,92.34,95.195,83.97,80771
2021-01-07,95.5,96.31,94.59,96.18,84.84,59348
2021-01-08,96.24,98.64,96.24,97.4,85.91,45127
2021-01-11,96.835,97.18,94.475,96.55,85.16,51499
2021-01-12,95.99,98.14,95.44,98.0,86.44,50671
2021-01-13,98.025,98.025,95.51,95.81,84.51,30261
2021-01-14,96.445,97.68,96.02,97.395,85.91,40320
2021-01-15,96.36,97.815,94.785,95.18,83.96,73032
2021-01-19,95.735,97.98,95.735,96.47,85.09,74938
2021-01-20,97.26,100.41,97.17,98.74,87.1,116261
2021-01-21,98.71,99.66,97.99,98.01,86.45,41140
2021-01-22,97.17,98.33,96.76,97.78,86.25,38618
2021-01-25,97.72,99.97,97.72,99.38,87.66,142864
2021-01-26,99.585,100.33,96.615,97.475,85.98,191959
2021-01-27,91.71,94.865,89.07,91.51,80.72,269188
2021-01-28,93.28,93.28,88.91,88.965,78.47,159462
2021-01-29,88.95,88.97,84.765,85.46,75.38,105145
2021-02-01,85.81,86.81,85.37,86.37,76.18,57056
2021-02-02,87.68,88.8,86.415,86.6,76.39,71007
2021-02-03,87.0,87.52,86.37,86.91,76.66,60957
2021-02-04,87.27,87.98,86.45,87.26,76.97,44303
2021-02-05,87.21,88.85,86.94,88.85,78.37,37985
