date,open,high,low,close,adj_close,volume
2020-07-27,178.99,179.79,175.44,175.44,158.7,58977
2020-07-28,176.19,177.82,174.185,175.91,159.13,56052
2020-07-29,177.09,183.25,177.09,181.83,164.48,93151
2020-07-30,180.275,181.0,177.28,178.5,161.47,119180
2020-07-31,176.985,176.985,171.01,172.655,156.18,67178
2020-08-03,173.77,173.77,170.875,173.01,156.5,65239
2020-08-04,172.73,175.67,171.905,173.39,156.85,48590
2020-08-05,174.44,176.775,173.365,174.85,158.17,96044
2020-08-06,174.73,175.03,171.435,173.085,156.57,78800
2020-08-07,172.98,178.31,172.98,178.18,161.18,120750
2020-08-10,178.375,183.17,177.65,182.98,165.52,57732
2020-08-11,185.39,187.13,182.08,182.29,164.9,61616
2020-08-12,185.485,186.485,182.785,184.31,166.73,71427
2020-08-13,182.22,182.22,179.8,180.81,163.56,44362
2020-08-14,179.0,184.64,179.0,183.37,165.88,24179
2020-08-17,183.38,183.85,181.66,182.26,164.87,24530
2020-08-18,182.02,183.52,180.985,181.77,164.43,30583
2020-08-19,182.265,183.24,181.07,181.25,163.96,35547
2020-08-20,180.0,180.365,177.45,178.3,161.29,63183
2020-08-21,177.715,180.435,177.715,178.29,161.28,48105
2020-08-24,179.26,179.46,175.665,177.7,160.75,34512
2020-08-25,177.225,177.57,176.02,177.43,160.5,42640
2020-08-26,176.605,176.605,172.285,174.04,157.44,86936
2020-08-27,175.1,178.325,174.63,177.035,160.14,37916
2020-08-28,177.505,181.39,176.095,181.12,163.84,36543
2020-08-31,181.13,182.015,177.29,177.31,160.39,93095
2020-09-01,176.13,177.155,174.5,176.13,159.33,155136
2020-09-02,177.16,182.05,176.51,181.525,164.21,100294
2020-09-03,183.1,184.53,176.94,178.36,161.34,44995
2020-09-04,179.22,179.915,175.41,178.66,161.61,71297
2020-09-08,177.46,177.46,173.26,173.86,157.27,43611
2020-09-09,175.475,176.2,172.115,174.03,157.43,119930
2020-09-10,173.935,175.62,169.915,169.97,153.75,76551
2020-09-11,170.78,170.78,167.75,169.325,153.17,105728
2020-09-14,170.06,173.29,169.52,171.91,155.51,83625
2020-09-15,173.85,173.85,166.23,166.23,150.37,127894
2020-09-16,168.21,171.45,167.42,168.525,152.45,269156
2020-09-17,167.32,169.99,166.96,168.98,152.86,224314
2020-09-18,168.03,169.34,166.72,167.94,151.92,107293
2020-09-21,164.275,164.97,160.09,164.96,149.22,163044
2020-09-22,164.63,166.47,161.58,161.77,146.34,90184
2020-09-23,162.015,164.11,160.47,160.49,145.18,127586
2020-09-24,160.255,162.95,158.98,160.96,145.6,88456
2020-09-25,159.42,162.675,159.42,162.41,146.91,45050
2020-09-28,164.7,166.7,163.925,164.03,148.38,36272
2020-09-29,165.34,165.39,162.44,164.48,148.79,61488
2020-09-30,164.505,170.81,164.505,169.43,153.27,111931
2020-10-01,168.665,169.87,166.1,167.46,151.48,105635
2020-10-02,164.52,170.075,164.14,167.25,151.29,209660
2020-10-05,169.31,173.32,168.94,172.225,155.79,152279
2020-10-06,173.43,175.57,170.95,171.05,154.73,105603
2020-10-07,172.35,177.04,172.35,176.25,159.43,107396
2020-10-08,176.33,178.02,175.29,177.94,160.96,79901
2020-10-09,177.87,178.6,175.79,176.36,159.53,79613
2020-10-12,176.3,178.93,175.505,177.42,160.49,107054
2020-10-13,175.75,177.81,173.765,174.58,157.92,69735
2020-10-14,174.42,176.815,173.13,174.485,157.84,100426
2020-10-15,172.31,177.3,172.31,176.785,159.92,93135
2020-10-16,176.87,179.3,175.62,177.89,160.92,100543
2020-10-19,177.7,178.07,170.69,171.43,155.07,171300
2020-10-20,172.31,173.6,170.87,171.07,154.75,163963
2020-10-21,170.48,176.14,169.25,174.545,157.89,174732
2020-10-22,174.98,179.85,174.98,179.34,162.23,101311
2020-10-23,181.22,184.685,180.95,184.36,166.77,106390
2020-10-26,182.595,184.07,179.93,181.885,164.53,121410
2020-10-27,180.22,182.46,177.3,178.23,161.23,90554
2020-10-28,174.51,176.315,168.07,168.19,152.14,199167
2020-10-29,167.0,167.49,160.41,163.365,147.78,242356
2020-10-30,163.83,167.46,163.28,167.1,151.16,181051
2020-11-02,170.19,175.22,167.665,174.77,158.1,110703
2020-11-03,177.27,185.23,177.27,184.0,166.44,198833
2020-11-04,195.01,212.52,194.98,210.44,190.36,676620
2020-11-05,208.5,217.71,208.46,213.89,193.48,518048
2020-11-06,212.49,212.49,200.69,201.425,182.21,372077
2020-11-09,214.78,217.21,206.62,211.04,190.91,201091
2020-11-10,214.16,221.33,210.55,220.065,199.07,209472
2020-11-11,221.08,224.81,220.0,221.085,199.99,196321
2020-11-12,219.0,222.32,218.28,220.17,199.16,93283
2020-11-13,219.76,221.63,218.26,219.7,198.74,134730
2020-11-16,223.2,223.35,217.52,218.32,197.49,110819
2020-11-17,215.77,216.99,208.445,215.04,194.52,219463
2020-11-18,215.535,216.03,210.69,210.92,190.8,118249
2020-11-19,208.85,208.85,203.435,204.97,185.41,131040
2020-11-20,203.28,206.165,202.07,205.07,185.5,81314
2020-11-23,206.44,209.35,206.35,206.95,187.21,93704
2020-11-24,208.15,214.14,207.25,210.03,189.99,72586
2020-11-25,208.0,208.0,205.415,207.15,187.39,107821
2020-11-27,207.3,212.69,207.075,212.14,191.9,56316
2020-11-30,210.0,211.98,207.75,209.23,189.27,239865
2020-12-01,212.99,214.88,207.42,207.47,187.68,123533
2020-12-02,207.805,213.35,207.17,211.96,191.74,69846
2020-12-03,212.345,215.05,211.93,213.13,192.8,80121
2020-12-04,213.895,219.9,213.885,217.52,196.77,94601
2020-12-07,215.69,218.96,214.09,218.64,197.78,109188
2020-12-08,216.695,219.76,216.315,218.74,197.87,66280
2020-12-09,218.81,220.3,215.51,217.37,196.63,93147
2020-12-10,215.43,217.24,211.28,212.64,192.35,75217
2020-12-11,211.52,212.26,208.265,209.36,189.39,79006
2020-12-14,210.73,211.59,202.72,203.265,183.87,110929
2020-12-15,205.06,206.31,202.51,205.52,185.91,57919
2020-12-16,203.88,205.14,202.01,202.64,183.31,82340
2020-12-17,203.965,204.9,201.28,202.28,182.98,99612
2020-12-18,201.78,201.78,194.515,197.025,178.23,218122
2020-12-21,193.12,198.01,191.61,197.56,178.71,57633
