date,open,high,low,close,adj_close,volume
2020-07-27,43.19,43.635,43.155,43.635,34.56,991007
2020-07-28,42.895,43.545,42.895,43.195,34.21,972617
2020-07-29,43.315,44.11,43.28,43.94,34.8,1056081
2020-07-30,44.175,44.26,43.37,43.63,34.56,688534
2020-07-31,43.565,43.575,41.96,42.81,33.91,517998
2020-08-03,42.67,43.125,42.42,42.885,33.97,301052
2020-08-04,42.63,43.23,42.615,43.19,34.21,326560
2020-08-05,43.36,43.4,42.245,42.31,33.51,405804
2020-08-06,42.04,42.88,42.04,42.855,33.94,488482
2020-08-07,42.66,42.9,42.47,42.805,33.9,363218
2020-08-10,42.635,43.21,42.635,43.025,34.08,429532
2020-08-11,43.175,43.985,42.92,43.015,34.07,530323
2020-08-12,43.045,43.705,43.045,43.32,34.31,324040
2020-08-13,43.06,43.42,42.995,43.355,34.34,583304
2020-08-14,43.33,44.17,43.26,43.765,34.66,568044
2020-08-17,43.845,43.925,43.305,43.55,34.49,243247
2020-08-18,43.615,43.73,43.285,43.545,34.49,259833
2020-08-19,43.525,43.755,43.18,43.305,34.3,247802
2020-08-20,43.14,43.435,42.96,43.265,34.27,246417
2020-08-21,42.92,43.225,42.73,43.055,34.1,241439
2020-08-24,42.9,43.81,42.9,43.775,34.67,404351
2020-08-25,43.72,43.72,43.185,43.405,34.38,251948
2020-08-26,43.13,44.36,42.915,44.185,35.0,377475
2020-08-27,44.56,44.795,44.25,44.575,35.31,323013
2020-08-28,44.5,44.57,43.93,44.565,35.3,286119
2020-08-31,44.33,45.11,44.33,44.895,35.56,1447526
2020-09-01,44.48,45.065,44.25,45.055,35.69,1828119
2020-09-02,45.095,45.92,45.02,45.185,35.79,387464
2020-09-03,45.49,45.93,44.1,44.5,35.25,288482
2020-09-04,44.925,44.96,43.915,44.49,35.24,183499
2020-09-08,43.89,44.25,43.13,43.78,34.68,550280
2020-09-09,43.925,44.985,43.71,44.61,35.33,422382
2020-09-10,44.605,45.01,43.875,44.075,34.91,323447
2020-09-11,44.025,44.735,43.99,44.69,35.4,268123
2020-09-14,44.91,45.48,44.75,45.33,35.9,185156
2020-09-15,45.165,46.74,45.09,46.505,36.83,541230
2020-09-16,46.96,47.5,46.72,46.825,37.09,1051375
2020-09-17,45.935,46.425,45.025,45.575,36.1,256082
2020-09-18,45.47,45.845,44.32,45.29,35.87,656589
2020-09-21,44.91,45.25,43.415,44.79,35.48,622683
2020-09-22,44.975,46.47,44.855,46.18,36.58,699482
2020-09-23,46.145,46.36,45.245,45.39,35.95,385267
2020-09-24,45.18,46.07,44.925,45.645,36.15,249135
2020-09-25,45.405,46.32,45.22,46.175,36.57,360847
2020-09-28,46.825,47.05,46.25,46.8,37.07,452846
2020-09-29,46.61,46.86,46.18,46.195,36.59,599282
2020-09-30,46.52,46.715,45.755,46.31,36.68,721540
2020-10-01,46.51,46.77,46.18,46.455,36.79,788277
2020-10-02,45.79,45.96,45.12,45.12,35.74,691486
2020-10-05,45.25,45.925,45.04,45.78,36.26,475085
2020-10-06,45.33,45.52,44.375,44.5,35.42,630825
2020-10-07,44.84,45.1,44.27,44.985,35.81,585281
2020-10-08,45.08,45.39,44.85,45.32,36.08,671663
2020-10-09,45.49,45.63,44.69,44.89,35.73,776165
2020-10-12,45.375,46.26,44.965,45.995,36.61,661044
2020-10-13,46.015,46.31,45.38,45.915,36.55,1142917
2020-10-14,45.74,45.97,44.995,45.26,36.03,524803
2020-10-15,44.88,45.135,44.53,45.12,35.92,485366
2020-10-16,45.2,45.855,44.925,45.565,36.27,440930
