date,open,high,low,close,adj_close,volume
2020-07-27,87.94,89.315,87.82,89.25,73.35,15856
2020-07-28,89.53,91.05,88.82,90.6,74.46,14061
2020-07-29,91.235,91.34,89.835,91.34,75.07,24461
2020-07-30,89.985,93.21,89.985,92.98,76.41,33581
2020-07-31,92.36,92.36,88.05,90.63,74.48,92247
2020-08-03,89.47,89.47,87.43,89.16,73.28,48450
2020-08-04,88.27,89.69,87.26,89.21,73.32,29343
2020-08-05,88.96,89.245,88.35,89.02,73.16,30671
2020-08-06,88.91,90.065,88.385,89.74,73.75,16507
2020-08-07,89.275,89.49,88.31,88.815,72.99,64702
2020-08-10,89.0,90.0,88.195,88.83,73.0,20042
2020-08-11,89.91,90.59,89.17,89.35,73.43,36134
2020-08-12,89.815,90.56,89.03,90.39,74.29,23718
2020-08-13,89.73,90.83,87.78,87.94,72.27,22642
2020-08-14,87.385,89.13,87.385,88.215,72.5,15123
2020-08-17,88.09,88.865,87.85,88.81,72.99,10186
2020-08-18,88.87,88.87,87.81,88.43,72.68,10623
2020-08-19,87.57,87.835,86.4,86.88,71.4,38349
2020-08-20,87.42,88.855,87.42,87.79,72.15,13357
2020-08-21,88.11,88.11,85.79,87.75,72.12,7512
2020-08-24,87.24,88.2,85.795,88.1,72.4,7698
2020-08-25,88.375,89.21,87.675,89.04,73.18,26502
2020-08-26,87.85,87.85,86.285,86.77,71.31,11148
2020-08-27,87.69,89.74,87.69,89.74,73.75,11253
2020-08-28,89.03,91.05,89.03,91.05,74.83,32882
2020-08-31,90.4,91.17,90.155,90.98,74.77,27775
2020-09-01,90.055,91.0,89.465,91.0,74.79,29076
2020-09-02,90.23,91.86,90.23,91.78,75.43,34162
2020-09-03,92.595,93.335,91.08,92.12,75.71,24474
2020-09-04,92.81,94.15,91.82,93.22,76.61,36653
2020-09-08,90.79,91.69,90.14,91.03,74.81,19038
2020-09-09,92.41,93.145,90.74,91.42,75.13,31789
2020-09-10,90.96,91.58,90.23,90.49,74.37,35969
2020-09-11,90.13,90.13,88.49,89.73,73.74,25265
2020-09-14,91.24,93.77,91.24,93.24,76.63,19884
2020-09-15,92.21,93.71,91.57,92.07,75.67,54289
2020-09-16,92.63,93.76,92.4,92.5,76.02,16845
2020-09-17,91.055,92.21,90.96,91.29,75.03,22238
2020-09-18,90.61,90.68,88.81,88.94,73.09,23530
2020-09-21,87.325,88.03,86.26,86.67,71.23,51092
2020-09-22,87.145,89.38,87.145,88.645,72.85,44202
2020-09-23,88.92,89.935,88.055,88.055,72.37,32680
2020-09-24,87.92,88.98,87.66,88.245,72.52,36542
2020-09-25,88.8,90.345,88.18,90.305,74.22,26814
2020-09-28,92.09,92.42,90.92,90.92,74.72,25954
2020-09-29,89.355,90.09,88.4,89.43,74.17,32674
2020-09-30,90.13,90.22,88.1,89.01,73.83,35306
2020-10-01,89.545,91.96,88.99,91.96,76.27,47675
2020-10-02,90.76,95.21,89.77,94.81,78.64,34585
2020-10-05,95.43,96.59,94.585,96.57,80.1,50303
2020-10-06,95.835,97.86,95.715,96.93,80.39,35500
2020-10-07,97.09,97.32,95.805,96.49,80.03,39643
2020-10-08,96.54,98.13,96.54,98.13,81.39,36585
2020-10-09,98.625,98.625,96.16,96.32,79.89,28341
2020-10-12,96.815,97.665,96.06,96.94,80.4,52279
2020-10-13,96.35,97.41,95.56,96.47,80.01,51039
2020-10-14,95.9,96.38,95.04,95.28,79.03,51030
2020-10-15,94.48,95.67,94.02,94.44,78.33,19365
2020-10-16,93.78,93.78,91.88,92.23,76.5,34472
2020-10-19,92.475,92.51,90.91,90.91,75.4,24246
2020-10-20,91.5,92.29,90.9,91.33,75.75,23286
2020-10-21,91.215,92.36,90.99,91.44,75.84,27643
2020-10-22,91.445,92.89,91.445,92.22,76.49,19278
2020-10-23,93.01,93.01,92.015,92.43,76.66,20991
2020-10-26,91.01,91.07,89.72,90.935,75.42,13891
2020-10-27,90.78,91.0,89.36,89.36,74.12,32224
2020-10-28,87.98,88.4,87.1,88.185,73.14,89232
2020-10-29,87.885,89.61,86.78,87.84,72.86,46688
2020-10-30,89.75,93.03,89.585,92.18,76.45,125327
2020-11-02,92.43,94.68,92.085,94.545,78.42,57278
2020-11-03,96.015,98.92,96.015,98.34,81.56,31088
2020-11-04,98.47,98.93,97.165,97.34,80.73,44452
2020-11-05,97.78,98.68,97.27,97.43,80.81,36567
2020-11-06,96.72,97.68,95.22,95.545,79.25,57770
2020-11-09,104.08,109.56,98.26,98.53,81.72,81357
2020-11-10,98.49,103.04,98.49,101.395,84.1,130288
2020-11-11,100.38,100.82,99.63,99.99,82.93,101084
2020-11-12,98.19,100.07,98.19,99.99,82.93,22946
2020-11-13,100.19,101.41,99.98,100.33,83.21,91768
2020-11-16,103.53,103.65,100.3,101.735,84.38,36456
2020-11-17,101.7,102.4,99.89,101.89,84.51,40386
2020-11-18,100.93,101.74,97.99,97.99,81.27,34242
2020-11-19,96.765,98.38,96.36,97.88,81.18,52103
2020-11-20,98.06,100.11,96.92,99.755,82.74,92115
2020-11-23,99.45,100.04,98.555,98.69,81.85,58971
2020-11-24,99.29,100.74,99.29,100.19,83.1,42960
2020-11-25,100.04,100.04,98.09,98.695,81.86,72124
2020-11-27,98.19,98.19,96.41,97.78,81.1,46087
2020-11-30,97.395,98.82,96.98,98.82,81.96,112794
2020-12-01,100.04,100.04,98.33,98.78,81.93,30473
2020-12-02,98.43,102.1,97.59,99.16,82.24,44830
