date,open,high,low,close,adj_close,volume
2020-07-27,303.795,303.795,296.86,298.42,70.17,19449
2020-07-28,298.215,298.92,293.41,293.65,69.05,32138
2020-07-29,297.22,306.54,296.065,306.1,71.98,33630
2020-07-30,301.25,303.715,295.85,301.92,70.99,22118
2020-07-31,299.835,301.86,297.035,301.685,70.94,28219
2020-08-03,302.05,303.12,298.45,299.0,70.31,67119
2020-08-04,298.645,303.95,298.645,301.33,70.85,44998
2020-08-05,304.85,304.85,297.67,300.35,70.62,14897
2020-08-06,299.115,303.37,299.115,303.04,71.26,17710
2020-08-07,301.72,310.22,301.72,309.92,72.87,11507
2020-08-10,309.78,316.5,309.78,316.4,74.4,39948
2020-08-11,320.53,324.35,316.8,318.215,74.83,24022
2020-08-12,319.4,323.86,319.4,320.055,75.26,6822
2020-08-13,319.19,320.885,317.775,318.83,74.97,9666
2020-08-14,317.545,320.225,315.01,316.425,74.4,15712
2020-08-17,319.36,321.415,317.935,320.95,75.47,17727
2020-08-18,321.92,321.98,318.42,318.51,74.89,8485
2020-08-19,319.42,320.825,317.92,318.6,74.92,8272
2020-08-20,317.425,321.38,316.77,319.99,75.24,6215
2020-08-21,318.71,320.78,316.79,320.42,75.34,7328
2020-08-24,324.08,325.67,322.08,325.555,76.55,6612
2020-08-25,324.95,326.33,323.88,324.42,76.28,4251
2020-08-26,323.7,327.57,323.09,326.13,76.69,5303
2020-08-27,328.14,331.6,326.96,328.72,77.3,8217
2020-08-28,329.07,334.41,328.915,333.84,78.5,18889
2020-08-31,331.92,334.71,331.57,333.29,78.37,14339
2020-09-01,331.73,336.46,331.73,334.98,78.77,13479
2020-09-02,335.95,343.15,335.95,342.23,80.47,9662
2020-09-03,343.66,343.66,327.79,330.05,77.61,18515
2020-09-04,331.1,333.465,325.9,330.99,77.83,32255
2020-09-08,325.82,328.14,318.17,318.57,74.91,32215
2020-09-09,320.095,328.055,319.78,325.71,76.59,16224
2020-09-10,325.72,325.72,315.45,317.47,74.65,9269
2020-09-11,317.19,323.515,317.19,321.1,75.5,12229
2020-09-14,324.52,328.62,324.52,327.9,77.1,8484
2020-09-15,328.72,331.15,327.735,328.13,77.16,19449
2020-09-16,329.75,330.68,325.85,325.85,76.62,10918
2020-09-17,318.995,326.81,318.37,324.67,76.34,8121
2020-09-18,328.77,328.915,317.63,318.34,74.85,28093
2020-09-21,313.42,316.63,308.22,315.985,74.3,16206
2020-09-22,319.54,326.255,319.4,324.47,76.3,33135
2020-09-23,334.875,334.875,313.33,316.9,74.52,42000
2020-09-24,316.0,319.92,315.55,318.66,74.93,22946
2020-09-25,317.21,328.08,317.21,327.78,77.07,19036
2020-09-28,331.05,337.22,330.82,335.825,78.97,15206
2020-09-29,331.54,334.675,329.75,330.59,77.74,15284
2020-09-30,336.19,336.845,331.25,333.27,78.37,23097
2020-10-01,333.01,344.04,333.01,342.03,80.43,50942
2020-10-02,334.8,339.915,333.785,335.3,78.84,41805
2020-10-05,336.415,339.03,334.93,336.64,79.16,31671
2020-10-06,337.71,338.93,330.555,330.81,77.79,19126
2020-10-07,336.425,337.31,334.39,335.375,78.86,6102
2020-10-08,340.18,340.19,336.85,337.75,79.42,7948
2020-10-09,341.99,342.1,338.73,339.1,79.74,9773
2020-10-12,341.4,350.64,340.665,349.195,82.11,63116
2020-10-13,348.42,353.43,347.68,352.67,82.93,13106
2020-10-14,353.69,358.46,350.36,351.09,82.56,12347
2020-10-15,347.94,349.04,344.0,348.34,81.91,12915
2020-10-16,350.75,352.99,348.31,348.405,81.92,15971
2020-10-19,348.845,349.76,340.53,341.14,80.22,12930
2020-10-20,343.855,348.0,343.49,343.81,80.84,10551
2020-10-21,343.01,344.605,338.775,338.775,79.66,48551
2020-10-22,341.085,341.085,334.795,338.37,79.56,36496
2020-10-23,339.78,339.78,334.11,338.01,79.48,15686
2020-10-26,333.57,333.57,324.68,329.12,77.39,18597
2020-10-27,328.83,329.55,323.17,324.01,76.19,17674
2020-10-28,316.69,320.81,315.37,315.55,74.2,13987
2020-10-29,312.9,323.675,312.775,320.64,75.4,37853
2020-10-30,318.31,318.48,311.95,314.81,74.02,41095
2020-11-02,319.98,323.15,318.035,320.12,75.27,23860
2020-11-03,328.13,331.91,328.13,329.57,77.5,27762
2020-11-04,343.68,345.09,337.24,337.83,79.44,16050
2020-11-05,340.82,345.15,336.56,338.74,80.49,21117
2020-11-06,338.42,341.975,337.02,341.265,81.09,24282
2020-11-09,358.425,367.32,358.425,363.48,86.37,95852
2020-11-10,353.04,364.47,353.04,359.045,85.31,21085
2020-11-11,360.42,361.29,354.82,360.25,85.6,26869
2020-11-12,356.76,357.3,348.325,349.68,83.09,11900
2020-11-13,352.535,356.475,352.535,356.475,84.7,33678
2020-11-16,358.06,368.76,357.11,367.785,87.39,35455
2020-11-17,362.17,363.285,358.0,361.89,85.99,41550
2020-11-18,363.36,366.01,360.09,360.71,85.71,18856
2020-11-19,359.15,368.18,359.15,368.1,87.46,10800
2020-11-20,364.055,367.09,360.56,362.0,86.01,16689
2020-11-23,362.56,364.225,356.69,358.23,85.12,27530
2020-11-24,362.11,364.635,359.28,361.99,86.01,30881
2020-11-25,360.61,362.81,358.51,360.74,85.71,8952
2020-11-27,361.42,364.395,359.34,361.19,85.82,3571
2020-11-30,361.065,361.065,354.27,354.27,84.18,11497
2020-12-01,358.675,362.68,356.69,358.965,85.29,18755
2020-12-02,359.59,362.42,356.355,360.82,85.73,20368
2020-12-03,357.04,365.185,356.355,359.375,85.39,12333
