date,open,high,low,close,adj_close,volume
2020-07-27,61.74,63.62,61.41,63.405,57.62,115127
2020-07-28,63.42,63.74,62.605,62.64,56.93,73830
2020-07-29,62.79,65.195,62.79,64.87,58.95,169318
2020-07-30,68.92,69.465,67.82,69.11,62.81,382103
2020-07-31,68.97,68.97,67.0,68.24,62.02,139004
2020-08-03,67.55,68.09,66.68,68.045,61.84,114080
2020-08-04,67.08,67.93,67.08,67.9,61.71,86715
2020-08-05,67.81,68.635,67.16,67.46,61.31,76194
2020-08-06,67.22,67.71,66.69,67.58,61.42,105703
2020-08-07,67.04,67.515,66.75,67.51,61.35,39124
2020-08-10,67.12,67.395,66.62,67.07,60.95,55838
2020-08-11,67.43,67.5,66.3,66.49,60.43,73806
2020-08-12,67.0,67.615,66.945,66.995,60.88,126221
2020-08-13,66.2,67.275,66.2,66.89,60.79,58633
2020-08-14,66.48,67.245,66.1,66.915,60.81,33275
2020-08-17,67.02,67.83,67.0,67.52,61.36,42763
2020-08-18,67.56,67.805,67.09,67.17,61.04,38053
2020-08-19,67.35,67.63,66.865,66.925,60.82,35057
2020-08-20,66.21,66.69,66.1,66.31,60.46,31695
2020-08-21,65.77,66.165,65.14,65.77,59.97,79211
2020-08-24,65.665,67.61,65.625,67.55,61.59,122538
2020-08-25,67.6,67.62,66.49,66.95,61.04,48341
2020-08-26,66.785,67.84,66.61,67.795,61.81,28535
2020-08-27,68.255,68.255,67.175,67.455,61.5,60241
2020-08-28,67.14,67.73,67.09,67.67,61.7,64533
2020-08-31,67.08,67.385,66.75,66.965,61.06,64128
2020-09-01,66.225,67.0,66.105,67.0,61.09,58386
2020-09-02,67.45,68.98,67.17,68.83,62.76,64609
2020-09-03,68.89,68.89,66.39,67.19,61.26,86933
2020-09-04,67.675,67.99,65.97,66.88,60.98,48000
2020-09-08,65.3,66.65,65.09,65.575,59.79,53126
2020-09-09,66.08,66.935,65.335,66.38,60.52,67799
2020-09-10,66.335,67.64,65.44,65.66,59.87,68492
2020-09-11,67.43,69.155,67.4,68.18,62.17,96457
2020-09-14,68.35,69.565,68.35,69.31,63.2,81405
2020-09-15,69.8,70.975,69.8,70.11,63.93,152955
2020-09-16,70.69,71.78,70.545,70.7,64.46,109359
2020-09-17,68.13,70.84,68.13,70.035,63.86,61200
2020-09-18,70.09,70.245,67.99,68.915,62.84,56016
2020-09-21,67.86,67.97,67.135,67.33,61.39,71884
2020-09-22,67.5,68.485,66.74,68.245,62.22,64834
2020-09-23,68.885,69.075,66.83,67.06,61.14,70485
2020-09-24,65.995,67.59,65.66,66.875,60.98,103883
2020-09-25,66.5,68.305,66.5,68.07,62.07,137635
2020-09-28,69.07,69.63,68.81,69.27,63.16,121925
2020-09-29,69.43,70.075,68.64,68.99,62.9,81798
2020-09-30,69.08,70.105,68.87,69.41,63.29,120976
2020-10-01,70.16,70.56,68.975,69.32,63.2,161425
2020-10-02,68.22,69.33,67.81,68.93,62.85,141045
2020-10-05,69.5,71.26,69.5,70.94,64.68,163632
2020-10-06,70.885,71.6,69.7,69.85,63.69,195914
2020-10-07,70.925,72.46,70.6,72.27,65.89,134555
2020-10-08,72.475,73.435,72.26,72.92,66.49,116671
2020-10-09,73.595,74.05,72.77,73.1,66.65,256998
2020-10-12,74.0,74.92,73.29,74.635,68.05,434128
2020-10-13,74.77,75.295,73.06,73.23,66.77,182810
2020-10-14,73.34,74.4,73.16,73.9,67.38,187253
2020-10-15,72.91,73.88,72.76,73.66,67.16,157006
2020-10-16,74.12,74.57,73.34,73.34,66.87,141902
2020-10-19,73.41,73.68,71.99,72.17,65.8,129724
2020-10-20,72.59,74.005,72.49,73.4,66.92,131629
2020-10-21,73.215,74.02,72.9,72.91,66.48,162911
2020-10-22,73.14,73.58,72.32,73.44,66.96,125288
2020-10-23,73.48,74.31,73.145,74.14,67.6,113769
2020-10-26,73.155,73.44,71.89,72.71,66.3,427999
2020-10-27,72.645,73.48,72.645,73.33,66.86,243263
2020-10-28,72.2,72.91,70.99,71.015,64.75,516700
2020-10-29,74.765,76.45,70.82,71.13,64.86,580756
2020-10-30,70.49,71.76,70.015,71.44,65.14,231265
2020-11-02,71.65,71.86,70.29,70.76,64.52,196443
2020-11-03,71.75,72.94,71.45,71.99,65.64,98148
2020-11-04,73.55,74.04,71.91,73.02,66.58,132760
2020-11-05,73.78,74.91,73.78,74.3,67.75,93236
2020-11-06,74.39,74.62,73.67,74.17,67.63,70487
2020-11-09,75.72,78.11,73.85,73.85,67.34,197728
2020-11-10,73.58,75.47,73.58,75.08,68.46,283628
2020-11-11,75.63,77.08,75.63,76.71,69.94,193350
2020-11-12,76.72,77.14,75.635,76.22,69.5,128822
2020-11-13,77.14,77.65,76.82,77.24,70.43,155223
2020-11-16,77.98,78.46,77.23,77.78,70.92,190864
2020-11-17,76.88,77.36,76.17,77.03,70.23,148590
2020-11-18,76.505,76.69,74.75,74.75,68.35,407487
2020-11-19,75.03,76.265,74.56,76.25,69.72,120516
2020-11-20,75.91,76.245,75.78,75.87,69.38,85562
2020-11-23,76.11,77.27,76.06,77.19,70.58,105197
2020-11-24,77.635,78.76,77.35,78.76,72.02,91316
2020-11-25,78.88,78.99,78.17,78.56,71.84,78170
2020-11-27,78.33,78.8,77.66,78.32,71.62,38950
2020-11-30,78.04,78.24,77.4,78.09,71.41,166069
2020-12-01,78.25,79.035,78.11,78.63,71.9,116145
2020-12-02,78.62,78.62,77.98,78.09,71.41,83849
2020-12-03,78.075,79.12,77.77,78.69,71.95,74428
2020-12-04,78.75,81.1,78.75,81.02,74.08,113953
2020-12-07,79.885,80.72,79.7,80.54,73.65,98006
2020-12-08,79.82,80.56,78.93,79.85,73.01,116519
2020-12-09,80.035,80.725,78.81,79.08,72.31,190424
2020-12-10,78.46,78.94,77.94,78.44,71.73,93253
2020-12-11,78.54,79.95,78.275,78.5,71.78,176802
2020-12-14,78.88,79.44,78.65,79.15,72.37,130347
2020-12-15,79.31,80.52,79.07,80.52,73.63,126157
2020-12-16,80.53,80.56,78.84,79.3,72.51,114096
2020-12-17,81.17,82.7,81.08,81.7,74.71,351918
2020-12-18,82.03,82.03,80.54,81.25,74.29,265143
2020-12-21,79.88,80.53,78.61,80.48,73.59,121929
2020-12-22,80.57,81.625,80.15,81.03,74.09,83868
2020-12-23,81.305,81.75,81.05,81.05,74.11,73934
2020-12-24,81.115,81.28,80.65,81.095,74.15,55030
2020-12-28,81.935,82.245,81.37,81.4,74.43,47708
2020-12-29,82.085,82.085,80.22,80.47,73.58,56561
2020-12-30,80.69,81.4,80.69,81.09,74.15,46060
2020-12-31,80.895,82.13,80.77,81.98,74.96,36784
2021-01-04,82.195,82.24,78.725,79.4,72.6,112878
2021-01-05,79.51,80.095,79.235,79.59,72.78,90466
2021-01-06,79.57,81.115,79.38,80.18,73.32,186337
2021-01-07,80.625,81.755,80.54,80.95,74.02,139363
2021-01-08,80.96,82.06,80.96,82.0,74.98,185972
2021-01-11,81.575,82.1,79.95,80.12,73.26,112033
2021-01-12,80.48,80.48,78.63,79.745,72.92,168579
2021-01-13,80.39,80.52,79.34,79.61,72.8,97254
2021-01-14,79.54,80.175,79.11,80.105,73.25,126790
2021-01-15,79.69,80.535,79.21,80.275,73.4,79230
2021-01-19,80.49,80.98,79.215,79.78,72.95,90049
2021-01-20,80.615,82.095,80.32,82.01,74.99,129642
2021-01-21,82.05,82.05,80.72,80.91,73.98,70896
2021-01-22,79.965,80.94,79.52,80.58,73.68,48373
2021-01-25,80.07,80.08,78.25,80.02,73.17,67889
2021-01-26,79.995,80.29,79.48,79.56,72.75,71983
2021-01-27,78.31,78.31,75.96,76.075,69.56,176032
2021-01-28,76.99,79.37,76.81,78.91,72.16,129805
2021-01-29,78.95,79.52,77.6,77.94,71.27,218404
2021-02-01,78.57,79.58,78.22,78.825,72.08,138792
2021-02-02,79.17,80.835,79.17,80.1,73.24,116900
2021-02-03,79.89,80.09,78.77,79.36,72.57,142456
2021-02-04,73.7,75.61,72.76,74.67,68.28,662632
2021-02-05,74.75,75.53,74.165,74.54,68.16,203038
2021-02-08,74.63,75.84,74.13,75.83,69.34,85155
2021-02-09,75.81,76.93,75.25,76.14,69.62,126486
2021-02-10,76.0,76.4,75.32,76.03,69.52,140710
2021-02-11,76.12,77.52,75.81,77.005,70.41,127936
2021-02-12,76.91,77.14,76.26,77.03,70.44,121491
2021-02-16,77.085,77.295,76.105,76.11,69.59,168777
2021-02-17,75.74,76.79,75.43,76.47,70.15,119100
2021-02-18,75.915,76.04,74.45,74.735,68.55,167131
2021-02-19,75.0,75.0,73.39,73.635,67.54,215977
2021-02-22,73.51,73.96,72.785,73.22,67.16,171992
2021-02-23,72.92,73.43,72.09,72.96,66.93,108641
2021-02-24,72.31,75.06,71.61,75.03,68.82,108343
2021-02-25,74.38,74.96,73.19,73.46,67.38,141281
2021-02-26,73.76,74.31,72.6,73.57,67.49,108254
2021-03-01,74.11,75.155,73.81,74.855,68.66,84739
2021-03-02,75.035,75.7,74.05,74.95,68.75,108226
2021-03-03,74.57,74.66,72.795,73.16,67.11,205908
2021-03-04,72.64,73.94,71.77,72.21,66.24,179247
2021-03-05,73.34,74.02,71.94,73.66,67.57,112127
2021-03-08,73.72,74.36,72.58,72.67,66.66,122520
2021-03-09,73.78,75.205,73.62,74.41,68.26,102635
2021-03-10,74.71,76.235,74.665,75.99,69.7,119325
2021-03-11,76.33,78.31,76.33,77.53,71.12,250202
2021-03-12,77.26,77.84,76.94,77.76,71.33,141156
2021-03-15,77.52,79.29,77.52,79.25,72.7,92015
2021-03-16,78.89,79.095,77.84,78.17,71.7,98159
2021-03-17,77.455,78.27,77.16,78.01,71.56,79567
2021-03-18,77.58,77.75,76.26,76.38,70.06,173425
2021-03-19,75.695,77.33,75.695,76.41,70.09,180566
2021-03-22,76.995,77.04,76.26,76.78,70.43,228308
2021-03-23,77.165,77.62,76.175,76.195,69.89,132379
2021-03-24,76.62,77.84,76.525,77.0,70.63,137939
2021-03-25,77.195,77.44,76.08,77.09,70.71,93100
2021-03-26,77.26,79.31,76.95,79.31,72.75,91859
2021-03-29,77.185,79.08,77.185,77.99,71.54,97483
2021-03-30,77.9,78.64,77.52,78.52,72.03,85209
