date,open,high,low,close,adj_close,volume
2020-07-27,149.45,150.93,147.855,150.81,30.16,35040
2020-07-28,155.16,155.85,151.34,151.55,30.31,57944
2020-07-29,154.27,155.44,152.925,155.44,31.09,20311
2020-07-30,152.72,157.41,148.77,155.74,31.15,57705
2020-07-31,157.565,157.565,151.44,154.27,30.85,35965
2020-08-03,157.04,161.74,156.5,159.65,31.93,52568
2020-08-04,160.175,166.99,160.175,166.59,33.32,117495
2020-08-05,169.13,177.1,167.365,174.425,34.89,134774
2020-08-06,173.97,225.36,173.41,222.9,44.58,325191
2020-08-07,214.735,222.65,190.34,191.91,38.38,278729
2020-08-10,194.52,197.84,184.97,190.17,38.03,67331
2020-08-11,190.74,198.76,184.8,187.6,37.52,41136
2020-08-12,189.155,197.005,189.155,192.765,38.55,64954
2020-08-13,194.26,202.37,193.08,193.53,38.71,42522
2020-08-14,194.1,197.505,193.67,196.71,39.34,24018
2020-08-17,196.86,197.845,191.345,194.98,39.0,56529
2020-08-18,195.87,204.95,195.36,202.29,40.46,30794
2020-08-19,200.615,202.6,196.9,199.65,39.93,14398
2020-08-20,198.51,204.805,198.195,202.78,40.56,17068
2020-08-21,204.12,207.24,201.16,202.54,40.51,21688
2020-08-24,204.96,204.96,196.17,200.835,40.17,95706
2020-08-25,197.875,203.61,196.23,202.77,40.55,22128
2020-08-26,206.38,208.33,201.835,207.785,41.56,23794
2020-08-27,206.33,212.86,203.525,208.21,41.64,37360
2020-08-28,209.48,218.73,209.48,218.19,43.64,20358
2020-08-31,217.94,218.21,210.73,215.965,43.19,23705
2020-09-01,215.7,234.25,214.95,227.11,45.42,61860
2020-09-02,230.0,230.0,214.86,222.86,44.57,60689
2020-09-03,217.44,218.735,197.52,198.715,39.74,150751
2020-09-04,197.16,201.65,180.55,187.07,37.41,105461
2020-09-08,178.62,185.575,178.605,180.77,36.15,82408
2020-09-09,188.57,190.935,177.135,179.445,35.89,69286
2020-09-10,180.92,184.73,178.205,178.445,35.69,74999
2020-09-11,179.88,181.315,171.55,173.945,34.79,45186
2020-09-14,177.76,177.76,169.43,171.33,34.27,117340
2020-09-15,172.84,174.81,168.01,172.11,34.42,45190
2020-09-16,172.105,177.88,168.1,175.65,35.13,65829
2020-09-17,170.995,171.305,164.755,166.57,33.31,120816
2020-09-18,169.115,169.35,160.81,164.63,32.93,82229
2020-09-21,161.58,173.795,158.52,173.61,34.72,53903
