date,open,high,low,close,adj_close,volume
2020-07-27,89.89,91.075,88.84,91.07,70.2,313660
2020-07-28,90.605,91.08,88.775,89.09,68.67,205296
2020-07-29,89.365,90.05,88.66,90.04,69.41,171351
2020-07-30,87.95,88.15,85.71,86.25,66.48,200236
2020-07-31,82.97,84.05,81.515,83.93,64.7,826613
2020-08-03,84.02,85.12,83.815,84.83,65.39,244988
2020-08-04,84.43,86.715,84.38,86.49,66.67,214435
2020-08-05,88.27,88.34,86.43,87.23,67.24,347873
2020-08-06,86.445,87.87,86.3,87.445,67.41,234899
2020-08-07,86.85,87.07,85.775,86.8,66.91,295208
2020-08-10,87.88,89.76,87.655,89.76,69.19,115189
2020-08-11,91.93,92.715,89.18,89.66,69.11,168232
2020-08-12,90.98,91.66,89.49,90.72,69.93,173604
2020-08-13,89.89,91.28,89.77,89.77,69.2,162974
2020-08-14,89.12,90.56,88.965,90.31,69.61,111281
2020-08-17,90.46,91.57,89.76,90.71,69.92,262249
2020-08-18,88.97,89.32,87.345,87.595,68.49,186057
2020-08-19,87.52,87.855,86.22,86.42,67.58,255694
2020-08-20,85.455,85.88,84.735,84.85,66.35,214492
2020-08-21,84.63,85.07,83.55,85.07,66.52,136604
2020-08-24,85.76,87.28,84.965,87.16,68.15,307612
2020-08-25,87.78,87.82,85.785,86.16,67.37,562463
2020-08-26,85.67,85.815,84.665,84.77,66.29,276664
2020-08-27,85.11,85.61,83.985,84.91,66.4,157085
2020-08-28,85.05,85.69,84.34,85.57,66.91,179989
2020-08-31,85.81,85.83,84.005,84.005,65.69,487038
2020-09-01,83.17,83.615,82.48,83.09,64.97,140388
2020-09-02,82.975,83.94,82.7,83.18,65.04,303645
2020-09-03,83.26,84.46,81.715,82.18,64.26,595094
2020-09-04,82.775,83.545,80.9,81.93,64.07,200457
2020-09-08,80.46,80.49,78.06,78.93,61.72,351677
2020-09-09,79.93,81.065,79.73,80.03,62.58,308221
2020-09-10,80.535,80.83,78.07,78.07,61.05,255350
2020-09-11,78.205,78.645,77.065,77.7,60.76,286543
2020-09-14,77.35,77.94,76.93,77.33,60.47,186017
2020-09-15,78.13,78.45,75.985,76.34,59.69,190437
2020-09-16,76.37,79.465,75.96,78.52,61.4,226416
2020-09-17,77.3,78.83,76.53,78.83,61.64,222960
2020-09-18,77.81,79.1,77.505,78.22,61.16,260773
2020-09-21,76.19,76.62,74.695,76.26,59.63,174211
2020-09-22,76.31,77.51,75.355,75.51,59.04,198752
2020-09-23,75.59,75.87,71.85,71.93,56.25,1237410
2020-09-24,71.27,73.02,70.545,71.83,56.17,387645
2020-09-25,70.79,72.475,70.79,71.845,56.18,204152
2020-09-28,73.62,74.74,73.18,73.82,57.72,195128
2020-09-29,73.755,74.11,71.13,71.93,56.25,171925
2020-09-30,72.26,72.86,71.625,72.02,56.32,190584
2020-10-01,71.46,71.84,70.03,70.45,55.09,833907
2020-10-02,68.885,71.65,68.885,71.17,55.65,368950
2020-10-05,71.52,72.73,70.715,72.73,56.87,387836
2020-10-06,73.82,74.31,72.26,72.3,56.53,690723
2020-10-07,72.25,73.915,71.575,73.785,57.7,645943
2020-10-08,74.24,75.54,74.0,75.25,58.84,651277
2020-10-09,76.07,76.09,73.995,73.995,57.86,488500
2020-10-12,73.63,74.95,73.25,74.52,58.27,229164
2020-10-13,74.285,74.54,72.78,73.455,57.44,630956
2020-10-14,73.32,74.43,72.91,72.96,57.05,505586
2020-10-15,71.815,73.72,71.415,73.57,57.53,543212
2020-10-16,73.57,74.03,72.29,72.92,57.02,479929
2020-10-19,73.16,73.31,71.2,71.24,55.71,378473
2020-10-20,71.85,72.285,71.04,71.735,56.09,337511
2020-10-21,71.05,71.575,70.75,70.895,55.44,456386
2020-10-22,70.845,73.475,70.575,73.415,57.41,422417
2020-10-23,73.985,74.365,71.84,72.58,56.75,372089
2020-10-26,71.66,71.85,70.24,70.85,55.4,431038
