date,open,high,low,close,adj_close,volume
2020-07-27,25.92,26.155,25.38,25.5,24.68,215485
2020-07-28,25.36,26.285,25.355,25.945,25.11,223657
2020-07-29,26.01,26.15,25.405,25.695,24.86,129671
2020-07-30,25.17,25.375,24.82,24.925,24.12,217171
2020-07-31,24.74,24.99,24.44,24.965,24.16,250399
2020-08-03,24.82,25.475,24.41,25.215,24.4,166474
2020-08-04,25.43,26.185,25.33,25.675,24.84,181394
2020-08-05,26.09,27.02,25.755,26.515,25.66,275339
2020-08-06,26.785,27.265,26.135,27.075,26.2,360319
2020-08-07,26.69,27.185,26.49,27.175,26.3,205965
2020-08-10,27.5,29.405,27.375,29.34,28.39,320427
2020-08-11,30.8,30.8,29.455,29.615,28.66,308235
2020-08-12,30.005,30.28,28.37,29.085,28.14,151803
2020-08-13,28.56,29.57,28.5,28.7,27.77,165611
2020-08-14,28.345,29.18,28.24,28.955,28.02,139315
2020-08-17,28.9,28.97,27.77,28.0,27.09,126151
2020-08-18,27.96,28.27,27.4,27.625,26.73,163688
2020-08-19,27.77,29.1,27.555,27.665,26.77,149962
2020-08-20,27.395,27.765,27.02,27.625,26.73,109012
2020-08-21,27.54,27.86,27.185,27.27,26.39,75538
2020-08-24,27.615,29.8,27.55,29.795,28.83,262622
2020-08-25,29.95,30.275,29.33,30.135,29.16,325470
2020-08-26,29.985,30.215,29.64,29.9,28.93,200771
2020-08-27,30.685,32.2,30.625,30.815,29.82,259390
2020-08-28,31.13,31.985,30.73,31.985,30.95,209253
2020-08-31,31.83,32.005,30.825,30.895,29.9,175531
2020-09-01,29.87,31.605,29.82,30.745,29.75,197293
2020-09-02,30.42,31.29,30.185,31.15,30.14,246060
2020-09-03,31.64,32.515,30.49,31.285,30.27,491213
2020-09-04,31.77,32.365,30.63,31.765,30.74,207614
2020-09-08,31.52,33.09,31.435,32.605,31.55,233573
2020-09-09,32.1,32.385,31.325,31.735,30.71,298461
2020-09-10,32.28,32.675,31.675,31.845,30.82,128753
2020-09-11,31.81,32.11,31.35,31.705,30.68,184240
2020-09-14,32.25,32.89,32.04,32.87,31.81,129427
2020-09-15,33.12,34.47,33.12,33.51,32.43,406858
2020-09-16,33.69,34.985,33.19,34.58,33.46,280387
2020-09-17,34.015,35.04,33.655,33.95,32.85,262409
2020-09-18,33.23,34.015,32.575,32.845,31.78,239988
2020-09-21,30.86,31.11,29.42,29.82,28.86,346014
2020-09-22,29.775,30.53,29.725,30.185,29.21,209690
2020-09-23,30.46,31.03,29.5,29.565,28.61,151828
2020-09-24,28.94,29.505,27.98,29.035,28.1,204187
2020-09-25,28.93,29.765,28.845,29.765,28.8,312116
2020-09-28,30.65,31.955,30.16,31.295,30.28,284579
2020-09-29,31.05,31.075,30.3,30.62,29.63,197782
2020-09-30,30.995,31.835,30.495,30.615,29.63,178893
2020-10-01,30.895,31.325,30.58,31.09,30.08,349368
2020-10-02,29.75,32.29,29.67,31.745,30.72,593159
2020-10-05,32.34,32.42,31.54,32.015,30.98,270554
