date,open,high,low,close,adj_close,volume
2020-07-27,124.84,126.17,123.69,124.005,110.86,34197
2020-07-28,124.46,125.73,123.21,123.5,110.41,30194
2020-07-29,124.52,126.92,124.515,126.12,112.75,56193
2020-07-30,125.51,126.99,124.41,126.83,113.39,46871
2020-07-31,126.78,127.32,125.08,127.06,113.6,35717
2020-08-03,127.805,130.69,127.485,130.06,116.28,52451
2020-08-04,129.11,129.11,126.39,128.04,114.47,41541
2020-08-05,128.71,128.71,126.26,127.13,113.66,27047
2020-08-06,126.85,127.17,123.34,124.515,111.32,62240
2020-08-07,124.835,126.095,123.72,125.2,111.93,96877
2020-08-10,124.07,124.235,121.02,121.25,108.4,50526
2020-08-11,121.645,121.94,119.2,120.135,107.4,35904
2020-08-12,120.765,121.79,119.52,121.21,108.37,53027
2020-08-13,120.815,121.74,119.9,121.74,108.84,21732
2020-08-14,121.21,121.385,119.5,120.03,107.31,16224
2020-08-17,120.545,121.67,119.745,120.0,107.28,37396
2020-08-18,119.93,120.385,119.24,119.95,107.24,36981
2020-08-19,120.745,120.745,117.34,117.575,105.12,43929
2020-08-20,117.91,120.67,117.77,117.91,105.41,26554
2020-08-21,117.48,118.215,116.5,117.95,105.45,42469
2020-08-24,118.16,118.16,116.39,117.59,105.13,31391
2020-08-25,117.935,119.34,117.145,118.37,105.83,60021
2020-08-26,117.62,118.72,116.665,118.3,105.76,53042
2020-08-27,109.725,111.59,104.18,109.93,98.28,331127
2020-08-28,110.11,111.085,108.875,110.875,99.13,75820
2020-08-31,110.47,112.275,110.205,111.52,99.7,45522
2020-09-01,111.56,112.58,106.81,109.68,98.06,145970
2020-09-02,109.57,111.4,108.945,110.73,99.0,86894
2020-09-03,110.97,110.97,107.7,108.725,97.2,177737
2020-09-04,109.05,109.64,107.03,108.92,97.38,114045
2020-09-08,108.55,108.56,106.84,107.43,96.05,55625
2020-09-09,107.84,108.58,107.01,107.01,95.67,40962
2020-09-10,109.665,111.88,109.4,110.54,98.83,55417
2020-09-11,110.9,111.1,108.65,110.33,98.64,38398
2020-09-14,110.8,113.225,110.49,112.8,100.85,46799
2020-09-15,112.96,115.205,112.91,113.56,101.53,72070
2020-09-16,113.97,116.06,113.97,114.58,102.44,37442
2020-09-17,113.59,113.59,111.105,112.47,100.55,26954
2020-09-18,112.52,114.23,112.33,113.87,101.8,26917
2020-09-21,112.01,118.14,112.01,118.08,105.57,55722
2020-09-22,117.2,117.835,114.49,115.31,103.09,86346
2020-09-23,114.535,114.535,110.94,111.46,99.65,60183
2020-09-24,111.3,111.3,109.12,109.12,97.56,70377
2020-09-25,108.68,112.295,108.4,111.615,99.79,51234
2020-09-28,112.905,115.26,112.79,113.92,101.85,47207
2020-09-29,113.495,114.72,112.75,113.74,101.69,26889
2020-09-30,114.49,115.315,113.56,114.44,102.31,61557
2020-10-01,115.125,115.49,112.41,112.67,100.73,54124
2020-10-02,110.865,115.105,110.865,113.79,101.73,62544
2020-10-05,114.235,115.92,114.235,115.36,103.64,90142
2020-10-06,115.79,117.52,115.03,116.28,104.47,65717
2020-10-07,116.83,117.94,115.915,116.44,104.62,43076
2020-10-08,116.93,117.4,116.11,116.29,104.48,34106
2020-10-09,116.785,117.545,115.775,116.71,104.86,36736
2020-10-12,117.495,117.72,116.07,116.7,104.85,37165
2020-10-13,116.11,117.47,115.77,117.16,105.26,80810
2020-10-14,117.79,119.23,116.385,117.58,105.64,52305
2020-10-15,116.35,118.32,115.97,118.025,106.04,44770
2020-10-16,118.74,122.8,118.74,120.21,108.0,113057
2020-10-19,121.04,121.75,120.34,120.8,108.53,72720
2020-10-20,120.9,123.675,120.85,123.43,110.9,92189
2020-10-21,124.275,125.8,122.73,122.81,110.34,126524
2020-10-22,123.57,127.11,120.91,126.3,113.47,143694
2020-10-23,126.72,130.75,125.805,127.11,114.2,92367
2020-10-26,126.45,126.46,123.51,124.315,111.69,85267
2020-10-27,124.68,127.81,124.2,127.16,114.25,121782
2020-10-28,125.0,127.33,124.525,124.89,112.21,65711
2020-10-29,124.88,124.88,122.36,123.03,110.54,66807
2020-10-30,122.445,123.175,119.89,122.34,109.92,63226
2020-11-02,123.4,125.77,122.73,124.725,112.06,89177
2020-11-03,126.35,127.47,125.47,126.49,113.64,70501
2020-11-04,127.88,129.21,125.62,125.71,112.94,105379
2020-11-05,126.71,128.54,125.16,128.0,115.0,75279
2020-11-06,128.42,129.0,126.51,126.87,113.99,80686
2020-11-09,118.47,124.85,118.405,120.315,108.1,101531
2020-11-10,120.635,121.18,118.45,120.715,108.46,89554
2020-11-11,121.665,123.97,121.665,123.24,110.72,61346
2020-11-12,122.95,123.77,120.66,121.36,109.04,55370
2020-11-13,121.94,122.58,120.87,121.52,109.18,77596
2020-11-16,122.1,124.96,120.11,122.91,110.43,76166
2020-11-17,122.32,124.5,121.96,123.9,111.32,64699
2020-11-18,124.22,124.635,122.12,122.33,109.91,64286
2020-11-19,122.08,123.275,121.52,122.83,110.36,50539
