date,open,high,low,close,adj_close,volume
2020-07-27,64.34,66.66,64.3,66.58,62.64,145985
2020-07-28,68.57,70.07,64.19,64.49,60.67,269497
2020-07-29,65.32,67.065,65.105,66.63,62.69,112413
2020-07-30,65.625,66.49,65.57,66.04,62.13,52854
2020-07-31,66.045,66.22,64.645,66.11,62.2,153559
2020-08-03,66.655,68.46,66.61,68.35,64.31,138796
2020-08-04,68.11,68.59,67.03,67.305,63.32,69580
2020-08-05,67.48,68.19,67.02,68.11,64.08,69796
2020-08-06,68.06,68.35,67.48,67.59,63.59,77314
2020-08-07,67.555,68.38,67.235,68.38,64.33,84809
2020-08-10,68.47,71.83,68.24,69.71,65.58,213882
2020-08-11,70.265,70.265,68.435,69.07,65.15,280902
2020-08-12,69.6,71.28,68.94,71.28,67.23,170343
2020-08-13,70.875,71.955,69.99,71.475,67.41,148214
2020-08-14,70.84,71.78,70.4,71.4,67.34,69104
2020-08-17,72.4,73.97,71.985,73.325,69.16,94087
2020-08-18,73.865,74.32,73.21,73.51,69.33,61619
2020-08-19,73.57,74.3,72.74,74.02,69.82,211416
2020-08-20,73.15,75.52,73.0,74.635,70.4,146972
2020-08-21,73.955,76.93,73.92,76.91,72.54,137924
2020-08-24,76.98,77.06,75.73,76.135,71.81,128119
2020-08-25,76.575,76.575,74.555,75.495,71.21,89842
2020-08-26,75.41,75.77,74.1,74.11,69.9,78819
2020-08-27,74.895,75.27,72.48,72.48,68.36,85402
2020-08-28,73.0,73.78,71.515,71.86,67.78,114465
2020-08-31,71.96,72.63,71.1,71.47,67.41,38990
2020-09-01,71.13,73.295,71.08,73.2,69.04,67131
2020-09-02,73.87,73.87,71.97,72.9,68.76,66183
2020-09-03,72.625,72.945,69.74,70.595,66.58,124975
2020-09-04,71.35,71.54,67.475,68.205,64.33,191196
2020-09-08,66.99,69.28,66.605,67.96,64.1,77739
2020-09-09,68.915,70.755,68.185,70.08,66.1,62706
2020-09-10,70.29,71.46,69.47,69.66,65.7,84061
2020-09-11,70.52,71.705,69.995,71.38,67.33,76011
2020-09-14,72.42,72.91,71.57,72.72,68.59,93768
2020-09-15,72.795,73.58,71.62,71.675,67.6,95491
2020-09-16,72.75,75.31,72.68,74.38,70.15,183903
2020-09-17,73.01,73.8,72.24,73.385,69.22,46638
2020-09-18,73.645,74.19,71.78,72.7,68.57,75897
2020-09-21,71.68,72.23,69.805,72.155,68.06,40438
2020-09-22,72.475,75.865,71.945,75.53,71.24,236487
2020-09-23,75.43,75.53,71.04,71.135,67.09,117588
2020-09-24,70.905,72.98,70.31,72.0,67.91,197359
2020-09-25,71.64,72.67,70.82,71.84,67.76,80948
2020-09-28,72.96,74.68,72.03,74.49,70.26,94652
2020-09-29,74.36,74.735,73.67,74.015,69.81,70062
2020-09-30,74.31,76.58,74.16,75.71,71.41,94321
2020-10-01,76.67,77.63,75.8,77.57,73.16,194589
2020-10-02,75.74,78.37,75.65,77.89,73.47,127373
2020-10-05,78.55,78.75,74.7,75.695,71.4,202189
2020-10-06,76.14,76.625,74.65,75.2,70.93,156287
2020-10-07,76.13,76.825,75.3,75.8,71.49,113036
2020-10-08,76.715,77.89,76.715,77.695,73.28,110674
2020-10-09,78.39,78.95,77.545,78.085,73.65,178593
2020-10-12,78.595,78.67,77.445,78.37,73.92,86675
2020-10-13,77.84,78.585,76.765,77.91,73.48,131150
2020-10-14,78.06,78.58,77.35,78.22,73.78,74308
2020-10-15,76.81,78.89,76.81,78.82,74.34,160327
2020-10-16,79.69,81.17,76.98,77.07,72.69,159953
2020-10-19,77.74,78.255,75.24,75.79,71.48,81710
2020-10-20,76.255,77.36,75.69,76.59,72.24,86847
2020-10-21,76.395,76.455,72.86,73.12,68.97,146890
2020-10-22,72.56,73.075,70.28,70.595,66.58,211936
2020-10-23,71.09,73.135,70.95,73.01,68.86,98801
2020-10-26,72.45,72.73,69.76,70.87,66.84,194719
2020-10-27,70.81,70.81,68.715,69.17,65.24,121304
2020-10-28,67.87,70.2,67.38,68.78,64.87,133292
2020-10-29,69.46,69.52,67.72,68.065,64.2,94416
2020-10-30,67.65,68.49,66.14,66.84,63.04,113087
2020-11-02,68.495,69.46,68.02,69.11,65.18,101968
2020-11-03,70.175,70.55,68.72,69.41,65.47,111801
2020-11-04,70.75,75.54,70.75,74.72,70.48,232023
2020-11-05,75.37,75.43,72.72,73.06,68.91,111268
2020-11-06,72.86,72.88,69.83,70.62,66.61,132426
2020-11-09,71.89,72.04,64.84,64.98,61.29,330156
2020-11-10,66.94,71.62,66.45,70.865,66.84,430749
2020-11-11,72.23,72.87,70.52,72.86,68.72,207722
2020-11-12,72.67,73.445,70.74,71.42,67.36,132445
2020-11-13,71.96,74.09,71.69,73.27,69.11,87276
2020-11-16,73.76,74.38,72.01,74.09,69.88,91527
2020-11-17,73.86,75.19,73.09,73.43,69.26,116089
2020-11-18,73.6,75.49,73.47,74.54,70.31,118932
2020-11-19,74.835,76.42,74.2,75.14,70.87,133705
2020-11-20,75.1,75.99,74.44,74.96,70.7,86727
2020-11-23,75.67,77.57,75.245,77.26,72.87,87369
2020-11-24,77.76,78.0,74.03,74.29,70.07,120175
2020-11-25,75.16,76.51,74.34,76.06,71.74,106876
2020-11-27,75.79,77.17,75.61,76.12,71.8,39783
2020-11-30,75.95,76.04,73.18,74.53,70.3,127265
2020-12-01,74.865,75.135,71.91,72.21,68.11,160577
2020-12-02,71.915,72.0,69.08,69.29,65.35,187614
2020-12-03,69.35,72.65,69.35,72.26,68.35,108775
2020-12-04,71.64,72.1,70.5,71.275,67.42,93009
2020-12-07,71.61,73.885,70.7,73.74,69.75,115694
2020-12-08,73.11,73.14,70.49,70.845,67.01,116737
2020-12-09,71.815,71.815,69.175,69.935,66.15,205575
2020-12-10,69.25,70.64,68.99,69.95,66.17,74366
2020-12-11,70.015,71.03,69.54,69.91,66.13,71792
2020-12-14,70.835,71.65,70.47,70.47,66.66,129804
2020-12-15,70.75,71.71,70.645,70.97,67.13,69182
2020-12-16,71.3,71.565,70.18,71.17,67.32,218777
2020-12-17,72.34,74.66,72.34,73.42,69.45,182919
2020-12-18,73.6,73.65,72.82,73.07,69.12,115199
2020-12-21,72.07,73.19,71.18,72.58,68.66,112055
2020-12-22,72.635,73.09,72.02,72.29,68.38,57248
2020-12-23,72.525,72.525,70.535,70.76,66.93,101787
