date,open,high,low,close,adj_close,volume
2020-07-27,195.6,202.22,195.6,198.995,169.15,94585
2020-07-28,198.575,199.78,197.865,199.02,169.18,71141
2020-07-29,199.79,204.065,198.965,202.195,171.88,76909
2020-07-30,199.44,203.25,198.94,202.13,171.82,77411
2020-07-31,201.8,203.83,200.96,203.81,173.25,69992
2020-08-03,204.87,207.03,204.87,206.87,175.85,75365
2020-08-04,205.65,206.14,204.23,206.14,175.23,53685
2020-08-05,206.61,206.61,204.28,205.565,174.74,83850
2020-08-06,206.11,207.02,202.47,205.64,174.8,78642
2020-08-07,206.99,207.57,204.51,205.13,174.37,51901
2020-08-10,204.89,204.9,201.36,202.01,171.72,76849
2020-08-11,202.705,202.705,199.3,199.97,169.98,88661
2020-08-12,201.865,206.96,201.31,206.03,175.14,42377
2020-08-13,205.23,207.455,204.46,207.29,176.21,45509
2020-08-14,206.91,207.825,204.13,204.75,174.05,34890
2020-08-17,204.98,206.35,204.66,205.61,174.78,45409
2020-08-18,207.035,208.25,206.12,207.68,176.54,42877
2020-08-19,208.335,209.06,205.64,205.98,175.09,40025
2020-08-20,204.86,206.31,204.805,205.66,174.82,17589
2020-08-21,205.81,207.98,204.985,207.81,176.65,37315
2020-08-24,208.78,208.78,204.83,205.6,174.77,56869
2020-08-25,206.775,208.05,206.26,207.56,176.44,40735
2020-08-26,206.47,208.825,205.12,208.25,177.02,30258
2020-08-27,205.86,205.9,198.23,204.33,173.69,110124
2020-08-28,205.02,206.155,203.69,205.65,174.81,56366
2020-08-31,205.785,207.655,205.25,206.67,175.68,42978
2020-09-01,206.38,208.39,206.305,208.38,177.13,81548
2020-09-02,208.1,210.495,206.62,209.95,178.47,91929
2020-09-03,209.545,209.545,199.41,200.89,170.77,99909
2020-09-04,200.8,201.065,192.85,196.55,167.08,145427
2020-09-08,196.27,197.005,193.43,196.27,166.84,93508
2020-09-09,197.695,203.47,197.69,201.96,171.68,203415
2020-09-10,203.255,206.135,202.9,203.12,172.66,70891
2020-09-11,204.86,206.27,203.985,204.965,174.23,54795
2020-09-14,206.595,209.475,206.595,207.78,176.62,52813
2020-09-15,209.005,209.665,207.88,208.79,177.48,56276
2020-09-16,208.43,210.18,206.93,206.93,175.9,85221
2020-09-17,204.915,207.205,204.73,207.15,176.09,81093
2020-09-18,207.89,208.36,204.78,206.35,175.41,62534
2020-09-21,204.045,205.72,201.715,205.7,174.85,46924
2020-09-22,205.5,207.57,203.93,207.17,176.1,52319
2020-09-23,205.985,208.615,205.2,205.2,174.43,87019
2020-09-24,205.21,206.31,202.37,203.67,173.13,93638
2020-09-25,203.13,207.46,201.465,207.225,176.31,73175
2020-09-28,208.325,211.19,208.16,209.78,178.48,45269
2020-09-29,210.44,211.855,209.42,210.96,179.48,63152
2020-09-30,211.44,216.59,211.29,215.59,183.42,148173
2020-10-01,216.855,218.5,213.79,214.68,182.65,102441
2020-10-02,212.22,215.14,211.425,212.57,180.85,63484
2020-10-05,214.605,218.595,214.58,218.36,185.78,83698
2020-10-06,219.21,220.73,217.22,218.44,185.85,75934
2020-10-07,220.165,223.15,219.485,222.12,188.98,89507
2020-10-08,222.53,222.615,220.09,220.69,187.76,125465
2020-10-09,221.21,226.16,221.21,226.16,192.42,118016
2020-10-12,226.99,227.48,225.12,225.71,192.03,102853
2020-10-13,225.035,225.94,224.43,225.615,191.95,86693
2020-10-14,225.68,227.11,224.255,226.66,192.84,82163
2020-10-15,222.69,225.765,220.68,225.45,191.81,128036
2020-10-16,226.835,229.39,226.0,227.65,193.68,131695
2020-10-19,228.0,228.6,222.3,223.83,190.43,99506
2020-10-20,224.01,228.93,223.85,227.0,193.13,117111
2020-10-21,228.29,229.68,226.26,226.61,192.8,194136
2020-10-22,226.99,235.58,226.0,234.03,199.11,185151
2020-10-23,235.015,236.55,231.33,232.84,198.1,194464
2020-10-26,231.54,235.1,231.26,234.66,199.65,199405
2020-10-27,235.95,240.505,235.95,239.83,204.05,213743
2020-10-28,237.03,238.335,231.15,232.125,197.49,193965
2020-10-29,232.52,233.3,228.34,230.45,196.07,121478
2020-10-30,228.78,230.83,225.46,229.39,195.16,137347
2020-11-02,232.455,235.23,229.88,232.46,197.78,158007
2020-11-03,234.65,236.66,232.91,235.02,199.95,91940
2020-11-04,239.96,245.42,238.72,240.5,204.62,145001
2020-11-05,246.47,246.665,239.745,240.42,204.55,209999
2020-11-06,242.49,247.69,239.77,245.31,208.71,143745
2020-11-09,246.23,246.235,233.47,233.65,198.79,300777
2020-11-10,233.01,234.25,224.86,225.75,192.07,621037
2020-11-11,227.55,234.89,226.26,233.04,198.27,303248
2020-11-12,232.99,235.43,231.64,233.0,198.24,108636
2020-11-13,235.0,236.25,233.98,234.7,199.68,164317
2020-11-16,235.72,236.3,228.91,229.47,195.23,121101
2020-11-17,228.62,232.035,227.77,229.3,195.09,178641
2020-11-18,229.53,230.26,223.19,224.74,191.21,226571
2020-11-19,224.275,227.19,221.685,225.71,192.03,150909
2020-11-20,225.955,227.3,224.155,225.83,192.14,216864
2020-11-23,227.415,227.52,218.83,221.11,188.12,144228
2020-11-24,222.38,222.38,216.75,218.4,185.81,212725
2020-11-25,215.75,217.37,214.24,217.17,184.77,187674
2020-11-27,218.545,218.545,215.36,216.59,184.27,82825
2020-11-30,219.58,224.72,219.565,224.72,191.19,116267
2020-12-01,225.12,227.9,223.0,224.99,191.42,184566
2020-12-02,225.56,225.925,223.76,224.765,191.23,110630
2020-12-03,224.73,226.08,222.49,223.34,190.02,115722
2020-12-04,222.835,224.65,219.87,224.37,190.89,187921
2020-12-07,225.345,227.935,225.07,226.12,192.38,96988
2020-12-08,225.72,226.73,223.31,223.6,190.24,121289
2020-12-09,223.75,224.3,221.06,222.9,189.64,150846
2020-12-10,223.32,226.19,222.16,223.11,189.82,159285
2020-12-11,224.04,225.94,221.65,223.81,190.42,72062
2020-12-14,223.89,225.47,221.03,221.09,188.1,69174
2020-12-15,221.46,224.72,220.89,223.26,189.95,89697
2020-12-16,222.8,223.59,220.67,221.93,188.82,67110
2020-12-17,222.93,225.055,222.81,224.45,190.96,65465
2020-12-18,224.8,227.355,222.11,226.1,192.37,114058
2020-12-21,223.61,226.49,220.64,226.14,192.4,90659
2020-12-22,225.48,226.0,222.68,222.81,189.57,67480
2020-12-23,223.63,224.63,220.47,220.47,187.58,75414
2020-12-24,220.905,223.51,220.68,221.44,188.55,29238
2020-12-28,224.31,225.275,221.575,222.62,189.56,58996
2020-12-29,224.625,225.55,222.735,222.85,189.76,82009
2020-12-30,223.61,224.85,220.31,220.695,187.92,69807
2020-12-31,220.56,222.25,219.67,222.25,189.24,72450
2021-01-04,224.98,225.64,219.86,223.22,190.07,130622
2021-01-05,222.89,229.365,222.89,228.68,194.72,327488
2021-01-06,223.73,237.6,223.47,236.31,201.22,160974
2021-01-07,238.43,242.85,238.06,239.65,204.06,196487
2021-01-08,240.68,244.89,240.59,243.57,207.4,161060
2021-01-11,242.74,244.18,241.95,244.15,207.89,105284
2021-01-12,244.595,245.21,239.35,240.82,205.06,127623
2021-01-13,239.79,241.3,236.01,239.82,204.21,165445
2021-01-14,239.58,241.245,236.36,236.86,201.68,111835
2021-01-15,236.635,238.94,234.975,236.99,201.8,146958
2021-01-19,239.3,239.31,235.7,236.15,201.08,82040
2021-01-20,235.82,237.51,234.73,237.35,202.1,94812
2021-01-21,237.22,237.91,232.79,233.355,198.7,125060
2021-01-22,234.26,239.16,234.26,238.01,202.66,90371
2021-01-25,238.18,239.12,233.61,238.18,202.81,95250
2021-01-26,238.25,238.25,234.0,234.0,199.25,117795
2021-01-27,230.09,230.09,217.89,221.8,188.86,406959
2021-01-28,226.5,231.735,225.46,228.59,194.64,294733
2021-01-29,227.56,239.03,226.14,238.005,202.66,279844
2021-02-01,239.15,244.42,239.06,241.77,205.87,225477
2021-02-02,244.455,246.12,242.84,245.43,208.98,251172
2021-02-03,243.87,244.26,238.12,238.12,202.76,120377
2021-02-04,237.81,239.835,234.67,235.45,200.48,190432
2021-02-05,236.27,238.35,234.56,235.57,200.59,93838
2021-02-08,236.555,238.73,234.115,235.55,200.57,84646
2021-02-09,236.19,238.37,234.81,237.18,201.96,100857
2021-02-10,238.85,238.85,236.22,237.28,202.04,81792
2021-02-11,238.57,240.85,237.52,240.755,205.0,150027
2021-02-12,240.74,247.02,240.65,245.9,209.38,125401
2021-02-16,247.82,248.555,241.62,242.24,206.27,77674
2021-02-17,241.4,242.36,239.3,239.99,204.35,69219
2021-02-18,238.29,238.53,235.645,237.35,202.1,138825
2021-02-19,237.76,238.26,231.21,231.83,197.4,148988
2021-02-22,230.675,230.76,225.03,225.42,191.94,233554
2021-02-23,223.98,226.64,223.025,223.75,190.52,114156
2021-02-24,224.77,226.11,222.56,223.025,189.9,125573
2021-02-25,222.31,224.04,218.12,219.25,186.69,115274
2021-02-26,221.05,222.68,219.65,219.72,187.09,118863
2021-03-01,221.985,226.69,221.985,225.59,192.09,144755
2021-03-02,225.64,226.45,222.27,224.04,190.77,117977
2021-03-03,225.5,225.5,219.56,219.76,187.12,173163
2021-03-04,218.68,220.01,212.84,214.35,182.52,402595
2021-03-05,216.19,219.24,212.615,218.44,186.0,157354
2021-03-08,217.94,218.45,212.12,212.3,180.77,250472
2021-03-09,215.81,218.97,215.81,216.31,184.19,159256
2021-03-10,216.64,218.94,211.315,212.85,181.24,192370
2021-03-11,215.3,219.99,214.61,219.27,186.71,156817
2021-03-12,217.62,218.19,213.89,214.67,182.79,151291
2021-03-15,215.1,218.41,214.81,217.01,184.78,114840
2021-03-16,217.195,217.53,214.695,215.89,183.83,203257
2021-03-17,214.55,215.59,213.12,214.055,182.27,131809
2021-03-18,213.43,218.21,212.88,215.73,183.69,224183
2021-03-19,216.31,221.5,216.195,221.29,188.43,227058
2021-03-22,219.88,223.855,218.96,223.38,190.21,221068
2021-03-23,222.68,224.54,219.31,220.36,187.64,120190
2021-03-24,219.28,220.45,218.3,219.51,186.91,103766
2021-03-25,219.265,219.36,215.6,218.815,186.5,186031
2021-03-26,219.48,226.47,218.65,226.46,193.01,128399
2021-03-29,224.56,228.355,222.51,226.76,193.27,115447
2021-03-30,225.17,225.73,222.36,222.915,189.99,142323
2021-03-31,223.79,227.26,223.79,225.29,192.02,137890
2021-04-01,225.84,227.07,224.185,224.96,191.74,104457
2021-04-05,227.54,228.03,225.68,226.73,193.24,137327
2021-04-06,227.45,230.86,226.605,227.05,193.52,120406
2021-04-07,226.12,227.82,224.81,226.01,192.63,67675
2021-04-08,227.82,231.24,227.805,229.82,195.88,135199
2021-04-09,230.0,232.27,229.15,232.27,197.97,82261
2021-04-12,231.19,235.18,231.19,235.0,200.29,161471
2021-04-13,238.11,247.84,237.2,242.67,206.83,215831
2021-04-14,241.285,241.8,236.965,237.15,202.13,122934
2021-04-15,238.01,243.3,237.12,242.65,206.81,118854
2021-04-16,243.17,243.88,241.54,243.07,207.17,90230
2021-04-20,241.485,243.17,240.64,241.79,206.08,71703
2021-04-21,243.15,245.28,241.26,244.46,208.36,123706
2021-04-22,248.52,256.02,248.44,252.93,215.57,267839
2021-04-23,252.72,259.935,252.72,259.92,221.53,273289
2021-04-26,259.4,260.33,257.91,258.05,219.94,100214
2021-04-27,256.82,259.37,255.34,258.07,219.96,93590
2021-04-28,256.8,258.84,255.36,258.45,220.28,119317
2021-04-29,259.36,259.36,255.64,256.57,218.68,90541
2021-04-30,254.98,257.285,252.84,253.98,216.47,119652
2021-05-03,256.585,256.585,254.08,254.67,217.06,73333
2021-05-04,254.095,256.19,252.04,255.9,218.11,92613
2021-05-05,256.75,257.3,253.55,254.57,216.97,91080
2021-05-06,253.74,257.18,252.69,257.16,219.18,91732
2021-05-07,258.495,261.375,258.25,258.48,220.3,115208
2021-05-10,258.7,260.55,257.625,258.97,220.72,89432
2021-05-11,256.86,258.55,255.26,257.91,219.82,82281
2021-05-12,254.5,256.29,249.88,250.32,213.35,115030
2021-05-13,252.1,254.12,251.48,252.61,215.3,88277
2021-05-14,254.3,256.75,253.12,253.65,216.19,193044
2021-05-17,253.125,254.55,250.29,250.88,213.83,38929
2021-05-18,250.65,252.66,249.55,249.99,213.07,34351
2021-05-19,246.72,249.34,246.27,249.27,212.45,43608
2021-05-20,250.18,255.21,249.98,254.74,217.12,76575
2021-05-21,255.83,257.37,252.565,252.63,215.32,43453
2021-05-24,254.025,255.07,252.33,253.86,216.37,57742
2021-05-25,254.0,255.38,252.87,255.18,217.49,54797
2021-05-26,256.155,256.155,250.435,251.7,214.53,156976
