date,open,high,low,close,adj_close,volume
2020-07-27,26.05,26.475,25.7,26.455,15.72,109369
2020-07-28,26.46,27.48,26.445,27.33,16.24,91212
2020-07-29,27.715,27.895,27.485,27.895,16.57,63071
2020-07-30,27.32,28.04,27.245,27.77,16.5,148813
2020-07-31,27.59,27.59,26.69,27.31,16.23,132039
2020-08-03,26.91,26.935,26.39,26.875,15.97,88721
2020-08-04,26.95,27.44,26.555,27.28,16.21,151907
2020-08-05,27.5,27.78,26.87,27.255,16.19,197299
2020-08-06,27.07,28.195,27.055,28.04,16.66,147551
2020-08-07,28.02,28.685,27.91,28.585,16.98,69225
2020-08-10,28.745,29.315,28.45,29.04,17.26,92196
2020-08-11,29.39,29.475,28.145,28.22,16.77,82377
2020-08-12,28.37,28.675,28.12,28.665,17.03,33768
2020-08-13,28.185,28.435,27.395,27.43,16.51,86455
2020-08-14,27.495,27.595,26.96,27.025,16.27,198375
2020-08-17,27.07,27.58,26.9,27.495,16.55,50187
2020-08-18,27.49,27.82,27.19,27.68,16.66,86230
2020-08-19,27.6,27.605,26.88,26.985,16.24,518448
2020-08-20,26.78,27.625,26.69,27.39,16.49,71469
2020-08-21,27.65,27.65,26.98,27.44,16.52,59857
2020-08-24,27.05,27.99,27.05,27.94,16.82,142754
2020-08-25,27.93,27.93,27.27,27.73,16.69,153766
2020-08-26,27.265,27.83,27.165,27.28,16.42,114790
2020-08-27,27.65,28.08,27.545,28.055,16.89,106910
2020-08-28,28.0,28.48,27.655,28.465,17.13,61123
2020-08-31,28.01,28.105,27.59,27.63,16.63,61391
2020-09-01,27.155,27.655,27.14,27.45,16.52,142509
2020-09-02,27.66,28.555,27.625,28.555,17.19,104356
2020-09-03,29.06,29.37,28.23,28.425,17.11,139639
2020-09-04,28.64,28.73,27.865,28.345,17.06,58051
2020-09-08,28.13,28.13,27.62,27.755,16.71,97038
2020-09-09,27.84,28.355,27.61,28.085,16.91,57726
2020-09-10,27.9,28.315,27.9,27.955,16.83,25600
2020-09-11,27.9,27.98,27.425,27.915,16.8,28393
