date,open,high,low,close,adj_close,volume
2020-07-27,82.265,82.51,81.115,81.29,64.3,84892
2020-07-28,81.245,84.96,81.245,84.57,66.89,132375
2020-07-29,84.685,85.045,83.905,84.99,67.22,187957
2020-07-30,84.165,84.55,83.54,84.55,66.87,86049
2020-07-31,83.6,84.8,83.6,84.8,67.07,83411
2020-08-03,84.605,84.695,83.13,83.79,66.27,101644
2020-08-04,83.47,84.93,83.47,84.68,66.98,49932
2020-08-05,84.535,84.77,83.32,83.505,66.05,63715
2020-08-06,83.04,84.37,82.67,84.22,66.61,88260
2020-08-07,83.87,86.68,83.87,86.57,68.47,232211
2020-08-10,86.94,86.94,84.56,84.74,67.02,256529
2020-08-11,84.925,85.09,83.47,83.67,66.18,109479
2020-08-12,84.11,84.775,83.88,84.35,66.72,87067
2020-08-13,82.985,83.09,82.03,82.75,66.21,84951
2020-08-14,82.305,82.885,81.99,82.12,65.7,63947
2020-08-17,82.01,83.09,81.81,82.56,66.06,52158
2020-08-18,82.39,82.73,81.51,81.61,65.3,68584
2020-08-19,81.715,82.15,81.46,81.65,65.33,105408
2020-08-20,81.26,81.43,80.56,81.05,64.85,89198
2020-08-21,80.81,81.33,80.3,81.025,64.83,50994
2020-08-24,80.95,81.63,80.505,81.43,65.15,86970
2020-08-25,81.42,81.42,80.44,80.86,64.7,62856
2020-08-26,80.41,80.42,79.325,79.52,63.62,79904
2020-08-27,79.85,80.245,79.225,79.57,63.66,61788
2020-08-28,79.79,79.84,78.97,79.77,63.82,80668
2020-08-31,79.95,81.51,79.79,80.36,64.3,32397
2020-09-01,79.65,80.13,78.975,79.19,63.36,92843
2020-09-02,79.23,81.89,79.04,81.48,65.19,79484
2020-09-03,81.93,82.7,80.35,81.15,64.93,72249
2020-09-04,81.27,81.82,79.94,80.98,64.79,58362
2020-09-08,80.87,81.11,79.385,80.72,64.58,51080
2020-09-09,81.97,83.87,81.925,82.55,66.05,137093
2020-09-10,82.11,82.73,81.515,81.98,65.59,77773
2020-09-11,81.99,83.385,81.77,83.07,66.46,52938
2020-09-14,83.73,84.92,83.62,84.4,67.53,42394
2020-09-15,84.91,85.86,83.94,84.57,67.66,47748
2020-09-16,85.09,85.47,84.64,84.83,67.87,92591
2020-09-17,83.87,84.745,83.79,84.595,67.68,111270
2020-09-18,84.64,84.64,82.94,82.99,66.4,39114
2020-09-21,82.21,82.55,81.23,82.55,66.05,47141
2020-09-22,82.41,84.005,82.41,82.68,66.15,83729
2020-09-23,82.94,83.1,81.25,81.25,65.01,57056
2020-09-24,81.27,82.41,80.5,81.67,65.34,49103
2020-09-25,81.25,82.575,80.965,82.47,65.98,71355
2020-09-28,82.975,84.07,82.75,82.79,66.24,56698
2020-09-29,83.105,83.335,82.06,82.445,65.96,50269
2020-09-30,87.92,89.46,86.45,88.57,70.86,670723
2020-10-01,87.99,90.34,87.61,90.06,72.06,476999
2020-10-02,89.1,92.13,88.85,91.57,73.26,294321
2020-10-05,91.0,92.135,89.9,91.77,73.42,172665
2020-10-06,91.73,92.05,90.49,90.85,72.69,155863
2020-10-07,91.5,92.11,90.7,91.3,73.05,89408
2020-10-08,91.435,93.4,90.98,93.14,74.52,107729
2020-10-09,93.15,93.88,92.05,93.33,74.67,171134
2020-10-12,92.99,93.85,92.615,93.12,74.5,128656
2020-10-13,92.55,93.26,91.3,92.97,74.38,106249
2020-10-14,92.75,93.41,92.11,92.66,74.14,97244
2020-10-15,91.11,92.8,90.98,91.95,73.57,106285
2020-10-16,92.1,93.06,91.77,92.37,73.9,158267
2020-10-19,92.3,92.83,91.845,92.07,73.66,116500
2020-10-20,92.22,92.78,91.83,92.04,73.64,108271
2020-10-21,91.92,92.965,91.595,92.55,74.05,138008
2020-10-22,92.52,93.91,92.06,93.89,75.12,133552
2020-10-23,94.08,94.36,90.97,92.79,74.24,250069
2020-10-26,92.02,93.45,91.475,93.16,74.54,131910
2020-10-27,93.28,93.93,92.64,93.08,74.47,110869
2020-10-28,91.85,93.04,90.84,90.92,72.74,122751
2020-10-29,90.45,93.18,89.67,92.28,73.83,203208
2020-10-30,91.88,92.98,91.26,92.1,73.69,113578
2020-11-02,92.735,94.19,92.26,93.77,75.02,133878
2020-11-03,94.85,96.555,94.575,95.575,76.47,198722
2020-11-04,95.0,96.69,93.58,93.59,74.88,137112
2020-11-05,94.93,96.92,93.97,94.33,75.47,182849
2020-11-06,94.545,95.515,93.36,93.4,74.73,104434
2020-11-09,97.75,98.78,95.11,95.285,76.24,233349
2020-11-10,95.83,97.26,94.31,97.15,77.73,195598
2020-11-11,97.61,98.64,97.05,97.28,77.83,91537
2020-11-12,95.725,95.9,93.61,94.16,76.09,93961
2020-11-13,94.65,95.355,94.65,94.98,76.75,79912
2020-11-16,95.89,96.03,94.5,94.99,76.76,125092
2020-11-17,94.38,94.94,92.84,92.84,75.02,113278
2020-11-18,93.445,93.93,91.46,91.54,73.97,151091
2020-11-19,91.22,91.73,90.09,91.72,74.12,110067
2020-11-20,91.76,92.675,91.39,92.6,74.83,118930
2020-11-23,92.65,93.43,92.04,93.4,75.48,130889
2020-11-24,94.33,96.32,93.97,96.23,77.76,207622
2020-11-25,95.945,96.21,94.91,96.17,77.72,90356
2020-11-27,95.89,95.89,94.095,94.585,76.43,96790
2020-11-30,93.99,94.19,91.95,92.655,74.88,238982
2020-12-01,93.48,94.55,93.24,93.26,75.36,96187
2020-12-02,93.17,93.9,91.98,93.89,75.87,116934
2020-12-03,93.49,93.49,92.15,92.33,74.61,72506
2020-12-04,92.25,92.63,90.145,91.17,73.68,139982
2020-12-07,90.79,92.28,90.55,91.86,74.23,56390
2020-12-08,91.525,92.015,90.415,91.53,73.97,84612
2020-12-09,91.49,91.735,90.31,91.4,73.86,152055
2020-12-10,91.85,92.07,90.87,91.79,74.18,94597
2020-12-11,91.25,91.885,90.96,91.595,74.02,130906
2020-12-14,92.45,94.02,91.13,91.15,73.66,91216
2020-12-15,91.12,92.815,90.92,92.05,74.39,94492
2020-12-16,92.735,92.94,90.605,90.605,73.22,123104
2020-12-17,91.36,91.795,91.02,91.51,73.95,104059
2020-12-18,91.5,91.51,90.27,90.325,72.99,98898
2020-12-21,89.845,89.845,88.2,89.08,71.99,83572
2020-12-22,88.94,89.535,88.66,89.53,72.35,62522
2020-12-23,89.95,90.65,89.02,89.04,71.95,54668
2020-12-24,89.31,89.68,88.86,89.68,72.47,22223
2020-12-28,90.095,90.65,89.785,90.22,72.91,46217
2020-12-29,90.36,90.97,89.72,89.87,72.62,52191
2020-12-30,90.02,91.055,90.02,90.53,73.16,53261
2020-12-31,90.59,91.6,90.41,91.6,74.02,41688
2021-01-04,91.76,92.12,89.21,89.65,72.45,56690
2021-01-05,89.855,90.05,89.095,89.75,72.53,83818
2021-01-06,90.1,91.745,90.04,90.89,73.45,110736
2021-01-07,91.38,91.42,89.75,89.905,72.65,131088
2021-01-08,90.0,90.38,89.49,90.06,72.78,72706
2021-01-11,89.81,90.3,88.53,89.31,72.17,81006
2021-01-12,89.195,89.53,87.64,88.98,71.91,78423
2021-01-13,89.04,92.3,89.04,91.57,74.0,123509
2021-01-14,91.56,91.94,90.37,91.67,74.08,80214
2021-01-15,90.95,92.36,90.64,92.13,74.45,104894
2021-01-19,92.55,92.55,90.37,90.41,73.06,63381
2021-01-20,90.3,91.18,89.57,90.81,73.38,66777
2021-01-21,90.3,90.735,89.87,90.21,72.9,43278
2021-01-22,89.83,90.66,89.48,90.37,73.03,29847
2021-01-25,90.01,93.06,89.79,92.91,75.08,137361
2021-01-26,92.645,93.43,91.96,92.915,75.09,49044
2021-01-27,92.415,94.06,91.34,91.64,74.06,97216
2021-01-28,91.84,93.64,91.475,91.52,73.96,110094
2021-01-29,91.96,94.58,91.05,94.01,75.97,347591
2021-02-01,94.145,94.345,92.92,93.18,75.3,119052
2021-02-02,93.075,94.95,92.73,93.09,75.23,123805
2021-02-03,92.605,93.595,92.605,93.41,75.49,102839
2021-02-04,93.73,94.44,93.39,94.37,76.26,143034
2021-02-05,94.52,95.45,94.05,94.9,76.69,113542
2021-02-08,94.48,94.62,93.05,93.6,75.64,70941
2021-02-09,93.74,94.01,92.83,93.3,75.4,42229
2021-02-10,93.73,94.13,92.85,93.59,75.63,130904
2021-02-11,92.82,92.82,90.385,90.43,73.84,174141
2021-02-12,90.0,90.32,89.16,89.88,73.39,143706
2021-02-16,89.5,89.65,88.055,88.38,72.16,128370
2021-02-17,88.595,89.55,87.89,89.205,72.84,194712
2021-02-18,89.295,90.44,89.175,89.5,73.08,168205
2021-02-19,89.37,89.37,88.23,88.41,72.19,130800
2021-02-22,88.36,88.635,87.105,88.34,72.13,111648
2021-02-23,88.98,90.03,88.29,89.07,72.73,101531
2021-02-24,88.97,88.97,87.335,87.34,71.31,85159
2021-02-25,87.34,88.74,86.715,87.12,71.14,135407
2021-02-26,87.1,88.61,85.59,85.6,69.89,158467
2021-03-01,86.4,88.01,86.25,87.1,71.12,72409
2021-03-02,87.15,87.85,86.47,87.21,71.21,75818
2021-03-03,86.84,87.44,85.825,87.285,71.27,140370
2021-03-04,87.27,88.76,86.015,86.375,70.53,132645
2021-03-05,86.68,88.99,86.24,88.57,72.32,151884
2021-03-08,88.875,91.16,88.59,90.28,73.72,140129
2021-03-09,90.34,91.465,89.83,90.95,74.26,148051
2021-03-10,90.84,91.695,90.62,90.77,74.12,303973
2021-03-11,90.33,92.295,90.33,90.71,74.07,104700
2021-03-12,91.21,91.94,90.98,91.37,74.61,162392
2021-03-15,91.83,92.54,91.54,92.33,75.39,170455
2021-03-16,91.85,93.37,91.85,92.99,75.93,140797
2021-03-17,92.81,93.3,91.48,91.85,75.0,175187
2021-03-18,91.85,92.63,91.3,92.33,75.39,173425
2021-03-19,92.6,93.35,91.66,92.715,75.7,219816
2021-03-22,92.795,93.235,92.23,93.13,76.04,149094
2021-03-23,93.15,94.56,92.67,94.05,76.79,170456
2021-03-24,93.72,95.12,93.55,94.48,77.14,177827
2021-03-25,94.98,95.895,94.4,95.57,78.03,133572
2021-03-26,95.2,95.92,94.84,95.9,78.3,99109
2021-03-29,95.57,97.91,95.39,97.51,79.62,126764
2021-03-30,97.59,97.59,95.61,96.21,78.56,96691
2021-03-31,96.05,96.78,95.91,96.59,78.87,98804
2021-04-01,96.44,96.5,95.42,96.31,78.64,120756
2021-04-05,96.365,97.62,96.27,96.91,79.13,145027
2021-04-06,96.485,97.6,96.09,97.58,79.68,81762
2021-04-07,97.66,98.015,97.36,97.815,79.87,132574
2021-04-08,97.73,98.14,97.425,97.61,79.7,59083
2021-04-09,98.05,98.65,97.45,97.53,79.63,89131
2021-04-12,97.24,98.08,97.18,97.64,79.72,47409
2021-04-13,97.13,98.73,96.86,98.49,80.42,52121
2021-04-14,98.26,98.885,98.115,98.8,80.67,117331
2021-04-15,98.82,99.885,98.82,99.76,81.46,101109
2021-04-16,99.98,101.11,99.8,100.64,82.17,109824
2021-04-20,100.21,101.82,100.145,101.39,82.79,131717
2021-04-21,101.465,101.63,100.6,101.07,82.53,76904
2021-04-22,101.125,101.16,100.05,100.1,81.73,120559
2021-04-23,100.09,100.38,99.45,99.88,81.55,63358
2021-04-26,99.88,99.88,99.01,99.18,80.98,56508
2021-04-27,98.88,99.09,98.37,98.59,80.5,66290
2021-04-28,98.85,99.145,98.07,98.605,80.51,44459
2021-04-29,98.7,99.62,98.67,99.56,81.29,58791
2021-04-30,99.905,100.68,99.27,100.68,82.21,75540
2021-05-03,100.61,101.87,100.39,100.71,82.23,64586
2021-05-04,100.75,101.0,100.13,100.73,82.25,87167
2021-05-05,100.45,100.55,98.68,99.37,81.14,66332
2021-05-06,99.69,100.7,99.36,100.535,82.09,71015
2021-05-07,100.27,101.42,100.2,100.88,82.37,102569
2021-05-10,101.33,107.98,101.1,103.72,84.69,257743
2021-05-11,104.53,104.53,102.74,103.59,84.58,179919
2021-05-12,103.51,103.51,101.17,101.17,82.61,163757
2021-05-13,100.42,103.56,100.41,103.0,84.91,127776
2021-05-14,103.375,103.78,102.63,103.05,84.95,86185
2021-05-17,103.26,105.3,102.38,102.45,84.46,209415
2021-05-18,102.22,103.01,101.965,102.43,84.44,190995
2021-05-19,102.31,102.36,100.15,101.14,83.38,95457
2021-05-20,101.51,102.77,101.45,102.22,84.27,142685
2021-05-21,102.55,103.07,101.93,102.86,84.8,96314
2021-05-24,103.265,103.49,102.165,102.32,84.35,63140
2021-05-25,102.14,102.14,100.81,101.32,83.53,74242
2021-05-26,101.26,101.61,100.78,101.09,83.34,44094
2021-05-27,100.955,101.24,100.03,100.04,82.47,79245
2021-05-28,100.63,100.74,100.0,100.24,82.64,44170
2021-06-01,100.67,100.7,99.595,100.06,82.49,69279
2021-06-02,100.26,101.235,99.72,100.68,83.0,36718
2021-06-03,100.36,102.01,100.325,101.64,83.79,97991
2021-06-04,101.825,102.065,101.43,101.48,83.66,59643
2021-06-07,101.64,102.18,101.51,101.87,83.98,106533
2021-06-08,102.03,102.03,100.44,100.555,82.9,94426
2021-06-09,100.72,101.46,100.5,101.365,83.56,39246
2021-06-10,101.37,101.86,101.23,101.71,83.85,41027
2021-06-11,101.55,102.05,101.15,101.91,84.01,41087
2021-06-14,101.89,102.55,101.78,102.55,84.54,68171
2021-06-15,102.55,103.5,102.23,103.21,85.08,94393
2021-06-16,103.785,103.83,101.74,101.82,83.94,134043
2021-06-17,101.7,103.155,101.54,102.4,84.42,120008
2021-06-18,102.07,102.07,99.53,99.58,82.09,99925
2021-06-21,100.105,101.53,99.8,101.32,83.53,188240
2021-06-22,100.915,101.45,100.295,100.39,82.76,64475
2021-06-23,100.15,100.34,99.09,99.2,81.78,97104
2021-06-24,99.36,99.445,98.7,99.05,81.65,97152
2021-06-25,99.37,99.8,98.95,99.705,82.19,118244
2021-06-28,100.14,100.65,99.66,100.01,82.45,78587
2021-06-29,99.93,100.23,97.69,98.08,80.85,83781
2021-06-30,98.27,98.92,97.685,98.7,81.37,58705
2021-07-01,99.06,99.86,98.35,99.465,82.0,79010
2021-07-02,99.35,99.7,99.23,99.52,82.04,42690
