date,open,high,low,close,adj_close,volume
2020-07-27,167.81,167.81,163.84,165.34,157.79,35859
2020-07-28,165.62,166.2,162.25,162.44,155.02,45760
2020-07-29,163.23,166.055,163.12,165.67,158.1,38588
2020-07-30,164.345,164.535,162.31,163.46,155.99,35143
2020-07-31,163.22,163.23,160.46,162.645,155.21,20611
2020-08-03,163.48,163.55,161.68,162.93,155.49,15789
2020-08-04,162.4,163.33,160.28,160.7,153.36,11993
2020-08-05,162.36,163.065,161.92,162.67,155.24,7741
2020-08-06,162.75,162.81,162.32,162.52,155.09,6307
2020-08-07,162.645,166.53,162.645,166.53,158.92,19935
2020-08-10,166.44,167.02,163.97,164.67,157.15,28068
2020-08-11,163.62,167.19,162.02,164.53,157.01,34359
2020-08-12,165.835,168.245,165.835,166.86,159.24,13364
2020-08-13,166.115,167.59,166.01,166.81,159.19,12764
2020-08-14,166.48,167.1,164.04,164.66,157.14,20460
2020-08-17,164.97,166.37,164.32,164.5,156.98,17553
2020-08-18,164.315,166.48,164.31,164.74,157.21,25108
2020-08-19,164.985,164.985,161.315,162.01,154.61,15286
2020-08-20,160.67,162.01,160.64,161.49,154.11,38249
2020-08-21,160.9,160.9,158.46,159.23,151.95,41955
2020-08-24,159.19,159.775,157.34,159.28,152.38,134774
2020-08-25,159.395,161.13,159.285,160.13,153.19,30486
2020-08-26,159.73,162.355,159.43,161.18,154.19,42217
2020-08-27,162.02,167.01,162.02,166.26,159.05,31867
2020-08-28,165.355,168.99,165.355,168.37,161.07,33279
2020-08-31,166.42,168.61,165.715,168.61,161.3,24426
2020-09-01,167.61,168.75,166.56,168.75,161.43,55629
2020-09-02,169.405,174.635,169.345,174.03,166.49,15446
2020-09-03,173.43,173.505,167.48,168.93,161.61,33947
2020-09-04,170.21,171.275,166.26,166.7,159.47,37972
2020-09-08,164.655,166.195,160.785,163.75,156.65,98421
2020-09-09,167.51,169.88,165.86,167.69,160.42,58589
2020-09-10,167.14,169.35,161.66,161.825,154.81,58658
2020-09-11,162.145,162.865,160.46,162.56,155.51,72319
2020-09-14,164.92,165.395,163.29,163.33,156.25,42033
2020-09-15,164.12,164.275,159.52,160.25,153.3,41619
2020-09-16,160.835,161.09,158.91,159.0,152.11,39905
2020-09-17,156.415,159.3,156.0,159.1,152.2,42226
2020-09-18,158.925,158.925,154.655,156.05,149.29,25657
2020-09-21,154.58,155.13,152.29,155.13,148.41,48890
2020-09-22,156.825,156.825,155.39,156.06,149.29,52069
2020-09-23,156.12,156.26,151.05,152.19,145.59,38990
2020-09-24,151.235,153.285,150.63,151.84,145.26,26583
2020-09-25,152.245,156.86,151.635,156.45,149.67,62896
2020-09-28,158.32,159.29,157.89,157.89,151.05,18270
2020-09-29,159.29,161.07,157.61,158.03,151.18,37411
2020-09-30,157.91,159.185,156.38,156.95,150.15,18727
2020-10-01,158.195,158.85,157.21,158.075,151.22,57241
2020-10-02,156.54,160.595,156.54,158.93,152.04,37656
2020-10-05,159.51,160.36,158.395,159.85,152.92,35560
2020-10-06,161.44,161.44,156.9,157.27,150.45,45226
2020-10-07,158.725,161.455,158.255,161.15,154.16,71628
2020-10-08,162.46,165.45,161.82,161.82,154.81,36056
2020-10-09,162.62,165.31,161.875,164.25,157.13,32702
2020-10-12,165.34,166.38,164.355,164.5,157.37,30217
2020-10-13,163.585,165.32,163.53,164.95,157.8,28829
2020-10-14,166.04,166.43,163.91,164.205,157.09,23009
2020-10-15,163.14,163.14,160.425,162.36,155.32,43154
2020-10-16,162.695,163.93,161.5,163.305,156.23,36682
2020-10-19,164.15,164.15,157.94,158.7,151.82,35898
2020-10-20,159.83,161.005,158.77,159.77,152.84,31786
2020-10-21,160.795,163.15,159.9,162.6,155.55,86144
2020-10-22,158.88,161.92,153.59,155.98,149.22,128962
2020-10-23,156.87,157.11,149.86,152.66,146.04,134307
2020-10-26,151.115,151.72,149.14,150.97,144.43,68918
2020-10-27,150.39,152.09,147.76,147.83,141.42,73581
2020-10-28,146.44,146.44,140.1,140.755,134.65,157578
2020-10-29,140.7,141.88,139.11,139.8,133.74,195464
2020-10-30,139.54,140.09,136.02,136.595,130.67,170230
2020-11-02,138.89,142.23,137.49,141.75,135.61,136977
2020-11-03,143.89,151.07,143.83,149.55,143.07,204887
2020-11-04,152.27,155.76,151.79,152.02,145.43,98533
2020-11-05,154.21,154.25,151.59,151.74,145.16,97553
2020-11-06,151.58,152.965,150.09,150.09,143.58,84022
2020-11-09,158.3,158.835,151.89,151.945,145.36,88800
2020-11-10,151.75,155.74,149.67,154.535,147.84,138564
2020-11-11,155.685,159.44,155.43,159.135,152.24,99371
2020-11-12,159.69,162.86,158.24,162.53,155.48,200498
2020-11-13,163.245,165.075,161.79,165.06,157.9,86109
2020-11-16,166.305,171.645,166.3,171.52,164.08,75415
2020-11-17,170.07,172.0,168.58,171.9,164.45,44967
2020-11-18,172.89,174.08,171.71,171.92,164.47,69468
2020-11-19,170.33,174.21,170.325,173.72,166.19,69625
2020-11-20,172.93,174.21,171.27,171.64,164.2,34221
2020-11-23,171.69,172.68,169.74,172.595,165.49,24553
2020-11-24,172.63,173.57,165.765,165.915,159.08,74526
2020-11-25,166.155,168.85,165.81,166.01,159.18,57652
2020-11-27,166.05,166.72,164.235,164.565,157.79,15676
2020-11-30,166.03,167.94,165.13,166.91,160.04,97953
2020-12-01,169.02,170.48,166.86,167.08,160.2,32050
2020-12-02,166.66,166.66,163.39,164.67,157.89,27426
2020-12-03,164.56,167.04,164.56,165.0,158.21,16955
2020-12-04,166.15,167.27,165.94,166.45,159.6,37817
2020-12-07,167.23,171.27,167.23,170.85,163.82,26715
2020-12-08,178.0,190.15,178.0,184.19,176.61,96633
2020-12-09,181.35,182.35,179.52,180.2,172.78,61564
2020-12-10,179.09,183.44,178.47,183.395,175.84,68806
2020-12-11,185.64,189.43,184.86,188.06,180.32,35269
2020-12-14,187.64,191.16,187.64,189.21,181.42,29441
2020-12-15,191.48,193.98,190.61,193.6,185.63,23207
2020-12-16,193.355,194.91,192.64,193.15,185.2,22264
2020-12-17,195.39,196.24,193.455,193.69,185.72,25217
2020-12-18,193.73,195.48,192.84,195.21,187.17,21029
2020-12-21,192.86,194.68,189.74,194.23,186.23,27296
2020-12-22,193.56,194.62,192.96,193.98,185.99,23636
2020-12-23,194.54,194.59,192.84,192.95,185.01,22799
2020-12-24,193.35,194.47,193.31,194.405,186.4,9516
2020-12-28,194.975,195.335,193.23,193.87,185.89,20392
2020-12-29,194.49,194.49,189.56,190.79,182.93,23724
2020-12-30,191.47,191.91,190.27,191.2,183.33,11688
2020-12-31,191.61,193.2,190.045,193.095,185.15,21467
2021-01-04,193.48,193.48,185.175,188.01,180.27,43276
2021-01-05,188.22,190.31,187.06,189.91,182.09,40563
2021-01-06,187.92,188.21,181.92,181.95,174.46,112545
2021-01-07,182.19,183.555,180.59,181.33,173.86,40156
2021-01-08,180.915,186.66,180.915,186.07,178.41,43502
2021-01-11,184.49,187.145,183.39,184.48,176.88,26464
2021-01-12,183.4,185.24,182.45,183.91,176.34,38693
