date,open,high,low,close,adj_close,volume
2020-07-27,222.0,223.215,219.465,220.66,194.01,16432
2020-07-28,219.7,219.9,216.24,216.26,190.15,19307
2020-07-29,218.51,220.385,217.56,219.66,193.14,13143
2020-07-30,215.3,218.58,214.315,216.1,190.0,20629
2020-07-31,216.175,218.35,214.7,218.065,191.73,15429
2020-08-03,218.81,222.9,218.81,220.96,194.28,12564
2020-08-04,220.745,221.275,217.085,217.45,191.19,18463
2020-08-05,221.0,222.72,219.225,219.96,193.4,21831
2020-08-06,218.69,226.65,216.84,223.74,196.72,40694
2020-08-07,222.535,232.475,222.235,232.35,204.29,35642
2020-08-10,232.11,234.91,231.22,231.865,203.87,13268
2020-08-11,234.25,236.51,228.205,228.295,200.73,18330
2020-08-12,232.14,232.14,227.87,227.87,200.35,7894
2020-08-13,226.385,227.41,224.865,225.39,198.17,12665
2020-08-14,224.23,228.08,224.23,225.28,198.08,10596
2020-08-17,224.72,225.38,221.87,221.895,195.1,24960
2020-08-18,220.925,221.85,220.44,220.87,194.2,23261
2020-08-19,221.72,221.72,217.0,217.39,191.14,24778
2020-08-20,215.52,216.88,213.9,216.49,190.35,23363
2020-08-21,216.425,217.275,213.5,213.855,188.03,17021
2020-08-24,216.06,219.02,216.06,218.32,191.96,16938
2020-08-25,219.95,220.505,218.65,218.9,192.47,10171
2020-08-26,216.605,218.31,215.975,217.145,190.92,14709
2020-08-27,220.98,225.715,220.98,221.88,195.09,22556
2020-08-28,222.68,223.26,219.62,221.6,194.84,17225
2020-08-31,219.355,221.245,218.145,220.33,193.72,17459
2020-09-01,217.38,218.73,216.275,217.78,192.84,13574
2020-09-02,215.61,219.11,215.5,218.075,193.1,14839
2020-09-03,222.565,222.565,214.48,216.0,191.26,14717
2020-09-04,219.225,220.21,214.1,215.68,190.98,6797
2020-09-08,212.805,213.09,208.72,211.43,187.22,12173
2020-09-09,213.32,216.7,211.67,213.83,189.34,8210
2020-09-10,213.495,213.97,207.53,207.53,183.76,19177
2020-09-11,206.61,208.89,206.3,206.3,182.67,27590
2020-09-14,207.81,211.92,207.81,210.07,186.01,9251
2020-09-15,209.35,209.955,205.55,206.12,182.52,11022
2020-09-16,206.83,209.945,205.41,206.14,182.53,8920
2020-09-17,203.72,206.74,202.43,204.795,181.34,17012
2020-09-18,205.03,205.83,200.71,201.1,178.07,7701
2020-09-21,198.93,202.34,198.9,202.29,179.12,96243
2020-09-22,203.31,206.48,199.425,199.93,177.03,36171
2020-09-23,201.28,201.28,195.98,197.17,174.59,13701
2020-09-24,195.5,201.33,194.785,199.75,176.88,19982
2020-09-25,198.355,199.45,196.01,198.55,175.81,13402
2020-09-28,203.05,204.11,201.59,201.66,178.57,7009
2020-09-29,200.53,201.945,197.31,200.05,177.14,8795
2020-09-30,200.52,201.65,194.625,197.75,175.1,31163
2020-10-01,198.01,200.775,194.89,196.93,174.38,41331
2020-10-02,193.51,199.9,193.135,198.775,176.01,23703
2020-10-05,200.205,204.09,200.205,204.09,180.72,28551
2020-10-06,204.95,206.08,199.36,200.33,177.39,14942
2020-10-07,200.1,200.31,195.14,198.59,175.85,29156
2020-10-08,201.5,204.85,201.35,204.055,180.69,20609
2020-10-09,205.62,206.575,203.34,204.99,181.51,24778
2020-10-12,204.91,207.43,204.805,205.85,182.28,15749
2020-10-13,204.79,204.79,199.94,202.17,179.02,22991
2020-10-14,201.2,205.69,201.2,202.38,179.2,24445
2020-10-15,200.29,202.28,198.93,201.99,178.86,15239
2020-10-16,202.145,203.33,200.29,200.94,177.93,8759
2020-10-19,200.785,201.41,197.305,197.415,174.81,13125
