date,open,high,low,close,adj_close,volume
2020-07-27,737.82,755.4,737.21,754.83,673.75,20239
2020-07-28,755.355,757.87,748.495,752.18,671.39,11453
2020-07-29,759.05,769.67,756.87,769.32,686.69,35553
2020-07-30,779.7,785.51,772.09,778.14,694.56,42196
2020-07-31,775.04,785.44,771.24,785.44,701.08,21817
2020-08-03,781.215,784.91,775.64,779.03,695.35,24788
2020-08-04,775.705,794.65,775.705,793.85,708.58,20201
2020-08-05,797.145,797.17,786.97,794.55,709.21,23685
2020-08-06,790.87,793.06,786.575,792.5,707.38,9652
2020-08-07,792.15,797.93,788.775,790.39,705.49,22446
2020-08-10,797.7,800.0,780.3,782.125,698.12,20073
2020-08-11,775.305,776.035,755.7,756.55,675.29,22009
2020-08-12,762.67,775.84,757.68,772.93,689.91,14780
2020-08-13,772.65,777.02,768.58,770.03,687.32,17663
2020-08-14,771.11,776.305,758.63,762.355,680.47,19313
2020-08-17,758.96,772.45,758.9,772.44,689.47,25030
2020-08-18,772.785,789.445,771.635,785.15,703.24,22217
2020-08-19,790.54,790.54,774.845,778.045,696.88,12763
2020-08-20,781.86,787.94,781.86,785.37,703.44,10676
2020-08-21,786.615,786.615,774.625,783.04,701.35,15166
2020-08-24,779.075,780.71,763.2,771.38,690.91,20335
2020-08-25,774.87,781.01,772.1,778.99,697.72,11225
2020-08-26,779.62,780.785,771.5,780.585,699.15,13366
2020-08-27,785.03,795.17,785.03,790.47,708.01,17392
2020-08-28,778.73,787.535,778.53,786.36,704.32,20246
2020-08-31,788.13,795.61,788.13,790.05,707.63,26233
2020-09-01,789.4,789.48,776.765,789.48,707.12,11890
2020-09-02,782.61,801.04,777.52,800.59,717.07,13519
2020-09-03,792.05,792.05,755.42,762.215,682.7,31264
2020-09-04,761.64,762.245,742.37,751.56,673.15,10070
2020-09-08,744.24,752.91,738.78,742.31,664.87,11428
2020-09-09,753.215,760.38,751.42,754.065,675.4,17999
2020-09-10,750.96,753.35,742.41,742.41,664.96,10775
2020-09-11,746.855,750.365,738.955,746.995,669.07,8448
2020-09-14,753.37,760.9,753.37,756.955,677.99,15195
2020-09-15,766.08,773.12,763.54,766.71,686.72,13561
2020-09-16,776.355,781.79,767.18,767.27,687.23,10287
2020-09-17,761.91,765.41,745.245,755.11,676.33,13899
2020-09-18,753.42,757.11,746.84,752.27,673.79,14049
2020-09-21,749.25,751.085,731.415,745.215,667.47,21363
2020-09-22,750.9,755.57,745.43,750.135,671.88,29275
2020-09-23,751.28,752.785,730.5,730.87,654.62,23771
2020-09-24,735.535,743.87,730.825,733.74,657.19,21607
2020-09-25,735.98,750.51,735.645,750.05,671.8,15822
2020-09-28,760.485,770.095,760.485,764.59,684.83,12397
2020-09-29,763.675,767.52,762.5,762.54,682.99,30628
2020-09-30,765.6,769.015,753.06,761.34,681.91,22807
2020-10-01,763.44,770.28,756.02,768.25,688.1,39198
2020-10-02,761.38,779.48,760.765,778.54,697.32,26479
2020-10-05,778.195,788.06,762.81,788.06,705.85,32022
2020-10-06,784.92,793.92,776.02,789.84,707.44,23169
2020-10-07,791.26,805.725,791.21,803.19,719.4,47859
2020-10-08,802.485,827.115,802.485,824.52,738.5,57429
2020-10-09,827.885,831.665,826.025,830.22,743.61,34203
2020-10-12,832.88,839.59,824.715,835.51,748.35,32332
2020-10-13,837.39,837.39,822.57,825.69,739.55,30981
2020-10-14,824.295,828.07,812.81,817.05,731.81,43788
2020-10-15,814.01,821.9,812.2,814.36,729.4,28330
2020-10-16,812.12,826.41,812.12,818.37,732.99,41272
2020-10-19,820.23,822.77,809.48,810.53,725.97,37603
2020-10-20,811.8,812.415,800.42,804.27,720.37,40213
2020-10-21,800.555,806.11,797.52,803.09,719.31,22736
2020-10-22,805.65,805.65,776.36,777.2,696.12,47322
2020-10-23,779.445,779.65,769.56,776.23,695.25,50753
2020-10-26,774.01,775.15,763.0,770.82,690.41,43035
2020-10-27,774.34,778.09,769.66,773.52,692.82,39712
2020-10-28,763.64,771.04,755.44,755.44,676.63,51223
2020-10-29,761.73,761.73,738.66,740.83,663.54,68364
2020-10-30,735.94,738.93,719.86,730.76,654.52,45686
2020-11-02,740.02,747.955,730.14,738.01,661.02,61592
2020-11-03,743.895,755.33,738.93,751.6,673.19,36882
2020-11-04,760.24,786.57,760.24,777.63,696.5,51565
2020-11-05,785.88,795.34,779.85,781.38,699.86,42069
2020-11-06,785.555,796.72,781.26,793.85,711.03,47841
2020-11-09,800.42,806.315,741.71,742.75,665.26,95388
2020-11-10,742.35,742.35,716.965,726.84,651.01,92586
2020-11-11,736.445,766.05,734.175,761.07,681.67,54239
2020-11-12,763.31,764.47,755.0,760.22,680.91,36883
2020-11-13,761.52,764.395,756.81,760.18,680.88,34512
2020-11-16,764.48,764.48,736.785,755.28,676.49,40299
2020-11-17,743.82,751.69,743.82,750.68,674.74,41711
2020-11-18,748.96,757.195,733.705,733.98,659.73,40961
2020-11-19,733.11,735.085,728.08,729.94,656.1,38142
2020-11-20,731.55,741.87,725.915,728.37,654.69,53963
2020-11-23,728.59,730.0,709.39,709.84,638.03,51265
2020-11-24,713.34,713.34,690.22,691.72,621.75,100721
2020-11-25,695.68,703.79,686.98,693.075,622.97,55592
2020-11-27,699.95,705.66,691.89,699.76,628.97,23202
2020-11-30,702.15,706.065,696.01,696.295,625.86,57588
2020-12-01,702.36,714.86,700.99,712.1,640.07,56459
2020-12-02,710.31,712.58,688.24,690.56,620.7,49665
2020-12-03,701.0,701.0,690.03,693.15,623.03,56712
2020-12-04,693.06,712.45,693.05,708.74,637.05,57457
2020-12-07,716.53,716.53,694.5,696.84,626.35,34946
2020-12-08,700.36,700.43,693.02,695.19,624.87,30165
2020-12-09,703.84,703.84,676.03,678.39,609.77,57892
2020-12-10,678.84,688.99,678.69,687.03,617.53,38972
2020-12-11,684.96,689.65,672.3,688.54,618.89,38467
