date,open,high,low,close,adj_close,volume
2020-07-27,80.265,81.14,79.71,81.08,75.73,24333
2020-07-28,80.99,81.1,79.46,79.485,74.24,21187
2020-07-29,81.295,83.925,81.25,83.785,78.26,72909
2020-07-30,83.325,83.675,82.27,82.995,77.52,30530
2020-07-31,83.015,84.885,82.91,84.4,78.83,79393
2020-08-03,84.4,85.88,84.34,85.83,80.17,186994
2020-08-04,85.87,87.63,84.49,86.75,81.03,94596
2020-08-05,82.82,85.97,82.82,84.105,78.56,76201
2020-08-06,84.39,85.07,84.02,84.445,78.88,48288
2020-08-07,85.155,85.705,84.77,85.42,79.79,56042
2020-08-10,85.205,86.015,84.735,85.175,79.56,34027
2020-08-11,85.52,86.645,85.47,85.64,79.99,93940
2020-08-12,86.4,86.96,86.0,86.105,80.43,24213
2020-08-13,85.7,86.165,85.24,85.86,80.2,51452
2020-08-14,86.01,87.12,85.83,86.055,80.38,19014
2020-08-17,86.21,86.93,86.21,86.5,80.8,15082
2020-08-18,86.535,87.105,86.325,86.8,81.08,37435
2020-08-19,87.27,87.7,87.02,87.19,81.44,11933
2020-08-20,86.59,87.13,86.495,86.87,81.14,25407
2020-08-21,86.58,86.87,86.06,86.33,80.64,39825
2020-08-24,86.685,87.225,86.425,87.13,81.38,38700
2020-08-25,87.315,87.63,86.905,87.42,81.66,47525
2020-08-26,87.07,87.595,86.84,87.57,81.8,34304
2020-08-27,87.69,88.1,87.26,87.44,81.67,48272
2020-08-28,88.25,88.82,87.55,88.82,82.96,11684
2020-08-31,88.725,88.9,88.1,88.405,82.58,20769
2020-09-01,88.325,89.69,88.18,89.635,83.72,12799
2020-09-02,89.685,91.21,89.685,90.76,84.78,38469
2020-09-03,90.3,90.3,88.03,88.59,82.75,27060
2020-09-04,88.77,89.19,86.72,87.775,81.99,34688
2020-09-08,87.2,87.52,86.24,86.49,80.79,28268
2020-09-09,87.82,90.19,87.635,89.5,83.6,29796
2020-09-10,89.3,89.815,88.615,88.66,82.81,47880
2020-09-11,89.085,90.635,88.995,90.47,84.5,85045
2020-09-14,90.78,91.815,90.78,91.36,85.34,36329
2020-09-15,91.33,93.53,91.33,93.32,87.17,57059
2020-09-16,93.75,93.91,91.35,91.515,85.48,13660
2020-09-17,90.7,92.77,90.62,92.39,86.3,36351
2020-09-18,93.62,93.74,90.71,91.34,85.32,96967
2020-09-21,89.77,90.12,87.32,88.33,82.51,57643
2020-09-22,88.545,89.68,88.44,89.135,83.26,66114
2020-09-23,89.6,90.665,88.69,88.77,82.92,43326
2020-09-24,88.44,90.08,87.76,89.33,83.44,46985
2020-09-25,88.52,90.695,88.52,90.29,84.34,17574
2020-09-28,91.78,92.01,90.97,91.19,85.18,31208
2020-09-29,91.2,92.1,90.91,91.81,85.76,45418
2020-09-30,91.73,92.165,89.97,90.53,84.56,37831
2020-10-01,90.51,91.37,88.86,89.33,83.44,75490
2020-10-02,88.79,90.07,88.31,89.73,83.81,55587
2020-10-05,90.485,91.15,90.485,91.0,85.0,58646
2020-10-06,91.09,91.36,89.31,89.37,83.48,38252
2020-10-07,89.925,91.38,89.925,90.79,84.8,43460
2020-10-08,90.58,91.775,90.4,91.59,85.55,59272
2020-10-09,92.26,92.59,91.75,92.48,86.38,65220
2020-10-12,92.945,93.32,92.45,93.235,87.09,50389
2020-10-13,92.01,94.06,92.01,92.85,86.73,72694
2020-10-14,93.33,94.405,92.925,93.69,87.51,35725
2020-10-15,93.145,93.92,92.96,93.78,87.6,41299
2020-10-16,93.74,93.91,92.96,93.26,87.11,47078
2020-10-19,93.185,93.9,92.3,92.59,86.48,114082
2020-10-20,93.59,94.9,92.915,93.73,87.55,65196
2020-10-21,93.82,95.22,93.485,93.77,87.59,80336
2020-10-22,93.895,94.36,93.34,94.28,88.06,37914
2020-10-23,94.51,95.37,93.99,95.23,88.95,43478
2020-10-26,94.575,94.575,93.34,94.24,88.03,146114
2020-10-27,94.245,95.05,94.18,94.25,88.04,54359
2020-10-28,92.825,93.335,89.15,89.23,83.35,122116
2020-10-29,89.82,90.415,88.325,89.35,83.46,54293
2020-10-30,89.745,89.745,86.95,88.41,82.58,67005
2020-11-02,89.2,89.875,87.94,88.56,82.72,102391
2020-11-03,90.74,90.74,85.02,86.87,81.14,167342
2020-11-04,88.32,89.44,86.55,86.87,81.14,75652
2020-11-05,87.88,88.955,86.88,87.44,81.67,75564
2020-11-06,87.07,88.67,87.07,88.3,82.48,36820
2020-11-09,92.55,92.93,87.33,87.37,81.61,115512
2020-11-10,87.58,88.94,86.77,88.25,82.43,77434
2020-11-11,89.395,89.57,87.72,88.66,82.81,46229
2020-11-12,89.18,89.18,87.24,87.795,82.01,56042
2020-11-13,88.31,90.12,88.24,89.135,83.26,66841
2020-11-16,89.82,91.06,89.12,90.21,84.26,48760
2020-11-17,89.65,90.105,88.83,89.92,83.99,44659
2020-11-18,90.1,91.92,89.61,90.19,84.24,73779
2020-11-19,89.785,90.455,89.28,90.38,84.42,55499
2020-11-20,90.06,90.485,88.89,89.01,83.14,69909
2020-11-23,89.31,89.655,88.47,88.74,82.89,134137
2020-11-24,89.13,91.525,89.13,90.35,84.39,63933
2020-11-25,90.18,90.58,88.945,90.27,84.32,41572
2020-11-27,89.8,89.8,88.9,88.965,83.1,29293
2020-11-30,88.92,89.4,88.11,89.215,83.82,76652
2020-12-01,89.58,91.49,89.27,89.72,84.3,46990
2020-12-02,89.81,90.0,87.995,88.64,83.28,52085
2020-12-03,88.21,89.67,88.21,88.68,83.32,38872
2020-12-04,88.855,90.585,88.855,90.05,84.61,42614
2020-12-07,89.88,90.285,89.33,89.77,84.34,31580
2020-12-08,89.57,90.3,89.24,90.05,84.61,26126
2020-12-09,90.255,90.78,90.06,90.635,85.16,49806
2020-12-10,90.14,90.85,88.94,89.71,84.29,39442
2020-12-11,89.23,91.02,89.23,90.5,85.03,57575
2020-12-14,91.3,91.75,89.92,90.24,84.79,96168
2020-12-15,91.415,91.415,89.85,90.105,84.66,43815
2020-12-16,90.37,92.08,90.37,91.41,85.88,52070
2020-12-17,91.98,94.17,91.71,94.03,88.35,53294
2020-12-18,93.875,95.395,93.52,95.32,89.56,102969
2020-12-21,93.56,95.48,93.41,94.38,88.67,47346
2020-12-22,94.49,94.83,93.97,94.72,88.99,23671
2020-12-23,95.505,95.55,94.235,94.6,88.88,21257
2020-12-24,94.89,95.08,94.3,94.53,88.82,8848
2020-12-28,94.86,95.49,94.635,95.25,89.49,32270
2020-12-29,95.51,95.55,94.49,94.665,88.94,33168
2020-12-30,94.9,95.06,94.31,94.66,88.94,26329
2020-12-31,94.48,95.14,94.295,95.14,89.39,30178
2021-01-04,95.825,95.825,91.775,92.31,86.73,64582
2021-01-05,92.51,92.52,91.37,92.06,86.5,34200
2021-01-06,91.63,94.31,91.63,94.04,88.36,44804
2021-01-07,94.77,95.255,93.76,94.17,88.48,43068
2021-01-08,94.91,95.75,93.84,94.4,88.69,58712
2021-01-11,94.205,94.94,93.94,93.99,88.31,38949
2021-01-12,93.275,97.21,93.275,97.09,91.22,119771
2021-01-13,95.885,96.23,94.18,94.69,88.97,104367
2021-01-14,95.36,96.19,94.23,94.44,88.73,70929
2021-01-15,93.85,94.02,92.04,93.19,87.56,69208
2021-01-19,93.61,93.94,92.48,93.05,87.43,47746
2021-01-20,93.21,94.42,92.69,94.16,88.47,84765
2021-01-21,94.14,95.13,94.08,94.09,88.4,63792
2021-01-22,94.045,94.88,92.86,93.93,88.25,248072
2021-01-25,93.9,94.59,92.5,94.01,88.33,139530
2021-01-26,94.48,95.405,93.99,94.46,88.75,69818
