date,open,high,low,close,adj_close,volume
2020-07-27,95.19,95.75,94.75,95.51,76.71,13073
2020-07-28,95.93,99.685,95.93,99.56,79.96,43546
2020-07-29,99.8,101.12,99.405,100.89,81.03,52513
2020-07-30,99.57,101.78,99.43,101.52,81.54,62577
2020-07-31,101.21,103.31,100.225,103.31,82.98,34259
2020-08-03,102.25,102.41,101.22,101.81,81.77,68951
2020-08-04,102.29,105.79,101.59,105.2,84.49,67279
2020-08-05,104.775,105.035,101.34,102.2,82.08,79078
2020-08-06,100.98,101.25,97.4,101.13,81.23,74056
2020-08-07,100.8,104.165,100.8,103.7,83.29,46874
2020-08-10,104.295,105.71,103.675,105.12,84.43,39082
2020-08-11,105.57,105.585,102.71,103.0,82.73,42970
2020-08-12,103.34,103.56,102.01,103.45,83.09,45767
2020-08-13,103.6,104.605,102.64,103.01,82.74,27635
2020-08-14,103.53,105.15,103.36,104.18,83.68,35010
2020-08-17,103.98,104.69,103.54,104.69,84.08,47914
2020-08-18,104.5,105.495,104.03,105.1,84.41,36014
2020-08-19,104.69,104.75,101.98,102.16,82.05,16126
2020-08-20,102.87,104.19,102.87,104.14,83.64,23626
2020-08-21,104.91,105.33,104.205,105.32,84.59,25434
2020-08-24,104.9,106.63,104.895,106.255,85.34,37091
2020-08-25,106.19,106.615,104.66,106.08,85.2,25500
2020-08-26,104.86,105.84,103.905,105.84,85.01,41934
2020-08-27,106.255,106.94,106.255,106.665,85.67,43092
2020-08-28,105.93,106.74,105.375,106.74,85.73,37147
2020-08-31,106.185,106.965,105.61,106.71,85.71,17939
2020-09-01,106.33,107.275,105.705,106.83,85.8,19716
2020-09-02,106.7,108.51,106.7,108.49,87.14,40674
2020-09-03,109.36,109.54,107.35,108.2,86.9,13561
2020-09-04,108.4,108.995,106.49,108.4,87.06,24534
2020-09-08,107.14,109.21,107.03,108.0,86.74,19149
2020-09-09,110.145,112.5,109.495,110.88,89.06,36939
2020-09-10,109.935,110.66,109.46,110.095,88.43,10225
2020-09-11,109.72,112.29,109.72,111.205,89.32,22424
2020-09-14,111.09,111.59,111.01,111.42,90.22,15210
2020-09-15,111.165,112.365,110.53,111.21,90.05,14492
2020-09-16,111.105,113.1,111.105,112.36,90.98,36189
2020-09-17,112.22,112.22,110.03,111.24,90.07,35785
2020-09-18,110.63,110.81,109.29,109.39,88.58,30819
2020-09-21,107.695,109.51,105.68,107.445,87.0,52295
2020-09-22,108.18,109.17,107.5,107.81,87.3,46843
2020-09-23,106.95,106.955,103.685,104.38,84.52,31583
