date,open,high,low,close,adj_close,volume
2020-07-27,45.825,46.405,45.79,46.215,19.98,97506
2020-07-28,45.875,45.995,45.35,45.4,19.63,102556
2020-07-29,45.76,46.815,45.695,46.535,20.12,48214
2020-07-30,45.78,47.01,45.755,46.885,20.27,81829
2020-07-31,46.855,47.025,46.145,47.025,20.33,55436
2020-08-03,47.51,47.95,47.325,47.445,20.51,79933
2020-08-04,47.18,47.54,47.135,47.525,20.55,146210
2020-08-05,47.62,48.19,47.585,48.08,20.79,40527
2020-08-06,47.325,48.015,47.22,47.925,20.72,81484
2020-08-07,47.77,48.495,47.77,48.425,20.94,84482
2020-08-10,48.285,48.33,47.76,47.945,20.73,103643
2020-08-11,48.015,48.32,47.265,47.395,20.49,148374
2020-08-12,47.59,48.455,47.585,48.145,20.82,88826
2020-08-13,48.0,48.375,47.895,48.005,20.76,45156
2020-08-14,47.865,48.325,47.805,47.965,20.74,57653
2020-08-17,48.115,48.475,47.965,48.18,20.83,38549
2020-08-18,48.37,48.535,48.055,48.075,20.79,53707
2020-08-19,48.3,48.545,47.955,48.005,20.76,53270
2020-08-20,47.765,48.285,47.645,48.215,20.85,72614
2020-08-21,48.2,48.57,47.945,48.535,20.99,28905
2020-08-24,48.725,48.725,47.22,47.825,20.68,74709
2020-08-25,48.105,48.18,47.615,47.895,20.71,46770
2020-08-26,47.715,48.295,47.64,48.095,20.8,52100
2020-08-27,48.345,48.705,48.055,48.345,20.9,55068
2020-08-28,48.515,48.865,48.35,48.83,21.11,38835
2020-08-31,48.78,49.06,48.655,48.875,21.13,56066
2020-09-01,48.81,49.525,48.465,49.495,21.4,71059
2020-09-02,49.55,49.855,49.29,49.675,21.48,77615
2020-09-03,48.93,48.93,46.515,47.04,20.34,45695
2020-09-04,47.165,47.35,45.55,46.265,20.0,83648
2020-09-08,44.895,45.165,43.655,43.655,18.88,86331
2020-09-09,44.37,45.625,44.37,45.225,19.55,48003
2020-09-10,45.195,45.195,43.715,44.005,19.03,103169
2020-09-11,44.22,44.45,43.53,44.055,19.05,50577
2020-09-14,44.365,44.51,44.085,44.335,19.17,52283
2020-09-15,44.46,44.925,44.455,44.705,19.33,84683
2020-09-16,45.05,45.1,44.205,44.265,19.14,111880
2020-09-17,43.385,44.435,43.385,44.275,19.14,130106
2020-09-18,44.25,44.835,43.445,44.055,19.05,27682
2020-09-21,43.63,43.72,43.1,43.705,18.9,42504
2020-09-22,43.76,44.885,43.715,44.815,19.38,105700
2020-09-23,44.59,44.91,44.12,44.185,19.11,32343
2020-09-24,44.08,45.07,44.035,44.255,19.14,75793
2020-09-25,43.97,45.135,43.945,44.885,19.41,43905
2020-09-28,45.515,45.965,45.295,45.745,19.78,81833
2020-09-29,45.865,46.07,45.18,45.345,19.61,172103
2020-09-30,45.59,45.835,44.915,45.095,19.5,127904
2020-10-01,45.19,45.38,44.65,44.755,19.35,190687
2020-10-02,44.26,44.82,44.125,44.56,19.27,193501
2020-10-05,44.87,45.955,44.75,45.825,19.81,109154
2020-10-06,45.65,46.14,45.04,45.16,19.53,164114
2020-10-07,45.42,46.335,45.42,46.24,19.99,128967
2020-10-08,46.4,46.56,45.93,45.99,19.89,198205
2020-10-09,46.21,47.08,46.21,46.62,20.16,164513
2020-10-12,47.055,48.75,47.055,47.625,20.59,271261
2020-10-13,45.265,46.09,44.55,45.38,19.62,417367
2020-10-14,45.5,45.97,44.815,44.96,19.44,154199
2020-10-15,44.59,45.15,44.32,44.6,19.28,177573
2020-10-16,44.955,45.615,44.82,45.23,19.56,116649
2020-10-19,45.205,45.35,44.205,44.46,19.22,199791
2020-10-20,44.945,45.395,44.83,45.06,19.48,112286
2020-10-21,45.14,45.365,43.93,43.96,19.01,165330
2020-10-22,44.055,44.19,43.5,44.11,19.07,141960
2020-10-23,44.34,45.09,44.035,44.995,19.46,141587
2020-10-26,44.06,44.33,43.74,44.325,19.27,160323
2020-10-27,44.5,44.51,43.53,43.565,18.94,108240
2020-10-28,42.85,43.38,42.72,42.905,18.66,172966
2020-10-29,42.815,43.62,42.585,43.18,18.78,114832
2020-10-30,42.96,43.47,42.69,43.25,18.81,163433
2020-11-02,43.695,44.54,43.695,44.455,19.33,115202
2020-11-03,45.23,46.42,45.17,46.275,20.12,112822
2020-11-04,46.74,47.75,46.4,46.6,20.26,177037
2020-11-05,47.355,47.65,46.29,46.355,20.16,144297
2020-11-06,46.385,47.12,46.05,46.945,20.41,95464
2020-11-09,48.85,49.36,45.95,45.96,19.98,183299
2020-11-10,45.575,47.17,45.575,46.705,20.31,186771
2020-11-11,47.0,47.315,46.42,47.215,20.53,98153
2020-11-12,47.01,47.08,46.03,46.31,20.14,132372
2020-11-13,46.67,47.65,46.67,47.57,20.68,135061
2020-11-16,47.82,48.61,47.38,48.61,21.14,163372
2020-11-17,48.145,48.225,47.465,47.65,20.72,115391
2020-11-18,47.695,48.15,47.43,47.62,20.71,126959
2020-11-19,47.395,48.08,46.94,48.05,20.89,110057
2020-11-20,47.67,48.07,47.225,47.29,20.56,150735
2020-11-23,47.45,47.95,47.07,47.92,20.84,128486
2020-11-24,48.175,49.135,47.64,48.95,21.28,178995
2020-11-25,48.775,48.775,47.85,48.195,20.96,71645
2020-11-27,48.37,48.8,48.15,48.49,21.08,42635
2020-11-30,48.52,49.51,48.33,49.5,21.52,139762
2020-12-01,49.53,49.55,48.44,48.58,21.3,137828
2020-12-02,48.3,48.675,47.41,47.57,20.85,100191
2020-12-03,47.755,48.0,47.235,47.345,20.75,116563
2020-12-04,47.58,48.44,47.58,48.035,21.06,90808
2020-12-07,47.8,48.995,47.8,48.675,21.34,110946
2020-12-08,48.735,49.335,48.16,49.075,21.51,92742
2020-12-09,49.02,49.845,49.02,49.71,21.79,106334
2020-12-10,49.18,49.54,48.35,48.38,21.21,74934
2020-12-11,48.35,49.57,48.31,49.195,21.56,109439
2020-12-14,49.45,49.85,49.245,49.245,21.59,108744
2020-12-15,49.58,50.14,49.29,49.795,21.83,52598
2020-12-16,48.915,49.6,48.79,49.47,21.69,82765
2020-12-17,49.635,49.73,49.31,49.55,21.72,86940
2020-12-18,49.68,49.75,48.83,49.42,21.66,140465
2020-12-21,48.9,49.69,48.39,49.62,21.75,77340
2020-12-22,49.75,49.75,49.2,49.495,21.7,50106
2020-12-23,49.675,49.675,48.94,49.12,21.53,32054
2020-12-24,49.26,49.5,49.21,49.48,21.69,23389
2020-12-28,49.89,50.12,49.56,50.01,21.92,68146
2020-12-29,50.22,50.41,49.3,49.68,21.78,173554
2020-12-30,49.81,49.92,48.935,49.06,21.51,55416
2020-12-31,48.91,49.1,48.34,48.85,21.41,72934
2021-01-04,49.03,49.29,47.2,47.645,20.89,166608
2021-01-05,47.48,48.37,47.39,48.27,21.16,77733
2021-01-06,48.095,49.35,47.98,49.1,21.52,109568
2021-01-07,49.04,49.78,48.37,49.75,21.81,146155
2021-01-08,49.61,50.86,49.61,50.75,22.25,157079
2021-01-11,50.27,50.89,50.27,50.51,22.14,100696
2021-01-12,50.35,51.88,50.335,51.645,22.64,166550
2021-01-13,51.38,51.44,50.68,50.68,22.22,111914
2021-01-14,50.87,50.96,49.97,50.32,22.06,74773
2021-01-15,50.04,50.555,49.555,50.51,22.14,107909
2021-01-19,51.0,51.1,49.92,50.405,22.1,240825
2021-01-20,50.36,50.36,47.74,48.68,21.34,378334
2021-01-21,48.72,49.11,47.84,48.17,21.12,214552
2021-01-22,48.09,48.2,47.56,47.72,20.92,273965
2021-01-25,47.575,48.24,46.95,48.16,21.11,118176
2021-01-26,48.42,48.535,47.36,47.59,20.86,95050
2021-01-27,47.035,47.945,46.46,47.82,20.96,160059
2021-01-28,48.28,48.48,46.685,46.69,20.47,212839
2021-01-29,46.36,46.96,45.55,45.55,19.97,174347
2021-02-01,46.21,46.74,46.055,46.42,20.35,141211
2021-02-02,46.6,46.91,45.86,46.5,20.51,195307
2021-02-03,46.3,47.21,46.12,47.02,20.74,97588
2021-02-04,46.62,47.16,45.89,47.145,20.79,257444
2021-02-05,47.38,47.6,46.96,47.33,20.87,97768
2021-02-08,47.53,47.92,47.35,47.43,20.92,86703
2021-02-09,47.37,47.395,46.64,47.3,20.86,73467
2021-02-10,47.65,47.84,47.07,47.67,21.02,88706
