date,open,high,low,close,adj_close,volume
2020-07-27,26.65,26.67,25.47,25.71,23.78,76230
2020-07-28,25.77,26.175,25.52,25.745,23.81,75062
2020-07-29,25.81,26.035,25.425,25.845,23.9,49673
2020-07-30,25.27,25.96,25.27,25.805,23.86,48329
2020-07-31,25.565,25.8,25.185,25.755,23.82,73814
2020-08-03,25.62,26.41,25.445,26.395,24.41,116085
2020-08-04,26.33,27.195,26.23,26.675,24.67,149151
2020-08-05,25.665,25.665,24.27,24.74,22.88,505335
2020-08-06,24.98,25.31,24.67,24.995,23.11,293134
2020-08-07,24.885,25.08,24.275,24.67,22.81,392594
2020-08-10,24.615,24.785,24.175,24.405,22.57,311228
2020-08-11,24.84,25.475,24.6,24.66,22.81,358678
2020-08-12,24.99,25.12,24.625,24.905,23.03,659567
2020-08-13,24.84,25.605,24.75,25.58,23.66,94618
2020-08-14,25.51,26.025,25.31,25.735,23.8,62769
2020-08-17,25.845,25.845,25.175,25.56,23.64,357702
2020-08-18,25.57,25.8,25.455,25.615,23.69,65851
2020-08-19,25.76,26.115,25.61,25.845,23.9,49642
2020-08-20,25.625,25.995,25.525,25.87,23.92,49188
2020-08-21,25.69,26.045,25.62,26.01,24.05,53951
2020-08-24,26.13,27.14,26.13,26.935,24.91,57811
2020-08-25,27.08,27.085,26.415,26.905,24.88,103339
2020-08-26,26.675,27.29,26.675,27.155,25.11,74855
2020-08-27,27.58,27.795,27.32,27.575,25.5,67138
2020-08-28,27.595,27.815,27.46,27.815,25.72,40663
2020-08-31,27.875,28.385,27.675,27.885,25.79,102090
2020-09-01,27.485,27.51,27.065,27.395,25.55,168577
2020-09-02,27.6,28.08,27.6,27.88,26.0,55524
2020-09-03,28.1,28.585,27.22,27.35,25.5,98656
2020-09-04,27.87,27.93,27.37,27.655,25.79,79985
2020-09-08,27.49,28.28,27.49,27.695,25.83,42293
2020-09-09,27.77,28.43,27.385,28.185,26.28,170897
2020-09-10,28.3,28.725,28.08,28.19,26.29,62857
2020-09-11,28.155,28.63,27.675,28.16,26.26,113866
2020-09-14,28.39,29.295,28.39,28.65,26.72,107599
2020-09-15,28.75,28.99,28.37,28.63,26.7,90705
2020-09-16,28.805,29.91,28.805,29.315,27.34,88907
2020-09-17,28.68,29.225,28.405,28.645,26.71,99990
2020-09-18,28.54,28.66,27.65,28.0,26.11,91382
2020-09-21,27.665,27.665,26.45,26.785,24.98,97903
2020-09-22,26.915,27.115,26.56,26.805,25.0,124743
2020-09-23,26.79,26.95,25.875,25.925,24.17,72992
2020-09-24,26.03,26.4,25.575,26.175,24.41,57069
2020-09-25,25.92,26.845,25.92,26.7,24.9,92542
2020-09-28,27.205,27.845,27.105,27.845,25.96,61927
2020-09-29,27.835,27.91,27.14,27.775,25.9,106557
2020-09-30,27.935,28.475,27.505,27.825,25.95,126232
2020-10-01,27.97,28.17,27.515,28.04,26.15,187367
2020-10-02,26.915,28.35,26.915,28.09,26.19,293830
2020-10-05,28.165,28.765,28.02,28.705,26.77,108350
2020-10-06,28.7,29.06,27.82,27.945,26.06,164943
2020-10-07,28.365,29.26,28.34,28.99,27.03,191594
2020-10-08,29.26,29.56,28.915,29.56,27.56,129784
2020-10-09,29.73,29.98,29.05,29.21,27.24,170557
2020-10-12,29.48,29.49,28.83,28.945,26.99,195780
2020-10-13,28.895,28.895,27.17,27.23,25.39,540382
2020-10-14,27.365,27.42,26.905,26.93,25.11,318567
2020-10-15,26.74,26.975,26.38,26.935,25.12,242607
2020-10-16,27.04,27.19,26.55,26.865,25.05,198316
2020-10-19,26.91,26.93,25.975,26.03,24.27,217656
2020-10-20,26.245,26.33,25.875,26.04,24.28,152343
2020-10-21,26.04,26.695,25.78,26.605,24.81,161625
2020-10-22,26.72,27.58,26.72,27.45,25.6,192731
2020-10-23,27.62,27.62,26.73,27.075,25.25,161615
2020-10-26,26.83,26.83,26.09,26.41,24.63,201536
2020-10-27,26.13,26.35,26.05,26.19,24.42,187005
2020-10-28,25.725,26.025,25.22,25.315,23.61,184650
2020-10-29,24.935,25.81,24.935,25.595,23.87,135569
2020-10-30,25.51,26.52,25.51,26.52,24.73,346899
2020-11-02,26.68,27.455,26.31,27.38,25.53,428123
2020-11-03,28.81,29.18,26.37,27.0,25.18,546102
2020-11-04,26.88,27.1,24.985,25.67,23.94,855271
2020-11-05,25.82,26.66,25.48,26.615,24.82,233870
2020-11-06,26.585,26.61,25.65,25.96,24.21,385655
2020-11-09,27.0,27.56,25.97,26.24,24.47,511496
2020-11-10,25.99,27.13,25.93,26.84,25.03,308494
2020-11-11,26.96,27.6,26.59,27.44,25.59,518464
2020-11-12,27.19,27.19,25.335,25.665,23.93,731671
2020-11-13,25.95,26.75,25.72,26.64,24.84,310092
2020-11-16,26.81,27.625,26.72,27.205,25.37,493028
2020-11-17,26.725,28.215,26.725,28.15,26.25,247496
2020-11-18,28.11,28.19,27.65,27.665,25.8,174951
2020-11-19,27.43,27.975,27.43,27.71,25.84,153752
2020-11-20,27.615,27.93,27.58,27.835,25.96,169943
2020-11-23,27.92,28.755,27.8,28.54,26.61,196564
2020-11-24,28.835,29.745,28.625,29.485,27.49,283399
2020-11-25,29.125,29.325,28.87,29.305,27.33,94644
2020-11-27,29.315,29.395,29.095,29.105,27.14,115704
2020-11-30,29.0,29.195,28.72,28.84,26.89,150102
2020-12-01,28.985,30.56,28.985,30.15,28.11,762723
2020-12-02,30.2,30.655,29.78,30.6,28.53,633888
2020-12-03,30.78,30.96,30.24,30.275,28.23,188478
2020-12-04,30.52,30.52,29.75,29.85,27.83,266878
2020-12-07,29.655,30.03,29.505,29.685,27.68,236705
2020-12-08,29.44,29.74,29.105,29.265,27.29,185482
2020-12-09,29.505,29.57,29.055,29.25,27.28,172459
2020-12-10,29.01,29.22,28.95,29.125,27.16,169050
2020-12-11,28.83,29.36,28.585,29.295,27.32,157457
2020-12-14,29.64,29.77,28.775,28.775,26.83,165522
2020-12-15,28.9,28.9,27.995,28.555,26.63,122770
2020-12-16,28.615,28.87,28.35,28.485,26.56,128269
2020-12-17,28.66,28.7,27.87,28.55,26.62,119987
2020-12-18,28.49,28.815,27.93,28.16,26.26,106080
2020-12-21,27.75,27.9,27.33,27.715,25.84,99390
2020-12-22,27.605,27.69,27.13,27.265,25.42,84319
2020-12-23,27.43,28.22,27.43,28.11,26.21,88369
2020-12-24,28.14,28.53,28.11,28.3,26.39,82802
2020-12-28,28.5,29.3,28.32,29.155,27.19,81318
2020-12-29,29.15,29.29,28.865,29.025,27.07,55583
2020-12-30,29.1,29.535,29.04,29.095,27.13,79619
2020-12-31,29.08,29.365,29.035,29.075,27.11,113236
2021-01-04,29.24,29.69,28.46,28.78,26.84,138423
2021-01-05,28.81,29.59,28.81,29.435,27.45,99986
2021-01-06,30.09,32.175,29.99,31.98,29.82,367252
2021-01-07,31.695,31.91,30.92,30.955,28.86,221526
2021-01-08,31.01,31.02,29.735,30.11,28.08,412268
2021-01-11,30.05,30.585,29.905,30.365,28.31,267625
2021-01-12,30.345,30.53,29.705,29.78,27.77,181294
2021-01-13,29.49,30.015,29.35,29.985,27.96,186230
2021-01-14,30.165,31.455,29.71,31.295,29.18,266717
2021-01-15,31.01,31.74,30.775,31.495,29.37,353031
2021-01-19,31.41,31.41,29.855,30.05,28.02,163810
2021-01-20,30.15,31.23,30.15,31.045,28.95,184464
2021-01-21,30.65,31.27,30.65,31.06,28.96,121061
2021-01-22,30.84,30.84,29.865,30.205,28.17,344512
2021-01-25,30.095,32.2,30.095,32.1,29.93,299721
2021-01-26,32.21,35.18,32.21,35.025,32.66,516410
2021-01-27,35.32,40.67,34.13,34.41,32.09,688115
2021-01-28,34.61,35.035,31.84,31.91,29.76,196678
2021-01-29,32.01,32.66,30.98,31.175,29.07,138192
2021-02-01,31.325,32.06,30.96,31.93,29.77,201782
2021-02-02,31.87,31.91,30.3,30.52,28.46,181545
2021-02-03,30.575,30.745,30.235,30.3,28.25,88810
2021-02-04,30.32,30.89,30.03,30.415,28.36,117390
2021-02-05,30.485,31.7,30.1,31.41,29.29,114267
2021-02-08,31.695,32.74,31.43,32.74,30.53,156217
2021-02-09,32.625,32.89,30.54,30.76,28.68,270651
2021-02-10,30.85,31.935,30.5,31.76,29.62,250221
2021-02-11,31.62,32.21,31.36,32.01,29.85,127579
2021-02-12,32.28,32.81,32.225,32.635,30.43,83083
2021-02-16,32.67,32.73,31.58,31.75,29.61,147228
2021-02-17,31.85,32.085,31.54,31.75,29.61,110318
2021-02-18,31.805,32.38,31.805,32.155,29.98,197651
2021-02-19,32.375,33.98,32.2,33.77,31.49,175389
2021-02-22,33.7,35.31,33.7,34.695,32.35,227601
2021-02-23,34.76,35.29,33.675,34.13,31.83,211560
2021-02-24,33.82,34.2,33.5,34.075,31.77,260452
2021-02-25,34.27,34.63,32.87,33.04,30.81,147708
2021-02-26,33.26,33.805,32.8,33.34,31.09,198521
2021-03-01,33.685,35.0,33.56,34.82,32.47,185042
2021-03-02,34.74,38.76,34.52,37.96,35.4,403409
2021-03-03,38.12,40.535,37.68,39.32,36.67,596444
2021-03-04,39.51,40.245,37.97,39.02,36.39,273263
2021-03-05,39.61,41.385,39.2,41.35,38.56,263744
2021-03-08,40.97,42.62,40.14,42.36,39.5,261527
2021-03-09,42.15,42.275,40.04,40.36,37.84,192347
2021-03-10,40.305,41.56,40.23,41.43,38.84,93176
2021-03-11,41.18,42.33,40.9,41.85,39.24,78183
2021-03-12,41.82,43.0,41.82,42.82,40.15,126769
2021-03-15,43.05,43.68,42.3,42.72,40.05,141041
2021-03-16,43.17,44.78,43.07,44.19,41.43,192388
2021-03-17,43.94,44.04,41.5,42.93,40.25,130590
2021-03-18,42.525,43.62,42.525,42.79,40.12,102896
2021-03-19,42.57,43.31,42.57,42.92,40.24,150605
2021-03-22,42.59,43.695,42.59,43.695,40.97,88628
2021-03-23,43.17,43.33,41.66,41.81,39.2,123635
2021-03-24,41.81,42.0,40.08,40.13,37.62,138753
2021-03-25,40.15,40.96,39.61,40.3,37.78,241691
2021-03-26,40.44,40.44,35.35,37.83,35.47,364202
2021-03-29,37.72,38.2,36.79,37.225,34.9,199915
2021-03-30,37.43,37.88,36.67,37.1,34.78,93516
2021-03-31,37.17,37.38,36.02,36.165,33.91,189647
2021-04-01,36.37,36.68,35.765,36.31,34.04,94770
2021-04-05,36.61,36.61,35.42,36.41,34.14,101844
2021-04-06,36.22,37.5,36.2,37.01,34.7,103736
2021-04-07,37.57,37.98,36.85,37.31,34.98,134937
2021-04-08,37.14,37.27,36.41,36.955,34.65,169019
2021-04-09,37.14,37.59,36.63,37.455,35.12,66268
2021-04-12,37.79,38.3,37.265,37.42,35.08,93295
2021-04-13,37.58,38.09,37.36,37.48,35.14,77334
2021-04-14,37.325,37.92,37.12,37.205,34.88,59371
2021-04-15,37.81,38.46,37.75,37.895,35.53,124830
2021-04-16,38.0,38.55,37.8,37.95,35.58,126959
2021-04-19,37.77,38.31,37.53,37.66,35.31,119606
2021-04-20,37.855,38.25,37.44,37.825,35.46,152995
2021-04-21,37.64,38.8,37.455,38.56,36.15,137777
2021-04-22,38.59,38.87,37.93,38.1,35.72,121069
2021-04-23,38.36,38.68,38.17,38.42,36.02,72817
2021-04-26,38.3,38.3,37.72,38.2,35.82,93376
2021-04-27,38.06,38.53,37.88,38.295,35.9,146283
2021-04-28,38.125,38.125,37.61,37.805,35.45,67613
2021-04-29,38.05,38.21,37.51,37.78,35.42,96113
2021-04-30,37.73,37.805,37.22,37.39,35.06,108537
2021-05-03,37.63,37.63,36.65,36.66,34.37,112687
2021-05-04,36.855,37.12,36.27,36.72,34.43,138140
2021-05-05,36.76,37.0,36.25,36.34,34.07,79067
2021-05-06,36.66,38.41,36.65,37.565,35.22,148289
2021-05-07,37.665,38.44,37.365,38.32,35.93,75556
2021-05-10,38.385,39.45,38.24,38.82,36.4,120549
2021-05-11,38.89,38.99,38.015,38.48,36.08,127657
2021-05-12,38.365,38.64,37.9,37.94,35.57,109024
2021-05-13,37.94,39.145,37.87,38.755,36.34,75120
2021-05-14,38.42,38.58,37.15,37.27,34.94,173439
2021-05-17,37.73,38.21,36.735,36.745,34.45,123730
2021-05-18,37.15,37.71,36.95,37.36,35.03,171623
2021-05-19,36.93,37.61,36.84,37.35,35.02,78782
2021-05-20,37.33,37.74,37.19,37.24,34.92,114065
2021-05-21,37.275,37.83,37.18,37.555,35.21,105101
2021-05-24,37.585,37.88,37.34,37.42,35.08,64608
2021-05-25,37.71,37.88,36.98,37.15,34.83,56862
2021-05-26,37.25,38.03,37.21,37.5,35.16,70086
2021-05-27,37.71,38.35,37.67,37.94,35.57,74085
2021-05-28,38.05,38.05,37.14,37.36,35.03,99314
2021-06-01,37.68,37.71,37.19,37.31,34.98,52054
2021-06-02,37.39,37.475,36.405,36.78,34.48,132429
2021-06-03,36.75,37.07,36.085,36.595,34.31,117056
2021-06-04,36.63,37.255,36.51,37.19,34.87,101013
2021-06-07,37.29,37.59,36.94,37.16,34.84,58886
2021-06-08,37.245,37.245,36.37,36.605,34.32,100513
2021-06-09,37.2,38.05,36.98,37.65,35.3,147304
2021-06-10,37.8,37.86,37.31,37.47,35.13,94404
2021-06-11,37.66,37.95,37.475,37.895,35.53,92277
2021-06-14,37.95,38.11,37.34,37.68,35.33,124845
2021-06-15,37.805,38.13,37.38,37.72,35.37,94872
2021-06-16,37.58,37.84,37.26,37.675,35.32,62322
2021-06-17,37.595,37.975,36.92,37.16,34.84,102257
2021-06-18,37.32,37.99,37.045,37.61,35.26,133962
2021-06-21,37.87,38.03,37.415,37.485,35.15,64342
2021-06-22,37.55,37.765,36.825,37.66,35.31,99222
2021-06-23,37.64,37.93,37.51,37.595,35.25,74087
2021-06-24,37.695,38.36,37.63,38.3,35.91,66653
2021-06-25,38.35,38.845,38.055,38.35,35.96,58976
2021-06-28,38.62,38.73,38.075,38.31,35.92,128460
2021-06-29,37.58,37.76,36.825,36.83,34.53,116147
2021-06-30,36.94,37.16,36.56,37.14,34.82,114351
2021-07-01,37.165,37.875,36.95,37.53,35.19,108083
