date,open,high,low,close,adj_close,volume
2020-07-27,134.43,136.88,133.85,136.63,27.33,22010
2020-07-28,135.88,136.27,133.31,133.375,26.68,25375
2020-07-29,135.59,137.84,135.32,136.64,27.33,15248
2020-07-30,134.46,138.13,133.52,136.69,27.34,28429
2020-07-31,136.95,138.3,135.64,138.25,27.65,20724
2020-08-03,140.375,140.885,136.7,138.27,27.65,33394
2020-08-04,137.49,138.815,136.735,138.77,27.75,35450
2020-08-05,140.295,140.675,137.84,140.135,28.03,49269
2020-08-06,140.48,140.48,137.24,139.51,27.9,56162
2020-08-07,130.66,131.18,125.745,130.98,26.2,108895
2020-08-10,130.85,131.445,125.77,126.81,25.36,47275
2020-08-11,126.03,128.1,123.11,126.58,25.32,66040
2020-08-12,127.75,127.75,125.78,126.75,25.35,38848
2020-08-13,126.64,128.56,126.375,127.39,25.48,29358
2020-08-14,128.0,128.165,126.03,127.61,25.52,28119
2020-08-17,129.39,130.33,129.01,129.11,25.82,36366
2020-08-18,130.39,131.22,128.3,129.94,25.99,17683
2020-08-19,129.22,130.64,127.85,129.57,25.91,19717
2020-08-20,129.0,133.93,129.0,133.66,26.73,26848
2020-08-21,133.76,134.16,131.09,131.9,26.38,13226
2020-08-24,133.19,134.31,129.3,133.22,26.64,29148
2020-08-25,131.7,133.31,131.185,133.25,26.65,23672
2020-08-26,134.32,138.625,134.22,137.19,27.44,92755
2020-08-27,136.11,136.2,130.595,132.22,26.44,76876
2020-08-28,133.01,133.65,130.1,130.7,26.14,52590
2020-08-31,131.32,132.21,129.25,132.21,26.44,33917
2020-09-01,132.185,134.19,129.9,130.23,26.05,27031
2020-09-02,131.81,133.13,130.01,132.61,26.52,28264
2020-09-03,130.48,130.48,119.045,120.745,24.15,184189
2020-09-04,119.855,121.465,112.835,117.76,23.55,85075
2020-09-08,114.145,118.1,114.145,115.35,23.07,36809
2020-09-09,117.32,118.02,114.89,117.18,23.44,57530
2020-09-10,118.66,120.535,116.43,116.8,23.36,67011
2020-09-11,118.135,118.135,113.58,115.2,23.04,25026
2020-09-14,116.505,118.5,116.505,118.15,23.63,19201
2020-09-15,119.35,119.65,117.05,118.22,23.64,36294
