date,open,high,low,close,adj_close,volume
2020-07-27,25.755,25.86,25.32,25.705,24.69,562745
2020-07-28,25.71,26.735,25.7,26.36,25.32,221782
2020-07-29,26.9,27.025,24.95,25.895,24.87,1034435
2020-07-30,25.11,25.43,25.02,25.2,24.2,650865
2020-07-31,25.13,25.13,24.45,24.89,23.91,503951
2020-08-03,25.1,25.76,24.835,25.645,24.63,413550
2020-08-04,25.84,25.97,25.535,25.805,24.78,184270
2020-08-05,26.22,26.35,25.885,26.35,25.31,353380
2020-08-06,26.21,27.18,26.165,26.625,25.57,317711
2020-08-07,26.36,26.8,26.21,26.72,25.66,286262
2020-08-10,26.95,28.06,26.91,27.96,26.85,215128
2020-08-11,28.51,29.345,28.45,28.495,27.37,609705
2020-08-12,29.0,29.0,27.785,28.03,26.92,256197
2020-08-13,27.66,28.2,27.5,27.56,26.47,165934
2020-08-14,27.27,28.105,27.26,27.865,26.76,155450
2020-08-17,28.68,30.77,28.43,30.02,28.83,627198
2020-08-18,30.525,31.08,29.79,29.845,28.67,429169
2020-08-19,29.7,30.025,29.085,29.23,28.07,253955
2020-08-20,28.7,29.17,28.65,28.835,27.7,182846
2020-08-21,28.67,28.935,28.435,28.57,27.44,211993
2020-08-24,29.22,30.75,29.04,30.305,29.11,409490
2020-08-25,30.46,30.7,29.49,29.71,28.54,289599
2020-08-26,29.76,29.82,29.125,29.485,28.32,218905
2020-08-27,29.59,30.22,29.52,29.68,28.51,195992
2020-08-28,29.84,30.22,29.64,30.02,28.83,260958
2020-08-31,30.02,30.185,29.63,29.665,28.49,167265
2020-09-01,29.51,29.84,29.355,29.815,28.64,148961
2020-09-02,29.87,31.08,29.81,30.975,29.75,360494
2020-09-03,31.025,31.51,29.14,29.495,28.33,367706
2020-09-04,29.97,30.34,29.36,30.005,28.82,368900
2020-09-08,31.66,33.325,31.08,32.365,31.09,787462
2020-09-09,32.11,32.74,31.725,31.945,30.68,417374
2020-09-10,31.86,31.87,30.16,30.18,28.99,479513
2020-09-11,30.27,30.53,29.875,30.455,29.25,289382
2020-09-14,30.735,31.54,30.56,31.195,29.96,190449
2020-09-15,31.37,32.85,30.835,31.6,30.35,3784755
2020-09-16,32.645,32.75,31.75,31.8,30.54,367570
2020-09-17,31.09,31.94,30.98,31.935,30.67,184226
2020-09-18,31.84,32.04,31.365,31.5,30.25,256802
2020-09-21,30.27,30.41,29.18,30.01,28.82,546647
2020-09-22,29.93,30.34,29.33,29.435,28.27,132104
2020-09-23,29.56,29.97,29.215,29.34,28.18,125008
2020-09-24,29.09,29.545,28.25,29.12,27.97,210411
2020-09-25,28.79,29.21,28.575,29.0,27.85,167680
2020-09-28,29.78,30.03,29.385,29.385,28.22,116056
2020-09-29,29.29,29.39,28.505,28.76,27.62,123807
2020-09-30,28.935,29.82,28.925,29.62,28.45,248003
2020-10-01,29.68,30.5,29.16,30.39,29.19,753615
2020-10-02,29.63,30.885,29.62,30.46,29.26,370309
2020-10-05,30.84,31.285,30.83,30.95,29.73,189295
2020-10-06,31.31,31.45,30.31,30.425,29.22,343433
2020-10-07,30.84,31.755,30.84,31.65,30.4,345530
2020-10-08,31.88,32.63,31.81,32.22,30.95,1269828
2020-10-09,32.31,32.67,32.03,32.165,30.89,615753
2020-10-12,32.37,32.67,32.14,32.18,30.91,318606
2020-10-13,32.14,32.26,31.475,31.88,30.62,366586
2020-10-14,32.07,32.24,31.54,31.64,30.39,276459
2020-10-15,31.0,32.69,30.96,32.59,31.3,493981
2020-10-16,32.89,33.46,32.685,33.46,32.14,1101812
2020-10-19,33.52,33.86,33.09,33.35,32.03,364908
2020-10-20,33.925,36.35,33.79,35.605,34.2,1180731
2020-10-21,36.14,36.225,35.13,35.8,34.38,696732
2020-10-22,35.9,37.43,35.9,37.41,35.93,628850
2020-10-23,37.47,38.03,36.785,36.835,35.38,693866
2020-10-26,36.32,36.38,35.21,35.83,34.41,497967
2020-10-27,35.62,35.82,34.76,34.9,33.52,425641
2020-10-28,33.74,34.615,33.56,34.1,32.75,632829
2020-10-29,34.48,35.65,34.36,34.915,33.53,661597
2020-10-30,34.47,35.025,33.97,34.525,33.16,394068
2020-11-02,35.1,35.35,34.38,34.52,33.16,576257
