date,open,high,low,close,adj_close,volume
2020-07-27,1515.15,1536.71,1512.755,1528.99,75.78,52412
2020-07-28,1523.105,1526.01,1501.325,1504.43,74.56,48068
2020-07-29,1506.66,1533.03,1503.76,1523.51,75.51,42518
2020-07-30,1498.76,1540.805,1495.645,1536.64,76.16,64542
2020-07-31,1498.57,1503.36,1454.0,1488.07,73.75,207306
2020-08-03,1492.74,1496.44,1472.07,1482.66,73.48,68030
2020-08-04,1486.665,1491.63,1464.535,1472.14,72.96,65393
2020-08-05,1476.005,1489.42,1472.875,1480.0,73.35,61838
2020-08-06,1477.655,1505.965,1473.0,1504.07,74.54,77033
2020-08-07,1506.42,1519.465,1487.01,1497.455,74.21,68170
2020-08-10,1492.89,1506.38,1479.39,1496.9,74.19,22823
2020-08-11,1494.31,1509.67,1478.47,1480.13,73.36,84025
2020-08-12,1487.18,1510.685,1487.13,1506.9,74.68,30554
2020-08-13,1510.575,1536.51,1510.575,1515.19,75.09,35007
2020-08-14,1513.445,1517.06,1500.545,1502.52,74.47,41279
2020-08-17,1508.625,1523.07,1508.625,1516.365,75.15,33023
2020-08-18,1524.37,1557.11,1521.665,1557.03,77.17,52946
2020-08-19,1552.33,1568.05,1541.21,1544.77,76.56,44682
2020-08-20,1538.59,1579.95,1534.48,1575.09,78.06,48478
2020-08-21,1576.37,1591.61,1565.24,1575.245,78.07,53163
2020-08-24,1592.47,1607.645,1576.285,1583.9,78.5,55211
2020-08-25,1579.2,1608.75,1579.2,1605.85,79.59,55728
2020-08-26,1608.19,1651.43,1601.49,1646.52,81.6,90615
2020-08-27,1642.86,1646.91,1620.55,1629.94,80.78,47304
2020-08-28,1631.26,1641.0,1625.605,1638.67,81.21,41662
2020-08-31,1636.39,1643.45,1626.89,1632.005,80.88,37103
2020-09-01,1634.97,1658.9,1630.75,1655.39,82.04,45843
2020-09-02,1665.12,1724.68,1660.645,1718.525,85.17,141819
2020-09-03,1698.94,1698.94,1608.06,1632.02,80.88,138027
2020-09-04,1610.085,1633.65,1539.06,1581.87,78.4,92902
2020-09-08,1523.15,1554.84,1518.33,1520.64,75.36,104876
2020-09-09,1551.04,1558.72,1528.045,1544.68,76.56,60531
2020-09-10,1551.745,1573.32,1520.205,1527.84,75.72,42975
2020-09-11,1528.995,1538.695,1499.53,1517.34,75.2,48817
2020-09-14,1532.35,1556.555,1506.1,1508.78,74.78,62231
2020-09-15,1524.09,1550.33,1523.0,1533.755,76.01,48755
2020-09-16,1543.02,1552.51,1511.85,1511.85,74.93,41257
2020-09-17,1484.62,1497.705,1463.02,1488.78,73.78,58142
2020-09-18,1489.475,1494.78,1433.06,1451.15,71.92,116401
2020-09-21,1439.02,1439.02,1403.83,1427.96,70.77,88564
2020-09-22,1449.915,1463.85,1429.93,1458.51,72.28,61831
2020-09-23,1452.96,1452.96,1403.48,1410.18,69.89,58442
2020-09-24,1404.055,1435.97,1403.455,1421.84,70.47,45828
2020-09-25,1425.51,1445.57,1409.29,1439.03,71.32,35162
2020-09-28,1471.77,1471.77,1447.32,1458.11,72.26,46800
2020-09-29,1463.295,1471.76,1454.16,1466.81,72.7,61482
2020-09-30,1460.935,1485.16,1456.0,1466.02,72.66,60913
2020-10-01,1483.27,1494.77,1477.17,1488.16,73.75,112318
2020-10-02,1459.63,1478.35,1448.41,1455.36,72.13,103920
2020-10-05,1463.74,1484.63,1460.42,1483.05,73.5,107717
2020-10-06,1476.785,1482.62,1447.01,1453.79,72.05,52022
2020-10-07,1463.78,1466.91,1433.89,1458.88,72.3,153385
2020-10-08,1466.2,1488.0,1465.75,1484.18,73.56,124365
2020-10-09,1491.3,1511.17,1487.03,1510.84,74.88,117752
2020-10-12,1539.89,1588.42,1529.785,1562.87,77.46,286546
2020-10-13,1577.72,1584.87,1560.55,1566.955,77.66,187743
2020-10-14,1573.06,1583.85,1545.895,1563.72,77.5,124330
2020-10-15,1541.385,1571.395,1541.26,1555.92,77.11,129187
2020-10-16,1562.04,1577.49,1558.2,1566.62,77.64,118957
2020-10-19,1576.68,1583.925,1524.42,1529.7,75.81,151735
2020-10-20,1521.29,1573.84,1520.5,1551.37,76.89,244646
2020-10-21,1568.32,1614.99,1567.71,1585.16,78.56,300726
2020-10-22,1583.3,1613.36,1579.38,1605.86,79.59,131863
2020-10-23,1615.97,1633.97,1613.39,1633.32,80.95,144898
2020-10-26,1613.78,1628.84,1568.55,1583.9,78.5,150168
2020-10-27,1589.55,1601.32,1576.99,1599.51,79.27,113534
2020-10-28,1550.0,1552.965,1509.21,1510.06,74.84,205840
2020-10-29,1517.02,1588.65,1517.02,1560.52,77.34,193805
2020-10-30,1667.44,1680.53,1601.57,1616.26,80.1,428772
2020-11-02,1626.67,1658.04,1614.79,1622.37,80.41,104631
2020-11-03,1631.01,1657.77,1615.09,1644.61,81.51,89531
2020-11-04,1704.765,1769.945,1704.27,1745.56,86.51,191912
2020-11-05,1773.87,1791.28,1741.32,1760.76,87.26,88846
2020-11-06,1749.63,1767.71,1738.085,1759.12,87.18,52487
2020-11-09,1794.85,1815.09,1757.79,1758.86,87.17,108554
2020-11-10,1729.92,1757.94,1716.93,1738.02,86.14,81700
2020-11-11,1748.795,1761.85,1743.31,1746.91,86.58,101331
2020-11-12,1747.21,1761.12,1737.97,1743.43,86.41,66440
2020-11-13,1751.465,1775.29,1736.97,1772.81,87.86,61509
2020-11-16,1767.71,1793.3,1761.55,1774.11,87.93,53345
2020-11-17,1766.945,1775.85,1760.52,1761.66,87.31,40269
2020-11-18,1760.32,1764.07,1740.0,1740.0,86.24,36966
2020-11-19,1731.58,1762.7,1731.58,1758.32,87.14,51986
2020-11-20,1759.525,1768.175,1735.63,1736.79,86.08,69712
2020-11-23,1741.355,1741.635,1710.85,1729.04,85.69,38687
2020-11-24,1726.965,1765.6,1721.495,1764.02,87.43,41347
2020-11-25,1768.34,1769.68,1748.57,1764.98,87.47,42817
2020-11-27,1765.825,1796.975,1765.39,1784.73,88.45,27877
2020-11-30,1778.83,1780.32,1748.09,1756.5,87.05,116340
2020-12-01,1766.655,1820.0,1763.68,1794.68,88.95,97528
2020-12-02,1795.39,1832.01,1786.44,1825.03,90.45,57848
2020-12-03,1821.16,1841.97,1818.86,1820.53,90.23,33281
2020-12-04,1819.79,1829.38,1815.21,1822.71,90.33,75417
2020-12-07,1816.48,1829.21,1803.365,1816.12,90.01,57800
2020-12-08,1806.13,1815.63,1791.965,1811.95,89.8,57965
2020-12-09,1809.55,1827.37,1762.4,1778.97,88.17,94434
2020-12-10,1762.4,1774.645,1734.06,1768.23,87.63,111296
2020-12-11,1756.48,1777.12,1754.92,1774.3,87.94,64962
2020-12-14,1772.655,1789.27,1749.845,1752.25,86.84,93990
2020-12-15,1762.78,1763.24,1742.23,1761.11,87.28,72504
2020-12-16,1766.65,1766.65,1750.18,1757.12,87.08,59765
2020-12-17,1763.84,1766.14,1731.22,1740.14,86.24,98700
2020-12-18,1747.1,1747.65,1715.51,1728.05,85.64,124670
2020-12-21,1709.13,1736.375,1695.14,1735.39,86.01,103210
2020-12-22,1726.5,1732.15,1707.36,1720.18,85.25,77145
2020-12-23,1723.93,1742.41,1722.06,1727.25,85.6,58876
2020-12-24,1730.5,1741.535,1724.73,1734.98,85.99,28536
2020-12-28,1743.5,1786.69,1743.5,1775.59,88.0,60913
2020-12-29,1787.2,1787.2,1755.11,1755.99,87.03,60533
2020-12-30,1764.47,1764.76,1728.505,1738.28,86.15,53609
2020-12-31,1738.64,1757.34,1738.64,1752.52,86.86,56517
2021-01-04,1760.21,1761.26,1708.46,1728.01,85.64,160853
2021-01-05,1724.92,1744.33,1718.175,1739.55,86.21,70304
2021-01-06,1700.255,1742.56,1697.24,1725.58,85.52,169751
2021-01-07,1730.2,1777.78,1728.69,1775.7,88.0,118597
2021-01-08,1777.16,1799.01,1763.01,1797.99,89.11,106096
2021-01-11,1776.01,1783.51,1752.145,1759.58,87.21,95460
2021-01-12,1749.05,1767.9,1716.41,1738.29,86.15,98847
2021-01-13,1729.44,1755.775,1728.89,1749.08,86.69,77889
2021-01-14,1745.535,1766.67,1726.425,1732.76,85.88,119696
2021-01-15,1732.925,1745.51,1711.76,1727.86,85.63,99442
2021-01-19,1742.51,1802.355,1732.91,1783.53,88.39,95462
2021-01-20,1825.8,1898.745,1820.54,1880.92,93.22,188012
2021-01-21,1893.65,1931.47,1880.09,1882.79,93.31,189975
2021-01-22,1887.0,1904.195,1877.43,1893.22,93.83,113753
2021-01-25,1913.04,1920.45,1861.035,1896.12,93.97,172944
2021-01-26,1885.5,1915.48,1878.09,1908.42,94.58,118907
2021-01-27,1877.23,1880.47,1797.28,1821.16,90.26,215335
2021-01-28,1833.415,1886.7,1831.0,1850.48,91.71,157900
2021-01-29,1834.995,1845.74,1801.91,1825.94,90.49,116335
2021-02-01,1844.585,1912.81,1844.585,1893.33,93.83,104639
2021-02-02,1913.13,1947.5,1907.11,1919.38,95.13,168936
2021-02-03,2064.23,2106.16,2017.72,2060.0,102.09,291929
2021-02-04,2062.34,2066.66,2035.58,2052.07,101.7,155260
2021-02-05,2058.28,2095.38,2051.35,2088.94,103.53,65986
2021-02-08,2097.75,2114.48,2064.95,2083.65,103.27,87265
2021-02-09,2072.355,2097.34,2070.55,2073.45,102.76,64626
2021-02-10,2090.89,2097.36,2052.71,2085.85,103.38,74625
2021-02-11,2091.0,2091.0,2070.1,2088.46,103.51,60944
2021-02-12,2080.98,2099.31,2074.39,2097.16,103.94,57035
2021-02-16,2097.145,2143.76,2097.145,2114.07,104.77,68262
2021-02-17,2090.68,2122.21,2090.68,2118.67,105.0,58934
2021-02-18,2102.495,2121.62,2093.33,2104.975,104.32,64513
2021-02-19,2109.18,2117.92,2084.1,2088.23,103.49,109870
2021-02-22,2051.79,2075.59,2049.18,2055.0,101.85,74495
2021-02-23,2014.27,2072.5,1990.78,2059.28,102.06,118721
2021-02-24,2030.205,2087.98,2027.53,2084.49,103.31,79392
2021-02-25,2055.92,2080.15,2007.21,2019.7,100.1,142065
2021-02-26,2033.2,2055.4,2002.15,2022.75,100.25,101252
2021-03-01,2049.05,2075.5,2035.88,2072.43,102.71,83420
2021-03-02,2062.03,2093.79,2060.31,2063.38,102.26,66529
2021-03-03,2051.95,2075.05,1996.67,2011.72,99.7,78275
2021-03-04,2013.59,2073.6,2007.54,2032.36,100.72,189389
2021-03-05,2060.56,2105.76,2030.35,2096.66,103.91,111907
2021-03-08,2084.365,2110.955,2005.25,2005.25,99.38,103966
2021-03-09,2053.74,2062.125,2035.6,2038.02,101.01,114332
2021-03-10,2054.92,2057.925,2020.47,2035.88,100.9,94379
2021-03-11,2063.075,2111.26,2059.32,2100.79,104.12,64954
2021-03-12,2076.99,2077.01,2033.09,2052.45,101.72,109904
2021-03-15,2044.975,2054.76,2028.3,2053.89,101.79,73834
2021-03-16,2061.98,2111.97,2061.57,2082.65,103.22,82125
2021-03-17,2068.47,2098.62,2046.61,2082.39,103.2,80547
2021-03-18,2058.42,2065.4,2019.75,2021.92,100.21,97776
2021-03-19,2031.185,2036.08,2003.86,2026.825,100.45,106107
2021-03-22,2028.03,2047.87,2015.14,2030.0,100.61,81833
2021-03-23,2040.4,2063.19,2031.2,2041.47,101.18,94801
2021-03-24,2053.76,2067.38,2030.39,2033.36,100.77,75386
2021-03-25,2026.075,2045.64,1996.71,2033.65,100.79,107153
2021-03-26,2029.855,2039.2,2005.61,2027.955,100.51,72616
2021-03-29,2022.16,2048.49,2005.865,2045.62,101.38,66478
2021-03-30,2053.6,2061.78,2037.04,2045.82,101.39,74352
2021-03-31,2052.525,2085.98,2047.59,2062.36,102.21,101645
2021-04-01,2094.82,2135.75,2091.905,2130.645,105.6,108585
2021-04-05,2145.6,2228.12,2145.6,2218.84,109.97,94129
2021-04-06,2211.35,2227.55,2202.3,2210.02,109.53,91809
2021-04-07,2213.45,2244.23,2213.45,2237.24,110.88,65019
2021-04-08,2262.99,2267.99,2243.27,2248.77,111.45,87503
2021-04-09,2247.12,2273.54,2237.86,2270.72,112.54,70426
2021-04-12,2256.885,2256.885,2227.82,2244.83,111.25,84242
2021-04-13,2250.62,2262.93,2243.55,2254.45,111.73,37947
2021-04-14,2260.96,2265.1,2236.13,2240.67,111.05,58624
2021-04-15,2263.05,2294.32,2252.6,2285.68,113.28,87466
2021-04-16,2288.73,2291.52,2272.29,2283.61,113.18,56067
2021-04-19,2275.99,2303.745,2275.17,2288.69,113.43,55852
2021-04-20,2292.36,2297.19,2258.93,2279.82,112.99,71755
2021-04-21,2275.205,2279.61,2244.9,2277.18,112.86,65639
2021-04-22,2276.91,2288.175,2243.33,2253.44,111.68,81399
2021-04-23,2266.99,2304.99,2262.665,2300.03,113.99,72655
2021-04-26,2304.51,2324.23,2297.315,2309.2,114.45,109348
2021-04-27,2317.4,2317.6,2286.65,2290.89,113.54,109691
2021-04-28,2394.81,2430.01,2353.84,2358.87,116.91,224631
2021-04-29,2389.35,2403.26,2375.05,2391.57,118.53,92627
2021-04-30,2368.72,2380.83,2347.98,2354.1,116.67,107428
2021-05-03,2364.125,2381.42,2336.25,2343.52,116.15,79010
2021-05-04,2315.31,2322.5,2257.54,2306.21,114.3,147634
2021-05-05,2326.81,2334.13,2309.98,2316.25,114.79,77740
2021-05-06,2304.75,2336.5,2295.23,2336.5,115.8,75193
2021-05-07,2364.37,2370.58,2347.09,2351.37,116.54,76962
2021-05-10,2328.48,2328.48,2285.735,2291.67,113.58,88085
2021-05-11,2243.03,2279.48,2235.83,2269.945,112.5,98692
2021-05-12,2228.37,2247.125,2193.68,2200.35,109.05,157719
2021-05-13,2225.8,2239.15,2207.35,2228.71,110.46,98989
2021-05-14,2250.7,2284.55,2250.7,2278.43,112.92,80084
2021-05-17,2270.25,2289.525,2258.63,2288.13,113.4,68239
