date,open,high,low,close,adj_close,volume
2020-07-27,9.62,9.62,9.245,9.265,7.151,426783
2020-07-28,9.175,9.395,9.12,9.135,7.05,303294
2020-07-29,9.115,9.47,9.02,9.45,7.293,313171
2020-07-30,9.19,9.325,9.04,9.31,7.185,209124
2020-07-31,9.195,9.285,9.095,9.285,7.166,68550
2020-08-03,9.265,9.365,9.17,9.265,7.151,161252
2020-08-04,9.235,9.25,9.12,9.175,7.081,168922
2020-08-05,9.275,9.43,9.19,9.385,7.243,110195
2020-08-06,9.31,9.45,9.235,9.28,7.162,87325
2020-08-07,9.23,9.68,9.175,9.665,7.459,141803
2020-08-10,9.71,9.945,9.675,9.865,7.614,156589
2020-08-11,10.19,10.415,10.035,10.085,7.783,197427
2020-08-12,10.285,10.375,9.805,9.985,7.706,94241
2020-08-13,9.79,9.935,9.745,9.775,7.544,105829
2020-08-14,9.76,10.035,9.68,9.905,7.644,140670
2020-08-17,9.865,9.87,9.725,9.785,7.552,110751
2020-08-18,9.71,9.745,9.525,9.535,7.359,114294
2020-08-19,9.53,9.705,9.475,9.515,7.343,118563
2020-08-20,9.39,9.41,9.195,9.215,7.112,118878
2020-08-21,9.19,9.325,9.08,9.12,7.039,226178
2020-08-24,9.16,9.575,9.16,9.55,7.37,235263
2020-08-25,9.69,9.76,9.495,9.58,7.394,450901
2020-08-26,9.55,9.575,9.395,9.395,7.251,185022
2020-08-27,9.4,9.695,9.38,9.635,7.436,129410
2020-08-28,9.7,9.7,9.535,9.57,7.386,220962
2020-08-31,9.525,9.535,9.32,9.425,7.274,143966
2020-09-01,9.3,9.595,9.28,9.435,7.282,169658
2020-09-02,9.365,9.73,9.365,9.695,7.482,330489
2020-09-03,9.77,10.09,9.605,9.64,7.44,101303
2020-09-04,9.87,10.065,9.725,9.935,7.668,282260
2020-09-08,9.76,9.875,9.615,9.71,7.494,1146029
2020-09-09,9.745,9.9,9.68,9.77,7.54,653186
2020-09-10,9.855,9.98,9.59,9.605,7.413,202749
2020-09-11,9.59,9.755,9.505,9.675,7.467,494410
2020-09-14,9.75,10.16,9.735,10.125,7.814,286412
2020-09-15,10.07,10.095,9.895,9.985,7.706,175953
2020-09-16,9.865,10.125,9.805,9.885,7.745,168871
2020-09-17,9.7,9.915,9.68,9.77,7.655,106479
2020-09-18,9.72,9.84,9.645,9.685,7.588,311882
2020-09-21,9.41,9.535,9.09,9.165,7.181,221770
2020-09-22,9.14,9.27,8.835,8.895,6.969,266360
2020-09-23,8.925,9.105,8.68,8.695,6.813,146285
2020-09-24,8.69,8.86,8.555,8.655,6.781,273963
2020-09-25,8.585,8.825,8.55,8.815,6.907,138724
2020-09-28,9.04,9.205,8.955,9.105,7.134,69878
2020-09-29,9.07,9.18,8.89,9.05,7.091,190708
2020-09-30,9.1,9.305,9.07,9.175,7.189,132179
2020-10-01,9.265,9.27,9.06,9.165,7.181,260813
2020-10-02,8.96,9.375,8.92,9.325,7.306,198214
2020-10-05,9.4,9.67,9.4,9.665,7.573,174529
2020-10-06,9.745,9.99,9.505,9.54,7.475,155209
2020-10-07,9.72,9.99,9.72,9.875,7.737,146972
2020-10-08,9.95,10.055,9.855,10.025,7.855,128036
2020-10-09,10.06,10.155,9.82,9.855,7.722,245511
2020-10-12,9.83,9.975,9.83,9.955,7.8,208485
2020-10-13,9.9,9.9,9.555,9.565,7.494,143374
2020-10-14,9.585,9.65,9.455,9.455,7.408,124589
2020-10-15,9.34,9.685,9.32,9.655,7.565,222399
2020-10-16,9.645,9.75,9.44,9.68,7.585,192434
2020-10-19,9.67,9.77,9.51,9.515,7.455,62513
2020-10-20,9.66,10.015,9.65,9.88,7.741,146251
2020-10-21,9.815,9.87,9.625,9.695,7.596,479681
2020-10-22,9.87,10.485,9.865,10.375,8.129,451271
2020-10-23,10.49,10.54,10.18,10.465,8.2,300186
2020-10-26,10.38,10.38,10.155,10.285,8.059,219341
2020-10-27,10.2,10.22,9.93,9.935,7.784,114912
2020-10-28,9.78,9.995,9.69,9.815,7.69,276070
2020-10-29,9.76,10.21,9.66,10.14,7.945,173725
2020-10-30,10.12,10.445,10.06,10.445,8.184,166294
2020-11-02,10.62,10.905,10.375,10.805,8.466,322411
2020-11-03,11.03,11.15,10.94,11.085,8.685,411190
2020-11-04,10.6,10.615,10.06,10.075,7.894,529793
2020-11-05,10.16,10.64,10.16,10.585,8.294,160750
2020-11-06,10.62,10.66,10.07,10.155,7.957,200031
2020-11-09,11.05,12.225,11.05,11.925,9.344,743753
2020-11-10,12.0,12.33,11.8,12.135,9.508,437743
2020-11-11,12.08,12.1,11.515,11.66,9.136,247107
2020-11-12,11.445,11.515,11.11,11.295,8.85,315555
2020-11-13,11.445,11.715,11.42,11.595,9.085,267626
2020-11-16,12.105,12.32,11.925,12.045,9.438,260125
2020-11-17,11.73,12.04,11.64,12.035,9.43,133680
2020-11-18,12.15,12.25,11.87,11.875,9.304,270195
2020-11-19,11.77,11.96,11.595,11.955,9.367,139631
2020-11-20,11.77,11.915,11.705,11.75,9.206,129813
2020-11-23,11.98,12.21,11.92,12.18,9.543,233516
2020-11-24,12.47,12.95,12.44,12.925,10.13,234168
2020-11-25,12.64,12.735,12.495,12.695,9.947,183156
2020-11-27,12.76,12.76,12.375,12.455,9.759,87972
2020-11-30,12.39,12.505,12.05,12.1,9.481,245705
2020-12-01,12.41,12.6,12.36,12.49,9.786,230936
2020-12-02,12.35,12.88,12.345,12.82,10.04,301156
2020-12-03,12.83,13.09,12.755,12.97,10.16,173534
2020-12-04,13.09,13.2,13.025,13.105,10.27,347377
2020-12-07,12.99,13.03,12.81,13.0,10.19,110465
2020-12-08,12.885,13.045,12.815,12.895,10.1,278635
2020-12-09,13.03,13.225,12.835,12.91,10.12,201231
2020-12-10,12.65,13.045,12.63,13.03,10.21,221325
2020-12-11,12.78,12.995,12.78,12.92,10.12,206111
2020-12-14,12.895,12.95,12.15,12.52,9.81,974606
2020-12-15,12.68,12.7,12.365,12.59,9.865,363250
2020-12-16,12.625,12.625,12.39,12.53,9.818,273973
2020-12-17,12.34,12.44,12.005,12.35,9.794,570438
2020-12-18,12.34,12.425,12.115,12.41,9.842,469670
2020-12-21,12.36,12.62,12.205,12.265,9.727,805467
2020-12-22,12.345,12.435,12.11,12.11,9.604,157946
2020-12-23,12.24,12.465,12.23,12.44,9.865,270704
2020-12-24,12.51,12.51,12.165,12.35,9.794,129495
2020-12-28,12.36,12.525,12.22,12.455,9.877,359874
2020-12-29,12.4,12.46,12.265,12.315,9.766,364233
2020-12-30,12.4,12.585,12.375,12.56,9.96,365565
2020-12-31,12.5,12.675,12.44,12.62,10.01,103027
2021-01-04,12.7,12.815,12.415,12.555,9.957,392697
2021-01-05,12.69,12.935,12.63,12.835,10.18,351272
2021-01-06,13.25,14.195,13.24,14.09,11.17,347033
2021-01-07,14.33,14.705,14.21,14.45,11.46,359284
2021-01-08,14.44,14.495,14.19,14.43,11.44,423738
2021-01-11,14.29,14.735,14.1,14.715,11.67,271670
2021-01-12,14.77,15.055,14.69,14.91,11.82,445628
2021-01-13,14.84,14.975,14.705,14.885,11.8,499753
2021-01-14,15.02,15.115,14.865,14.995,11.89,426330
2021-01-15,14.71,14.91,14.6,14.775,11.72,317472
2021-01-19,14.81,14.935,14.625,14.87,11.79,194228
2021-01-20,14.79,14.84,14.615,14.685,11.65,335031
2021-01-21,14.65,14.7,14.48,14.51,11.51,372689
2021-01-22,14.23,14.36,13.74,13.86,10.99,716144
2021-01-25,13.63,13.7,13.085,13.475,10.69,1803194
2021-01-26,13.605,13.68,13.395,13.52,10.72,317464
2021-01-27,13.29,13.475,13.19,13.255,10.51,527740
2021-01-28,13.48,13.695,13.34,13.575,10.77,638036
2021-01-29,13.565,13.715,13.045,13.225,10.49,562296
2021-02-01,13.245,13.31,13.035,13.225,10.49,514507
2021-02-02,13.41,13.575,13.32,13.545,10.74,360104
2021-02-03,13.55,13.695,13.47,13.615,10.8,310817
2021-02-04,13.68,14.22,13.66,14.125,11.2,329527
2021-02-05,14.23,14.3,14.035,14.065,11.15,282363
2021-02-08,14.24,14.255,14.04,14.235,11.29,170985
2021-02-09,14.15,14.35,14.075,14.27,11.32,139934
2021-02-10,14.335,14.525,14.2,14.305,11.34,139224
2021-02-11,14.29,14.41,14.05,14.315,11.35,188485
2021-02-12,14.255,14.575,14.25,14.455,11.46,183672
2021-02-16,14.62,15.1,14.62,15.045,11.93,349611
2021-02-17,15.1,15.17,14.875,14.97,11.87,222466
2021-02-18,14.79,14.94,14.645,14.805,11.74,362447
2021-02-19,14.93,15.345,14.93,15.295,12.13,168154
2021-02-22,15.295,15.68,15.26,15.565,12.34,182663
2021-02-23,15.62,15.745,15.44,15.725,12.47,275215
2021-02-24,15.745,16.28,15.745,16.22,12.86,319281
2021-02-25,16.4,16.45,15.655,15.71,12.46,236612
2021-02-26,15.535,15.63,15.12,15.355,12.18,513066
2021-03-01,15.66,15.925,15.635,15.835,12.56,208852
2021-03-02,15.825,15.975,15.73,15.73,12.47,232039
2021-03-03,15.86,16.41,15.85,15.915,12.62,291733
2021-03-04,16.23,16.315,15.5,15.775,12.51,372018
2021-03-05,16.14,16.32,15.58,16.235,12.87,220213
2021-03-08,16.41,16.825,16.31,16.6,13.16,274459
2021-03-09,16.34,16.37,15.885,16.055,12.73,419564
2021-03-10,16.1,16.405,16.015,16.345,12.96,249819
2021-03-11,16.09,16.39,16.09,16.315,12.94,217888
2021-03-12,16.62,16.755,16.48,16.725,13.26,547705
2021-03-15,16.66,16.72,16.305,16.515,13.1,240466
2021-03-16,16.29,16.3,15.91,16.1,12.77,324050
2021-03-17,16.055,16.285,15.895,16.095,12.88,202662
2021-03-18,16.34,16.905,16.265,16.355,13.09,480951
2021-03-19,16.03,16.275,15.77,15.985,12.8,422971
2021-03-22,15.98,15.98,15.555,15.74,12.6,551808
2021-03-23,15.55,15.695,15.21,15.31,12.26,168160
2021-03-24,15.64,15.845,15.305,15.32,12.26,340100
2021-03-25,15.365,15.895,15.09,15.835,12.68,302972
2021-03-26,16.01,16.16,15.775,16.095,12.88,189105
2021-03-29,15.77,15.885,15.37,15.59,12.48,327763
2021-03-30,15.83,16.115,15.825,15.975,12.79,201823
2021-03-31,15.87,16.07,15.715,15.715,12.58,202839
2021-04-01,15.67,16.02,15.645,15.985,12.8,241074
2021-04-05,16.25,16.395,16.0,16.11,12.9,329466
2021-04-06,16.04,16.125,15.885,16.105,12.89,204064
