date,open,high,low,close,adj_close,volume
2020-07-27,125.235,125.56,123.645,125.34,119.66,76921
2020-07-28,126.05,126.605,123.605,123.99,118.37,128035
2020-07-29,125.34,130.755,125.34,129.86,123.97,84167
2020-07-30,127.75,128.475,125.74,128.09,122.28,58979
2020-07-31,127.675,127.675,124.485,126.67,120.93,65460
2020-08-03,126.73,126.74,125.195,125.88,120.17,36034
2020-08-04,125.525,128.78,124.595,128.41,122.59,166353
2020-08-05,129.38,131.61,129.38,130.4,124.49,123111
2020-08-06,130.99,132.94,130.545,132.28,126.28,99168
2020-08-07,132.1,132.82,128.66,130.21,124.31,64173
2020-08-10,131.5,132.98,131.01,132.525,126.52,60282
2020-08-11,134.33,134.76,131.03,131.6,125.63,41539
2020-08-12,132.82,132.82,130.53,132.23,126.23,50594
2020-08-13,130.87,131.155,129.85,130.69,124.76,20746
2020-08-14,130.57,134.89,130.185,134.47,128.37,65130
2020-08-17,134.0,135.41,133.39,134.31,128.22,44604
2020-08-18,134.6,134.6,132.62,133.88,127.81,25538
2020-08-19,134.0,135.435,132.32,133.08,127.05,50099
2020-08-20,131.945,133.645,130.18,131.13,125.18,122175
2020-08-21,131.96,132.93,130.41,132.55,126.54,59095
2020-08-24,133.305,135.05,132.5,134.28,128.19,34468
2020-08-25,134.63,134.63,131.84,134.17,128.09,51578
2020-08-26,133.615,133.615,129.91,131.53,125.57,25721
2020-08-27,132.58,137.975,132.11,134.48,128.38,95315
2020-08-28,134.18,136.03,132.5,135.99,129.82,32393
2020-08-31,135.9,137.69,135.06,135.92,129.76,47013
2020-09-01,133.485,134.59,132.83,134.14,128.06,67280
2020-09-02,134.57,139.44,133.135,138.22,131.95,87257
2020-09-03,138.635,139.25,134.31,136.74,130.54,98033
2020-09-04,137.435,138.99,134.97,137.11,130.89,49783
2020-09-08,135.73,135.73,132.43,132.56,126.55,69391
2020-09-09,133.76,135.26,132.855,133.94,127.87,41803
2020-09-10,135.14,136.38,134.155,134.77,128.66,53801
2020-09-11,134.74,134.97,132.33,134.0,127.92,34364
2020-09-14,134.79,136.26,133.9,135.69,129.54,86890
2020-09-15,136.64,138.745,134.925,135.82,129.66,37665
2020-09-16,136.78,139.125,136.78,138.01,131.75,55090
2020-09-17,136.46,137.85,134.34,137.08,130.86,41298
2020-09-18,136.57,136.83,132.2,132.43,126.43,49561
2020-09-21,124.165,125.475,119.19,125.45,119.76,141222
2020-09-22,125.25,125.49,119.61,120.685,115.21,109643
2020-09-23,121.34,121.895,116.08,116.33,111.06,71612
2020-09-24,115.865,119.1,114.45,116.94,111.64,53803
2020-09-25,116.325,121.405,115.87,120.54,115.07,48631
2020-09-28,122.19,123.77,120.83,121.27,115.77,90105
2020-09-29,121.825,121.885,117.82,120.17,114.72,94311
2020-09-30,120.89,126.21,120.89,124.825,119.17,126603
2020-10-01,125.05,125.5,121.535,124.735,119.08,130281
2020-10-02,121.705,128.13,121.54,127.03,121.27,101102
2020-10-05,128.05,130.76,126.99,130.31,124.4,70055
2020-10-06,131.05,132.33,128.31,128.31,122.49,69760
2020-10-07,130.05,132.34,128.66,129.05,123.2,58827
2020-10-08,129.475,132.41,128.95,131.72,125.75,67046
2020-10-09,139.5,139.76,133.22,133.98,127.91,157087
2020-10-12,134.89,135.17,129.96,130.22,124.32,88984
2020-10-13,129.55,133.62,128.52,132.94,126.91,114131
2020-10-14,133.055,136.63,133.01,134.86,128.75,105879
2020-10-15,132.74,138.5,132.415,137.895,131.64,83700
2020-10-16,138.19,139.4,134.745,135.19,129.06,85771
2020-10-19,135.04,136.73,133.44,134.315,128.22,105635
2020-10-20,134.33,137.9,133.875,136.575,130.38,103766
2020-10-21,135.76,138.89,135.76,136.0,129.83,86187
2020-10-22,136.73,138.11,134.43,135.17,129.04,90180
2020-10-23,136.795,137.79,134.82,136.52,130.33,57294
2020-10-26,135.23,137.39,130.69,135.56,129.41,148577
2020-10-27,135.05,135.3,130.45,130.545,124.63,117722
2020-10-28,127.17,129.88,125.66,126.55,120.81,102961
2020-10-29,126.55,127.15,123.92,125.37,119.69,126411
2020-10-30,125.14,126.52,121.91,123.86,118.24,115273
2020-11-02,125.28,130.64,125.18,130.64,124.72,163130
2020-11-03,133.32,137.22,132.38,136.16,129.99,148860
2020-11-04,136.06,138.61,131.68,131.705,125.73,177916
2020-11-05,133.52,140.38,133.52,137.73,131.49,143668
2020-11-06,136.46,139.38,136.46,138.42,132.14,53443
2020-11-09,148.01,152.53,146.085,147.25,140.57,280469
2020-11-10,148.59,154.49,147.795,152.13,145.23,157779
2020-11-11,151.74,151.74,144.78,145.48,138.88,127869
2020-11-12,144.485,147.83,142.5,144.6,138.04,99294
2020-11-13,146.19,149.93,145.76,149.74,142.95,84701
2020-11-16,151.39,153.69,150.67,152.11,145.21,126410
2020-11-17,149.75,155.795,149.14,153.14,146.2,137958
2020-11-18,152.44,154.37,150.1,151.27,144.41,96765
2020-11-19,149.845,151.16,148.0,150.87,144.03,75611
2020-11-20,150.63,151.3,147.2,147.31,140.63,79886
2020-11-23,148.615,150.9,148.34,149.34,142.57,58546
2020-11-24,151.105,155.535,149.71,155.05,148.02,120425
2020-11-25,153.88,155.45,152.655,153.51,146.55,90576
2020-11-27,153.63,154.955,152.38,153.18,146.23,47938
2020-11-30,152.245,152.245,149.0,150.28,143.47,68832
2020-12-01,152.39,153.7,151.22,151.93,145.04,47997
2020-12-02,150.28,153.31,149.96,152.53,145.61,42627
2020-12-03,153.01,154.015,152.075,152.59,145.67,41546
2020-12-04,153.51,158.21,152.875,157.49,150.35,99288
2020-12-07,157.68,157.68,153.845,155.48,148.43,87517
2020-12-08,155.21,159.44,155.06,159.05,151.84,56114
2020-12-09,159.055,161.39,158.32,160.17,152.91,83185
2020-12-10,159.92,163.86,159.92,161.83,154.49,71511
2020-12-11,160.16,161.44,156.74,157.66,150.51,55626
2020-12-14,162.7,165.065,159.755,161.0,153.7,85696
2020-12-15,162.75,163.0,159.25,160.9,153.6,129651
2020-12-16,160.32,162.46,160.32,161.65,154.32,39719
2020-12-17,162.65,165.65,162.65,164.7,157.23,68641
2020-12-18,165.065,165.85,163.255,163.74,156.32,63269
2020-12-21,161.91,164.34,159.055,162.93,155.54,43034
2020-12-22,162.53,164.25,161.96,163.25,155.85,29061
2020-12-23,164.99,166.83,164.42,165.79,158.27,36535
2020-12-24,166.26,166.26,164.18,164.33,156.88,12837
2020-12-28,165.38,165.65,163.19,164.02,156.58,66961
2020-12-29,164.6,164.825,162.575,163.78,156.35,64725
2020-12-30,163.335,163.835,161.57,162.26,155.16,69488
2020-12-31,162.485,164.98,161.915,164.5,157.3,37763
2021-01-04,163.745,164.9,158.54,163.54,156.38,91146
2021-01-05,162.61,166.66,162.39,164.82,157.61,60876
2021-01-06,168.27,174.07,168.25,170.57,163.1,117913
2021-01-07,172.62,174.335,171.44,173.615,166.02,102099
2021-01-08,173.77,174.26,169.61,172.12,164.59,45108
2021-01-11,171.29,173.08,169.76,171.29,163.79,29556
2021-01-12,171.18,172.39,169.95,172.39,164.85,37145
2021-01-13,171.95,172.585,168.61,170.56,163.1,43125
2021-01-14,170.73,171.37,167.67,168.32,160.95,44789
2021-01-15,167.565,169.4,166.37,168.745,161.36,66745
2021-01-19,170.51,171.54,166.08,166.08,158.81,87465
2021-01-20,165.96,168.98,165.695,168.105,160.75,36573
2021-01-21,167.82,168.57,166.77,167.48,160.15,51453
2021-01-22,166.555,167.32,165.38,166.95,159.64,73409
2021-01-25,166.44,168.74,164.67,168.55,161.17,60083
2021-01-26,168.625,170.15,164.05,164.05,156.87,108003
2021-01-27,161.25,162.21,156.43,156.93,150.06,118346
2021-01-28,159.335,166.51,159.335,163.72,156.55,127745
2021-01-29,163.25,165.715,159.82,162.59,155.47,86048
2021-02-01,164.48,169.26,163.975,167.44,160.11,82683
2021-02-02,169.1,170.875,165.07,165.93,158.67,184036
2021-02-03,165.635,173.85,165.47,173.16,165.58,120614
2021-02-04,173.78,179.45,173.78,179.17,171.33,83059
2021-02-05,179.44,180.99,175.64,176.73,169.0,102989
2021-02-08,177.06,179.815,176.6,178.91,171.08,65180
2021-02-09,179.085,179.81,175.01,175.325,167.65,92793
2021-02-10,176.2,176.95,174.1,174.75,167.1,84822
2021-02-11,175.425,176.73,174.53,175.43,167.75,38464
2021-02-12,175.21,175.72,172.13,173.61,166.01,71547
2021-02-16,174.74,174.74,171.81,174.07,166.45,47068
2021-02-17,173.35,176.98,173.14,176.495,168.77,73081
2021-02-18,175.02,175.67,173.76,174.55,166.91,34638
2021-02-19,175.25,177.73,174.785,177.415,169.65,78498
2021-02-22,171.41,176.6,170.7,174.88,167.23,72802
2021-02-23,175.0,176.18,173.16,175.1,167.44,106945
2021-02-24,174.05,178.75,174.05,175.46,167.78,63448
2021-02-25,175.985,176.775,173.16,175.05,167.39,47855
2021-02-26,175.52,176.36,171.92,172.08,164.55,82884
2021-03-01,174.35,177.08,173.98,175.54,167.86,70616
2021-03-02,175.6,178.89,175.485,178.11,170.31,38430
2021-03-03,175.73,179.185,175.17,175.53,167.85,63470
2021-03-04,175.405,180.955,174.745,176.31,168.59,66849
2021-03-05,177.92,184.82,176.15,183.75,175.71,119025
2021-03-08,184.41,190.165,184.32,189.22,180.94,118193
2021-03-09,190.37,193.95,183.93,184.315,176.25,148152
2021-03-10,186.74,188.11,184.88,185.42,177.3,69649
2021-03-11,185.0,186.57,184.79,185.265,177.16,73101
2021-03-12,185.76,190.38,185.76,189.44,181.15,46849
2021-03-15,189.96,192.9,189.08,191.875,183.48,70629
2021-03-16,190.32,191.55,185.35,185.6,177.92,85753
2021-03-17,186.49,188.065,185.02,185.32,177.65,65756
2021-03-18,185.71,190.98,185.71,187.96,180.18,69410
2021-03-19,187.225,192.315,187.225,188.505,180.71,105787
2021-03-22,188.85,189.23,187.41,188.19,180.41,47302
2021-03-23,187.875,188.81,182.08,183.68,176.08,92635
2021-03-24,184.63,189.0,184.63,184.67,177.03,57353
2021-03-25,184.05,188.74,183.32,187.34,179.59,72929
2021-03-26,187.93,191.18,187.45,191.11,183.2,97139
2021-03-29,191.015,192.41,185.53,187.14,179.4,70273
2021-03-30,186.855,190.225,186.52,188.46,180.66,54304
2021-03-31,188.9,191.31,186.82,188.425,180.63,67750
2021-04-01,188.04,188.84,185.505,186.16,178.46,80342
2021-04-05,188.3,188.96,187.48,188.0,180.22,61683
2021-04-06,188.21,190.04,185.97,186.05,178.35,68454
2021-04-07,187.7,188.16,185.92,186.71,178.99,100694
2021-04-08,186.55,188.55,185.35,188.0,180.22,32399
2021-04-09,188.45,191.12,188.29,191.12,183.21,78368
2021-04-12,191.81,193.24,191.15,191.6,183.67,53296
2021-04-13,190.295,190.48,188.15,188.6,180.8,35356
2021-04-14,189.39,193.08,189.39,190.935,183.04,63882
2021-04-15,191.165,194.24,190.415,193.68,185.67,70356
2021-04-16,194.63,197.13,194.63,196.74,188.6,57724
2021-04-20,193.76,195.8,192.94,192.94,184.96,82368
2021-04-21,194.23,198.505,193.47,197.46,189.29,50065
2021-04-22,203.46,205.455,198.82,201.54,193.2,149197
2021-04-23,201.27,204.13,198.26,202.53,194.15,83337
2021-04-26,197.67,201.07,196.53,200.47,192.18,60460
2021-04-27,200.46,201.03,197.91,199.05,190.82,69300
2021-04-28,199.0,200.73,197.73,198.405,190.2,150546
2021-04-29,200.38,203.48,199.995,201.98,193.62,87193
2021-04-30,201.365,203.62,200.66,201.01,192.69,108838
2021-05-03,203.33,205.585,201.9,204.52,196.06,74404
2021-05-04,203.28,206.65,202.26,206.35,197.81,88185
2021-05-05,206.36,208.46,204.58,207.73,199.14,55580
2021-05-06,208.47,209.79,207.23,209.3,200.64,69467
2021-05-07,208.08,211.06,207.92,210.64,201.93,55931
2021-05-10,211.22,216.67,210.23,211.83,203.07,86760
2021-05-11,208.49,210.46,206.29,206.78,198.23,78977
2021-05-12,206.23,208.29,203.99,204.12,195.68,99785
2021-05-13,203.78,209.345,203.78,207.56,198.97,69859
2021-05-14,209.16,212.215,208.68,211.57,202.82,163184
2021-05-17,211.255,212.05,208.95,209.48,200.81,23764
2021-05-18,209.905,209.905,205.435,205.435,196.94,48921
2021-05-19,203.45,204.535,199.79,203.74,195.31,37125
2021-05-20,204.3,207.82,203.98,206.2,197.67,29049
2021-05-21,207.15,210.03,206.14,206.27,197.74,22159
2021-05-24,207.59,207.78,205.16,206.15,197.62,32126
2021-05-25,207.87,211.1,207.46,210.34,201.64,61048
2021-05-26,210.975,213.62,209.89,211.85,203.09,44175
2021-05-27,213.42,214.67,212.495,213.77,204.93,92664
2021-05-28,214.44,215.64,212.46,214.83,205.94,39437
2021-06-01,216.79,217.06,214.23,215.75,206.82,56969
2021-06-02,216.785,216.785,209.36,210.67,201.96,52029
2021-06-03,209.5,213.905,208.14,213.26,204.44,47046
2021-06-04,215.1,216.06,212.98,213.88,205.03,23854
2021-06-07,214.22,214.99,211.68,211.905,203.14,20080
2021-06-08,211.95,211.95,208.89,209.87,201.19,81817
2021-06-09,210.985,210.985,208.25,208.27,199.65,34437
2021-06-10,209.81,212.17,208.87,210.05,201.36,39675
2021-06-11,211.19,211.72,209.605,211.72,202.96,19468
2021-06-14,211.2,211.2,205.975,207.83,199.23,70523
2021-06-15,207.74,211.03,206.9,209.45,201.25,56716
2021-06-16,208.64,210.2,206.6,206.78,198.68,59627
2021-06-17,207.13,208.84,204.27,207.22,199.11,62763
2021-06-18,202.9,204.065,200.42,201.395,193.51,102630
2021-06-21,203.09,208.43,202.995,208.07,199.92,46698
2021-06-22,207.365,210.99,207.255,209.73,201.52,24092
2021-06-23,209.93,209.94,206.18,206.19,198.12,31986
2021-06-24,207.34,207.34,204.21,204.475,196.47,45961
2021-06-25,204.81,208.28,203.96,207.77,199.64,62974
2021-06-28,207.04,207.67,205.63,206.92,198.82,42944
2021-06-29,209.2,209.58,205.465,205.91,197.85,53193
2021-06-30,205.38,206.89,204.58,206.77,198.68,91509
2021-07-01,207.155,212.44,207.155,211.775,203.48,101159
2021-07-02,210.64,215.135,210.64,214.9,206.49,26012
2021-07-06,214.01,214.86,211.46,214.825,206.41,34281
2021-07-07,216.13,217.34,214.42,216.82,208.33,42355
2021-07-08,213.81,215.31,211.67,213.93,205.55,58390
2021-07-09,217.2,219.85,216.545,218.815,210.25,59549
2021-07-12,217.14,221.6,217.14,220.23,211.61,41367
2021-07-13,219.47,220.91,218.18,219.15,210.57,24087
2021-07-14,219.155,220.66,218.11,218.68,210.12,47152
2021-07-15,217.32,220.85,217.32,220.36,211.73,61940
2021-07-16,220.51,221.63,219.07,219.17,210.59,51425
2021-07-19,214.86,219.23,214.65,217.53,209.01,81201
2021-07-20,238.6,251.93,238.27,249.06,239.31,343631
2021-07-21,251.52,254.22,248.4,249.26,239.5,121566
2021-07-22,249.705,249.71,245.74,246.74,237.08,106408
2021-07-23,248.03,250.295,246.48,248.42,238.69,98436
2021-07-26,247.655,248.12,240.92,245.72,236.1,139333
2021-07-27,245.155,250.72,245.155,247.71,238.01,115103
2021-07-28,247.54,247.565,242.96,246.2,236.56,41646
2021-07-29,247.93,249.42,247.13,247.84,238.14,42153
2021-07-30,249.05,249.705,247.5,248.22,238.5,36338
2021-08-02,248.9,251.545,248.76,250.91,241.09,42422
2021-08-03,251.57,254.15,247.74,253.41,243.49,55239
2021-08-04,253.11,255.02,248.12,248.24,238.52,120907
2021-08-05,249.91,249.91,244.37,249.06,239.31,45273
2021-08-06,250.3,252.05,249.92,250.02,240.23,33515
2021-08-09,248.595,249.52,247.85,248.73,238.99,32025
2021-08-10,245.53,248.46,239.86,240.71,231.29,131688
2021-08-11,240.855,241.68,236.645,241.17,231.73,83118
2021-08-12,238.48,244.27,238.31,242.41,232.92,52944
2021-08-13,242.9,243.98,242.1,242.96,233.45,34920
2021-08-16,243.57,246.475,242.28,246.2,236.56,38878
2021-08-17,244.505,247.435,243.745,244.91,235.32,54110
2021-08-18,243.46,246.65,242.22,242.25,232.77,84218
2021-08-19,240.21,247.27,240.21,246.34,236.7,57351
2021-08-20,247.13,250.625,247.13,249.28,239.52,77285
2021-08-23,250.44,251.79,249.5,249.67,239.9,45716
2021-08-24,250.2,251.56,249.42,249.42,239.66,30376
2021-08-25,249.715,255.25,249.24,252.115,242.25,48749
2021-08-26,251.85,253.15,250.17,251.06,241.23,40419
2021-08-27,251.555,253.38,250.87,251.93,242.07,53928
2021-08-30,251.885,254.89,251.85,253.57,243.64,20319
2021-08-31,253.565,257.37,252.14,252.96,243.06,63106
2021-09-01,254.025,254.985,251.29,252.64,242.75,25627
2021-09-02,253.905,254.65,253.035,253.22,243.31,81854
2021-09-03,252.8,254.01,251.09,252.94,243.04,28133
2021-09-07,251.14,253.22,248.56,252.07,242.2,66816
2021-09-08,251.835,256.43,250.04,254.29,244.33,54370
2021-09-09,254.23,261.67,254.23,258.36,248.25,116352
2021-09-10,259.81,260.77,255.955,256.51,246.47,56704
2021-09-13,259.11,259.26,256.05,257.58,247.5,55486
2021-09-14,258.56,258.56,254.36,254.79,244.82,154127
2021-09-15,252.78,257.255,251.325,256.35,246.78,53227
2021-09-16,257.625,262.64,256.65,261.66,251.89,101542
