date,open,high,low,close,adj_close,volume
2020-07-27,40.795,41.23,40.33,40.875,35.98,46899
2020-07-28,40.91,40.965,40.35,40.375,35.54,53208
2020-07-29,40.5,41.545,40.065,41.45,36.49,74007
2020-07-30,40.41,40.77,39.83,40.485,35.64,60995
2020-07-31,42.12,42.63,40.785,42.325,37.26,165719
2020-08-03,42.15,42.855,41.83,42.005,36.98,36874
2020-08-04,41.84,41.84,40.515,40.59,35.73,71795
2020-08-05,41.035,42.31,40.98,42.05,37.02,88946
2020-08-06,41.43,42.465,41.39,41.58,36.6,42497
2020-08-07,41.33,42.835,41.1,42.79,37.67,57596
2020-08-10,43.245,43.765,42.88,43.65,38.42,48555
2020-08-11,44.78,45.6,43.77,43.8,38.56,149293
2020-08-12,44.35,44.43,42.29,42.875,37.74,134299
2020-08-13,41.95,42.48,41.565,42.48,37.39,120764
2020-08-14,42.15,43.17,42.11,42.8,37.68,22687
2020-08-17,42.475,42.475,41.74,41.79,36.79,44317
2020-08-18,41.96,41.96,41.2,41.295,36.35,44176
2020-08-19,41.23,41.915,40.735,40.775,35.89,19131
2020-08-20,40.255,40.69,40.22,40.37,35.54,47009
2020-08-21,40.15,40.395,39.76,39.835,35.07,32723
2020-08-24,39.8,41.87,39.8,41.305,36.36,83353
2020-08-25,42.06,42.35,41.405,41.53,36.56,104929
2020-08-26,41.31,41.31,40.23,40.47,35.63,73981
2020-08-27,41.03,42.64,41.03,41.47,36.51,77329
2020-08-28,41.925,41.925,41.165,41.52,36.55,49704
2020-08-31,40.69,40.74,40.055,40.53,35.96,31392
2020-09-01,40.1,41.04,39.99,41.04,36.41,28923
2020-09-02,40.77,41.675,40.27,41.595,36.9,49634
2020-09-03,42.65,43.02,40.72,41.035,36.41,24170
2020-09-04,41.975,41.975,40.595,40.955,36.34,44040
2020-09-08,40.31,40.41,39.19,39.49,35.04,49919
2020-09-09,39.67,40.32,39.315,39.45,35.0,35290
2020-09-10,39.7,39.86,38.685,38.89,34.5,95079
2020-09-11,38.78,38.9,38.21,38.655,34.3,41542
2020-09-14,38.97,39.55,38.89,38.89,34.5,37041
2020-09-15,38.705,38.94,37.47,37.535,33.3,159328
2020-09-16,37.61,38.5,37.305,38.13,33.83,210473
2020-09-17,37.25,38.03,37.21,37.62,33.38,188282
2020-09-18,37.55,38.16,37.205,37.24,33.04,46110
2020-09-21,36.42,36.85,35.6,36.22,32.14,31390
2020-09-22,36.095,36.645,35.4,35.835,31.79,34554
2020-09-23,35.97,36.51,35.255,35.255,31.28,58091
2020-09-24,35.105,35.92,34.73,35.42,31.43,40966
2020-09-25,34.955,35.94,34.955,35.81,31.77,52132
2020-09-28,36.83,37.365,36.565,36.835,32.68,56089
2020-09-29,36.6,36.67,35.625,36.595,32.47,43982
2020-09-30,36.97,37.255,36.495,36.895,32.73,59260
2020-10-01,37.08,37.17,36.32,36.79,32.64,112707
2020-10-02,36.14,37.83,36.14,37.55,33.32,121195
2020-10-05,38.62,39.615,38.62,39.185,34.77,228717
2020-10-06,39.53,39.63,37.89,37.95,33.67,161413
2020-10-07,38.345,38.87,37.89,37.94,33.66,115225
2020-10-08,38.405,39.36,38.1,39.33,34.89,179924
2020-10-09,39.39,39.4,38.52,38.635,34.28,130991
2020-10-12,38.42,39.195,38.42,39.005,34.61,51511
2020-10-13,38.75,38.77,37.62,37.77,33.51,63183
2020-10-14,37.79,38.54,37.405,37.42,33.2,60389
2020-10-15,36.98,38.07,36.96,37.815,33.55,75833
2020-10-16,37.95,38.42,37.56,37.695,33.44,75822
2020-10-19,37.845,38.2,37.13,37.16,32.97,71184
2020-10-20,37.61,38.66,37.6,38.39,34.06,108143
2020-10-21,38.205,40.68,38.11,40.415,35.86,215700
2020-10-22,38.89,40.095,38.04,39.995,35.48,255702
2020-10-23,40.25,40.87,39.83,40.595,36.02,86913
2020-10-26,39.9,39.93,38.515,38.995,34.6,111474
2020-10-27,38.995,39.095,37.445,37.595,33.36,129278
2020-10-28,36.8,37.785,36.67,37.34,33.13,129447
2020-10-29,36.88,38.83,36.77,38.71,34.34,217720
2020-10-30,37.995,39.68,37.995,38.49,34.15,202816
2020-11-02,39.225,39.47,38.43,39.34,34.9,139282
2020-11-03,39.98,40.35,39.47,39.53,35.07,276790
2020-11-04,38.675,39.3,37.895,38.22,33.91,151160
2020-11-05,38.745,40.44,38.665,39.945,35.44,171511
2020-11-06,40.075,40.49,39.32,39.39,34.95,104753
2020-11-09,43.94,46.33,43.71,44.86,39.8,269140
2020-11-10,45.105,46.235,44.92,45.81,40.64,111994
2020-11-11,45.36,45.44,44.65,45.19,40.09,81168
2020-11-12,44.69,45.29,44.145,44.72,39.68,145676
2020-11-13,45.055,45.82,44.76,45.22,40.12,161412
2020-11-16,46.94,47.01,45.86,46.29,41.07,83702
2020-11-17,46.23,46.8,45.26,46.44,41.2,102895
2020-11-18,46.49,47.19,45.89,45.89,40.72,75450
2020-11-19,45.485,46.34,44.79,46.23,41.02,111965
2020-11-20,45.77,46.285,45.34,45.765,40.6,98962
2020-11-23,46.4,46.42,45.87,46.37,41.14,61292
2020-11-24,47.275,47.975,46.37,47.55,42.19,127709
2020-11-25,47.03,47.05,46.36,46.61,41.35,76813
2020-11-27,46.435,46.56,45.77,45.83,40.66,86443
2020-11-30,45.105,45.37,43.95,44.28,39.57,187417
2020-12-01,45.235,45.62,44.84,45.43,40.59,67812
2020-12-02,45.21,45.52,44.72,45.475,40.64,132142
2020-12-03,45.355,46.27,45.17,45.82,40.94,74674
2020-12-04,46.17,46.835,46.17,46.495,41.55,106935
2020-12-07,46.14,46.34,45.43,45.53,40.68,82031
2020-12-08,44.785,46.31,44.76,46.2,41.28,94757
2020-12-09,46.65,47.785,46.34,47.58,42.52,197410
2020-12-10,47.02,47.78,46.55,47.41,42.36,64854
2020-12-11,46.7,47.23,46.23,46.25,41.33,61709
2020-12-14,46.87,46.89,45.515,45.59,40.74,109246
