date,open,high,low,close,adj_close,volume
2020-07-27,148.34,150.94,148.0,150.73,125.61,142279
2020-07-28,150.485,152.07,149.495,152.005,126.67,216487
2020-07-29,151.67,155.405,151.175,154.59,128.83,210527
2020-07-30,152.48,152.48,149.04,149.09,124.24,98877
2020-07-31,149.14,149.47,147.015,149.47,124.56,92849
2020-08-03,149.02,149.38,147.52,148.64,123.87,57100
2020-08-04,147.27,148.035,146.22,147.29,122.74,68154
2020-08-05,148.79,150.99,148.79,150.89,125.74,171823
2020-08-06,150.985,152.84,150.585,152.57,127.14,74115
2020-08-07,152.55,155.25,151.93,155.08,129.23,64738
2020-08-10,155.58,159.87,155.58,159.47,132.89,103339
2020-08-11,160.95,163.25,160.115,160.32,133.6,158239
2020-08-12,162.69,162.69,158.99,160.08,133.4,50950
2020-08-13,157.9,159.48,157.765,158.975,133.23,56450
2020-08-14,158.09,160.865,157.99,160.19,134.25,98559
2020-08-17,160.275,160.79,158.22,158.78,133.07,88357
2020-08-18,158.98,159.59,157.27,157.34,131.86,34597
2020-08-19,157.625,158.11,156.21,156.925,131.51,48649
2020-08-20,155.81,156.855,155.345,156.33,131.01,36942
2020-08-21,156.475,157.64,156.17,157.39,131.9,72979
2020-08-24,157.935,159.29,156.545,159.29,133.49,81279
2020-08-25,164.24,166.97,163.64,164.545,137.9,172752
2020-08-26,164.62,166.36,163.67,165.28,138.51,86690
2020-08-27,166.31,168.625,165.1,165.995,139.11,154423
2020-08-28,166.56,168.64,165.47,168.44,141.16,225898
2020-08-31,168.18,168.22,164.79,165.55,138.74,97134
2020-09-01,164.02,168.11,163.695,167.96,140.76,123496
2020-09-02,168.25,172.86,168.09,172.57,144.62,86875
2020-09-03,172.4,172.955,165.11,166.42,139.47,63766
2020-09-04,168.17,169.49,164.69,166.63,139.65,38395
2020-09-08,165.295,166.39,163.375,164.28,137.68,61515
2020-09-09,165.34,167.46,164.97,165.76,138.92,66647
2020-09-10,167.19,167.19,163.855,164.4,137.78,112858
2020-09-11,164.51,167.405,164.51,166.5,139.54,65466
2020-09-14,168.42,169.345,167.47,168.44,141.16,27077
2020-09-15,169.25,169.88,168.08,168.385,141.12,63919
2020-09-16,169.26,171.33,168.5,170.0,142.47,88472
2020-09-17,168.2,171.35,167.155,170.29,142.71,48345
2020-09-18,170.47,170.47,167.79,169.005,141.64,55953
2020-09-21,164.94,164.94,158.64,161.35,135.22,98242
2020-09-22,160.855,162.9,160.21,162.73,136.38,56122
2020-09-23,162.425,163.83,157.91,158.76,133.05,64067
2020-09-24,158.19,160.84,157.13,158.8,133.08,58544
2020-09-25,157.665,162.02,157.31,161.49,135.34,95221
2020-09-28,164.415,166.14,163.31,164.535,137.89,92212
2020-09-29,164.465,166.03,163.475,164.48,137.84,80493
2020-09-30,165.42,167.73,163.19,164.63,137.97,128145
2020-10-01,166.2,167.07,162.17,163.73,137.21,159193
2020-10-02,161.885,166.945,161.88,165.55,138.74,132024
2020-10-05,166.74,169.21,166.74,168.715,141.39,99493
2020-10-06,169.37,171.42,166.67,166.84,139.82,223561
