date,open,high,low,close,adj_close,volume
2020-07-27,9.565,9.765,9.48,9.745,8.166,129321
2020-07-28,9.7,9.715,9.48,9.495,7.957,297475
2020-07-29,9.5,9.815,9.4,9.715,8.141,906649
2020-07-30,9.59,9.665,9.355,9.61,8.053,427617
2020-07-31,9.58,9.895,9.46,9.875,8.275,501281
2020-08-03,9.845,9.995,9.715,9.91,8.305,292958
2020-08-04,9.91,10.115,9.885,9.965,8.351,170445
2020-08-05,10.075,10.135,9.875,9.96,8.347,234501
2020-08-06,9.88,10.235,9.875,10.105,8.468,234128
2020-08-07,10.05,10.135,9.975,10.09,8.456,374146
2020-08-10,10.14,10.34,10.14,10.215,8.56,274249
2020-08-11,10.385,10.595,10.105,10.155,8.51,560369
2020-08-12,10.27,10.3,10.03,10.135,8.493,219637
2020-08-13,9.88,9.935,9.555,9.605,8.049,232749
2020-08-14,9.515,9.75,9.415,9.655,8.091,199296
2020-08-17,9.715,9.715,9.435,9.455,7.923,660251
2020-08-18,9.39,9.525,9.38,9.45,7.919,116642
2020-08-19,9.52,9.625,9.405,9.42,7.894,84356
2020-08-20,9.32,9.375,9.215,9.265,7.764,212836
2020-08-21,9.16,9.36,9.13,9.35,7.835,168065
2020-08-24,9.44,9.795,9.41,9.605,8.049,293439
2020-08-25,9.655,9.75,9.305,9.32,7.81,512799
2020-08-26,10.07,10.28,9.625,9.665,8.099,659074
2020-08-27,9.685,9.705,9.42,9.565,8.016,336745
2020-08-28,9.55,9.85,9.55,9.835,8.242,364183
2020-08-31,9.83,9.88,9.605,9.695,8.125,137596
2020-09-01,9.62,9.62,9.38,9.465,7.932,292198
2020-09-02,9.48,9.895,9.48,9.845,8.25,160189
2020-09-03,9.89,10.09,9.455,9.515,7.974,297121
2020-09-04,9.585,9.75,9.42,9.605,8.049,245243
2020-09-08,9.4,9.67,9.35,9.425,7.998,289215
2020-09-09,9.515,9.525,9.335,9.46,8.028,328793
2020-09-10,9.465,9.545,9.185,9.24,7.841,218552
2020-09-11,9.25,9.25,9.105,9.22,7.824,404087
2020-09-14,9.305,9.465,9.27,9.375,7.956,252778
2020-09-15,9.38,9.435,9.27,9.295,7.888,163912
2020-09-16,9.39,9.665,9.325,9.47,8.037,215571
2020-09-17,9.32,9.64,9.3,9.635,8.177,427149
2020-09-18,9.62,9.62,9.435,9.505,8.066,245172
2020-09-21,9.315,9.315,9.1,9.225,7.829,321259
2020-09-22,9.28,9.36,9.175,9.315,7.905,242847
2020-09-23,9.35,9.47,9.065,9.065,7.693,185290
2020-09-24,9.005,9.235,8.84,9.115,7.735,201572
2020-09-25,9.07,9.165,8.92,9.115,7.735,317191
2020-09-28,9.285,9.5,9.24,9.49,8.053,511712
2020-09-29,9.49,9.555,9.325,9.38,7.96,277547
2020-09-30,9.41,9.54,9.315,9.37,7.952,145964
2020-10-01,9.425,9.435,9.155,9.235,7.837,172433
2020-10-02,9.08,9.455,9.08,9.425,7.998,256109
2020-10-05,9.515,9.79,9.51,9.77,8.291,178970
2020-10-06,9.8,9.905,9.525,9.565,8.117,359259
2020-10-07,9.69,9.79,9.66,9.77,8.291,126516
2020-10-08,9.84,10.065,9.835,10.0,8.486,218924
2020-10-09,10.04,10.08,9.74,9.8,8.317,139894
2020-10-12,9.83,9.93,9.725,9.925,8.423,201649
2020-10-13,9.91,9.95,9.705,9.78,8.3,189766
2020-10-14,9.805,9.925,9.74,9.755,8.278,128402
2020-10-15,9.67,9.875,9.62,9.875,8.38,140007
2020-10-16,10.0,10.0,9.465,9.495,8.058,309602
2020-10-19,9.54,9.585,9.345,9.345,7.93,176172
2020-10-20,9.405,9.545,9.34,9.35,7.935,336189
2020-10-21,9.34,9.385,9.23,9.31,7.901,411334
2020-10-22,9.33,9.5,9.225,9.455,8.024,312481
2020-10-23,9.525,9.56,9.39,9.485,8.049,225572
2020-10-26,9.37,9.385,8.955,9.055,7.684,250689
2020-10-27,9.015,9.015,8.8,8.8,7.468,509639
2020-10-28,8.58,8.65,8.37,8.37,7.103,367661
2020-10-29,8.31,8.6,8.29,8.52,7.23,377615
2020-10-30,8.49,8.65,8.4,8.65,7.341,375883
2020-11-02,8.76,8.97,8.65,8.9,7.553,209906
2020-11-03,9.035,9.34,9.025,9.32,7.909,407043
2020-11-04,9.27,9.27,8.82,8.825,7.489,603031
2020-11-05,9.01,9.365,9.0,9.27,7.867,300249
2020-11-06,9.26,9.335,9.09,9.18,7.79,400209
2020-11-09,9.5,9.96,9.5,9.725,8.253,549437
2020-11-10,9.77,9.995,9.75,9.905,8.406,403074
2020-11-11,9.9,9.95,9.7,9.945,8.44,239163
2020-11-12,9.86,9.905,9.53,9.675,8.21,407225
2020-11-13,9.775,10.175,9.735,10.145,8.609,252754
2020-11-16,10.48,10.72,10.34,10.625,9.017,317834
2020-11-17,10.43,10.525,10.255,10.475,8.889,221963
2020-11-18,10.53,10.815,10.5,10.505,8.915,390623
2020-11-19,10.48,10.555,10.355,10.49,8.902,405985
2020-11-20,10.45,10.49,10.345,10.48,8.894,175123
2020-11-23,10.57,11.1,10.57,11.08,9.403,524433
2020-11-24,11.235,11.68,11.14,11.53,9.785,313378
2020-11-25,11.43,11.43,11.185,11.23,9.53,315185
2020-11-27,11.17,11.41,11.06,11.215,9.517,242689
2020-11-30,11.325,11.325,10.945,11.03,9.36,632445
