date,open,high,low,close,adj_close,volume
2020-07-27,50.67,50.69,50.395,50.545,42.27,7909
2020-07-28,50.47,51.08,50.47,50.57,42.29,18023
2020-07-29,50.865,51.08,50.46,50.825,42.5,15164
2020-07-30,50.27,50.865,50.235,50.72,42.41,16601
2020-07-31,50.68,51.04,50.275,50.86,42.53,17101
2020-08-03,51.035,51.215,50.625,50.81,42.49,28351
2020-08-04,50.62,51.16,50.43,51.1,42.73,13958
2020-08-05,51.0,51.385,50.605,50.88,42.55,13141
2020-08-06,50.785,51.225,50.785,51.18,42.8,21007
2020-08-07,51.24,51.945,51.24,51.59,43.14,45369
2020-08-10,51.61,52.15,51.565,51.97,43.46,11250
2020-08-11,52.125,52.165,51.295,51.345,42.94,36061
2020-08-12,51.9,52.46,51.785,52.07,43.54,23671
2020-08-13,51.885,52.16,51.64,52.11,43.58,8434
2020-08-14,52.015,52.5,52.015,52.24,43.68,36597
2020-08-17,52.2,52.675,52.2,52.445,43.86,17854
2020-08-18,52.41,52.885,52.105,52.71,44.08,30580
2020-08-19,52.69,52.69,52.14,52.44,43.85,29997
2020-08-20,52.41,52.65,52.305,52.505,43.91,12572
2020-08-21,52.33,52.81,52.26,52.7,44.07,22556
2020-08-24,52.885,52.885,52.18,52.66,44.04,60030
2020-08-25,52.35,52.8,51.29,51.5,43.07,102561
2020-08-26,51.15,51.285,50.235,50.97,42.62,63100
2020-08-27,51.425,52.115,51.28,51.32,42.92,35047
2020-08-28,51.08,51.08,50.315,50.61,42.32,113752
2020-08-31,50.635,51.125,50.635,51.015,42.66,90996
2020-09-01,50.87,50.925,50.065,50.7,42.4,64896
2020-09-02,50.58,51.395,50.53,51.35,42.94,79200
2020-09-03,51.45,52.365,50.525,50.965,42.62,45653
2020-09-04,51.04,51.205,50.56,51.085,42.72,22511
2020-09-08,51.16,51.16,50.22,50.24,42.01,61455
2020-09-09,50.635,51.36,50.575,50.69,42.39,64019
2020-09-10,50.505,50.78,49.62,49.725,41.58,18448
2020-09-11,49.77,50.05,49.61,49.82,41.66,22964
2020-09-14,50.13,50.56,50.125,50.31,42.07,19681
2020-09-15,50.02,50.33,49.8,49.81,41.65,48310
2020-09-16,49.78,50.095,49.435,49.45,41.35,44188
2020-09-17,49.25,49.63,49.005,49.495,41.39,34212
2020-09-18,49.37,49.73,48.505,48.735,40.75,39517
2020-09-21,48.705,49.18,47.935,48.44,40.51,31230
2020-09-22,48.485,49.035,48.485,48.7,40.72,32855
2020-09-23,48.98,49.04,47.405,47.67,39.86,74396
2020-09-24,47.75,48.63,47.735,48.26,40.36,28660
2020-09-25,48.15,48.905,48.1,48.835,40.84,48359
2020-09-28,48.83,49.31,48.735,48.955,40.94,31334
2020-09-29,48.895,49.27,48.41,48.5,40.56,40864
2020-09-30,48.725,49.22,48.62,48.925,40.91,52063
2020-10-01,49.08,49.385,48.49,49.31,41.23,69401
2020-10-02,49.24,49.72,48.84,49.035,41.0,49414
2020-10-05,49.1,49.505,48.77,49.47,41.37,38896
2020-10-06,49.54,49.54,48.71,48.89,40.88,64586
2020-10-07,48.96,49.58,48.785,49.36,41.28,57951
2020-10-08,49.43,49.8,48.9,49.1,41.06,34656
2020-10-09,49.15,49.39,48.78,48.95,40.93,87588
2020-10-12,49.43,50.34,49.41,50.105,41.9,124241
2020-10-13,50.095,51.1,50.095,50.64,42.35,147714
2020-10-14,50.765,50.77,49.94,50.235,42.01,139451
2020-10-15,50.05,50.625,49.85,50.47,42.2,137780
2020-10-16,50.38,50.555,49.54,49.55,41.63,150659
2020-10-19,49.63,49.74,48.915,48.98,41.15,72333
2020-10-20,49.13,49.15,48.59,48.76,40.96,59766
2020-10-21,48.79,49.5,48.76,49.31,41.43,116473
2020-10-22,49.16,49.645,49.095,49.345,41.45,65216
2020-10-23,49.45,49.655,49.17,49.6,41.67,61083
