date,open,high,low,close,adj_close,volume
2020-07-27,31.645,31.93,31.46,31.825,31.65,65726
2020-07-28,31.91,31.97,31.19,31.345,31.17,162659
2020-07-29,31.68,32.155,31.415,32.15,31.97,73911
2020-07-30,31.62,31.875,31.265,31.795,31.62,53249
2020-07-31,31.835,32.03,31.02,31.62,31.44,60456
2020-08-03,31.745,32.66,31.67,32.625,32.44,188722
2020-08-04,32.915,33.435,32.12,32.595,32.41,237680
2020-08-05,32.97,33.595,32.8,32.985,32.8,132903
2020-08-06,33.07,33.13,32.555,32.995,32.81,52072
2020-08-07,32.965,33.9,32.79,33.895,33.71,111511
2020-08-10,33.83,35.015,33.83,35.015,34.82,113349
2020-08-11,35.45,36.17,35.45,35.88,35.68,224051
2020-08-12,36.175,36.175,35.39,35.705,35.51,74222
2020-08-13,35.32,35.45,35.065,35.13,34.93,58120
2020-08-14,34.63,35.59,34.63,35.385,35.19,50065
2020-08-17,35.295,35.495,34.685,34.81,34.62,67527
2020-08-18,34.855,35.005,34.61,34.625,34.43,32371
2020-08-19,34.51,34.95,34.315,34.435,34.24,72246
2020-08-20,33.93,34.695,33.93,34.695,34.5,31518
2020-08-21,34.71,34.905,34.46,34.75,34.56,41550
2020-08-24,34.83,35.44,34.83,35.415,35.22,38386
2020-08-25,35.585,35.59,34.94,35.265,35.07,51910
2020-08-26,35.19,35.36,34.895,35.155,34.96,93056
2020-08-27,35.34,35.49,35.085,35.285,35.09,44231
2020-08-28,35.34,35.83,35.22,35.76,35.56,72212
2020-08-31,35.58,35.58,35.08,35.08,34.88,49074
2020-09-01,34.79,36.205,34.74,36.205,36.0,60414
2020-09-02,36.185,36.3,35.705,36.125,35.92,47770
2020-09-03,36.04,36.15,35.07,35.39,35.19,35600
2020-09-04,35.87,36.16,35.24,35.32,35.12,54964
2020-09-08,35.03,35.03,34.06,34.45,34.26,116791
2020-09-09,34.82,35.665,34.82,35.39,35.19,78297
2020-09-10,35.43,35.74,34.99,35.025,34.83,61944
2020-09-11,35.14,36.105,35.14,35.93,35.73,56847
2020-09-14,36.075,36.375,35.84,36.325,36.12,41110
2020-09-15,36.33,36.59,36.01,36.355,36.15,46972
2020-09-16,36.65,37.385,36.48,36.925,36.72,78391
2020-09-17,36.435,37.625,36.2,37.16,36.95,102241
2020-09-18,37.13,37.33,35.835,35.915,35.71,53861
2020-09-21,35.04,35.41,34.035,34.68,34.49,70604
2020-09-22,34.69,35.205,34.68,35.1,34.9,176508
2020-09-23,35.18,35.78,35.02,35.02,34.82,79810
2020-09-24,35.045,35.965,34.94,35.385,35.19,53548
2020-09-25,35.155,35.605,34.87,35.385,35.19,51196
2020-09-28,36.22,36.765,36.01,36.01,35.81,58808
2020-09-29,36.17,36.515,35.7,35.87,35.67,48335
2020-09-30,35.92,36.375,35.265,35.645,35.45,52815
2020-10-01,35.79,36.09,35.18,35.56,35.36,86922
2020-10-02,34.94,36.55,34.885,36.06,35.86,52600
2020-10-05,36.59,37.11,36.535,36.885,36.68,102061
