date,open,high,low,close,adj_close,volume
2020-07-27,10.315,10.805,10.18,10.725,8.367,163988
2020-07-28,10.565,10.6,10.08,10.37,8.09,293322
2020-07-29,10.4,10.615,10.215,10.605,8.274,192792
2020-07-30,10.35,10.365,10.015,10.105,7.884,67369
2020-07-31,10.12,10.12,9.865,10.045,7.837,102842
2020-08-03,9.975,10.09,9.86,10.005,7.806,148147
2020-08-04,9.965,10.11,9.725,9.775,7.626,279644
2020-08-05,9.885,10.285,9.835,10.265,8.008,141132
2020-08-06,10.18,10.39,10.155,10.315,8.047,115997
2020-08-07,10.265,10.775,10.2,10.77,8.402,74889
2020-08-10,10.87,10.925,10.765,10.795,8.422,64722
2020-08-11,11.07,11.305,10.915,10.96,8.551,85172
2020-08-12,11.51,11.77,11.225,11.395,8.89,234574
2020-08-13,10.92,11.11,10.68,10.715,8.475,344512
2020-08-14,10.5,10.785,10.45,10.685,8.451,188954
2020-08-17,10.62,10.785,10.55,10.575,8.364,65701
2020-08-18,10.565,10.645,10.255,10.285,8.135,220800
2020-08-19,10.29,10.575,10.29,10.325,8.166,43036
2020-08-20,10.2,10.2,10.005,10.02,7.925,93274
2020-08-21,10.025,10.245,9.99,10.135,8.016,98105
2020-08-24,10.205,10.605,10.105,10.595,8.38,181673
2020-08-25,10.665,10.83,10.59,10.705,8.467,172750
2020-08-26,10.68,10.69,10.48,10.575,8.364,83260
2020-08-27,10.58,10.875,10.555,10.815,8.554,114585
2020-08-28,10.855,10.87,10.575,10.725,8.483,68432
2020-08-31,10.6,10.61,10.18,10.19,8.06,226582
2020-09-01,10.08,10.325,10.04,10.185,8.056,166337
2020-09-02,10.195,10.655,10.11,10.635,8.412,172035
2020-09-03,11.22,11.445,10.885,11.145,8.815,280635
2020-09-04,11.38,11.55,11.105,11.395,9.013,211579
2020-09-08,11.12,11.15,10.695,10.71,8.471,203581
2020-09-09,10.72,10.785,10.53,10.695,8.459,123012
2020-09-10,10.71,10.74,10.25,10.27,8.123,211580
2020-09-11,10.35,10.735,10.35,10.715,8.475,353118
2020-09-14,10.805,10.96,10.615,10.685,8.451,123074
2020-09-15,10.66,10.715,10.485,10.53,8.329,60149
2020-09-16,10.52,11.075,10.495,10.865,8.594,125214
2020-09-17,10.74,11.18,10.71,11.155,8.823,319610
2020-09-18,11.12,11.165,10.975,10.975,8.681,153327
2020-09-21,10.54,10.635,10.075,10.245,8.103,162946
2020-09-22,10.21,10.375,9.935,10.195,8.064,87199
2020-09-23,10.18,10.49,10.18,10.435,8.253,985652
2020-09-24,10.28,10.855,10.085,10.805,8.546,711600
2020-09-25,10.615,10.875,10.42,10.815,8.554,318549
2020-09-28,11.05,11.565,11.05,11.475,9.076,278869
2020-09-29,11.365,11.52,11.115,11.455,9.06,319485
2020-09-30,11.48,11.635,11.25,11.425,9.036,165406
2020-10-01,11.46,11.51,11.165,11.255,8.902,207819
2020-10-02,11.93,12.205,11.66,11.845,9.369,602918
2020-10-05,11.99,12.03,11.69,11.895,9.408,267673
2020-10-06,12.07,12.29,11.8,11.865,9.384,252230
2020-10-07,12.04,12.685,11.97,12.62,9.982,277667
2020-10-08,13.04,13.31,12.81,12.985,10.27,549650
2020-10-09,13.025,13.3,12.93,13.12,10.38,205321
2020-10-12,13.22,13.495,13.15,13.4,10.6,155997
2020-10-13,13.4,13.905,13.4,13.835,10.94,336951
2020-10-14,13.8,14.31,13.775,14.025,11.09,319275
2020-10-15,13.88,14.295,13.68,14.25,11.27,178758
2020-10-16,14.26,14.28,14.0,14.035,11.1,154512
2020-10-19,14.145,14.25,13.91,13.91,11.0,86157
2020-10-20,14.12,14.41,14.08,14.105,11.16,159442
2020-10-21,14.02,14.13,13.775,13.82,10.93,110729
2020-10-22,13.79,14.095,13.55,14.04,11.1,113542
2020-10-23,14.135,14.18,13.895,13.985,11.06,103600
2020-10-26,13.72,13.805,13.53,13.785,10.9,227136
2020-10-27,14.15,14.43,13.75,13.97,11.05,417377
2020-10-28,13.715,13.83,13.275,13.33,10.54,153988
2020-10-29,13.31,13.505,13.03,13.405,10.6,156382
2020-10-30,13.38,13.46,12.745,13.12,10.38,195312
2020-11-02,13.23,13.59,13.11,13.475,10.66,144432
2020-11-03,13.76,14.055,13.65,13.99,11.07,110403
2020-11-04,13.52,14.235,13.36,13.79,10.91,221026
2020-11-05,13.99,14.495,13.895,14.435,11.42,326405
2020-11-06,14.43,14.48,13.795,13.89,10.99,329046
2020-11-09,15.145,15.34,14.775,14.785,11.69,263149
2020-11-10,14.76,15.03,14.5,14.53,11.61,206006
2020-11-11,14.69,15.465,14.69,15.265,12.2,249281
2020-11-12,15.05,15.38,14.755,14.96,11.96,399763
2020-11-13,15.075,15.645,15.075,15.535,12.42,112857
2020-11-16,15.985,16.225,15.735,15.965,12.76,126026
2020-11-17,15.755,16.28,15.695,16.28,13.01,205771
2020-11-18,16.31,16.64,16.01,16.015,12.8,175122
2020-11-19,15.9,15.975,15.645,15.96,12.76,125643
2020-11-20,15.84,15.93,15.65,15.745,12.58,69562
2020-11-23,16.015,16.455,15.995,16.335,13.06,86924
2020-11-24,16.58,17.155,16.575,17.115,13.68,114986
2020-11-25,16.8,17.05,16.735,17.03,13.61,111468
2020-11-27,16.98,17.095,16.805,17.01,13.6,34115
2020-11-30,16.875,16.925,16.195,16.23,12.97,139466
2020-12-01,16.65,16.93,16.41,16.465,13.16,89277
2020-12-02,16.405,16.815,16.395,16.76,13.4,161872
2020-12-03,17.07,17.83,17.07,17.755,14.19,386311
2020-12-04,17.79,18.04,17.65,17.79,14.22,234302
2020-12-07,17.52,18.175,17.285,18.025,14.41,234774
