date,open,high,low,close,adj_close,volume
2020-07-27,83.81,84.4,83.175,84.24,63.51,23442
2020-07-28,84.085,84.275,83.465,83.7,63.1,19873
2020-07-29,84.05,86.69,84.05,86.65,65.33,23662
2020-07-30,85.695,86.04,84.87,85.36,64.35,34856
2020-07-31,85.305,85.585,83.74,85.44,64.41,29840
2020-08-03,85.775,91.43,85.37,90.52,68.24,51495
2020-08-04,91.265,92.49,90.18,92.35,69.62,51096
2020-08-05,92.665,93.03,91.85,92.155,69.48,65488
2020-08-06,91.705,91.945,90.035,90.4,68.15,27486
2020-08-07,90.24,91.41,89.76,91.225,68.78,21752
2020-08-10,90.98,91.495,90.58,91.14,68.71,30746
2020-08-11,92.17,92.26,90.47,90.95,68.57,49926
2020-08-12,91.91,92.43,90.13,90.49,68.22,39305
2020-08-13,89.58,90.7,89.28,89.97,67.83,32945
2020-08-14,89.55,90.27,89.55,90.0,67.85,18350
2020-08-17,90.0,90.15,89.445,89.98,67.84,30521
2020-08-18,90.25,90.375,89.37,89.85,67.74,19467
2020-08-19,89.55,90.03,89.37,89.775,67.68,38012
2020-08-20,88.99,89.2,88.835,89.07,67.15,21049
2020-08-21,88.82,89.055,88.21,88.68,66.86,21693
2020-08-24,88.975,89.845,88.81,89.32,67.34,27357
2020-08-25,89.755,89.755,88.38,88.53,66.74,20250
2020-08-26,87.57,88.86,87.46,88.47,66.7,19230
2020-08-27,88.74,89.81,88.465,89.07,67.15,18563
2020-08-28,88.75,89.47,88.52,89.47,67.45,8409
2020-08-31,89.09,90.61,88.74,90.33,68.1,27448
2020-09-01,89.83,91.735,89.71,91.57,69.04,21067
2020-09-02,91.21,93.1,91.21,93.1,70.19,11623
2020-09-03,93.23,93.23,90.45,90.99,68.6,68457
2020-09-04,91.71,92.23,90.965,91.98,69.35,57958
2020-09-08,90.45,91.16,90.02,90.75,68.42,82467
2020-09-09,91.325,93.435,91.325,92.805,69.97,47205
2020-09-10,91.88,92.68,90.46,91.09,68.67,72003
2020-09-11,91.17,93.165,91.17,92.86,70.01,69397
2020-09-14,93.395,94.81,93.395,94.07,70.92,20154
2020-09-15,94.155,95.08,93.615,94.86,71.52,29595
2020-09-16,94.925,95.415,94.46,94.66,71.37,18984
2020-09-17,94.24,95.59,93.13,94.4,71.17,24542
2020-09-18,94.71,95.16,93.48,94.01,70.88,35936
2020-09-21,92.57,92.57,88.68,89.26,67.29,73113
2020-09-22,90.165,91.72,90.01,91.37,68.89,40501
2020-09-23,92.34,92.56,89.27,89.27,67.3,35980
2020-09-24,88.63,90.72,88.34,90.07,67.91,18273
2020-09-25,89.3,90.97,89.115,90.42,68.17,14917
2020-09-28,91.415,93.335,91.415,92.475,69.72,16574
2020-09-29,92.405,93.935,92.355,93.0,70.11,35918
2020-09-30,93.31,94.79,92.34,92.8,69.96,19036
2020-10-01,93.36,94.09,90.98,91.45,69.09,59996
2020-10-02,90.2,95.665,90.2,94.21,71.17,82396
2020-10-05,94.5,97.23,94.5,96.29,72.74,86164
2020-10-06,96.85,97.74,95.0,95.45,72.11,64925
2020-10-07,96.22,98.155,96.16,97.39,73.57,48144
2020-10-08,97.5,98.99,97.13,98.965,74.76,51392
2020-10-09,98.74,99.58,98.0,99.325,75.04,72569
2020-10-12,99.52,101.43,99.08,100.78,76.14,53163
2020-10-13,100.7,101.1,99.27,99.33,75.04,60981
2020-10-14,99.725,100.13,98.62,98.8,74.64,41012
2020-10-15,97.905,100.08,97.905,99.31,75.03,68349
2020-10-16,99.83,101.215,99.2,99.25,74.98,105373
2020-10-19,100.04,100.71,97.26,97.66,73.78,30848
2020-10-20,98.615,99.23,97.845,98.06,74.08,30408
2020-10-21,97.955,98.96,97.19,97.73,73.83,38748
2020-10-22,98.06,98.87,97.71,98.49,74.41,22649
2020-10-23,99.14,99.69,98.5,99.24,74.97,16937
2020-10-26,98.055,98.15,95.35,96.5,72.9,36234
2020-10-27,96.5,96.555,95.185,95.655,72.26,32731
2020-10-28,93.81,94.825,93.08,93.14,70.36,38556
2020-10-29,92.8,95.85,92.52,94.73,71.57,40715
2020-10-30,95.1,95.1,93.27,95.02,71.78,54389
2020-11-02,96.71,99.28,96.71,99.08,74.85,70416
2020-11-03,100.27,102.58,99.95,101.955,77.02,102798
2020-11-04,98.89,99.03,95.01,95.67,72.28,121941
2020-11-05,97.48,99.57,97.39,97.82,73.9,59446
2020-11-06,97.39,98.99,97.22,97.65,73.77,32925
2020-11-09,103.63,106.23,100.06,100.06,75.59,78732
2020-11-10,100.64,103.53,100.3,101.53,76.7,127251
2020-11-11,103.38,103.46,98.74,98.96,74.76,85943
2020-11-12,99.09,99.355,97.59,99.14,74.9,79624
2020-11-13,100.295,103.56,100.295,103.31,78.05,59799
2020-11-16,104.84,107.22,104.11,107.22,81.0,50254
2020-11-17,106.135,106.72,103.64,105.31,79.56,41463
2020-11-18,106.22,107.99,105.31,105.31,79.56,56609
2020-11-19,104.56,105.69,103.61,105.08,79.38,21800
2020-11-20,104.61,104.87,103.455,103.87,78.47,53459
2020-11-23,104.72,105.51,103.395,104.5,78.95,69583
2020-11-24,105.98,109.385,104.59,107.56,81.26,88912
2020-11-25,107.075,107.6,105.935,106.345,80.34,35443
2020-11-27,106.435,106.54,105.44,105.68,79.84,20129
2020-11-30,106.0,107.84,106.0,107.775,81.42,47885
2020-12-01,109.3,110.835,108.43,108.81,82.2,88303
2020-12-02,107.995,107.995,105.96,106.93,80.78,32413
2020-12-03,107.07,108.875,107.07,107.8,81.44,34313
2020-12-04,108.235,111.0,107.895,108.98,82.33,27430
2020-12-07,108.77,110.015,108.54,109.84,82.98,27967
2020-12-08,108.79,110.01,108.79,109.64,82.83,17758
2020-12-09,109.83,111.16,109.435,109.79,82.94,57346
2020-12-10,108.69,109.14,107.81,108.78,82.18,19264
2020-12-11,108.66,109.42,108.1,108.755,82.16,29063
2020-12-14,109.475,109.475,105.18,105.22,79.49,30496
2020-12-15,106.36,106.57,105.45,105.84,79.96,31949
2020-12-16,106.13,106.55,105.5,106.22,80.25,26303
2020-12-17,106.62,107.85,106.54,107.04,80.87,30900
2020-12-18,107.05,107.05,105.71,106.59,80.53,23952
2020-12-21,105.17,107.25,104.94,106.61,80.54,24584
2020-12-22,106.34,106.85,105.745,106.27,80.28,18802
2020-12-23,107.19,107.95,106.575,106.87,80.74,17795
2020-12-24,107.05,107.33,106.645,107.215,81.0,16963
2020-12-28,108.34,108.48,106.67,106.71,80.62,22956
2020-12-29,106.68,107.855,106.06,107.27,81.04,16620
2020-12-30,107.67,108.38,107.08,107.59,81.28,12247
2020-12-31,107.72,109.08,107.17,108.91,82.28,16179
2021-01-04,108.89,109.93,106.105,106.105,80.16,60395
2021-01-05,105.4,107.775,105.4,107.04,80.87,32203
2021-01-06,108.825,116.73,108.825,114.65,86.61,113302
2021-01-07,115.28,116.5,112.94,114.87,86.78,32014
2021-01-08,114.47,114.48,112.105,113.5,85.75,33249
2021-01-11,112.81,114.27,112.72,113.01,85.38,24984
2021-01-12,113.59,114.09,112.275,113.7,85.9,36018
2021-01-13,114.03,114.03,112.37,112.82,85.23,23830
2021-01-14,112.91,114.15,111.58,112.04,84.64,33410
2021-01-15,111.34,111.34,109.18,110.05,83.14,30955
2021-01-19,111.305,112.86,111.07,111.67,84.36,18176
2021-01-20,111.85,112.18,111.06,112.015,84.62,21038
2021-01-21,111.88,112.66,110.88,111.01,83.86,55642
2021-01-22,110.505,111.39,109.44,111.0,83.86,25266
2021-01-25,111.0,111.0,109.29,110.4,83.4,23672
2021-01-26,111.02,111.02,108.485,108.81,82.2,42145
2021-01-27,106.77,106.83,103.57,104.42,78.89,56107
2021-01-28,105.565,105.985,103.905,104.63,79.04,98164
2021-01-29,103.84,104.21,100.19,100.905,76.23,45810
2021-02-01,101.71,102.32,100.14,101.74,76.86,45197
2021-02-02,102.8,106.26,102.69,105.545,79.74,38695
2021-02-03,105.23,106.78,104.95,106.23,80.25,20139
2021-02-04,106.21,107.825,106.2,107.77,81.42,22483
2021-02-05,109.19,109.695,106.34,107.48,81.2,31012
2021-02-08,108.305,109.27,108.06,109.205,82.5,55619
2021-02-09,110.13,113.25,109.5,112.06,84.66,84697
2021-02-10,112.57,112.57,109.61,110.81,83.71,33035
2021-02-11,111.28,115.16,111.01,115.01,86.89,40088
2021-02-12,114.305,115.46,113.805,114.865,86.78,27768
2021-02-16,114.75,115.99,112.545,113.22,85.53,32706
2021-02-17,112.07,113.0,110.64,112.79,85.21,41031
2021-02-18,111.24,113.18,109.77,112.51,85.0,48260
2021-02-19,113.235,113.85,112.3,112.55,85.03,20329
2021-02-22,112.205,116.09,112.205,115.93,87.58,37858
2021-02-23,116.12,116.65,114.385,116.25,87.82,30127
2021-02-24,116.74,120.31,116.06,119.875,90.56,38073
2021-02-25,119.8,120.41,117.47,117.83,89.17,32335
2021-02-26,117.81,117.86,115.29,115.405,87.34,25409
2021-03-01,117.305,117.34,115.1,115.18,87.17,29238
2021-03-02,114.83,115.74,114.16,114.66,86.77,35445
2021-03-03,115.03,116.81,114.18,115.07,87.08,41427
2021-03-04,115.69,116.37,112.0,112.85,85.4,44229
2021-03-05,113.945,116.24,112.195,115.49,87.4,29513
2021-03-08,116.835,119.87,116.67,118.24,89.48,51175
2021-03-09,118.88,121.67,117.79,121.65,92.06,26857
2021-03-10,122.27,124.95,121.77,124.56,94.27,39924
2021-03-11,124.88,126.935,124.52,125.045,94.63,43918
2021-03-12,125.235,126.71,125.235,126.53,95.76,19494
2021-03-15,126.385,126.385,124.29,125.89,95.27,29818
2021-03-16,125.255,125.36,123.78,124.5,94.22,20014
2021-03-17,124.59,125.7,123.87,125.29,94.82,20055
2021-03-18,125.64,127.39,124.35,124.66,94.34,29443
