date,open,high,low,close,adj_close,volume
2020-07-27,36.75,37.205,36.515,37.065,33.43,86819
2020-07-28,36.94,37.1,36.535,36.565,32.98,102398
2020-07-29,36.74,38.275,36.74,38.0,34.27,118735
2020-07-30,37.19,37.485,36.845,37.245,33.59,75860
2020-07-31,39.065,39.88,38.125,38.475,34.7,344671
2020-08-03,38.75,39.15,38.36,38.92,35.1,295068
2020-08-04,38.735,38.735,37.825,38.355,34.59,143380
2020-08-05,38.41,38.545,38.075,38.35,34.59,151840
2020-08-06,38.185,38.58,38.185,38.375,34.61,55693
2020-08-07,38.345,39.15,38.34,39.04,35.21,99995
2020-08-10,39.275,40.195,39.1,40.105,36.17,251309
2020-08-11,41.28,42.09,40.72,40.795,36.8,377249
2020-08-12,41.18,41.33,40.835,41.055,37.03,77762
2020-08-13,40.565,41.035,40.355,40.64,36.66,82340
2020-08-14,40.285,41.02,40.285,40.85,36.84,69856
2020-08-17,40.745,40.91,40.6,40.745,36.75,35655
2020-08-18,40.6,40.915,40.245,40.325,36.37,218889
2020-08-19,40.265,40.655,40.135,40.24,36.29,112340
2020-08-20,39.87,40.615,39.87,40.1,36.17,192077
2020-08-21,40.11,40.635,39.975,40.585,36.61,102022
2020-08-24,40.83,41.24,40.76,40.99,36.97,87152
2020-08-25,41.19,41.35,40.81,41.195,37.16,251027
2020-08-26,41.02,41.485,40.925,41.08,37.05,94898
2020-08-27,41.175,41.455,40.78,40.915,36.9,53236
2020-08-28,40.835,41.305,40.805,41.305,37.26,57642
2020-08-31,41.375,41.375,40.73,40.775,36.78,37783
2020-09-01,40.435,41.32,40.39,41.21,37.17,79067
2020-09-02,41.17,42.31,41.11,42.195,38.06,90284
2020-09-03,42.085,42.235,40.34,40.585,36.61,78838
2020-09-04,40.945,41.545,40.735,41.335,37.28,189228
2020-09-08,41.0,41.335,40.455,40.71,36.72,143548
2020-09-09,40.835,41.6,40.835,41.175,37.14,56259
2020-09-10,41.235,41.64,41.03,41.165,37.13,96135
2020-09-11,41.37,42.315,41.355,41.7,37.61,154886
2020-09-14,41.94,42.77,41.94,42.535,38.36,70073
2020-09-15,42.61,42.865,42.235,42.29,38.14,118035
2020-09-16,42.45,43.13,42.24,42.92,38.71,186303
2020-09-17,42.18,43.15,42.1,42.985,38.77,138303
2020-09-18,43.0,43.19,42.425,42.8,38.6,107677
2020-09-21,41.985,41.99,40.475,40.91,36.9,81084
2020-09-22,40.885,41.475,40.885,41.335,37.28,86929
2020-09-23,41.325,41.66,40.365,40.405,36.44,75247
2020-09-24,40.27,41.295,39.795,40.895,36.89,154819
2020-09-25,40.475,40.775,40.19,40.475,36.74,137180
2020-09-28,41.19,41.955,41.145,41.4,37.58,97181
2020-09-29,41.415,41.43,40.74,40.975,37.19,101109
2020-09-30,41.06,41.55,40.665,40.895,37.12,100782
2020-10-01,41.23,41.38,40.48,40.725,36.97,259720
2020-10-02,40.22,42.11,40.22,41.62,37.78,237073
2020-10-05,41.915,42.56,41.915,42.145,38.26,132298
2020-10-06,42.42,42.59,41.565,41.7,37.85,186009
2020-10-07,42.28,42.86,42.255,42.535,38.61,159946
2020-10-08,42.815,43.26,42.715,43.215,39.23,188178
2020-10-09,43.39,43.63,42.925,42.97,39.0,304354
2020-10-12,43.07,43.645,42.945,43.255,39.26,114492
2020-10-13,43.0,43.28,42.4,42.415,38.5,207417
