date,open,high,low,close,adj_close,volume
2020-07-27,191.545,197.82,190.37,197.02,184.69,124845
2020-07-28,196.125,196.75,192.235,192.58,180.53,66773
2020-07-29,191.9,195.585,190.455,195.08,182.87,60636
2020-07-30,195.01,198.99,194.72,197.68,185.31,54646
2020-07-31,198.24,199.71,195.1,199.65,187.16,46642
2020-08-03,202.82,207.945,202.82,207.61,194.62,101956
2020-08-04,200.78,205.07,200.72,205.04,192.21,97626
2020-08-05,205.695,205.695,202.515,203.595,190.85,16852
2020-08-06,202.955,204.18,200.99,203.51,190.77,39385
2020-08-07,202.61,206.49,200.375,202.715,190.03,34926
2020-08-10,201.37,203.175,198.28,203.07,190.36,61170
2020-08-11,202.71,204.64,200.07,200.59,188.04,28798
2020-08-12,201.755,208.74,201.18,207.98,194.97,27833
2020-08-13,207.44,210.045,206.65,209.85,196.72,26217
2020-08-14,209.87,214.41,209.87,211.56,199.17,36837
2020-08-17,213.37,218.55,212.84,216.72,204.03,34035
2020-08-18,217.58,217.58,211.425,211.83,199.43,35862
2020-08-19,212.53,212.53,209.515,210.55,198.22,20922
2020-08-20,206.995,208.7,205.68,207.06,194.94,35448
2020-08-21,204.455,205.02,202.2,204.18,192.23,44839
2020-08-24,207.88,208.53,205.51,208.025,195.85,26764
2020-08-25,208.005,210.77,207.35,210.19,197.88,33827
2020-08-26,210.575,212.615,210.14,212.25,199.82,26390
2020-08-27,213.485,214.0,203.745,204.41,192.44,30296
2020-08-28,204.81,208.78,203.97,208.52,196.31,25619
2020-08-31,207.575,207.81,203.985,205.54,193.51,29429
2020-09-01,205.78,208.485,204.725,207.82,195.65,38226
2020-09-02,209.65,216.11,209.65,215.45,202.84,55825
2020-09-03,213.775,213.775,200.35,201.52,189.72,99288
2020-09-04,200.43,200.43,187.05,193.58,182.25,102209
2020-09-08,180.57,182.07,173.88,174.48,164.27,88120
2020-09-09,177.96,178.81,172.97,174.28,164.08,138017
2020-09-10,176.78,177.2,172.72,173.325,163.18,115316
2020-09-11,174.41,176.5,171.4,172.02,161.95,55288
2020-09-14,175.945,178.49,175.41,178.03,167.61,57187
2020-09-15,180.5,180.795,177.35,180.79,170.21,59915
2020-09-16,183.87,185.13,180.76,180.84,170.25,92521
2020-09-17,175.73,180.7,174.87,180.63,170.06,46232
2020-09-18,182.82,184.32,176.83,178.9,168.43,37324
2020-09-21,178.06,180.91,175.86,180.91,170.32,57745
2020-09-22,182.75,183.605,177.64,183.265,172.54,60323
2020-09-23,184.335,186.01,180.06,180.85,170.26,38459
2020-09-24,178.76,187.56,178.76,184.48,173.68,47805
2020-09-25,183.89,188.55,182.06,187.98,176.98,29751
2020-09-28,187.535,193.6,187.2,193.11,181.8,68544
2020-09-29,194.03,195.78,192.74,193.55,182.22,32048
2020-09-30,193.32,196.3,191.19,193.66,182.32,52816
2020-10-01,196.755,200.04,195.97,199.01,187.36,42064
2020-10-02,193.0,196.255,190.94,192.14,180.89,64850
2020-10-05,193.385,199.84,193.385,199.84,188.14,62831
2020-10-06,199.39,205.76,198.75,199.94,188.24,78543
2020-10-07,201.89,205.57,201.18,202.875,191.0,52914
2020-10-08,205.62,206.615,204.765,206.52,194.43,33432
2020-10-09,209.86,212.105,208.9,210.98,198.63,100201
2020-10-12,214.0,215.83,212.68,214.72,202.15,148878
