date,open,high,low,close,adj_close,volume
2020-07-27,147.13,148.17,146.2,147.51,117.96,61583
2020-07-28,147.76,150.77,147.76,150.74,120.55,97656
2020-07-29,150.66,152.72,150.04,152.065,121.61,67336
2020-07-30,151.305,151.86,150.27,151.86,121.44,43362
2020-07-31,150.745,152.23,150.45,152.14,121.67,40452
2020-08-03,151.47,152.45,151.18,151.66,121.28,38943
2020-08-04,151.77,156.26,151.66,156.26,124.96,66066
2020-08-05,156.055,156.45,155.16,155.79,124.59,60357
2020-08-06,155.87,156.85,155.245,156.465,125.13,48663
2020-08-07,157.15,158.215,156.47,157.095,125.63,107893
2020-08-10,157.98,158.865,157.33,158.05,126.39,58552
2020-08-11,158.025,158.025,155.35,155.785,124.58,62166
2020-08-12,156.38,160.0,156.38,158.87,127.05,41721
2020-08-13,158.425,159.12,157.91,158.4,126.67,44226
2020-08-14,158.32,158.62,157.75,158.18,126.5,62436
2020-08-17,158.09,158.83,157.6,157.83,126.22,27104
2020-08-18,156.96,158.455,156.57,157.525,125.97,80730
2020-08-19,158.22,158.22,157.03,157.34,125.83,24345
2020-08-20,156.965,157.89,156.41,157.395,125.87,22747
2020-08-21,157.225,157.6,156.2,157.34,125.83,38571
2020-08-24,157.465,158.095,156.87,157.45,125.91,22796
2020-08-25,156.225,157.2,155.8,155.95,124.71,26554
2020-08-26,155.65,156.655,155.48,155.99,124.75,45282
2020-08-27,156.8,157.51,156.175,156.19,124.91,43054
2020-08-28,155.71,156.555,154.69,156.55,125.19,32210
2020-08-31,156.64,157.89,156.615,157.72,126.13,18000
2020-09-01,156.83,156.955,153.97,154.17,123.29,66103
2020-09-02,154.34,157.3,154.34,156.63,125.26,42241
2020-09-03,155.88,156.37,151.025,152.29,122.62,146033
2020-09-04,152.83,154.025,150.18,152.17,122.53,80014
2020-09-08,151.935,151.935,148.35,148.95,119.94,39027
2020-09-09,150.73,153.065,150.73,151.46,121.96,38091
2020-09-10,151.45,151.45,148.15,148.15,119.29,62450
2020-09-11,148.745,148.945,147.49,148.49,119.57,84846
2020-09-14,149.24,149.385,148.2,148.57,119.63,42989
2020-09-15,148.825,149.48,146.4,146.4,117.88,56944
2020-09-16,146.715,148.87,146.715,147.69,118.92,48445
2020-09-17,146.76,147.64,145.48,146.58,118.03,50797
2020-09-18,146.12,146.46,144.83,146.03,117.58,32559
2020-09-21,145.78,146.67,144.445,145.89,117.47,34147
2020-09-22,145.64,147.8,145.64,146.93,118.31,29768
2020-09-23,147.19,147.19,144.66,144.85,116.63,45310
2020-09-24,144.99,147.13,144.54,146.5,117.96,46998
2020-09-25,146.225,146.79,145.54,146.45,117.92,40835
2020-09-28,146.99,148.425,146.335,147.44,118.72,81719
2020-09-29,147.82,147.94,146.05,146.3,117.8,33541
2020-09-30,147.21,148.295,146.69,147.685,118.92,56997
2020-10-01,147.97,148.64,146.51,147.66,118.9,57471
2020-10-02,147.0,148.51,145.83,147.41,118.7,108642
2020-10-05,148.15,149.59,147.6,149.555,120.42,51554
2020-10-06,149.51,151.445,149.335,149.97,120.76,74263
2020-10-07,150.585,151.675,149.565,150.98,121.57,64260
2020-10-08,150.795,151.0,149.78,150.35,121.06,83469
2020-10-09,150.8,152.75,150.54,152.57,122.85,57541
2020-10-12,153.12,154.3,152.55,153.34,123.47,44962
2020-10-13,153.795,155.41,153.37,154.24,124.2,121962
2020-10-14,154.1,155.23,151.27,152.62,122.89,102441
2020-10-15,152.59,154.99,152.35,154.23,124.19,105426
2020-10-16,153.02,154.18,152.8,153.3,123.44,60195
2020-10-19,153.58,153.95,150.46,150.8,121.43,59146
2020-10-20,152.71,152.72,148.04,148.54,119.61,93428
2020-10-21,147.96,149.47,147.27,148.26,119.38,167607
2020-10-22,140.79,142.28,136.11,138.11,111.21,333306
2020-10-23,138.85,139.22,136.76,136.86,110.2,126229
2020-10-26,136.41,137.26,134.6,135.64,109.22,85055
2020-10-27,136.395,137.83,134.8,134.8,108.54,107497
2020-10-28,133.12,134.07,131.18,132.955,107.06,210209
2020-10-29,132.21,134.14,130.67,132.8,106.93,210824
2020-10-30,133.74,134.37,131.1,132.52,106.71,120602
2020-11-02,134.33,136.31,133.7,134.17,108.03,103871
2020-11-03,135.2,137.105,134.73,135.375,109.0,103952
2020-11-04,136.07,137.73,134.94,135.08,108.77,163989
2020-11-05,136.39,136.39,134.225,134.275,108.12,187123
2020-11-06,134.685,136.84,134.685,136.16,109.64,92435
2020-11-09,135.2,136.5,132.38,132.51,106.7,214004
2020-11-10,131.985,137.0,131.19,136.405,109.83,121531
2020-11-11,137.49,137.815,135.86,137.78,110.94,94655
2020-11-12,137.93,138.79,136.6,138.05,111.16,132446
2020-11-13,138.3,140.35,137.95,140.35,113.01,160830
2020-11-16,140.12,142.43,138.71,142.06,114.39,203566
2020-11-17,140.95,144.35,140.91,143.84,115.82,255553
2020-11-18,144.175,144.27,141.11,141.11,113.62,190151
2020-11-19,142.5,143.755,140.61,141.65,114.06,150900
2020-11-20,141.835,142.22,139.325,139.82,112.58,107386
2020-11-23,139.975,139.975,138.29,139.22,112.1,194118
2020-11-24,139.735,141.43,139.09,139.19,112.08,175737
2020-11-25,140.52,141.63,140.165,140.73,113.32,61882
2020-11-27,140.9,142.87,140.9,141.86,114.23,53209
2020-11-30,141.93,142.27,139.12,139.28,112.15,160625
2020-12-01,139.3,141.38,138.51,141.29,113.77,81144
2020-12-02,141.05,141.19,137.915,138.15,111.24,104412
2020-12-03,136.835,137.94,136.71,137.8,111.82,126854
2020-12-04,137.63,138.02,136.09,137.4,111.5,158616
2020-12-07,137.05,137.58,136.13,136.91,111.1,139723
2020-12-08,136.435,137.54,135.26,136.62,110.86,75613
2020-12-09,136.71,136.71,135.25,135.81,110.21,76369
2020-12-10,136.205,136.205,133.99,134.0,108.74,110970
2020-12-11,133.81,136.7,133.8,135.95,110.32,85353
2020-12-14,136.225,137.89,135.94,136.01,110.37,81272
2020-12-15,136.415,136.705,135.45,135.79,110.19,63322
2020-12-16,136.27,137.22,135.42,135.98,110.35,93812
2020-12-17,136.57,138.025,135.41,136.245,110.56,110995
2020-12-18,136.32,136.32,134.65,135.1,109.63,166890
2020-12-21,134.27,134.34,132.25,134.34,109.01,67723
2020-12-22,133.87,134.27,132.13,132.61,107.61,124355
2020-12-23,132.965,134.33,132.7,133.51,108.34,61484
2020-12-24,133.98,134.145,133.225,133.9,108.66,25242
2020-12-28,134.11,134.7,133.54,133.87,108.63,61802
2020-12-29,134.26,135.47,133.79,134.16,108.87,46759
2020-12-30,133.8,133.89,132.92,133.13,108.03,52638
2020-12-31,133.69,134.85,133.18,134.85,109.43,61050
2021-01-04,134.76,134.81,132.525,133.27,108.15,90280
2021-01-05,133.18,133.66,131.43,133.615,108.43,131225
2021-01-06,133.21,134.425,132.48,132.77,107.74,141762
2021-01-07,132.46,132.46,130.295,131.65,106.83,91743
2021-01-08,131.39,131.915,130.34,131.81,106.96,73237
2021-01-11,132.05,133.07,131.31,131.485,106.7,84220
2021-01-12,131.38,131.68,129.45,130.39,105.81,92175
2021-01-13,130.32,132.135,130.28,131.71,106.88,114081
2021-01-14,131.76,132.225,131.03,131.5,106.71,66412
2021-01-15,131.54,131.84,130.13,131.3,106.55,110673
2021-01-19,132.03,132.7,130.8,131.65,106.83,84731
2021-01-20,131.64,131.64,130.13,131.33,106.57,82215
2021-01-21,130.95,131.6,130.55,131.02,106.32,126798
2021-01-22,131.75,132.86,130.82,132.23,107.3,131360
2021-01-25,133.78,140.97,133.38,136.46,110.73,268633
2021-01-26,135.39,137.345,133.04,137.16,111.3,205663
2021-01-27,137.455,140.67,137.22,138.47,112.37,120670
2021-01-28,138.5,139.0,134.85,135.17,109.69,163312
2021-01-29,134.52,136.3,131.99,132.07,107.17,148717
2021-02-01,132.66,133.95,132.27,133.4,108.25,69512
2021-02-02,133.375,133.49,130.87,132.36,107.41,163506
2021-02-03,132.05,132.43,130.28,132.36,107.41,79453
2021-02-04,131.8,132.285,130.765,131.68,106.86,99040
2021-02-05,131.84,132.35,131.28,132.24,107.31,85518
2021-02-08,132.32,132.565,131.185,132.18,107.26,70453
2021-02-09,132.38,132.825,131.21,132.44,107.47,62259
2021-02-10,132.87,133.935,132.44,132.75,107.72,125108
2021-02-11,133.125,133.125,131.775,132.08,107.18,84547
2021-02-12,131.97,132.46,131.31,132.15,107.24,85845
2021-02-16,131.51,131.65,128.74,130.275,105.72,181267
2021-02-17,129.53,131.23,128.9,130.78,106.13,99930
2021-02-18,130.28,132.52,130.27,132.22,107.29,110473
2021-02-19,132.05,132.15,130.4,130.615,105.99,86582
2021-02-22,130.23,131.26,129.895,131.12,106.4,80850
2021-02-23,131.72,133.41,130.89,131.99,107.11,103470
2021-02-24,131.21,131.89,130.67,130.8,106.14,157251
2021-02-25,130.8,132.53,130.39,130.56,105.95,79989
2021-02-26,131.1,131.29,128.38,128.38,104.18,120993
2021-03-01,128.88,130.39,128.16,128.51,104.28,131751
2021-03-02,128.22,129.9,128.03,129.13,104.79,102409
2021-03-03,129.36,131.53,128.87,130.55,105.94,179224
2021-03-04,129.89,131.33,128.405,128.57,105.25,145830
2021-03-05,129.12,132.74,128.54,131.58,107.72,166768
2021-03-08,131.445,134.67,130.56,133.12,108.98,84839
2021-03-09,132.72,133.845,132.31,132.31,108.31,117957
2021-03-10,132.94,135.435,131.28,134.45,110.07,133072
