date,open,high,low,close,adj_close,volume
2020-07-27,246.13,248.77,245.615,246.82,226.3,25039
2020-07-28,247.36,247.475,243.64,243.64,223.39,55324
2020-07-29,244.84,245.47,243.68,244.48,224.16,63022
2020-07-30,240.825,242.855,237.06,242.09,221.96,38463
2020-07-31,246.41,246.875,241.8,244.79,224.44,31049
2020-08-03,247.64,247.83,244.15,244.34,224.03,42003
2020-08-04,242.68,245.385,242.575,243.67,223.41,47854
2020-08-05,247.35,251.185,247.08,248.13,227.5,49763
2020-08-06,247.73,247.93,244.67,246.67,226.16,66258
2020-08-07,244.84,245.64,243.69,245.015,224.65,79698
2020-08-10,242.535,243.89,241.82,243.18,222.96,31914
2020-08-11,247.79,248.085,244.57,244.87,224.51,73497
2020-08-12,247.64,250.91,247.59,248.65,227.98,27063
2020-08-13,247.615,249.89,247.615,249.22,228.5,17928
2020-08-14,247.65,249.26,247.455,248.38,227.73,11464
2020-08-17,249.68,250.02,247.5,248.395,227.75,24630
2020-08-18,249.75,250.145,246.16,246.84,226.32,20315
2020-08-19,248.48,249.18,246.71,247.08,226.54,24844
2020-08-20,244.515,245.595,243.83,245.5,225.09,48949
2020-08-21,240.57,244.9,240.57,244.22,223.92,34269
2020-08-24,250.27,250.7,248.7,248.99,228.29,39659
2020-08-25,250.41,251.25,249.55,249.95,229.17,17041
2020-08-26,249.64,254.025,249.07,252.9,231.88,13047
2020-08-27,253.77,253.86,250.195,250.94,230.08,35243
2020-08-28,251.7,254.035,250.98,253.67,232.58,21932
2020-08-31,251.99,253.18,249.18,249.84,229.07,54904
2020-09-01,249.83,257.04,248.735,256.9,235.54,87652
2020-09-02,257.61,260.47,255.78,260.21,239.48,79304
2020-09-03,259.075,259.14,247.65,250.34,230.39,80381
2020-09-04,250.99,251.78,243.5,247.7,227.96,76082
2020-09-08,243.56,245.84,242.19,242.85,223.5,68903
2020-09-09,246.485,253.42,246.485,251.21,231.19,20400
2020-09-10,253.365,254.42,247.105,247.13,227.44,37312
2020-09-11,249.85,251.3,249.03,250.155,230.22,23472
2020-09-14,251.725,253.6,250.7,251.25,231.23,20070
2020-09-15,252.69,254.175,250.71,250.71,230.73,34240
2020-09-16,250.28,251.77,248.5,248.85,229.02,52226
2020-09-17,246.225,250.49,246.025,250.49,230.53,24802
2020-09-18,249.5,250.535,245.43,246.51,226.87,30459
2020-09-21,239.99,240.45,234.9,238.48,219.48,92968
2020-09-22,237.815,238.615,236.285,238.26,219.28,51992
2020-09-23,237.79,238.2,232.995,232.995,214.43,56603
2020-09-24,233.25,235.435,231.975,234.24,215.58,28190
2020-09-25,229.535,233.58,228.775,232.745,214.2,124384
2020-09-28,237.92,238.865,236.42,237.185,218.29,24782
2020-09-29,237.55,239.29,236.365,236.39,217.55,31415
2020-09-30,236.125,239.91,236.11,238.02,219.05,38181
2020-10-01,236.69,238.3,232.115,232.78,214.23,159966
2020-10-02,229.46,234.925,229.21,232.245,213.74,102952
2020-10-05,234.36,236.65,234.32,235.165,216.43,88165
2020-10-06,236.14,237.71,231.9,232.38,213.86,49617
2020-10-07,235.135,239.99,234.88,239.06,220.01,61359
2020-10-08,238.9,240.37,237.135,237.8,218.85,73763
2020-10-09,238.945,241.23,238.815,240.13,221.0,91516
2020-10-12,241.635,242.57,240.02,240.26,221.12,30621
2020-10-13,238.68,239.04,234.89,236.07,217.26,37449
2020-10-14,236.29,236.55,234.18,234.81,216.1,33811
2020-10-15,229.6,230.62,228.06,229.52,211.23,53845
