date,open,high,low,close,adj_close,volume
2020-07-27,37.87,38.0,37.44,37.83,31.18,70321
2020-07-28,37.65,37.99,37.505,37.585,30.98,60312
2020-07-29,37.54,38.725,37.425,38.685,31.89,105230
2020-07-30,37.635,37.635,36.945,37.545,30.95,84063
2020-07-31,37.585,37.885,37.19,37.885,31.23,76219
2020-08-03,37.495,37.975,37.095,37.305,31.13,90159
2020-08-04,37.175,37.225,36.825,36.885,30.78,62169
2020-08-05,37.57,38.445,37.57,38.31,31.97,127148
2020-08-06,37.535,38.4,36.93,36.97,30.85,303378
2020-08-07,36.92,38.915,36.625,38.725,32.31,205522
2020-08-10,38.975,39.97,38.97,39.77,33.19,125491
2020-08-11,40.87,41.44,40.555,40.595,33.87,124979
2020-08-12,41.355,41.36,39.57,40.04,33.41,193440
2020-08-13,39.415,39.905,39.145,39.415,32.89,122683
2020-08-14,39.055,39.78,38.985,39.595,33.04,107177
2020-08-17,39.5,39.64,38.775,38.875,32.44,102319
2020-08-18,39.08,39.18,38.185,38.31,31.97,127085
2020-08-19,38.3,38.98,38.12,38.215,31.89,83142
2020-08-20,38.03,38.07,37.515,37.635,31.4,78160
2020-08-21,37.45,37.97,37.185,37.285,31.11,58973
2020-08-24,37.46,38.615,37.28,38.605,32.21,91039
2020-08-25,39.04,39.3,38.415,38.67,32.27,94076
2020-08-26,38.585,38.64,38.19,38.325,31.98,172943
2020-08-27,38.52,39.335,38.46,39.08,32.61,82486
2020-08-28,39.47,39.47,38.895,39.435,32.91,57647
2020-08-31,39.28,39.28,38.465,38.485,32.11,70779
2020-09-01,38.29,39.025,38.0,38.515,32.14,116025
2020-09-02,38.2,38.915,37.99,38.825,32.4,81126
2020-09-03,39.23,40.01,37.975,38.18,31.86,88019
2020-09-04,39.0,39.46,38.26,39.125,32.65,105717
2020-09-08,38.79,38.84,37.73,37.86,31.59,132589
2020-09-09,38.315,38.63,37.945,38.26,31.93,79891
2020-09-10,38.5,39.065,37.635,37.755,31.5,118807
2020-09-11,37.74,38.47,37.595,38.25,31.92,84354
2020-09-14,38.41,39.07,38.315,38.865,32.43,103521
2020-09-15,38.87,38.87,37.53,37.53,31.32,93538
2020-09-16,37.78,38.24,37.56,37.63,31.4,283646
2020-09-17,37.5,39.475,37.0,39.32,32.81,250094
2020-09-18,39.305,40.095,39.185,39.67,33.1,182508
2020-09-21,38.52,38.76,37.035,37.445,31.25,206358
2020-09-22,37.24,37.78,36.52,36.935,30.82,188303
2020-09-23,37.2,37.61,36.015,36.085,30.11,204215
2020-09-24,36.165,36.425,35.23,35.75,29.83,115190
2020-09-25,35.44,36.415,35.405,36.265,30.26,108538
2020-09-28,37.0,37.735,36.875,37.195,31.04,96510
2020-09-29,37.05,37.32,36.465,36.765,30.68,59298
2020-09-30,36.955,37.535,36.75,37.22,31.06,106999
2020-10-01,37.315,37.65,36.83,37.235,31.07,181444
2020-10-02,36.7,37.95,36.57,37.615,31.39,156306
2020-10-05,38.07,38.915,38.07,38.515,32.14,141967
2020-10-06,39.0,39.75,38.275,38.38,32.03,279610
2020-10-07,38.91,39.765,38.91,39.365,32.85,538871
2020-10-08,39.44,40.055,39.425,39.845,33.25,336990
2020-10-09,40.1,40.28,39.42,39.48,32.94,142736
2020-10-12,39.63,40.405,39.55,40.335,33.66,275995
2020-10-13,39.76,39.825,38.785,39.005,32.55,311562
2020-10-14,38.96,39.715,38.955,38.955,32.51,158951
2020-10-15,38.45,39.21,38.18,39.135,32.66,167827
2020-10-16,39.35,39.86,38.9,39.265,32.76,174205
2020-10-19,39.48,39.77,38.975,39.075,32.61,127068
2020-10-20,39.545,40.045,39.31,39.34,32.83,169619
2020-10-21,39.08,39.575,39.06,39.145,32.66,182222
2020-10-22,39.15,40.65,39.05,40.61,33.89,170177
2020-10-23,40.9,41.22,40.61,40.92,34.14,238955
2020-10-26,40.27,40.44,39.11,39.36,32.84,427507
2020-10-27,39.26,39.27,37.675,37.785,31.53,215862
2020-10-28,36.8,37.6,36.47,36.54,30.49,341443
2020-10-29,36.19,37.645,35.94,37.34,31.16,195456
2020-10-30,37.09,37.84,36.81,37.84,31.57,273907
2020-11-02,38.07,38.95,37.46,38.705,32.69,266017
2020-11-03,39.47,40.31,39.44,40.01,33.8,207638
2020-11-04,39.0,40.05,38.28,39.0,32.94,331339
2020-11-05,39.83,41.81,39.51,41.14,34.75,400960
2020-11-06,41.77,41.915,40.085,40.49,34.2,256858
2020-11-09,44.02,46.145,43.805,44.945,37.96,613838
2020-11-10,45.56,46.46,44.905,46.02,38.87,462620
2020-11-11,45.97,46.3,45.21,45.48,38.42,249562
2020-11-12,44.71,44.75,43.14,43.71,36.92,375886
2020-11-13,44.28,45.05,44.2,44.73,37.78,163906
2020-11-16,46.16,46.345,45.49,46.04,38.89,260038
2020-11-17,45.5,46.35,45.28,46.005,38.86,225398
2020-11-18,46.18,47.135,45.72,45.725,38.62,375398
2020-11-19,45.25,45.64,44.62,45.55,38.48,333968
2020-11-20,45.24,45.995,44.76,45.855,38.73,301277
2020-11-23,46.43,47.36,46.37,47.2,39.87,215336
2020-11-24,48.04,48.82,47.53,48.665,41.11,251589
2020-11-25,48.085,48.085,47.27,47.765,40.35,195794
2020-11-27,47.725,48.15,47.19,47.42,40.06,74235
2020-11-30,46.98,47.27,46.06,46.19,39.02,220965
2020-12-01,47.28,47.375,46.81,46.905,39.62,217253
2020-12-02,46.6,47.835,46.56,47.72,40.31,169857
2020-12-03,47.47,48.245,47.38,47.68,40.27,168966
2020-12-04,48.22,48.89,48.045,48.465,40.94,262303
2020-12-07,47.99,47.99,47.17,47.565,40.18,162799
2020-12-08,47.665,47.845,47.11,47.555,40.17,174371
2020-12-09,48.0,48.33,47.535,47.63,40.23,155266
2020-12-10,47.15,47.685,46.74,47.55,40.17,142474
2020-12-11,46.98,47.215,46.575,47.16,39.84,195728
2020-12-14,47.89,48.03,45.83,45.86,38.74,264075
2020-12-15,46.355,46.44,45.305,46.235,39.05,296656
2020-12-16,46.02,46.555,45.84,46.355,39.16,179325
2020-12-17,46.54,46.56,45.81,46.495,39.27,169211
2020-12-18,46.54,46.75,45.285,45.63,38.54,184878
2020-12-21,45.35,45.68,44.63,45.52,38.45,208557
2020-12-22,45.54,45.925,45.19,45.19,38.17,107531
2020-12-23,45.74,46.595,45.74,46.14,38.97,120992
2020-12-24,45.97,46.285,45.81,46.265,39.08,103055
2020-12-28,46.62,47.26,46.19,46.23,39.05,67395
2020-12-29,46.54,46.605,45.95,46.01,38.86,81927
2020-12-30,46.155,46.82,46.155,46.385,39.18,90524
2020-12-31,46.44,47.12,46.285,47.005,39.7,61103
2021-01-04,47.07,47.19,45.74,46.065,38.91,181721
2021-01-05,46.08,47.17,46.02,46.615,39.38,177103
2021-01-06,47.985,50.11,47.82,49.415,41.74,205516
2021-01-07,49.715,50.135,49.47,49.605,41.9,146225
2021-01-08,49.85,49.95,48.535,49.42,41.74,108497
2021-01-11,48.695,49.58,48.5,49.38,41.71,93042
2021-01-12,49.625,50.565,49.625,50.195,42.4,123764
2021-01-13,50.19,50.655,50.0,50.33,42.51,199605
2021-01-14,50.68,51.65,50.62,51.555,43.55,175177
2021-01-15,50.97,51.62,50.33,51.13,43.19,145883
2021-01-19,51.425,52.375,51.425,52.12,44.03,170610
2021-01-20,52.09,52.12,51.45,51.67,43.65,120315
2021-01-21,51.55,51.8,51.085,51.085,43.15,143842
2021-01-22,50.415,51.0,50.21,50.89,42.99,86856
