date,open,high,low,close,adj_close,volume
2020-07-27,223.31,228.055,221.98,227.62,218.96,93274
2020-07-28,219.95,219.95,211.42,212.57,204.49,76317
2020-07-29,213.31,215.705,210.22,213.94,205.81,28017
2020-07-30,212.055,212.605,207.905,209.265,201.31,30420
2020-07-31,207.83,207.83,201.91,206.99,199.12,30973
2020-08-03,208.275,209.295,204.355,207.99,200.08,38976
2020-08-04,209.895,212.66,208.515,212.2,204.13,24932
2020-08-05,214.095,219.93,213.32,216.79,208.55,26156
2020-08-06,215.14,217.265,213.0,213.2,205.09,24513
2020-08-07,213.8,220.47,212.985,219.91,211.55,12726
2020-08-10,221.18,224.43,220.45,223.495,215.0,25955
2020-08-11,225.04,229.33,224.865,225.49,216.92,24778
2020-08-12,225.68,225.68,220.075,221.025,212.62,29709
2020-08-13,218.26,222.2,218.26,219.61,211.26,21132
2020-08-14,218.585,221.345,217.81,219.33,210.99,20986
2020-08-17,221.05,221.085,216.23,216.55,208.32,46658
2020-08-18,216.255,217.7,213.825,215.01,206.83,19793
2020-08-19,214.565,216.06,211.625,212.175,204.11,17218
2020-08-20,209.985,210.835,208.44,209.005,201.06,17130
2020-08-21,208.575,210.52,208.235,209.75,201.77,18242
2020-08-24,211.69,213.8,210.43,211.21,203.18,19618
2020-08-25,212.85,213.155,208.32,211.33,203.29,13308
2020-08-26,208.695,209.34,206.0,208.25,200.33,16397
2020-08-27,209.32,212.42,208.88,209.06,201.11,17623
2020-08-28,208.47,208.47,204.57,207.21,199.33,27441
2020-08-31,206.35,206.35,202.7,202.85,195.67,18688
2020-09-01,201.585,207.725,201.49,207.58,200.24,13131
2020-09-02,206.78,214.185,205.4,212.63,205.11,20864
2020-09-03,213.675,215.375,208.575,210.94,203.48,35930
2020-09-04,213.66,216.72,212.07,215.22,207.61,97024
2020-09-08,211.875,211.875,205.25,207.23,199.9,57348
2020-09-09,205.37,206.16,201.605,203.62,196.42,31629
2020-09-10,204.1,209.175,202.55,207.4,200.06,31465
2020-09-11,208.105,215.79,206.8,209.89,202.47,15985
2020-09-14,210.415,217.42,210.415,216.49,208.83,27842
2020-09-15,217.8,222.68,217.8,217.95,210.24,20636
2020-09-16,218.33,227.865,217.33,225.07,217.11,43781
2020-09-17,222.0,227.97,220.53,227.015,218.99,21735
2020-09-18,227.275,229.645,224.165,225.07,217.11,27926
2020-09-21,219.585,219.585,215.77,218.27,210.55,26902
2020-09-22,219.655,221.84,217.575,221.14,213.32,19464
2020-09-23,221.97,225.045,218.955,219.985,212.2,57783
2020-09-24,218.125,223.33,216.75,221.02,213.2,33053
2020-09-25,219.66,226.53,219.66,226.34,218.33,16332
2020-09-28,230.115,234.205,228.97,231.89,223.69,37006
2020-09-29,229.865,231.93,227.36,231.57,223.38,19284
2020-09-30,233.54,238.58,233.54,235.54,227.21,32877
2020-10-01,237.385,240.62,233.2,234.775,226.47,52324
2020-10-02,230.85,244.295,230.85,240.42,231.92,60855
2020-10-05,243.53,252.72,243.395,249.19,240.38,95626
2020-10-06,250.205,260.95,248.915,249.93,241.09,45060
2020-10-07,253.025,267.9,253.025,264.865,255.5,65186
2020-10-08,269.81,276.19,269.81,276.01,266.25,57125
2020-10-09,274.81,274.81,267.445,272.955,263.3,64216
2020-10-12,271.71,274.78,269.335,270.07,260.52,50542
2020-10-13,259.155,263.0,257.71,261.16,251.92,38682
2020-10-14,263.63,264.59,258.955,259.66,250.48,21934
2020-10-15,255.65,258.99,254.61,256.96,247.87,52220
2020-10-16,259.67,262.29,258.82,259.09,249.93,36402
2020-10-19,258.975,258.975,254.17,256.755,247.67,11894
2020-10-20,259.095,260.61,254.93,257.02,247.93,15248
2020-10-21,256.825,260.71,254.95,256.42,247.35,11822
2020-10-22,255.475,261.62,254.2,259.165,250.0,21502
2020-10-23,261.46,262.715,258.52,262.295,253.02,14293
2020-10-26,258.255,258.61,252.17,253.32,244.36,18553
2020-10-27,254.72,258.26,253.81,255.995,246.94,15452
2020-10-28,248.15,252.17,244.83,247.25,238.5,36991
2020-10-29,251.18,268.905,251.18,264.92,255.55,89689
2020-10-30,261.305,269.27,259.29,266.47,257.04,39840
2020-11-02,272.75,275.37,268.6,270.93,261.35,35661
2020-11-03,275.68,277.855,271.77,276.2,266.43,19024
2020-11-04,251.4,266.23,240.12,253.87,244.89,152705
2020-11-05,257.26,266.06,257.045,260.05,250.85,49691
2020-11-06,256.575,264.65,253.945,256.31,247.24,33053
2020-11-09,275.37,275.37,257.47,261.26,252.02,56818
2020-11-10,266.865,277.06,264.49,265.89,256.48,49016
2020-11-11,266.63,266.63,258.54,265.6,256.21,21394
2020-11-12,263.395,263.45,258.835,260.64,251.42,36050
2020-11-13,266.73,268.925,261.05,264.15,254.81,46202
2020-11-16,270.555,273.85,266.725,271.27,261.67,19179
2020-11-17,267.74,270.665,266.495,269.35,259.82,19349
2020-11-18,269.14,274.29,269.14,269.56,260.03,15740
2020-11-19,266.81,273.305,266.81,269.535,260.0,25167
2020-11-20,266.04,266.1,259.32,265.49,256.1,19097
2020-11-23,269.875,270.575,265.985,266.91,257.47,20448
2020-11-24,269.34,277.47,268.005,275.19,265.46,42322
2020-11-25,269.71,273.75,266.19,272.26,262.63,12104
2020-11-27,271.47,272.075,268.31,270.88,261.3,9819
2020-11-30,269.275,269.275,262.075,265.175,256.33,13912
2020-12-01,269.44,278.69,269.44,275.39,266.21,44196
2020-12-02,273.54,275.165,270.15,273.03,263.93,19988
2020-12-03,274.21,282.61,268.47,281.13,271.76,44230
2020-12-04,282.875,286.97,282.875,285.09,275.59,28540
2020-12-07,282.42,286.08,281.34,284.93,275.43,19714
2020-12-08,280.41,287.06,280.41,282.855,273.42,32056
2020-12-09,281.605,281.605,274.735,276.75,267.52,75125
2020-12-10,272.02,272.32,264.58,266.75,257.86,77213
2020-12-11,267.13,268.355,264.18,266.99,258.09,33857
2020-12-14,269.505,270.19,258.43,259.76,251.1,73253
2020-12-15,262.11,266.755,259.36,266.25,257.37,30951
2020-12-16,266.695,266.9,261.82,262.31,253.56,24896
2020-12-17,263.08,266.01,262.67,265.865,257.0,29738
2020-12-18,268.165,277.35,267.32,276.19,266.98,82231
2020-12-21,269.605,278.01,269.605,275.82,266.62,31329
2020-12-22,276.1,278.61,273.06,273.27,264.16,30690
2020-12-23,273.15,275.17,270.96,274.41,265.26,17119
2020-12-24,273.09,275.2,271.69,275.2,266.03,3769
2020-12-28,275.9,281.97,275.77,278.96,269.66,20594
2020-12-29,278.89,281.17,273.28,273.89,264.76,20704
2020-12-30,277.52,282.405,277.52,281.055,271.68,16483
2020-12-31,280.42,284.465,278.78,283.945,274.48,15833
2021-01-04,284.91,288.62,277.58,277.8,268.54,28416
2021-01-05,277.04,283.27,276.95,280.71,271.35,44415
2021-01-06,297.875,307.16,297.03,302.65,292.56,163041
2021-01-07,307.3,309.06,302.71,308.24,297.96,44632
2021-01-08,308.08,311.37,304.88,310.51,300.16,49452
2021-01-11,306.4,310.845,303.985,309.84,299.51,16905
2021-01-12,311.87,318.96,309.71,315.18,304.67,36715
2021-01-13,312.015,312.05,303.0,304.95,294.78,33580
2021-01-14,306.25,308.35,301.18,302.4,292.32,40900
2021-01-15,300.74,304.42,296.54,303.265,293.15,35082
2021-01-19,304.52,308.92,302.76,306.41,296.19,27874
2021-01-20,307.72,310.31,306.76,310.02,299.68,32095
2021-01-21,309.145,314.68,307.18,310.0,299.66,24777
2021-01-22,307.48,311.13,305.715,309.965,299.63,25488
