date,open,high,low,close,adj_close,volume
2020-07-27,159.815,163.38,159.51,163.38,106.05,109347
2020-07-28,155.69,157.43,153.94,155.54,100.96,247109
2020-07-29,156.28,157.51,154.97,156.115,101.33,124758
2020-07-30,154.21,154.385,151.47,152.19,98.79,75978
2020-07-31,151.61,151.61,148.835,150.47,97.67,42903
2020-08-03,150.94,151.21,149.545,150.46,97.66,46195
2020-08-04,150.835,151.11,149.67,151.1,98.08,37604
2020-08-05,152.25,155.39,152.25,155.3,100.81,47806
2020-08-06,156.23,156.265,154.68,156.02,101.27,73562
2020-08-07,156.01,158.37,155.115,158.29,102.75,74783
2020-08-10,159.01,161.57,158.995,161.48,104.82,50266
2020-08-11,164.03,166.56,163.09,163.52,106.14,82706
2020-08-12,164.96,165.85,163.42,164.35,106.68,79436
2020-08-13,164.98,167.49,164.92,165.82,107.63,59655
2020-08-14,165.34,166.25,164.675,166.02,107.76,42104
2020-08-17,165.165,166.345,163.94,164.74,106.93,44438
2020-08-18,164.42,165.415,163.84,164.39,106.71,29400
2020-08-19,164.61,165.64,163.82,164.0,106.45,23929
2020-08-20,162.905,163.64,162.465,163.08,105.86,43645
2020-08-21,161.12,162.52,161.12,161.74,105.94,49827
2020-08-24,161.825,163.775,161.18,163.43,107.05,59465
2020-08-25,164.545,165.035,162.44,163.08,106.82,61735
2020-08-26,162.68,164.695,161.69,163.91,107.36,35935
2020-08-27,164.74,165.24,163.27,164.08,107.47,46956
2020-08-28,164.34,166.11,163.93,165.635,108.49,207656
2020-08-31,165.485,165.485,162.15,163.23,106.92,37778
2020-09-01,162.48,165.485,161.915,164.81,107.95,89797
2020-09-02,165.17,170.0,165.17,169.61,111.1,208231
2020-09-03,169.825,170.31,165.015,166.35,108.96,96374
2020-09-04,167.8,169.025,163.93,165.7,108.53,87455
2020-09-08,165.19,165.34,161.98,163.05,106.8,67355
2020-09-09,164.0,167.215,164.0,165.76,108.57,84270
2020-09-10,166.045,166.59,162.81,163.02,106.78,49684
2020-09-11,163.24,166.63,163.24,166.18,108.85,58856
2020-09-14,167.465,169.33,166.71,168.59,110.43,55943
2020-09-15,169.93,169.93,166.215,166.57,109.1,48202
2020-09-16,167.845,171.07,167.57,169.44,110.98,69084
2020-09-17,167.34,173.15,167.34,172.47,112.97,67416
2020-09-18,172.63,172.63,169.51,169.53,111.04,33434
2020-09-21,166.07,166.375,159.67,161.275,105.64,111725
2020-09-22,161.6,163.66,160.485,162.27,106.29,73422
